Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:24.398000,LEC,16,,1.0,1.0,0 days 00:15:34.589000,,0 days 00:00:46.045000,0 days 00:00:23.979000,0 days 00:00:42.551000,0 days 00:16:17.952000,0 days 00:16:41.909000,0 days 00:17:24.479000,221.0,264.0,296.0,165.0,False,SOFT,1.0,True,Ferrari,0 days 00:15:34.589000,2022-04-09 06:00:34.614,1,,False,,False,False
0 days 00:18:43.789000,LEC,16,,2.0,1.0,,,0 days 00:00:27.539000,0 days 00:00:17.955000,0 days 00:00:33.897000,0 days 00:17:51.937000,0 days 00:18:09.892000,0 days 00:18:43.789000,281.0,302.0,299.0,311.0,True,SOFT,2.0,True,Ferrari,0 days 00:17:24.398000,2022-04-09 06:02:24.423,1,,False,,False,True
0 days 00:20:56.527000,LEC,16,,3.0,1.0,,,0 days 00:00:47.316000,0 days 00:00:35.204000,0 days 00:00:50.218000,0 days 00:19:31.105000,0 days 00:20:06.309000,0 days 00:20:56.527000,150.0,162.0,296.0,246.0,False,SOFT,3.0,True,Ferrari,0 days 00:18:43.789000,2022-04-09 06:03:43.814,12,,False,,False,True
0 days 00:22:15.408000,LEC,16,,4.0,1.0,,,0 days 00:00:27.152000,0 days 00:00:17.935000,0 days 00:00:33.794000,0 days 00:21:23.679000,0 days 00:21:41.614000,0 days 00:22:15.408000,283.0,301.0,298.0,310.0,True,SOFT,4.0,True,Ferrari,0 days 00:20:56.527000,2022-04-09 06:05:56.552,12,,False,,False,True
0 days 00:59:17.570000,LEC,16,,5.0,1.0,,0 days 00:24:27.236000,0 days 00:00:47.847000,0 days 00:00:33.701000,,0 days 00:23:03.320000,0 days 00:23:37.045000,,129.0,179.0,,284.0,False,SOFT,5.0,True,Ferrari,0 days 00:22:15.408000,2022-04-09 06:07:15.433,152,,False,,False,False
0 days 01:01:09.416000,LEC,16,,6.0,2.0,0 days 00:59:21.910000,,0 days 00:00:50.351000,0 days 00:00:21.741000,0 days 00:00:39.754000,0 days 01:00:07.921000,0 days 01:00:29.662000,0 days 01:01:09.416000,252.0,262.0,297.0,75.0,False,SOFT,6.0,False,Ferrari,0 days 00:59:21.910000,2022-04-09 06:44:21.935,1,,False,,False,False
0 days 01:02:28.424000,LEC,16,,7.0,2.0,,,0 days 00:00:27.084000,0 days 00:00:17.927000,0 days 00:00:33.997000,0 days 01:01:36.500000,0 days 01:01:54.427000,0 days 01:02:28.424000,282.0,300.0,300.0,311.0,True,SOFT,7.0,False,Ferrari,0 days 01:01:09.416000,2022-04-09 06:46:09.441,12,,False,,False,True
0 days 01:06:35.778000,LEC,16,,8.0,2.0,,0 days 01:04:07.616000,0 days 00:00:36.533000,0 days 00:00:20.628000,,0 days 01:03:04.966000,0 days 01:03:25.626000,,245.0,275.0,,266.0,False,SOFT,8.0,False,Ferrari,0 days 01:02:28.424000,2022-04-09 06:47:28.449,1,,False,,False,False
0 days 01:08:24.843000,LEC,16,,9.0,3.0,0 days 01:06:37.738000,,0 days 00:00:41.425000,0 days 00:00:23.732000,0 days 00:00:43.908000,0 days 01:07:17.203000,0 days 01:07:40.935000,0 days 01:08:24.843000,228.0,235.0,251.0,204.0,False,SOFT,1.0,True,Ferrari,0 days 01:06:35.778000,2022-04-09 06:51:35.803,1,,False,,False,False
0 days 01:10:02.891000,LEC,16,,10.0,3.0,,,0 days 00:00:35.785000,0 days 00:00:22.106000,0 days 00:00:40.157000,0 days 01:09:00.628000,0 days 01:09:22.734000,0 days 01:10:02.891000,241.0,261.0,298.0,248.0,False,SOFT,2.0,True,Ferrari,0 days 01:08:24.843000,2022-04-09 06:53:24.868,1,,False,,False,True
0 days 01:11:21.497000,LEC,16,,11.0,3.0,,,0 days 00:00:26.915000,0 days 00:00:17.978000,0 days 00:00:33.713000,0 days 01:10:29.806000,0 days 01:10:47.784000,0 days 01:11:21.497000,283.0,299.0,298.0,312.0,True,SOFT,3.0,True,Ferrari,0 days 01:10:02.891000,2022-04-09 06:55:02.916,1,,False,,False,True
0 days 01:13:46.063000,LEC,16,,12.0,3.0,,,0 days 00:00:40.335000,0 days 00:00:27.446000,0 days 00:01:16.785000,0 days 01:12:01.832000,0 days 01:12:29.278000,0 days 01:13:46.063000,180.0,131.0,296.0,283.0,False,SOFT,4.0,True,Ferrari,0 days 01:11:21.497000,2022-04-09 06:56:21.522,1,,False,,False,True
0 days 01:22:06.241000,LEC,16,,13.0,3.0,,0 days 01:15:06.946000,0 days 00:00:27.199000,0 days 00:00:17.963000,,0 days 01:14:13.307000,0 days 01:14:31.279000,,283.0,302.0,,313.0,False,SOFT,5.0,True,Ferrari,0 days 01:13:46.063000,2022-04-09 06:58:46.088,12,,False,,False,False
0 days 01:24:00.277000,LEC,16,,14.0,4.0,0 days 01:22:08.162000,,0 days 00:00:43.445000,0 days 00:00:24.650000,0 days 00:00:45.941000,0 days 01:22:49.686000,0 days 01:23:14.336000,0 days 01:24:00.277000,207.0,233.0,245.0,183.0,False,SOFT,1.0,True,Ferrari,0 days 01:22:06.241000,2022-04-09 07:07:06.266,1,,False,,False,False
0 days 01:25:42.581000,LEC,16,,15.0,4.0,,,0 days 00:00:35.421000,0 days 00:00:22.431000,0 days 00:00:44.452000,0 days 01:24:35.698000,0 days 01:24:58.129000,0 days 01:25:42.581000,246.0,279.0,298.0,260.0,True,SOFT,2.0,True,Ferrari,0 days 01:24:00.277000,2022-04-09 07:09:00.302,1,,False,,False,True
0 days 01:27:00.820000,LEC,16,,16.0,4.0,,,0 days 00:00:26.838000,0 days 00:00:17.988000,0 days 00:00:33.413000,0 days 01:26:09.419000,0 days 01:26:27.407000,0 days 01:27:00.820000,283.0,298.0,299.0,313.0,True,SOFT,3.0,True,Ferrari,0 days 01:25:42.581000,2022-04-09 07:10:42.606,12,,False,,False,True
0 days 01:42:24.709000,LEC,16,,17.0,4.0,,0 days 01:28:54.221000,,,,,,,,,,,False,SOFT,4.0,True,Ferrari,0 days 01:27:00.820000,2022-04-09 07:12:00.845,251,,False,,False,False
0 days 01:44:18.112000,LEC,16,,18.0,5.0,0 days 01:42:26.648000,,0 days 00:00:46.448000,0 days 00:00:23.236000,0 days 00:00:43.719000,0 days 01:43:11.157000,0 days 01:43:34.393000,0 days 01:44:18.112000,187.0,252.0,276.0,170.0,False,SOFT,1.0,True,Ferrari,0 days 01:42:26.648000,2022-04-09 07:27:26.673,1,,False,,False,False
0 days 01:45:58.492000,LEC,16,,19.0,5.0,,,0 days 00:00:33.937000,0 days 00:00:21.167000,0 days 00:00:45.276000,0 days 01:44:52.049000,0 days 01:45:13.216000,0 days 01:45:58.492000,247.0,269.0,299.0,278.0,False,SOFT,2.0,True,Ferrari,0 days 01:44:18.112000,2022-04-09 07:29:18.137,1,,False,,False,True
0 days 01:47:16.360000,LEC,16,,20.0,5.0,,,0 days 00:00:26.740000,0 days 00:00:17.786000,0 days 00:00:33.342000,0 days 01:46:25.232000,0 days 01:46:43.018000,0 days 01:47:16.360000,284.0,302.0,301.0,312.0,True,SOFT,3.0,True,Ferrari,0 days 01:45:58.492000,2022-04-09 07:30:58.517,1,,False,,False,True
0 days 01:48:53.755000,LEC,16,,21.0,5.0,,0 days 01:50:19.647000,0 days 00:00:38.715000,0 days 00:00:25.347000,0 days 00:00:33.342000,0 days 01:47:55.093000,0 days 01:48:20.413000,0 days 01:50:19.647000,198.0,198.0,,288.0,False,SOFT,4.0,True,Ferrari,0 days 01:47:16.360000,2022-04-09 07:32:16.385,1,,False,,False,False
0 days 00:19:18.205000,VER,1,,1.0,1.0,0 days 00:17:37.386000,,0 days 00:00:38.967000,0 days 00:00:20.982000,0 days 00:00:42.842000,0 days 00:18:14.434000,0 days 00:18:35.401000,0 days 00:19:18.205000,257.0,275.0,300.0,172.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:37.386000,2022-04-09 06:02:37.411,12,,False,,False,False
0 days 00:20:37.611000,VER,1,,2.0,1.0,,,0 days 00:00:27.465000,0 days 00:00:17.997000,0 days 00:00:33.944000,0 days 00:19:45.670000,0 days 00:20:03.667000,0 days 00:20:37.611000,280.0,303.0,302.0,319.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:18.205000,2022-04-09 06:04:18.230,1,,False,,False,True
0 days 00:22:39.627000,VER,1,,3.0,1.0,,,0 days 00:00:43.637000,0 days 00:00:28.807000,0 days 00:00:49.572000,0 days 00:21:21.248000,0 days 00:21:50.055000,0 days 00:22:39.627000,166.0,257.0,302.0,224.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:20:37.611000,2022-04-09 06:05:37.636,12,,False,,False,True
0 days 00:23:58.552000,VER,1,,4.0,1.0,,,0 days 00:00:27.177000,0 days 00:00:17.955000,0 days 00:00:33.793000,0 days 00:23:06.804000,0 days 00:23:24.759000,0 days 00:23:58.552000,282.0,303.0,300.0,320.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:22:39.627000,2022-04-09 06:07:39.652,1,,False,,False,True
0 days 00:26:04.121000,VER,1,,5.0,1.0,,,0 days 00:00:44.155000,0 days 00:00:32.089000,0 days 00:00:49.325000,0 days 00:24:42.707000,0 days 00:25:14.796000,0 days 00:26:04.121000,192.0,207.0,300.0,227.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:23:58.552000,2022-04-09 06:08:58.577,1,,False,,False,True
0 days 00:27:22.701000,VER,1,,6.0,1.0,,,0 days 00:00:27.091000,0 days 00:00:17.866000,0 days 00:00:33.623000,0 days 00:26:31.212000,0 days 00:26:49.078000,0 days 00:27:22.701000,281.0,303.0,299.0,318.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:26:04.121000,2022-04-09 06:11:04.146,1,,False,,False,True
0 days 00:58:56.736000,VER,1,,7.0,1.0,,0 days 00:28:52.303000,0 days 00:00:31.640000,0 days 00:00:20.431000,,0 days 00:27:54.388000,0 days 00:28:14.792000,,245.0,275.0,,247.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:27:22.701000,2022-04-09 06:12:22.726,152,,False,,False,False
0 days 01:00:38.062000,VER,1,,8.0,2.0,0 days 00:59:03.098000,,0 days 00:00:41.596000,0 days 00:00:20.862000,0 days 00:00:38.868000,0 days 00:59:38.332000,0 days 00:59:59.194000,0 days 01:00:38.062000,264.0,269.0,299.0,199.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:59:03.098000,2022-04-09 06:44:03.123,1,,False,,False,False
0 days 01:01:56.673000,VER,1,,9.0,2.0,,,0 days 00:00:27.110000,0 days 00:00:17.831000,0 days 00:00:33.670000,0 days 01:01:05.172000,0 days 01:01:23.003000,0 days 01:01:56.673000,282.0,303.0,302.0,317.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:00:38.062000,2022-04-09 06:45:38.087,12,,False,,False,True
0 days 01:03:50.057000,VER,1,,10.0,2.0,,,0 days 00:00:43.149000,0 days 00:00:28.018000,0 days 00:00:42.217000,0 days 01:02:39.822000,0 days 01:03:07.840000,0 days 01:03:50.057000,182.0,235.0,302.0,246.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:01:56.673000,2022-04-09 06:46:56.698,21,,False,,False,True
0 days 01:05:09.923000,VER,1,,11.0,2.0,,,0 days 00:00:27.054000,0 days 00:00:17.871000,0 days 00:00:34.941000,0 days 01:04:17.111000,0 days 01:04:34.982000,0 days 01:05:09.923000,282.0,303.0,212.0,319.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:03:50.057000,2022-04-09 06:48:50.082,1,,False,,False,True
0 days 01:11:10.031000,VER,1,,12.0,2.0,,0 days 01:06:43.917000,0 days 00:00:38.449000,0 days 00:00:19.936000,,0 days 01:05:48.379000,0 days 01:06:08.328000,,250.0,283.0,,216.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:05:09.923000,2022-04-09 06:50:09.948,1,,False,,False,False
0 days 01:12:59.027000,VER,1,,13.0,3.0,0 days 01:11:12.039000,,0 days 00:00:40.475000,0 days 00:00:20.224000,0 days 00:00:48.297000,0 days 01:11:50.506000,0 days 01:12:10.730000,0 days 01:12:59.027000,251.0,270.0,302.0,193.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:11:10.031000,2022-04-09 06:56:10.056,1,,False,,False,False
0 days 01:14:17.789000,VER,1,,14.0,3.0,,,0 days 00:00:27.086000,0 days 00:00:17.797000,0 days 00:00:33.879000,0 days 01:13:26.113000,0 days 01:13:43.910000,0 days 01:14:17.789000,282.0,306.0,302.0,320.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:12:59.027000,2022-04-09 06:57:59.052,1,,False,,False,True
0 days 01:21:57.391000,VER,1,,15.0,3.0,,0 days 01:15:52.890000,0 days 00:00:32.719000,0 days 00:00:19.759000,,0 days 01:14:50.535000,0 days 01:15:10.274000,,251.0,249.0,,229.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:14:17.789000,2022-04-09 06:59:17.814,12,,False,,False,False
0 days 01:23:33.142000,VER,1,,16.0,4.0,0 days 01:22:02.926000,,0 days 00:00:39.775000,0 days 00:00:19.130000,0 days 00:00:36.846000,0 days 01:22:37.166000,0 days 01:22:56.296000,0 days 01:23:33.142000,263.0,280.0,302.0,205.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:21:57.391000,2022-04-09 07:06:57.416,1,,False,,False,False
0 days 01:24:51.541000,VER,1,,17.0,4.0,,,0 days 00:00:26.762000,0 days 00:00:17.782000,0 days 00:00:33.855000,0 days 01:23:59.904000,0 days 01:24:17.686000,0 days 01:24:51.541000,281.0,304.0,301.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:23:33.142000,2022-04-09 07:08:33.167,1,,False,,False,True
0 days 01:43:52.161000,VER,1,,18.0,4.0,,0 days 01:26:23.842000,0 days 00:00:34.852000,0 days 00:00:20.382000,,0 days 01:25:26.444000,0 days 01:25:46.804000,,246.0,275.0,,234.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:24:51.541000,2022-04-09 07:09:51.566,125,,False,,False,False
0 days 01:45:24.475000,VER,1,,19.0,5.0,0 days 01:43:54.152000,,0 days 00:00:36.544000,0 days 00:00:19.221000,0 days 00:00:36.549000,0 days 01:44:28.705000,0 days 01:44:47.926000,0 days 01:45:24.475000,262.0,280.0,302.0,205.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:43:54.152000,2022-04-09 07:28:54.177,1,,False,,False,False
0 days 01:46:42.629000,VER,1,,20.0,5.0,,,0 days 00:00:26.865000,0 days 00:00:17.792000,0 days 00:00:33.497000,0 days 01:45:51.340000,0 days 01:46:09.132000,0 days 01:46:42.629000,281.0,304.0,298.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:45:24.475000,2022-04-09 07:30:24.500,1,,False,,False,True
0 days 01:48:17.581000,VER,1,,21.0,5.0,,0 days 01:50:19.622000,0 days 00:00:39.513000,0 days 00:00:21.945000,0 days 00:00:33.497000,0 days 01:47:22.151000,0 days 01:47:44.084000,0 days 01:50:19.622000,226.0,268.0,,239.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:46:42.629000,2022-04-09 07:31:42.654,1,,False,,False,False
0 days 00:19:27.078000,PER,11,,1.0,1.0,0 days 00:17:45.813000,,0 days 00:00:39.006000,0 days 00:00:20.156000,0 days 00:00:44.076000,0 days 00:18:22.910000,0 days 00:18:43.068000,0 days 00:19:27.078000,249.0,281.0,302.0,200.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:45.813000,2022-04-09 06:02:45.838,12,,False,,False,False
0 days 00:20:46.385000,PER,11,,2.0,1.0,,,0 days 00:00:27.448000,0 days 00:00:17.887000,0 days 00:00:33.972000,0 days 00:19:54.526000,0 days 00:20:12.413000,0 days 00:20:46.385000,281.0,305.0,302.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:27.078000,2022-04-09 06:04:27.103,1,,False,,False,True
0 days 00:22:49.543000,PER,11,,3.0,1.0,,,0 days 00:00:39.453000,0 days 00:00:30.325000,0 days 00:00:53.380000,0 days 00:21:25.838000,0 days 00:21:56.163000,0 days 00:22:49.543000,164.0,115.0,302.0,237.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:20:46.385000,2022-04-09 06:05:46.410,12,,False,,False,True
0 days 00:24:08.971000,PER,11,,4.0,1.0,,,0 days 00:00:27.289000,0 days 00:00:17.991000,0 days 00:00:34.148000,0 days 00:23:16.832000,0 days 00:23:34.823000,0 days 00:24:08.971000,284.0,306.0,301.0,320.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:22:49.543000,2022-04-09 06:07:49.568,1,,False,,False,True
