Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:43.963000,VER,1,,1.0,1.0,,,,0 days 00:00:18.652000,0 days 00:00:36.822000,,0 days 01:03:07.261000,0 days 01:03:44.084000,270.0,295.0,282.0,238.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:13.396000,2022-04-10 05:03:13.407,1,2.0,False,,False,False
0 days 01:05:08.794000,VER,1,,2.0,1.0,,,0 days 00:00:29.719000,0 days 00:00:18.536000,0 days 00:00:36.576000,0 days 01:04:13.710000,0 days 01:04:32.246000,0 days 01:05:08.822000,263.0,297.0,283.0,278.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:43.963000,2022-04-10 05:04:43.974,12,2.0,False,,False,True
0 days 01:06:54.969000,VER,1,,3.0,1.0,,,0 days 00:00:29.540000,0 days 00:00:27.197000,0 days 00:00:49.438000,0 days 01:05:38.362000,0 days 01:06:05.559000,0 days 01:06:54.997000,266.0,179.0,255.0,279.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:08.794000,2022-04-10 05:06:08.805,264,2.0,False,,False,False
0 days 01:09:09.241000,VER,1,,4.0,1.0,,,0 days 00:00:40.308000,0 days 00:00:30.646000,0 days 00:01:03.318000,0 days 01:07:35.305000,0 days 01:08:05.951000,0 days 01:09:09.269000,165.0,161.0,213.0,252.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:54.969000,2022-04-10 05:07:54.980,4,2.0,False,,False,False
0 days 01:11:22.770000,VER,1,,5.0,1.0,,,0 days 00:00:44.387000,0 days 00:00:30.247000,0 days 00:00:58.895000,0 days 01:09:53.656000,0 days 01:10:23.903000,0 days 01:11:22.798000,192.0,191.0,239.0,236.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:09:09.241000,2022-04-10 05:10:09.252,4,2.0,False,,False,False
0 days 01:13:46.834000,VER,1,,6.0,1.0,,,0 days 00:00:44.760000,0 days 00:00:31.637000,0 days 00:01:07.667000,0 days 01:12:07.558000,0 days 01:12:39.195000,0 days 01:13:46.862000,163.0,190.0,284.0,152.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:11:22.770000,2022-04-10 05:12:22.781,41,2.0,False,,False,False
0 days 01:15:11.001000,VER,1,,7.0,1.0,,,0 days 00:00:29.265000,0 days 00:00:18.606000,0 days 00:00:36.296000,0 days 01:14:16.127000,0 days 01:14:34.733000,0 days 01:15:11.029000,271.0,294.0,284.0,293.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:13:46.834000,2022-04-10 05:14:46.845,1,2.0,False,,False,True
0 days 01:16:34.967000,VER,1,,8.0,1.0,,,0 days 00:00:29.356000,0 days 00:00:18.449000,0 days 00:00:36.161000,0 days 01:15:40.385000,0 days 01:15:58.834000,0 days 01:16:34.995000,265.0,299.0,283.0,283.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:15:11.001000,2022-04-10 05:16:11.012,1,2.0,False,,False,True
0 days 01:17:58.747000,VER,1,,9.0,1.0,,,0 days 00:00:29.161000,0 days 00:00:18.447000,0 days 00:00:36.172000,0 days 01:17:04.156000,0 days 01:17:22.603000,0 days 01:17:58.775000,,295.0,283.0,285.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:16:34.967000,2022-04-10 05:17:34.978,1,2.0,False,,False,True
0 days 01:19:22.501000,VER,1,,10.0,1.0,,,0 days 00:00:29.252000,0 days 00:00:18.483000,0 days 00:00:36.019000,0 days 01:18:28.027000,0 days 01:18:46.510000,0 days 01:19:22.529000,263.0,294.0,284.0,281.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:17:58.747000,2022-04-10 05:18:58.758,1,2.0,False,,False,True
