Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:03.257000,17.4,42.0,946.2,False,37.3,255,2.2
0 days 00:01:03.275000,17.4,41.0,946.4,False,37.3,234,3.2
0 days 00:02:03.271000,17.4,41.0,946.2,False,37.3,303,2.2
0 days 00:03:03.275000,17.6,42.0,946.4,False,37.4,265,3.7
0 days 00:04:03.286000,17.7,41.0,946.2,False,37.4,274,2.9
0 days 00:05:03.308000,17.6,41.0,946.5,False,37.3,234,3.0
0 days 00:06:03.303000,17.5,42.0,946.5,False,37.3,255,2.4
0 days 00:07:03.306000,17.5,42.0,946.5,False,37.3,226,3.2
0 days 00:08:03.319000,17.4,42.0,946.4,False,37.4,248,3.0
0 days 00:09:03.319000,17.4,40.0,946.4,False,37.7,281,1.7
0 days 00:10:03.338000,17.6,39.0,946.4,False,37.7,273,1.8
0 days 00:11:03.338000,17.6,41.0,946.4,False,37.7,277,3.0
0 days 00:12:03.346000,17.4,41.0,946.5,False,37.6,262,2.0
0 days 00:13:03.349000,17.4,40.0,946.4,False,37.8,254,2.5
0 days 00:14:03.346000,17.5,40.0,946.4,False,37.8,271,2.5
0 days 00:15:03.341000,17.5,40.0,946.5,False,37.8,272,3.7
0 days 00:16:03.340000,17.5,40.0,946.4,False,37.8,271,4.9
0 days 00:17:03.379000,17.5,40.0,946.5,False,37.8,286,3.4
0 days 00:18:03.339000,17.6,39.0,946.5,False,37.8,115,2.2
0 days 00:19:03.336000,17.8,40.0,946.5,False,37.9,274,1.6
0 days 00:20:03.352000,17.9,39.0,946.5,False,37.9,262,2.5
0 days 00:21:03.352000,18.0,39.0,946.5,False,37.9,274,3.4
0 days 00:22:03.366000,18.0,38.0,946.4,False,37.9,271,4.8
0 days 00:23:03.367000,17.9,37.0,946.5,False,37.9,272,4.0
0 days 00:24:03.385000,17.8,38.0,946.5,False,38.0,270,2.7
0 days 00:25:03.385000,17.8,39.0,946.4,False,38.0,272,3.5
0 days 00:26:03.385000,17.7,38.0,946.5,False,37.9,274,4.5
0 days 00:27:03.383000,17.8,38.0,946.4,False,37.9,252,3.5
0 days 00:28:03.383000,17.9,37.0,946.5,False,37.9,224,3.9
0 days 00:29:03.387000,18.0,37.0,946.4,False,38.3,268,2.5
0 days 00:30:03.386000,18.1,37.0,946.4,False,38.3,282,1.8
0 days 00:31:03.408000,18.1,36.0,946.5,False,38.3,55,2.2
0 days 00:32:03.397000,18.1,36.0,946.5,False,38.1,264,1.8
0 days 00:33:03.400000,18.3,35.0,946.5,False,38.1,158,5.5
0 days 00:34:03.407000,18.3,36.0,946.5,False,37.9,109,2.0
0 days 00:35:03.420000,18.2,36.0,946.4,False,37.9,73,1.1
0 days 00:36:03.432000,18.3,35.0,946.2,False,38.3,103,1.6
0 days 00:37:03.447000,18.5,35.0,946.2,False,38.3,102,4.4
0 days 00:38:03.445000,18.4,36.0,946.2,False,37.8,300,1.2
0 days 00:39:03.444000,18.2,37.0,946.4,False,37.8,193,1.1
0 days 00:40:03.444000,18.2,38.0,946.4,False,38.0,226,2.5
0 days 00:41:03.445000,18.4,35.0,946.5,False,38.5,39,1.6
0 days 00:42:03.445000,18.4,36.0,946.5,False,38.3,282,1.2
0 days 00:43:03.459000,18.4,36.0,946.4,False,38.4,271,2.2
0 days 00:44:03.463000,18.2,37.0,946.4,False,38.4,265,3.9
0 days 00:45:03.461000,18.1,38.0,946.4,False,38.3,238,4.1
0 days 00:46:03.462000,18.0,39.0,946.4,False,38.4,268,2.5
0 days 00:47:03.459000,18.1,37.0,946.4,False,38.5,112,0.8
0 days 00:48:03.462000,18.4,37.0,946.4,False,38.6,116,1.6
0 days 00:49:03.460000,18.7,34.0,946.4,False,38.8,101,1.7
0 days 00:50:03.465000,18.8,35.0,946.4,False,39.0,226,1.3
0 days 00:51:03.459000,18.9,34.0,946.5,False,38.8,263,1.3
0 days 00:52:03.478000,18.9,35.0,946.4,False,38.8,268,3.2
0 days 00:53:03.460000,19.0,35.0,946.4,False,38.7,273,2.7
0 days 00:54:03.463000,18.9,36.0,946.5,False,38.7,127,2.2
0 days 00:55:03.466000,18.4,35.0,946.4,False,39.0,333,1.6
0 days 00:56:03.463000,18.4,35.0,946.5,False,38.8,254,2.0
0 days 00:57:03.467000,18.4,36.0,946.4,False,39.1,267,2.5
0 days 00:58:03.460000,18.5,36.0,946.4,False,39.1,272,3.5
0 days 00:59:03.463000,18.5,36.0,946.4,False,39.1,288,3.5
0 days 01:00:03.460000,18.5,35.0,946.5,False,39.1,232,2.2
0 days 01:01:03.466000,18.4,35.0,946.4,False,39.1,228,2.7
0 days 01:02:03.464000,18.3,36.0,946.5,False,39.1,285,2.7
0 days 01:03:03.460000,18.4,36.0,946.5,False,39.0,227,1.8
0 days 01:04:03.459000,18.3,36.0,946.5,False,39.1,320,2.4
0 days 01:05:03.464000,18.5,36.0,946.4,False,39.0,100,1.0
0 days 01:06:03.464000,18.4,35.0,946.4,False,39.0,278,0.8
0 days 01:07:03.459000,18.7,35.0,946.5,False,39.2,172,0.8
0 days 01:08:03.461000,18.9,35.0,946.5,False,39.2,337,1.2
0 days 01:09:03.464000,18.9,34.0,946.5,False,39.2,257,0.8
0 days 01:10:03.467000,18.8,34.0,946.5,False,39.2,106,1.3
0 days 01:11:03.463000,18.8,34.0,946.5,False,39.0,95,1.8
0 days 01:12:03.463000,18.8,34.0,946.5,False,38.9,106,3.0
0 days 01:13:03.478000,18.9,35.0,946.4,False,38.8,95,1.7
0 days 01:14:03.476000,18.7,35.0,946.5,False,39.0,53,1.5
0 days 01:15:03.483000,18.7,35.0,946.4,False,39.2,94,1.2
0 days 01:16:03.477000,18.9,35.0,946.4,False,39.3,112,2.2
0 days 01:17:03.492000,19.0,35.0,946.4,False,39.2,103,1.7
0 days 01:18:03.519000,19.0,34.0,946.4,False,39.2,259,1.2
0 days 01:19:03.525000,19.2,34.0,946.5,False,38.9,252,2.2
0 days 01:20:03.546000,19.1,34.0,946.4,False,38.7,244,2.5
