Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:22:21.109000,VER,1,,1.0,1.0,0 days 00:20:58.793000,,,0 days 00:00:36.340000,0 days 00:00:28.128000,,0 days 00:21:52.981000,0 days 00:22:21.136000,277.0,180.0,284.0,281.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:20:58.793000,2022-07-08 15:05:58.803,1,,False,,False,False
0 days 00:23:27.206000,VER,1,,2.0,1.0,,,0 days 00:00:16.739000,0 days 00:00:29.389000,0 days 00:00:19.969000,0 days 00:22:37.848000,0 days 00:23:07.237000,0 days 00:23:27.206000,314.0,243.0,284.0,319.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:22:21.109000,2022-07-08 15:07:21.119,1,,True,TRACK LIMITS AT TURN 10 LAP 3 ,False,True
0 days 00:25:22.400000,VER,1,,3.0,1.0,,,0 days 00:00:26.520000,0 days 00:00:51.706000,0 days 00:00:36.968000,0 days 00:23:53.726000,0 days 00:24:45.432000,0 days 00:25:22.400000,126.0,103.0,222.0,141.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:23:27.206000,2022-07-08 15:08:27.216,1,,True,TRACK LIMITS AT TURN 10 (NEXT LAP),False,True
0 days 00:26:55.003000,VER,1,,4.0,1.0,,,0 days 00:00:23.533000,0 days 00:00:43.592000,0 days 00:00:25.478000,0 days 00:25:45.933000,0 days 00:26:29.525000,0 days 00:26:55.003000,184.0,179.0,283.0,188.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:25:22.400000,2022-07-08 15:10:22.410,1,,False,,False,True
0 days 00:28:00.855000,VER,1,,5.0,1.0,,,0 days 00:00:16.543000,0 days 00:00:29.356000,0 days 00:00:19.953000,0 days 00:27:11.546000,0 days 00:27:40.902000,0 days 00:28:00.855000,316.0,242.0,283.0,316.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:26:55.003000,2022-07-08 15:11:55.013,1,,False,,False,True
0 days 00:29:20.910000,VER,1,,6.0,1.0,,0 days 00:29:17.545000,0 days 00:00:18.621000,0 days 00:00:34.831000,0 days 00:00:26.603000,0 days 00:28:19.476000,0 days 00:28:54.307000,0 days 00:29:20.910000,251.0,225.0,,180.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:28:00.855000,2022-07-08 15:13:00.865,1,,False,,False,False
0 days 00:42:04.223000,VER,1,,7.0,2.0,0 days 00:40:34.319000,,,0 days 00:00:40.857000,0 days 00:00:26.957000,,0 days 00:41:37.378000,0 days 00:42:04.281000,279.0,156.0,283.0,288.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:20.910000,2022-07-08 15:14:20.920,1,,False,,False,False
0 days 00:43:09.791000,VER,1,,8.0,2.0,,,0 days 00:00:16.582000,0 days 00:00:29.115000,0 days 00:00:19.871000,0 days 00:42:20.805000,0 days 00:42:49.920000,0 days 00:43:09.791000,315.0,245.0,282.0,317.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:04.223000,2022-07-08 15:27:04.233,1,,False,,False,True
0 days 00:45:05.602000,VER,1,,9.0,2.0,,0 days 00:44:38.273000,0 days 00:00:23.267000,0 days 00:00:41.284000,0 days 00:00:51.260000,0 days 00:43:33.058000,0 days 00:44:14.342000,0 days 00:45:05.602000,152.0,192.0,,180.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:43:09.791000,2022-07-08 15:28:09.801,1,,False,,False,False
0 days 00:54:05.054000,VER,1,,10.0,3.0,0 days 00:52:26.208000,,,0 days 00:00:36.067000,0 days 00:00:40.700000,,0 days 00:53:24.399000,0 days 00:54:05.226000,243.0,212.0,284.0,297.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:45:05.602000,2022-07-08 15:30:05.612,1,,False,,False,False
