Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:12.661000,20.0,36.0,939.5,False,30.2,267,1.5
0 days 00:01:12.665000,19.9,37.0,939.5,False,30.1,258,2.0
0 days 00:02:12.681000,19.8,37.0,939.5,False,29.8,290,1.5
0 days 00:03:12.697000,19.8,37.0,939.5,False,29.7,0,1.0
0 days 00:04:12.688000,19.8,37.0,939.5,False,29.5,244,0.0
0 days 00:05:12.696000,19.7,38.0,939.4,False,29.3,269,0.0
0 days 00:06:12.695000,19.8,38.0,939.5,False,29.4,0,0.6
0 days 00:07:12.694000,19.9,37.0,939.5,False,29.4,307,0.8
0 days 00:08:12.695000,19.8,37.0,939.5,False,29.3,247,1.2
0 days 00:09:12.695000,19.8,38.0,939.5,False,29.3,92,1.6
0 days 00:10:12.710000,19.8,37.0,939.5,False,29.3,203,0.6
0 days 00:11:12.726000,19.8,38.0,939.5,False,29.0,0,0.5
0 days 00:12:12.741000,19.8,37.0,939.5,False,29.0,253,0.6
0 days 00:13:12.745000,19.7,37.0,939.5,False,28.8,0,0.0
0 days 00:14:12.744000,19.7,38.0,939.5,False,28.9,51,0.0
0 days 00:15:12.746000,19.7,38.0,939.5,False,29.0,285,0.4
0 days 00:16:12.760000,19.8,38.0,939.5,False,29.0,260,0.5
0 days 00:17:12.777000,19.8,38.0,939.5,False,28.9,293,1.2
0 days 00:18:12.792000,19.7,38.0,939.5,False,28.9,0,0.5
0 days 00:19:12.791000,19.7,38.0,939.5,False,29.2,27,0.5
0 days 00:20:12.789000,19.7,38.0,939.5,False,29.7,0,0.3
0 days 00:21:12.792000,19.9,38.0,939.5,False,30.5,257,0.6
0 days 00:22:12.802000,19.9,37.0,939.5,False,30.7,98,0.6
0 days 00:23:12.794000,20.0,38.0,939.5,False,30.5,235,0.6
0 days 00:24:12.796000,20.2,39.0,939.5,False,30.4,258,1.7
0 days 00:25:12.793000,20.3,39.0,939.5,False,30.1,0,1.7
0 days 00:26:12.792000,20.1,40.0,939.5,False,30.1,239,0.8
0 days 00:27:12.807000,20.1,39.0,939.4,False,29.7,306,1.2
0 days 00:28:12.822000,20.2,38.0,939.5,False,29.9,266,1.5
0 days 00:29:12.827000,20.2,37.0,939.5,False,29.7,270,1.5
0 days 00:30:12.823000,20.1,37.0,939.5,False,29.5,264,0.8
0 days 00:31:12.844000,20.1,37.0,939.5,False,29.5,266,1.3
0 days 00:32:12.820000,20.1,37.0,939.5,False,29.6,228,2.0
0 days 00:33:12.825000,20.0,36.0,939.5,False,29.6,0,1.2
0 days 00:34:12.821000,20.0,36.0,939.4,False,29.6,234,0.4
0 days 00:35:12.821000,19.9,37.0,939.5,False,29.6,0,0.6
0 days 00:36:12.829000,20.0,35.0,939.5,False,29.7,183,0.8
0 days 00:37:12.819000,19.9,34.0,939.5,False,29.7,0,0.0
0 days 00:38:12.819000,20.0,35.0,939.5,False,29.7,254,0.0
0 days 00:39:12.823000,20.0,35.0,939.5,False,29.7,255,0.6
0 days 00:40:12.822000,20.0,36.0,939.4,False,29.7,293,0.6
0 days 00:41:12.821000,20.0,36.0,939.5,False,29.9,229,0.8
0 days 00:42:12.819000,20.0,36.0,939.5,False,29.8,290,0.6
0 days 00:43:12.822000,20.0,35.0,939.5,False,30.1,216,1.1
0 days 00:44:12.821000,20.1,35.0,939.4,False,30.2,0,0.4
0 days 00:45:12.811000,20.0,35.0,939.5,False,30.9,0,0.5
0 days 00:46:12.823000,20.2,35.0,939.5,False,31.0,354,0.5
0 days 00:47:12.826000,20.3,34.0,939.5,False,31.0,110,0.6
0 days 00:48:12.822000,20.3,34.0,939.5,False,30.8,134,1.1
0 days 00:49:12.883000,20.3,34.0,939.5,False,30.5,296,0.6
0 days 00:50:12.828000,20.3,35.0,939.5,False,30.6,0,0.6
0 days 00:51:12.823000,20.4,34.0,939.5,False,30.7,68,0.0
0 days 00:52:12.826000,20.4,35.0,939.5,False,31.2,94,0.0
0 days 00:53:12.822000,20.4,35.0,939.7,False,31.2,88,1.0
0 days 00:54:12.823000,20.5,34.0,939.5,False,31.2,89,1.3
0 days 00:55:12.823000,20.5,33.0,939.5,False,30.7,0,1.1
0 days 00:56:12.835000,20.4,34.0,939.5,False,30.2,110,0.8
0 days 00:57:12.824000,20.3,35.0,939.5,False,30.3,124,1.5
0 days 00:58:12.824000,20.3,36.0,939.5,False,30.3,104,1.7
0 days 00:59:12.822000,20.2,36.0,939.5,False,30.3,93,1.5
0 days 01:00:12.815000,20.2,36.0,939.5,False,30.3,114,1.0
0 days 01:01:12.821000,20.3,38.0,939.5,False,30.4,121,0.8
0 days 01:02:12.820000,20.3,37.0,939.7,False,30.3,123,1.7
0 days 01:03:12.825000,20.3,37.0,939.7,False,30.3,125,1.2
0 days 01:04:12.826000,20.4,37.0,939.7,False,30.3,102,1.8
0 days 01:05:12.813000,20.3,36.0,939.7,False,30.3,103,1.7
0 days 01:06:12.821000,20.4,37.0,939.5,False,30.4,101,2.7
0 days 01:07:12.822000,20.4,34.0,939.5,False,30.2,109,2.7
0 days 01:08:12.835000,20.4,34.0,939.7,False,30.2,108,2.0
0 days 01:09:12.822000,20.4,34.0,939.7,False,29.9,80,1.6
0 days 01:10:12.825000,20.4,34.0,939.7,False,29.9,107,2.7
0 days 01:11:12.822000,20.4,35.0,939.7,False,29.4,96,2.2
0 days 01:12:12.825000,20.3,36.0,939.7,False,29.6,105,2.5
0 days 01:13:12.823000,20.4,35.0,939.7,False,30.4,95,1.7
0 days 01:14:12.823000,20.3,35.0,939.7,False,30.8,120,2.0
0 days 01:15:12.824000,20.5,35.0,939.7,False,30.7,81,1.7
0 days 01:16:12.822000,20.5,35.0,939.7,False,29.8,80,2.0
