DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points
1,,VER,max_verstappen,Red Bull,,red_bull,Max,Verstappen,Max Verstappen,,,,,,,,,,,
11,,PER,perez,Red Bull,,red_bull,Sergio,Pérez,Sergio Pérez,,,,,,,,,,,
63,,RUS,russell,Mercedes,,mercedes,George,Russell,George Russell,,,,,,,,,,,
44,,HAM,hamilton,Mercedes,,mercedes,Lewis,Hamilton,Lewis Hamilton,,,,,,,,,,,
10,,GAS,gasly,AlphaTauri,,alphatauri,Pierre,Gasly,Pierre Gasly,,,,,,,,,,,
5,,VET,vettel,Aston Martin,,aston_martin,Sebastian,Vettel,Sebastian Vettel,,,,,,,,,,,
14,,ALO,alonso,Alpine F1 Team,,alpine,Fernando,Alonso,Fernando Alonso,,,,,,,,,,,
3,,RIC,ricciardo,McLaren,,mclaren,Daniel,Ricciardo,Daniel Ricciardo,,,,,,,,,,,
4,,NOR,norris,McLaren,,mclaren,Lando,Norris,Lando Norris,,,,,,,,,,,
31,,OCO,ocon,Alpine F1 Team,,alpine,Esteban,Ocon,Esteban Ocon,,,,,,,,,,,
77,,BOT,bottas,Alfa Romeo,,alfa,Valtteri,Bottas,Valtteri Bottas,,,,,,,,,,,
23,,ALB,albon,Williams,,williams,Alexander,Albon,Alexander Albon,,,,,,,,,,,
22,,TSU,tsunoda,AlphaTauri,,alphatauri,Yuki,Tsunoda,Yuki Tsunoda,,,,,,,,,,,
47,,MSC,mick_schumacher,Haas F1 Team,,haas,Mick,Schumacher,Mick Schumacher,,,,,,,,,,,
6,,LAT,latifi,Williams,,williams,Nicholas,Latifi,Nicholas Latifi,,,,,,,,,,,
18,,STR,stroll,Aston Martin,,aston_martin,Lance,Stroll,Lance Stroll,,,,,,,,,,,
20,,MAG,kevin_magnussen,Haas F1 Team,,haas,Kevin,Magnussen,Kevin Magnussen,,,,,,,,,,,
24,,ZHO,zhou,Alfa Romeo,,alfa,Guanyu,Zhou,Guanyu Zhou,,,,,,,,,,,
16,,LEC,leclerc,Ferrari,,ferrari,Charles,Leclerc,Charles Leclerc,,,,,,,,,,,
55,,SAI,sainz,Ferrari,,ferrari,Carlos,Sainz,Carlos Sainz,,,,,,,,,,,
