Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:41.345000,25.8,59.0,1015.5,False,39.2,158,0.5
0 days 00:01:41.347000,25.8,59.0,1015.5,False,39.1,96,0.6
0 days 00:02:41.345000,25.8,58.0,1015.5,False,39.1,0,0.5
0 days 00:03:41.342000,25.6,58.0,1015.5,False,38.9,298,0.5
0 days 00:04:41.339000,25.7,59.0,1015.5,False,39.2,317,1.0
0 days 00:05:41.345000,25.6,60.0,1015.5,False,39.1,24,1.0
0 days 00:06:41.344000,25.5,61.0,1015.5,False,39.0,118,0.8
0 days 00:07:41.350000,25.5,62.0,1015.5,False,38.5,0,0.4
0 days 00:08:41.340000,25.4,62.0,1015.5,False,38.5,276,1.2
0 days 00:09:41.362000,25.5,63.0,1015.5,False,38.5,285,1.2
0 days 00:10:41.377000,25.5,63.0,1015.5,False,38.7,30,1.0
0 days 00:11:41.406000,25.4,63.0,1015.5,False,38.5,106,0.0
0 days 00:12:41.394000,25.4,64.0,1015.5,False,37.9,0,0.5
0 days 00:13:41.398000,25.4,64.0,1015.4,False,37.4,190,0.4
0 days 00:14:41.391000,25.4,64.0,1015.5,False,37.9,138,0.4
0 days 00:15:41.408000,25.3,64.0,1015.5,False,37.5,92,0.8
0 days 00:16:41.429000,25.2,65.0,1015.5,False,37.2,57,0.8
0 days 00:17:41.426000,25.2,65.0,1015.5,False,37.2,120,0.8
0 days 00:18:41.429000,25.1,65.0,1015.4,False,37.1,74,0.8
0 days 00:19:41.440000,25.0,66.0,1015.5,False,36.9,96,0.6
0 days 00:20:41.465000,25.0,66.0,1015.5,False,36.9,294,0.5
0 days 00:21:41.464000,24.9,66.0,1015.5,False,36.8,314,1.2
0 days 00:22:41.455000,25.0,67.0,1015.5,False,37.3,258,1.2
0 days 00:23:41.456000,25.0,67.0,1015.5,False,37.3,270,0.8
0 days 00:24:41.470000,25.0,67.0,1015.5,False,37.1,330,0.8
0 days 00:25:41.471000,24.9,67.0,1015.5,False,37.1,285,1.0
0 days 00:26:41.471000,25.0,68.0,1015.5,False,36.7,190,1.1
0 days 00:27:41.470000,25.0,69.0,1015.5,False,36.3,100,0.4
0 days 00:28:41.486000,24.8,69.0,1015.5,False,35.5,100,1.0
0 days 00:29:41.509000,24.9,70.0,1015.5,False,35.7,0,0.6
0 days 00:30:41.527000,24.9,69.0,1015.5,False,36.5,21,0.0
0 days 00:31:41.523000,24.8,70.0,1015.5,False,37.1,111,0.4
0 days 00:32:41.529000,24.9,69.0,1015.5,False,37.1,31,0.3
0 days 00:33:41.522000,24.9,69.0,1015.5,False,36.8,305,0.4
0 days 00:34:41.518000,25.0,69.0,1015.5,False,36.6,259,0.8
0 days 00:35:41.523000,25.0,69.0,1015.5,False,36.5,266,1.7
0 days 00:36:41.538000,25.0,69.0,1015.5,False,36.3,284,1.7
0 days 00:37:41.551000,25.1,69.0,1015.5,False,36.0,257,1.6
