Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:38.908000,17.5,92.0,968.4,False,20.7,308,1.8
0 days 00:01:38.908000,17.5,92.0,968.4,False,20.8,328,1.7
0 days 00:02:38.927000,17.6,92.0,968.4,False,21.0,312,1.6
0 days 00:03:38.911000,17.6,92.0,968.2,False,21.0,340,1.5
0 days 00:04:38.909000,17.6,92.0,968.2,False,21.1,351,2.0
0 days 00:05:38.909000,17.7,92.0,968.2,False,21.4,310,2.2
0 days 00:06:38.908000,17.7,91.0,968.4,False,21.5,302,2.7
0 days 00:07:38.907000,17.7,91.0,968.2,False,21.5,345,2.7
0 days 00:08:38.910000,17.7,91.0,968.2,False,21.4,342,2.9
0 days 00:09:38.917000,17.8,91.0,968.2,False,21.4,301,2.2
0 days 00:10:38.940000,17.8,92.0,968.2,False,21.4,347,1.6
0 days 00:11:38.911000,17.8,91.0,968.2,False,21.4,309,1.7
0 days 00:12:38.912000,17.9,91.0,968.2,False,21.4,321,1.8
0 days 00:13:38.911000,17.9,91.0,968.4,False,21.6,312,2.4
0 days 00:14:38.926000,17.9,91.0,968.4,False,21.3,326,1.8
0 days 00:15:38.936000,17.9,91.0,968.2,False,21.3,349,1.0
0 days 00:16:38.977000,17.9,91.0,968.2,False,21.4,328,2.2
0 days 00:17:38.943000,17.9,91.0,968.2,False,21.4,4,1.5
0 days 00:18:38.956000,17.9,91.0,968.2,False,21.4,344,1.5
0 days 00:19:38.958000,17.9,90.0,968.2,False,21.7,300,2.2
0 days 00:20:38.956000,17.9,90.0,968.2,False,21.8,348,2.9
0 days 00:21:38.956000,17.9,90.0,968.2,False,21.8,334,2.2
0 days 00:22:38.959000,18.0,90.0,968.2,False,21.8,334,2.0
0 days 00:23:38.955000,18.0,90.0,968.2,False,22.0,321,1.7
0 days 00:24:38.960000,18.1,90.0,968.2,False,22.0,319,2.0
0 days 00:25:38.957000,18.2,90.0,968.2,False,22.1,320,1.8
0 days 00:26:38.957000,18.2,90.0,968.2,False,22.2,359,1.7
0 days 00:27:38.960000,18.2,89.0,968.2,False,22.1,346,1.8
0 days 00:28:38.973000,18.2,89.0,968.2,False,22.1,357,2.4
0 days 00:29:38.993000,18.2,89.0,968.2,False,22.0,275,2.4
0 days 00:30:39.004000,18.2,89.0,968.2,False,21.9,287,2.0
