Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:46:26.758000,VER,1,,1.0,1.0,0 days 00:44:14.604000,,,0 days 00:00:59.220000,0 days 00:00:42.532000,,0 days 00:45:44.323000,0 days 00:46:26.758000,292.0,139.0,228.0,295.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:44:14.604000,2022-08-27 14:29:15.612,1,,False,,False,False
0 days 00:48:11.339000,VER,1,,2.0,1.0,,,0 days 00:00:30.736000,0 days 00:00:44.857000,0 days 00:00:28.988000,0 days 00:46:57.494000,0 days 00:47:42.351000,0 days 00:48:11.339000,339.0,202.0,223.0,309.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:46:26.758000,2022-08-27 14:31:27.766,1,,False,,False,True
0 days 00:50:27.570000,VER,1,,3.0,1.0,,0 days 00:50:23.864000,0 days 00:00:37.429000,0 days 00:01:00.275000,0 days 00:00:38.527000,0 days 00:48:48.768000,0 days 00:49:49.043000,0 days 00:50:27.570000,249.0,181.0,,206.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:48:11.339000,2022-08-27 14:33:12.347,1,,False,,False,False
0 days 01:07:35.088000,VER,1,,4.0,2.0,0 days 01:05:36.881000,,,0 days 00:00:55.375000,0 days 00:00:31.921000,,0 days 01:07:03.203000,0 days 01:07:35.110000,278.0,168.0,228.0,265.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:50:27.570000,2022-08-27 14:35:28.578,1,,False,,False,False
0 days 01:09:19.811000,VER,1,,5.0,2.0,,,0 days 00:00:30.708000,0 days 00:00:44.926000,0 days 00:00:29.089000,0 days 01:08:05.796000,0 days 01:08:50.722000,0 days 01:09:19.811000,337.0,205.0,222.0,309.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:07:35.088000,2022-08-27 14:52:36.096,1,,False,,False,True
0 days 01:11:25.961000,VER,1,,6.0,2.0,,0 days 01:11:22.173000,0 days 00:00:34.862000,0 days 00:00:52.316000,0 days 00:00:38.972000,0 days 01:09:54.673000,0 days 01:10:46.989000,0 days 01:11:25.961000,253.0,188.0,,279.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:09:19.811000,2022-08-27 14:54:20.819,1,,False,,False,False
0 days 01:30:46.089000,VER,1,,7.0,3.0,0 days 01:28:43.229000,,,0 days 00:00:57.394000,0 days 00:00:34.796000,,0 days 01:30:11.336000,0 days 01:30:46.107000,285.0,171.0,229.0,256.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:11:25.961000,2022-08-27 14:56:26.969,1,,False,,False,False
0 days 01:32:29.754000,VER,1,,8.0,3.0,,,0 days 00:00:30.536000,0 days 00:00:44.220000,0 days 00:00:28.909000,0 days 01:31:16.625000,0 days 01:32:00.845000,0 days 01:32:29.754000,339.0,204.0,224.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:30:46.089000,2022-08-27 15:15:47.097,1,,False,,False,True
0 days 01:34:33.245000,VER,1,,9.0,3.0,,0 days 01:34:29.452000,0 days 00:00:34.677000,0 days 00:00:51.206000,0 days 00:00:37.608000,0 days 01:33:04.431000,0 days 01:33:55.637000,0 days 01:34:33.245000,252.0,189.0,,281.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:32:29.754000,2022-08-27 15:17:30.762,1,,False,,False,False
0 days 00:46:11.974000,SAI,55,,1.0,1.0,0 days 00:44:03.463000,,,0 days 00:01:02.166000,0 days 00:00:35.194000,,0 days 00:45:36.837000,0 days 00:46:11.981000,294.0,147.0,227.0,266.0,False,SOFT,1.0,True,Ferrari,0 days 00:44:03.463000,2022-08-27 14:29:04.471,1,,False,,False,False
