Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:47.236000,18.9,94.0,923.9,False,27.0,177,1.2
0 days 00:01:47.235000,19.0,94.0,923.9,False,27.0,204,1.1
0 days 00:02:47.231000,19.0,94.0,923.7,False,27.0,0,1.1
0 days 00:03:47.239000,19.0,94.0,923.7,False,27.3,243,1.6
0 days 00:04:47.234000,19.1,94.0,923.7,False,27.1,137,1.5
0 days 00:05:47.230000,19.0,94.0,923.9,False,27.1,158,1.3
0 days 00:06:47.234000,19.0,94.0,923.7,False,26.9,168,1.5
0 days 00:07:47.238000,19.1,94.0,923.9,False,26.9,190,1.3
0 days 00:08:47.230000,19.1,94.0,923.9,False,26.8,0,1.6
0 days 00:09:47.241000,19.1,94.0,923.9,False,26.8,203,0.8
0 days 00:10:47.233000,19.1,94.0,923.9,False,27.1,169,0.6
0 days 00:11:47.232000,19.1,94.0,923.7,False,27.3,115,1.0
0 days 00:12:47.233000,19.2,94.0,923.9,False,27.0,169,1.0
0 days 00:13:47.237000,19.1,94.0,923.9,False,26.9,0,1.5
0 days 00:14:47.231000,19.2,94.0,924.0,False,26.9,150,0.6
0 days 00:15:47.233000,19.2,94.0,924.0,False,27.1,233,0.5
0 days 00:16:47.234000,19.2,94.0,924.0,False,27.1,175,0.6
0 days 00:17:47.238000,19.2,94.0,924.0,False,27.3,177,0.8
0 days 00:18:47.233000,19.1,94.0,924.0,False,27.4,197,1.1
0 days 00:19:47.236000,19.1,94.0,924.0,False,27.0,160,1.7
0 days 00:20:47.233000,19.1,94.0,924.0,False,27.0,212,1.3
0 days 00:21:47.231000,19.2,94.0,924.0,False,27.1,170,1.2
0 days 00:22:47.239000,19.2,94.0,924.2,False,27.2,161,0.8
0 days 00:23:47.356000,19.2,94.0,924.2,False,27.3,181,1.2
0 days 00:24:47.240000,19.2,94.0,924.0,False,27.3,137,1.2
0 days 00:25:47.232000,19.2,94.0,924.2,False,27.3,160,1.7
0 days 00:26:47.239000,19.1,94.0,924.0,False,27.2,182,1.6
0 days 00:27:47.238000,19.2,94.0,924.2,False,27.1,143,1.5
0 days 00:28:47.294000,19.2,94.0,924.2,False,27.1,233,0.6
0 days 00:29:47.245000,19.2,94.0,924.2,False,27.2,163,1.3
0 days 00:30:47.247000,19.2,94.0,924.2,False,27.2,196,1.5
0 days 00:31:47.274000,19.2,94.0,924.2,False,27.2,162,2.2
0 days 00:32:47.294000,19.2,94.0,924.4,False,27.1,151,1.6
0 days 00:33:47.287000,19.1,94.0,924.2,False,26.9,186,1.3
0 days 00:34:47.312000,19.2,94.0,924.2,False,26.9,164,1.3
0 days 00:35:47.294000,19.2,94.0,924.2,False,27.0,181,1.7
0 days 00:36:47.295000,19.2,94.0,924.0,False,27.0,170,1.2
0 days 00:37:47.294000,19.1,94.0,924.2,False,27.0,118,0.8
0 days 00:38:47.301000,19.2,94.0,924.0,False,27.1,136,0.8
0 days 00:39:47.251000,19.1,94.0,924.0,False,27.0,95,1.0
0 days 00:40:47.234000,19.1,94.0,924.0,False,27.1,214,0.8
0 days 00:41:47.247000,19.2,94.0,924.0,False,27.2,160,1.0
0 days 00:42:47.235000,19.2,94.0,924.2,False,27.3,195,1.6
0 days 00:43:47.262000,19.2,93.0,924.4,False,27.4,141,1.1
0 days 00:44:47.244000,19.2,93.0,924.4,False,27.4,141,1.1
0 days 00:45:47.238000,19.2,94.0,924.5,False,27.4,121,0.8
0 days 00:46:47.240000,19.3,94.0,924.7,False,27.4,153,0.8
0 days 00:47:47.234000,19.2,93.0,924.9,False,27.5,122,0.8
0 days 00:48:47.234000,19.2,93.0,925.0,False,27.5,247,1.2
0 days 00:49:47.240000,19.2,94.0,925.0,False,27.5,59,0.6
0 days 00:50:47.242000,19.2,93.0,925.0,False,27.3,199,0.0
0 days 00:51:47.231000,19.2,93.0,925.0,False,27.2,160,0.6
0 days 00:52:47.233000,19.2,93.0,925.0,False,27.5,147,1.2
0 days 00:53:47.235000,19.2,93.0,925.0,False,27.0,143,1.1
0 days 00:54:47.239000,19.2,94.0,925.0,True,27.0,146,0.6
0 days 00:55:47.237000,19.2,93.0,925.0,True,26.9,121,0.8
0 days 00:56:47.235000,19.2,93.0,925.0,True,26.8,134,0.6
0 days 00:57:47.235000,19.2,93.0,925.0,True,26.6,186,0.8
0 days 00:58:47.237000,19.2,93.0,925.0,True,26.4,179,0.8
0 days 00:59:47.234000,19.2,93.0,925.0,True,26.4,167,0.8
0 days 01:00:47.235000,19.2,93.0,925.0,True,26.3,132,0.6
0 days 01:01:47.242000,19.2,93.0,925.0,True,26.3,269,0.5
0 days 01:02:47.234000,19.3,93.0,925.0,True,26.2,133,0.6
0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
0 days 01:04:47.244000,19.2,93.0,925.0,True,26.3,156,1.7
0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
0 days 01:06:47.237000,19.2,93.0,925.0,True,26.0,164,1.3
0 days 01:07:47.236000,19.2,93.0,925.0,True,25.9,199,1.5
0 days 01:08:47.234000,19.2,93.0,925.0,True,25.7,197,1.7
0 days 01:09:47.236000,19.2,93.0,924.9,True,25.7,206,2.0
0 days 01:10:47.234000,19.2,93.0,924.9,True,25.7,208,2.4
0 days 01:11:47.235000,19.2,93.0,924.9,True,25.1,138,2.0
0 days 01:12:47.237000,19.2,93.0,924.9,True,25.0,150,1.7
0 days 01:13:47.252000,19.2,93.0,924.9,True,25.0,191,0.8
0 days 01:14:47.241000,19.2,93.0,925.0,True,25.2,0,0.5
0 days 01:15:47.243000,19.2,93.0,925.0,True,25.3,179,1.2
0 days 01:16:47.243000,19.1,93.0,924.9,True,25.3,193,1.6
0 days 01:17:47.242000,19.1,93.0,925.0,True,25.1,155,0.8
0 days 01:18:47.234000,19.1,93.0,925.0,True,24.9,147,1.0
0 days 01:19:47.237000,19.1,93.0,925.2,True,25.1,205,1.0
0 days 01:20:47.239000,19.2,93.0,925.2,True,25.1,153,1.2
