Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:19.075000,VER,1,,1.0,1.0,,,,0 days 00:00:42.188000,0 days 00:00:26.222000,,0 days 01:02:53.002000,0 days 01:03:19.145000,308.0,80.0,213.0,213.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:01:46.277000,2022-11-13 18:02:47.303,124,5.0,False,,False,False
0 days 01:05:13.170000,VER,1,,2.0,1.0,,,0 days 00:00:25.886000,0 days 00:01:01.448000,0 days 00:00:26.761000,0 days 01:03:44.972000,0 days 01:04:46.420000,0 days 01:05:13.181000,239.0,144.0,231.0,226.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:19.075000,2022-11-13 18:04:20.101,4,3.0,False,,False,False
0 days 01:07:12.786000,VER,1,,3.0,1.0,,,0 days 00:00:30.869000,0 days 00:01:01.894000,0 days 00:00:26.853000,0 days 01:05:44.050000,0 days 01:06:45.944000,0 days 01:07:12.797000,199.0,195.0,152.0,103.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:05:13.170000,2022-11-13 18:06:14.196,4,3.0,False,,False,False
0 days 01:09:13.733000,VER,1,,4.0,1.0,,,0 days 00:00:30.755000,0 days 00:01:03.100000,0 days 00:00:27.092000,0 days 01:07:43.552000,0 days 01:08:46.652000,0 days 01:09:13.744000,193.0,200.0,174.0,160.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:07:12.786000,2022-11-13 18:08:13.812,4,3.0,False,,False,False
0 days 01:11:07.114000,VER,1,,5.0,1.0,,,0 days 00:00:29.986000,0 days 00:00:58.408000,0 days 00:00:24.987000,0 days 01:09:43.730000,0 days 01:10:42.138000,0 days 01:11:07.125000,150.0,175.0,253.0,181.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:09:13.733000,2022-11-13 18:10:14.759,4,3.0,False,,False,False
0 days 01:13:11.163000,VER,1,,6.0,1.0,,,0 days 00:00:29.374000,0 days 00:01:02.113000,0 days 00:00:32.562000,0 days 01:11:36.499000,0 days 01:12:38.612000,0 days 01:13:11.174000,179.0,101.0,240.0,164.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:11:07.114000,2022-11-13 18:12:08.140,41,3.0,False,,False,False
0 days 01:14:37.093000,VER,1,,7.0,1.0,,0 days 01:14:34.180000,0 days 00:00:23.148000,0 days 00:00:41.137000,0 days 00:00:21.645000,0 days 01:13:34.322000,0 days 01:14:15.459000,0 days 01:14:37.104000,287.0,232.0,,283.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:13:11.163000,2022-11-13 18:14:12.189,12,17.0,False,,False,False
0 days 01:16:18.145000,VER,1,,8.0,2.0,0 days 01:15:05.199000,,0 days 00:00:44.545000,0 days 00:00:39.037000,0 days 00:00:17.470000,0 days 01:15:21.649000,0 days 01:16:00.686000,0 days 01:16:18.156000,296.0,243.0,302.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:14:37.093000,2022-11-13 18:15:38.119,1,17.0,False,,False,False
0 days 01:17:33.709000,VER,1,,9.0,2.0,,,0 days 00:00:19.349000,0 days 00:00:38.704000,0 days 00:00:17.511000,0 days 01:16:37.505000,0 days 01:17:16.209000,0 days 01:17:33.720000,304.0,244.0,302.0,286.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:16:18.145000,2022-11-13 18:17:19.171,1,17.0,False,,False,True
0 days 01:18:49.575000,VER,1,,10.0,2.0,,,0 days 00:00:19.285000,0 days 00:00:39.093000,0 days 00:00:17.488000,0 days 01:17:53.005000,0 days 01:18:32.098000,0 days 01:18:49.586000,305.0,242.0,304.0,294.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:17:33.709000,2022-11-13 18:18:34.735,1,17.0,False,,False,True
