Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:51.223000,25.1,69.0,922.4,False,53.5,154,2.7
0 days 00:01:51.220000,25.1,69.0,922.5,False,53.5,116,1.5
0 days 00:02:51.222000,25.1,69.0,922.5,False,53.2,202,1.6
0 days 00:03:51.217000,25.0,70.0,922.5,False,53.4,139,1.2
0 days 00:04:51.232000,24.8,69.0,922.5,False,53.4,198,0.8
0 days 00:05:51.220000,24.8,69.0,922.5,False,53.3,141,1.2
0 days 00:06:51.228000,24.7,69.0,922.5,False,53.2,140,1.7
0 days 00:07:51.240000,24.7,69.0,922.4,False,52.4,160,1.7
0 days 00:08:51.238000,24.6,70.0,922.4,False,52.5,180,2.0
0 days 00:09:51.239000,24.7,70.0,922.4,False,52.5,169,1.7
0 days 00:10:51.243000,24.6,70.0,922.5,False,52.6,174,2.5
0 days 00:11:51.235000,24.6,70.0,922.5,False,52.5,142,2.0
0 days 00:12:51.237000,24.4,71.0,922.4,False,51.6,191,1.5
0 days 00:13:51.243000,24.3,70.0,922.5,False,51.6,220,1.6
0 days 00:14:51.320000,24.5,70.0,922.5,False,51.5,249,1.3
0 days 00:15:51.241000,24.4,71.0,922.5,False,51.5,179,1.7
0 days 00:16:51.244000,24.2,71.0,922.5,False,50.5,204,1.5
0 days 00:17:51.240000,24.3,71.0,922.5,False,51.5,183,1.7
0 days 00:18:51.240000,24.3,71.0,922.5,False,51.8,145,2.0
0 days 00:19:51.236000,24.1,72.0,922.5,False,51.1,165,2.0
0 days 00:20:51.255000,24.1,71.0,922.4,False,51.6,149,1.1
0 days 00:21:51.254000,24.1,71.0,922.5,False,51.2,147,2.2
0 days 00:22:51.250000,24.2,72.0,922.5,False,51.9,0,1.1
0 days 00:23:51.254000,24.3,70.0,922.4,False,52.3,191,0.8
0 days 00:24:51.254000,24.5,70.0,922.5,False,53.1,142,1.5
0 days 00:25:51.255000,24.5,69.0,922.4,False,52.7,195,1.5
0 days 00:26:51.254000,24.4,69.0,922.4,False,52.5,113,1.8
0 days 00:27:51.252000,24.5,69.0,922.2,False,52.5,151,0.8
0 days 00:28:51.254000,24.4,69.0,922.2,False,51.7,157,1.6
0 days 00:29:51.255000,24.4,69.0,922.2,False,51.5,152,1.7
