Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:18.973000,VER,1,,1.0,1.0,0 days 00:15:48.912000,,0 days 00:00:27.083000,0 days 00:00:26.632000,0 days 00:00:37.834000,0 days 00:16:14.672000,0 days 00:16:41.375000,0 days 00:17:19.100000,233.0,264.0,284.0,318.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:48.912000,2022-06-17 18:00:50.523,1,,False,,False,False
0 days 00:18:36.964000,VER,1,,2.0,1.0,,,0 days 00:00:21.914000,0 days 00:00:25.032000,0 days 00:00:31.045000,0 days 00:17:40.887000,0 days 00:18:05.919000,0 days 00:18:36.964000,250.0,277.0,276.0,324.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:18.973000,2022-06-17 18:02:20.584,1,,False,,False,True
0 days 00:20:15.127000,VER,1,,3.0,1.0,,,0 days 00:00:30.267000,0 days 00:00:32.636000,0 days 00:00:35.260000,0 days 00:19:07.231000,0 days 00:19:39.867000,0 days 00:20:15.127000,187.0,252.0,288.0,297.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:36.964000,2022-06-17 18:03:38.575,1,,False,,False,True
0 days 00:21:31.634000,VER,1,,4.0,1.0,,,0 days 00:00:21.618000,0 days 00:00:24.548000,0 days 00:00:30.341000,0 days 00:20:36.745000,0 days 00:21:01.293000,0 days 00:21:31.634000,253.0,279.0,289.0,324.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:20:15.127000,2022-06-17 18:05:16.738,1,,False,,False,True
0 days 00:23:11.542000,VER,1,,5.0,1.0,,,0 days 00:00:27.919000,0 days 00:00:35.797000,0 days 00:00:36.192000,0 days 00:21:59.553000,0 days 00:22:35.350000,0 days 00:23:11.542000,192.0,243.0,287.0,159.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:21:31.634000,2022-06-17 18:06:33.245,1,,False,,False,True
0 days 00:24:27.341000,VER,1,,6.0,1.0,,,0 days 00:00:21.244000,0 days 00:00:24.431000,0 days 00:00:30.124000,0 days 00:23:32.786000,0 days 00:23:57.217000,0 days 00:24:27.341000,254.0,280.0,290.0,326.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:23:11.542000,2022-06-17 18:08:13.153,1,,False,,False,True
0 days 00:26:24.394000,VER,1,,7.0,1.0,,,0 days 00:00:33.109000,0 days 00:00:42.332000,0 days 00:00:41.612000,0 days 00:25:00.450000,0 days 00:25:42.782000,0 days 00:26:24.394000,164.0,145.0,289.0,199.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:24:27.341000,2022-06-17 18:09:28.952,1,,False,,False,True
0 days 00:27:40.097000,VER,1,,8.0,1.0,,,0 days 00:00:21.186000,0 days 00:00:24.329000,0 days 00:00:30.188000,0 days 00:26:45.580000,0 days 00:27:09.909000,0 days 00:27:40.097000,255.0,280.0,291.0,326.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:26:24.394000,2022-06-17 18:11:26.005,1,,False,,False,True
0 days 00:41:54.854000,VER,1,,9.0,1.0,,0 days 00:28:56.656000,0 days 00:00:23.798000,0 days 00:00:26.622000,,0 days 00:28:04.084000,0 days 00:28:30.789000,,236.0,258.0,,283.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:27:40.097000,2022-06-17 18:12:41.708,12,,False,,False,False
0 days 00:48:32.286000,VER,1,,10.0,2.0,0 days 00:41:54.854000,0 days 00:43:21.415000,0 days 00:00:26.540000,0 days 00:00:29.766000,,0 days 00:42:20.056000,0 days 00:42:49.913000,,242.0,197.0,,238.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:41:54.854000,2022-06-17 18:26:56.465,1,,False,,False,False
