Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:49.358000,19.1,32.0,1012.7,False,38.9,339,3.9
0 days 00:01:49.357000,19.1,32.0,1012.9,False,38.9,32,1.7
0 days 00:02:49.347000,19.1,33.0,1012.7,False,39.1,16,2.2
0 days 00:03:49.357000,19.1,33.0,1012.9,False,39.2,13,3.7
0 days 00:04:49.355000,19.2,35.0,1012.9,False,39.4,308,3.0
0 days 00:05:49.354000,19.1,34.0,1013.0,False,39.5,5,2.7
0 days 00:06:49.356000,19.0,33.0,1013.0,False,39.1,348,3.7
0 days 00:07:49.358000,19.0,33.0,1013.0,False,39.2,8,2.7
0 days 00:08:49.355000,19.0,33.0,1013.0,False,39.2,2,4.0
0 days 00:09:49.355000,18.8,33.0,1013.0,False,39.1,342,2.5
0 days 00:10:49.356000,18.9,34.0,1012.9,False,39.1,4,2.2
0 days 00:11:49.356000,18.8,32.0,1012.7,False,39.3,354,3.5
0 days 00:12:49.356000,18.9,34.0,1012.7,False,39.6,20,2.7
0 days 00:13:49.353000,19.0,33.0,1012.7,False,39.6,9,3.0
0 days 00:14:49.356000,19.2,34.0,1012.7,False,39.7,6,3.4
0 days 00:15:49.358000,19.3,31.0,1012.7,False,39.7,9,3.7
0 days 00:16:49.376000,19.3,34.0,1012.7,False,39.6,8,3.5
0 days 00:17:49.362000,19.4,32.0,1012.9,False,39.7,12,2.0
0 days 00:18:49.373000,19.3,32.0,1012.7,False,39.7,15,4.3
0 days 00:19:49.396000,19.3,32.0,1012.7,False,39.8,10,4.5
0 days 00:20:49.381000,19.2,32.0,1012.7,False,39.7,8,4.5
0 days 00:21:49.371000,19.2,32.0,1012.9,False,39.6,351,4.5
0 days 00:22:49.360000,19.1,32.0,1012.7,False,39.6,17,2.9
0 days 00:23:49.359000,19.2,33.0,1012.7,False,39.5,352,2.9
0 days 00:24:49.356000,19.4,33.0,1012.7,False,39.6,10,3.2
0 days 00:25:49.353000,19.4,33.0,1012.7,False,39.7,14,2.0
0 days 00:26:49.358000,19.4,32.0,1012.7,False,40.0,15,3.7
0 days 00:27:49.355000,19.4,32.0,1012.5,False,40.2,12,4.1
0 days 00:28:49.353000,19.3,31.0,1012.7,False,40.3,12,2.7
0 days 00:29:49.360000,19.6,32.0,1012.7,False,40.5,10,3.0
0 days 00:30:49.357000,19.7,31.0,1012.7,False,40.5,5,2.5
0 days 00:31:49.355000,19.8,32.0,1012.7,False,40.6,3,2.4
0 days 00:32:49.360000,19.8,32.0,1012.7,False,40.6,13,2.0
0 days 00:33:49.354000,20.0,31.0,1012.7,False,40.6,6,3.9
0 days 00:34:49.349000,20.0,31.0,1012.7,False,40.7,344,4.1
0 days 00:35:49.355000,20.0,32.0,1012.7,False,40.7,352,3.2
0 days 00:36:49.361000,20.0,31.0,1012.7,False,40.8,353,2.9
0 days 00:37:49.354000,19.9,30.0,1012.9,False,40.9,350,4.3
0 days 00:38:49.353000,19.7,30.0,1012.7,False,40.9,354,4.3
0 days 00:39:49.354000,19.6,31.0,1012.7,False,40.5,34,2.5
0 days 00:40:49.356000,19.6,29.0,1012.7,False,40.6,7,3.5
0 days 00:41:49.356000,19.7,30.0,1012.7,False,40.7,356,3.0
0 days 00:42:49.356000,19.8,31.0,1012.7,False,41.2,350,3.0
0 days 00:43:49.346000,19.8,29.0,1012.7,False,41.2,355,2.7
0 days 00:44:49.355000,19.8,29.0,1012.7,False,41.2,357,2.7
0 days 00:45:49.363000,19.7,30.0,1012.7,False,41.0,10,5.0
0 days 00:46:49.355000,19.7,31.0,1012.7,False,40.8,351,2.7
0 days 00:47:49.357000,19.9,31.0,1012.7,False,40.8,5,3.7
0 days 00:48:49.355000,20.0,30.0,1012.7,False,41.4,353,4.1
0 days 00:49:49.372000,20.1,29.0,1012.7,False,41.4,15,3.7
0 days 00:50:49.355000,20.0,30.0,1012.5,False,41.4,15,4.3
0 days 00:51:49.360000,20.1,30.0,1012.5,False,41.4,14,3.5
0 days 00:52:49.355000,20.1,30.0,1012.5,False,41.3,354,3.5
0 days 00:53:49.354000,20.0,29.0,1012.5,False,41.3,346,2.9
0 days 00:54:49.355000,20.0,31.0,1012.5,False,41.4,13,2.2
0 days 00:55:49.353000,20.2,30.0,1012.5,False,41.5,15,2.2
0 days 00:56:49.357000,20.3,33.0,1012.5,False,41.5,315,1.5
0 days 00:57:49.357000,20.3,30.0,1012.5,False,41.3,10,2.7
0 days 00:58:49.346000,20.2,30.0,1012.5,False,41.4,343,3.9
0 days 00:59:49.367000,20.2,31.0,1012.5,False,41.2,345,4.0
0 days 01:00:49.358000,20.1,29.0,1012.4,False,41.2,357,3.4
0 days 01:01:49.364000,20.0,29.0,1012.5,False,41.4,358,4.6
0 days 01:02:49.356000,20.2,29.0,1012.5,False,41.7,355,3.5
0 days 01:03:49.354000,20.5,29.0,1012.5,False,41.7,19,3.9
0 days 01:04:49.355000,20.5,28.0,1012.5,False,41.8,2,4.3
0 days 01:05:49.374000,20.5,27.0,1012.4,False,42.0,15,4.1
0 days 01:06:49.345000,20.6,28.0,1012.5,False,41.8,5,4.3
0 days 01:07:49.784000,20.7,28.0,1012.5,False,41.8,8,4.5
0 days 01:08:49.363000,20.6,29.0,1012.5,False,41.2,352,3.5
0 days 01:09:49.354000,20.6,28.0,1012.5,False,41.3,352,4.5
0 days 01:10:49.372000,20.7,28.0,1012.5,False,41.2,344,4.6
0 days 01:11:49.357000,20.6,28.0,1012.5,False,41.2,358,2.7
0 days 01:12:49.353000,20.5,28.0,1012.2,False,41.2,350,2.7
0 days 01:13:49.355000,20.7,30.0,1012.2,False,41.6,12,4.9
0 days 01:14:49.362000,20.8,29.0,1012.4,False,41.6,17,4.5
0 days 01:15:49.356000,20.9,30.0,1012.4,False,41.5,1,4.1
0 days 01:16:49.357000,20.9,31.0,1012.2,False,41.5,9,4.1
0 days 01:17:49.354000,20.9,29.0,1012.4,False,41.8,8,3.2
0 days 01:18:49.353000,20.9,30.0,1012.2,False,41.7,359,3.7
0 days 01:19:49.358000,21.0,30.0,1012.2,False,41.7,359,3.7
0 days 01:20:49.375000,21.2,30.0,1012.2,False,41.7,7,4.1
0 days 01:21:49.371000,21.3,29.0,1012.5,False,41.7,340,3.7
0 days 01:22:49.370000,21.2,30.0,1012.5,False,41.6,23,2.0
0 days 01:23:49.364000,21.3,30.0,1012.4,False,41.6,358,2.2
0 days 01:24:49.372000,21.4,31.0,1012.4,False,41.6,336,2.5
0 days 01:25:49.384000,21.4,30.0,1012.2,False,41.9,10,2.4
0 days 01:26:49.394000,21.4,29.0,1012.4,False,42.0,26,2.5
0 days 01:27:49.401000,21.3,28.0,1012.2,False,42.1,10,3.2
0 days 01:28:49.414000,21.3,31.0,1012.4,False,42.2,327,2.5
0 days 01:29:49.406000,21.3,29.0,1012.2,False,42.5,1,2.0
0 days 01:30:49.400000,21.3,27.0,1012.4,False,42.1,3,4.3
0 days 01:31:49.400000,21.2,26.0,1012.5,False,42.2,353,4.8
0 days 01:32:49.417000,21.0,27.0,1012.4,False,42.1,353,5.5
0 days 01:33:49.416000,20.9,28.0,1012.2,False,41.7,359,4.0
0 days 01:34:49.434000,21.0,27.0,1012.2,False,41.7,14,5.6
0 days 01:35:49.453000,21.1,27.0,1012.4,False,41.8,354,4.5
0 days 01:36:49.450000,21.1,27.0,1012.4,False,41.8,1,4.0
0 days 01:37:49.461000,21.2,27.0,1012.2,False,41.8,11,3.9
0 days 01:38:49.454000,21.4,27.0,1012.4,False,41.7,359,3.7
0 days 01:39:49.495000,21.4,26.0,1012.2,False,41.9,7,4.4
0 days 01:40:49.458000,21.2,27.0,1012.2,False,41.9,15,4.5
0 days 01:41:49.447000,21.1,27.0,1012.2,False,41.9,16,4.4
0 days 01:42:49.462000,21.2,26.0,1012.2,False,41.9,354,4.0
0 days 01:43:49.465000,21.2,27.0,1012.2,False,42.0,8,4.0
0 days 01:44:49.475000,21.2,28.0,1012.0,False,41.9,12,4.0
0 days 01:45:49.477000,21.3,30.0,1012.0,False,41.9,18,4.5
0 days 01:46:49.479000,21.3,28.0,1012.2,False,41.9,10,4.8
0 days 01:47:49.478000,21.5,28.0,1012.2,False,41.9,15,4.5
0 days 01:48:49.477000,21.6,28.0,1012.2,False,41.8,7,3.9
0 days 01:49:49.486000,21.6,27.0,1012.2,False,42.0,2,4.8
0 days 01:50:49.479000,21.6,27.0,1012.2,False,41.8,18,5.0
0 days 01:51:49.479000,21.6,27.0,1012.2,False,41.8,0,4.0
0 days 01:52:49.478000,21.6,27.0,1012.2,False,41.9,18,3.2
0 days 01:53:49.475000,21.7,29.0,1012.2,False,41.9,7,2.7
0 days 01:54:49.480000,21.7,28.0,1012.2,False,42.0,348,2.7
0 days 01:55:49.502000,21.8,28.0,1012.2,False,42.0,353,2.4
0 days 01:56:49.482000,21.9,28.0,1012.2,False,42.1,336,3.9
0 days 01:57:49.480000,22.0,28.0,1012.2,False,42.1,21,3.2
0 days 01:58:49.478000,22.0,26.0,1012.2,False,42.4,359,4.1
0 days 01:59:49.480000,22.0,28.0,1012.2,False,42.4,345,3.4
0 days 02:00:49.494000,22.1,27.0,1012.2,False,42.4,1,2.7
0 days 02:01:49.535000,21.9,25.0,1012.2,False,42.4,3,3.4
0 days 02:02:49.529000,21.8,26.0,1012.0,False,42.4,0,4.4
0 days 02:03:49.525000,21.8,25.0,1012.2,False,42.2,14,3.5
0 days 02:04:49.533000,21.9,27.0,1012.2,False,42.0,359,3.5
0 days 02:05:49.541000,21.8,25.0,1012.2,False,42.2,356,3.5
0 days 02:06:49.556000,21.8,26.0,1012.2,False,42.2,0,5.0
0 days 02:07:49.579000,21.7,27.0,1012.2,False,41.9,354,4.0
0 days 02:08:49.577000,21.7,26.0,1012.0,False,41.8,9,5.0
0 days 02:09:49.562000,21.8,27.0,1012.2,False,41.8,353,5.0
0 days 02:10:49.593000,21.8,26.0,1012.2,False,41.8,359,4.8
0 days 02:11:49.600000,21.7,25.0,1012.2,False,41.8,6,5.1
0 days 02:12:49.608000,21.7,26.0,1012.2,False,41.7,358,4.0
0 days 02:13:49.615000,21.8,27.0,1012.2,False,41.7,21,2.7
0 days 02:14:49.598000,21.9,27.0,1012.2,False,41.8,345,2.9
0 days 02:15:49.601000,21.9,26.0,1012.2,False,41.9,2,2.4
0 days 02:16:49.613000,21.8,25.0,1012.2,False,41.8,353,4.1
0 days 02:17:49.614000,21.6,25.0,1012.2,False,41.7,5,4.8
0 days 02:18:49.616000,21.8,26.0,1012.0,False,41.7,358,3.2
0 days 02:19:49.605000,21.7,26.0,1012.0,False,41.7,6,4.0
0 days 02:20:49.602000,21.8,25.0,1012.0,False,41.7,156,3.2
0 days 02:21:49.610000,21.9,26.0,1012.0,False,41.7,353,2.0
0 days 02:22:49.603000,21.9,26.0,1012.2,False,41.9,356,2.5
0 days 02:23:49.605000,22.0,26.0,1012.0,False,41.9,3,3.0
0 days 02:24:49.610000,22.1,27.0,1012.2,False,41.9,13,3.2
0 days 02:25:49.604000,22.1,25.0,1012.0,False,41.9,14,3.7
0 days 02:26:49.603000,22.1,26.0,1012.0,False,42.2,15,4.5
0 days 02:27:49.612000,22.2,24.0,1012.0,False,42.2,3,4.5
