Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:34.268000,11.1,91.0,1001.7,False,17.6,65,1.7
0 days 00:01:34.268000,11.1,91.0,1001.7,False,17.6,88,1.3
0 days 00:02:34.269000,11.1,91.0,1001.5,False,17.6,46,0.8
0 days 00:03:34.293000,11.2,91.0,1001.7,False,17.6,95,1.5
0 days 00:04:34.315000,11.2,91.0,1001.7,False,17.7,127,1.2
0 days 00:05:34.315000,11.1,91.0,1001.7,False,17.8,99,1.0
0 days 00:06:34.335000,11.4,92.0,1001.7,False,17.9,56,1.0
0 days 00:07:34.348000,11.4,90.0,1001.5,False,18.1,106,1.0
0 days 00:08:34.347000,11.5,91.0,1001.5,False,18.2,67,1.0
0 days 00:09:34.346000,11.6,91.0,1001.5,False,18.4,75,1.5
0 days 00:10:34.348000,11.5,91.0,1001.5,False,18.7,88,1.5
0 days 00:11:34.347000,11.6,92.0,1001.5,False,18.8,71,0.8
0 days 00:12:34.347000,11.7,91.0,1001.5,False,19.0,94,1.6
0 days 00:13:34.346000,11.7,91.0,1001.5,False,19.0,93,2.4
0 days 00:14:34.364000,11.6,90.0,1001.5,False,19.0,79,2.4
0 days 00:15:34.378000,11.6,90.0,1001.5,False,18.7,94,2.4
0 days 00:16:34.378000,11.5,91.0,1001.5,False,18.6,101,2.2
0 days 00:17:34.378000,11.6,91.0,1001.5,False,18.5,80,2.2
0 days 00:18:34.380000,11.7,91.0,1001.5,False,18.5,99,1.7
0 days 00:19:34.378000,11.7,91.0,1001.5,False,18.5,96,2.2
0 days 00:20:34.376000,11.7,91.0,1001.5,False,18.4,99,2.2
0 days 00:21:34.378000,11.7,90.0,1001.5,False,18.3,66,2.2
0 days 00:22:34.379000,11.8,90.0,1001.4,False,18.3,108,2.0
0 days 00:23:34.381000,11.8,90.0,1001.5,False,18.4,99,2.2
0 days 00:24:34.378000,11.8,90.0,1001.5,False,18.4,90,2.2
0 days 00:25:34.378000,11.9,91.0,1001.5,False,18.5,97,2.0
0 days 00:26:34.370000,11.9,90.0,1001.5,False,18.5,79,1.7
0 days 00:27:34.379000,11.9,90.0,1001.5,False,18.6,70,1.7
0 days 00:28:34.380000,12.0,90.0,1001.5,False,18.6,79,2.0
0 days 00:29:34.385000,12.2,89.0,1001.5,False,18.6,81,1.8
0 days 00:30:34.408000,12.3,90.0,1001.5,False,18.7,78,2.0
0 days 00:31:34.427000,12.3,89.0,1001.5,False,19.0,85,2.0
0 days 00:32:34.427000,12.3,89.0,1001.5,False,18.8,114,2.2
0 days 00:33:34.437000,12.2,89.0,1001.4,False,18.5,82,2.0
0 days 00:34:34.442000,12.2,89.0,1001.5,False,18.6,62,1.6
0 days 00:35:34.456000,12.2,89.0,1001.5,False,18.6,96,2.0
0 days 00:36:34.471000,12.2,89.0,1001.4,False,18.5,70,1.7
0 days 00:37:34.491000,12.3,89.0,1001.5,False,18.5,78,1.0
0 days 00:38:34.503000,12.3,89.0,1001.4,False,18.6,125,1.3
0 days 00:39:34.513000,12.3,88.0,1001.4,False,18.6,17,1.6
0 days 00:40:34.496000,12.3,88.0,1001.4,False,18.6,210,0.8
0 days 00:41:34.515000,12.4,88.0,1001.4,False,18.7,273,1.0
0 days 00:42:34.524000,12.4,88.0,1001.4,False,18.7,212,1.1
0 days 00:43:34.520000,12.6,88.0,1001.2,False,18.7,173,0.8
0 days 00:44:34.520000,12.6,88.0,1001.2,False,18.7,56,0.6
0 days 00:45:34.519000,12.7,88.0,1001.2,False,18.7,164,0.8
0 days 00:46:34.531000,12.6,87.0,1001.2,False,18.9,349,0.4
0 days 00:47:34.522000,12.7,87.0,1001.2,False,19.1,130,0.8
0 days 00:48:34.520000,12.6,87.0,1001.2,False,18.9,0,0.6
0 days 00:49:34.535000,12.6,87.0,1001.2,False,19.0,287,0.4
0 days 00:50:34.553000,12.6,86.0,1001.2,False,19.0,191,1.2
0 days 00:51:34.555000,12.6,86.0,1001.2,False,18.9,160,1.2
0 days 00:52:34.550000,12.7,85.0,1001.2,False,18.8,63,1.2
0 days 00:53:34.555000,12.7,85.0,1001.2,False,18.8,343,0.5
0 days 00:54:34.552000,12.6,84.0,1001.2,False,18.7,142,0.6
0 days 00:55:34.551000,12.6,83.0,1001.0,False,18.5,209,0.8
0 days 00:56:34.568000,12.8,84.0,1001.0,False,18.5,107,1.0
0 days 00:57:34.564000,12.8,83.0,1001.0,False,18.6,182,0.6
0 days 00:58:34.582000,12.9,82.0,1001.0,False,18.5,55,0.6
0 days 00:59:34.583000,12.9,82.0,1001.0,False,18.4,97,0.6
0 days 01:00:34.591000,12.8,81.0,1001.0,False,18.3,12,1.0
0 days 01:01:34.598000,12.9,80.0,1001.0,False,18.1,244,1.1
0 days 01:02:34.599000,12.8,80.0,1001.0,False,18.0,103,0.6
0 days 01:03:34.612000,12.9,79.0,1001.0,False,17.9,7,1.7
0 days 01:04:34.629000,13.0,79.0,1001.0,False,17.9,13,0.5
0 days 01:05:34.662000,13.0,79.0,1001.0,False,17.8,331,0.4
0 days 01:06:34.634000,13.1,79.0,1000.9,False,17.8,58,1.1
0 days 01:07:34.631000,13.1,79.0,1001.0,False,17.8,7,0.8
0 days 01:08:34.642000,13.1,78.0,1000.9,False,17.7,6,0.8
0 days 01:09:34.637000,13.0,78.0,1000.9,False,17.6,96,1.1
0 days 01:10:34.632000,13.1,78.0,1000.9,False,17.5,351,0.8
0 days 01:11:34.710000,13.0,77.0,1000.7,False,17.5,99,1.1
0 days 01:12:34.651000,13.1,78.0,1000.9,False,17.5,294,1.2
0 days 01:13:34.635000,13.1,78.0,1000.7,False,17.3,35,1.2
0 days 01:14:34.647000,13.1,77.0,1000.9,False,17.3,49,0.8
0 days 01:15:34.623000,13.1,77.0,1000.7,False,17.1,69,2.0
0 days 01:16:34.657000,13.1,76.0,1000.7,False,17.1,50,0.8
0 days 01:17:34.669000,13.1,76.0,1000.7,False,17.0,43,2.0
0 days 01:18:34.661000,13.0,75.0,1000.7,False,17.1,46,0.8
0 days 01:19:34.662000,13.1,75.0,1000.7,False,17.0,63,1.7
0 days 01:20:34.679000,13.2,75.0,1000.7,False,17.0,69,1.7
0 days 01:21:34.736000,13.3,76.0,1000.7,False,17.0,95,1.5
0 days 01:22:34.709000,13.4,76.0,1000.9,False,17.0,40,1.1
0 days 01:23:34.699000,13.4,76.0,1000.9,False,17.0,67,1.7
0 days 01:24:34.702000,13.4,76.0,1000.9,False,16.9,82,1.7
0 days 01:25:34.717000,13.4,76.0,1000.9,False,16.7,56,1.3
0 days 01:26:34.736000,13.4,76.0,1000.9,False,16.7,69,1.5
0 days 01:27:34.731000,13.5,77.0,1000.7,False,16.7,66,1.2
0 days 01:28:34.727000,13.3,77.0,1000.9,False,16.7,73,2.2
0 days 01:29:34.729000,13.3,77.0,1000.9,False,16.5,89,2.2
0 days 01:30:34.755000,13.4,79.0,1000.9,False,16.2,81,2.0
0 days 01:31:34.756000,13.4,79.0,1000.9,False,16.2,66,1.6
0 days 01:32:34.749000,13.3,80.0,1000.7,False,16.3,82,1.5
0 days 01:33:34.761000,13.3,80.0,1000.7,False,16.2,88,2.4
0 days 01:34:34.756000,13.4,80.0,1000.7,False,16.1,108,2.4
0 days 01:35:34.754000,13.4,80.0,1000.9,False,16.1,95,1.8
0 days 01:36:34.757000,13.4,81.0,1000.9,False,16.0,83,1.8
0 days 01:37:34.756000,13.4,80.0,1000.7,False,16.1,54,1.1
0 days 01:38:34.756000,13.4,80.0,1000.9,False,16.1,74,1.2
0 days 01:39:34.810000,13.3,81.0,1000.9,False,16.0,80,2.2
0 days 01:40:34.757000,13.4,81.0,1000.9,False,16.0,89,2.5
0 days 01:41:34.755000,13.3,81.0,1000.9,False,16.0,85,2.0
0 days 01:42:34.753000,13.2,81.0,1000.9,False,15.6,35,1.7
0 days 01:43:34.756000,13.2,81.0,1000.9,False,15.8,4,1.1
0 days 01:44:34.756000,13.1,81.0,1000.9,False,15.9,52,0.6
0 days 01:45:34.754000,13.2,81.0,1000.9,False,16.1,34,1.2
0 days 01:46:34.756000,13.1,81.0,1001.0,False,16.1,52,1.0
0 days 01:47:34.763000,13.1,81.0,1000.9,False,16.1,78,1.5
0 days 01:48:34.756000,13.1,81.0,1000.9,False,16.2,9,1.6
0 days 01:49:34.745000,13.2,81.0,1000.9,False,16.3,34,1.1
