Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:30.058000,20.4,46.0,1001.7,False,32.4,247,1.6
0 days 00:01:30.065000,20.5,46.0,1001.5,False,32.1,116,0.8
0 days 00:02:30.083000,20.5,47.0,1001.7,False,32.0,292,0.6
0 days 00:03:30.077000,20.5,47.0,1001.7,False,31.9,184,1.2
0 days 00:04:30.077000,20.5,46.0,1001.5,False,32.0,0,1.5
0 days 00:05:30.082000,20.5,46.0,1001.5,False,32.0,24,0.4
0 days 00:06:30.086000,20.5,46.0,1001.5,False,32.0,112,1.1
0 days 00:07:30.075000,20.5,46.0,1001.5,False,32.0,253,0.8
0 days 00:08:30.082000,20.6,46.0,1001.7,False,31.9,106,0.4
0 days 00:09:30.084000,20.7,45.0,1001.7,False,31.9,107,1.1
0 days 00:10:30.085000,20.6,46.0,1001.7,False,31.8,108,0.8
0 days 00:11:30.111000,20.7,46.0,1001.5,False,31.4,182,1.2
0 days 00:12:30.080000,20.7,46.0,1001.7,False,31.4,99,1.0
0 days 00:13:30.081000,20.7,46.0,1001.7,False,31.4,196,0.8
0 days 00:14:30.082000,20.7,47.0,1001.7,False,31.4,173,1.2
0 days 00:15:30.088000,20.7,46.0,1001.7,False,31.3,153,0.4
0 days 00:16:30.083000,20.7,46.0,1001.5,False,31.2,183,0.5
0 days 00:17:30.082000,20.8,47.0,1001.5,False,31.2,263,1.1
0 days 00:18:30.085000,20.8,47.0,1001.5,False,31.3,273,1.5
0 days 00:19:30.073000,20.8,47.0,1001.5,False,31.1,258,1.2
0 days 00:20:30.081000,20.8,47.0,1001.5,False,30.7,262,1.0
0 days 00:21:30.089000,20.8,47.0,1001.5,False,30.8,245,1.2
0 days 00:22:30.084000,20.8,47.0,1001.5,False,30.7,241,1.0
0 days 00:23:30.095000,20.7,45.0,1001.5,False,30.6,242,2.0
0 days 00:24:30.098000,20.7,45.0,1001.5,False,30.2,199,1.2
0 days 00:25:30.083000,20.7,45.0,1001.5,False,30.1,203,0.8
0 days 00:26:30.093000,20.6,45.0,1001.5,False,30.1,258,1.2
0 days 00:27:30.084000,20.6,45.0,1001.5,False,30.0,255,1.5
0 days 00:28:30.083000,20.6,45.0,1001.5,False,29.9,247,1.3
0 days 00:29:30.082000,20.5,44.0,1001.5,False,29.8,148,0.8
0 days 00:30:30.084000,20.5,44.0,1001.4,False,29.8,261,0.8
0 days 00:31:30.085000,20.5,45.0,1001.4,False,29.2,230,1.2
0 days 00:32:30.083000,20.4,45.0,1001.4,False,29.2,263,0.8
0 days 00:33:30.095000,20.5,45.0,1001.4,False,29.3,235,1.7
0 days 00:34:30.082000,20.5,45.0,1001.2,False,28.8,238,1.0
0 days 00:35:30.082000,20.5,44.0,1001.4,False,28.7,0,1.2
0 days 00:36:30.084000,20.6,44.0,1001.4,False,28.8,255,0.6
0 days 00:37:30.082000,20.5,45.0,1001.2,False,28.8,254,1.2
0 days 00:38:30.083000,20.5,44.0,1001.2,False,28.6,184,1.0
0 days 00:39:30.082000,20.5,45.0,1001.2,False,28.5,296,1.2
0 days 00:40:30.084000,20.5,44.0,1001.2,False,28.5,278,1.7
0 days 00:41:30.083000,20.6,44.0,1001.2,False,28.5,270,1.7
0 days 00:42:30.085000,20.5,43.0,1001.2,False,28.5,230,1.7
0 days 00:43:30.084000,20.5,44.0,1001.2,False,28.5,233,2.0
0 days 00:44:30.083000,20.5,45.0,1001.2,False,28.3,208,1.6
0 days 00:45:30.083000,20.4,46.0,1001.4,False,28.2,137,0.6
0 days 00:46:30.084000,20.4,46.0,1001.2,False,28.3,126,0.8
0 days 00:47:30.083000,20.4,45.0,1001.2,False,28.6,222,0.8
0 days 00:48:30.099000,20.5,46.0,1001.2,False,28.6,247,0.4
0 days 00:49:30.099000,20.5,46.0,1001.2,False,28.6,200,0.4
0 days 00:50:30.116000,20.6,45.0,1001.2,False,28.5,259,0.4
0 days 00:51:30.116000,20.7,45.0,1001.4,False,28.5,138,0.6
0 days 00:52:30.135000,20.7,45.0,1001.2,False,28.6,109,1.1
0 days 00:53:30.147000,20.8,46.0,1001.2,False,28.7,81,1.3
0 days 00:54:30.162000,20.7,46.0,1001.2,False,28.8,93,0.6
0 days 00:55:30.152000,20.8,46.0,1001.2,False,29.0,80,2.2
0 days 00:56:30.183000,20.8,52.0,1001.2,False,29.1,101,1.8
0 days 00:57:30.194000,20.7,53.0,1001.2,False,29.2,100,2.0
0 days 00:58:30.226000,20.7,54.0,1001.2,False,29.4,79,1.8
0 days 00:59:30.210000,20.5,55.0,1001.2,False,29.0,93,2.0
0 days 01:00:30.211000,20.4,55.0,1001.2,False,28.6,68,1.7
0 days 01:01:30.216000,20.4,55.0,1001.2,False,28.6,87,2.2
0 days 01:02:30.208000,20.3,56.0,1001.2,False,27.8,100,2.4
0 days 01:03:30.213000,20.2,56.0,1001.2,False,27.8,83,2.4
0 days 01:04:30.216000,20.2,54.0,1001.2,False,28.0,91,2.7
0 days 01:05:30.213000,20.1,55.0,1001.2,False,27.8,75,2.0
0 days 01:06:30.210000,20.1,55.0,1001.2,False,27.7,83,1.5
0 days 01:07:30.212000,20.1,55.0,1001.4,False,27.6,37,1.7
0 days 01:08:30.209000,20.1,55.0,1001.4,False,27.6,51,0.8
0 days 01:09:30.211000,20.2,55.0,1001.4,False,28.1,60,2.0
0 days 01:10:30.210000,20.2,55.0,1001.2,False,28.2,53,1.5
0 days 01:11:30.213000,20.2,54.0,1001.2,False,28.0,63,1.0
0 days 01:12:30.202000,20.2,55.0,1001.2,False,28.0,67,1.7
0 days 01:13:30.227000,20.2,55.0,1001.2,False,27.9,47,1.2
0 days 01:14:30.215000,20.2,54.0,1001.2,False,27.9,88,2.0
0 days 01:15:30.211000,20.2,55.0,1001.2,False,28.0,89,2.0
0 days 01:16:30.209000,20.1,54.0,1001.0,False,27.7,91,1.8
0 days 01:17:30.209000,20.1,54.0,1001.2,False,27.4,71,2.5
0 days 01:18:30.216000,20.1,54.0,1001.0,False,27.3,115,2.7
0 days 01:19:30.223000,20.1,55.0,1001.0,False,27.3,92,1.6
0 days 01:20:30.209000,20.1,55.0,1001.2,False,27.3,79,2.9
0 days 01:21:30.213000,20.1,55.0,1001.2,False,27.3,29,2.4
0 days 01:22:30.211000,20.1,54.0,1001.2,False,27.2,63,1.7
0 days 01:23:30.211000,20.0,54.0,1001.2,False,27.1,87,2.5
0 days 01:24:30.212000,20.0,54.0,1001.0,False,27.2,72,2.5
0 days 01:25:30.214000,20.0,54.0,1001.0,False,27.2,73,2.0
0 days 01:26:30.235000,20.1,55.0,1001.2,False,27.2,94,2.5
0 days 01:27:30.242000,20.1,55.0,1001.0,False,27.0,73,2.4
0 days 01:28:30.247000,20.1,56.0,1001.0,False,27.0,85,2.9
0 days 01:29:30.248000,20.2,57.0,1001.2,False,27.0,84,3.0
0 days 01:30:30.277000,20.1,57.0,1001.2,False,27.2,95,3.0
0 days 01:31:30.258000,20.0,57.0,1001.2,False,27.2,88,2.7
0 days 01:32:30.283000,19.9,58.0,1001.0,False,27.2,49,2.2
0 days 01:33:30.268000,19.9,58.0,1001.0,False,27.2,74,2.5
0 days 01:34:30.289000,19.8,58.0,1001.2,False,27.3,81,2.7
0 days 01:35:30.304000,19.8,58.0,1001.2,False,27.0,53,2.7
