Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:13.236000,VER,1,,1.0,1.0,0 days 00:16:57.568000,,0 days 00:00:38.678000,0 days 00:00:38.356000,0 days 00:01:04.784000,0 days 00:17:30.275000,0 days 00:18:08.643000,0 days 00:19:13.309000,100.0,142.0,296.0,274.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:16:57.568000,2022-07-22 12:01:57.578,1,,False,,False,False
0 days 00:20:48.963000,VER,1,,2.0,1.0,,,0 days 00:00:24.368000,0 days 00:00:28.895000,0 days 00:00:42.464000,0 days 00:19:37.604000,0 days 00:20:06.499000,0 days 00:20:48.963000,107.0,274.0,296.0,331.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:13.236000,2022-07-22 12:04:13.246,1,,False,,False,True
0 days 00:23:44.470000,VER,1,,3.0,1.0,,,0 days 00:00:43.178000,0 days 00:01:03.045000,0 days 00:01:09.260000,0 days 00:21:32.246000,0 days 00:22:35.379000,0 days 00:23:44.470000,68.0,105.0,298.0,103.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:20:48.963000,2022-07-22 12:05:48.973,1,,False,,False,False
0 days 00:25:19.461000,VER,1,,4.0,1.0,,,0 days 00:00:24.043000,0 days 00:00:28.712000,0 days 00:00:42.236000,0 days 00:24:08.513000,0 days 00:24:37.225000,0 days 00:25:19.461000,108.0,277.0,296.0,334.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:23:44.470000,2022-07-22 12:08:44.480,1,,False,,False,True
0 days 00:28:10.226000,VER,1,,5.0,1.0,,,0 days 00:00:44.871000,0 days 00:00:59.072000,0 days 00:01:06.778000,0 days 00:26:04.403000,0 days 00:27:03.527000,0 days 00:28:10.226000,74.0,216.0,298.0,94.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:25:19.461000,2022-07-22 12:10:19.471,1,,False,,False,False
0 days 00:41:28.784000,VER,1,,6.0,1.0,,0 days 00:29:41.416000,0 days 00:00:23.884000,0 days 00:00:29.338000,,0 days 00:28:34.261000,0 days 00:29:03.513000,,106.0,213.0,,333.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:28:10.226000,2022-07-22 12:13:10.236,12,,False,,False,False
0 days 00:43:55.112000,VER,1,,7.0,2.0,0 days 00:41:34.797000,,0 days 00:00:44.378000,0 days 00:00:46.859000,0 days 00:00:55.091000,0 days 00:42:13.162000,0 days 00:43:00.021000,0 days 00:43:55.112000,84.0,261.0,299.0,168.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:41:28.784000,2022-07-22 12:26:28.794,1,,False,,False,False
0 days 00:45:29.458000,VER,1,,8.0,2.0,,,0 days 00:00:23.570000,0 days 00:00:28.861000,0 days 00:00:41.915000,0 days 00:44:18.682000,0 days 00:44:47.543000,0 days 00:45:29.458000,109.0,275.0,297.0,333.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:55.112000,2022-07-22 12:28:55.122,1,,False,,False,True
0 days 00:48:56.639000,VER,1,,9.0,2.0,,0 days 00:48:32.060000,0 days 00:00:49.765000,0 days 00:01:11.799000,0 days 00:01:25.686000,0 days 00:46:19.282000,0 days 00:47:31.115000,0 days 00:48:56.639000,59.0,144.0,,98.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:45:29.458000,2022-07-22 12:30:29.468,1,,False,,False,False
0 days 00:51:49.394000,VER,1,,10.0,3.0,0 days 00:49:02.755000,,0 days 00:00:53.733000,0 days 00:00:58.609000,0 days 00:01:00.441000,0 days 00:49:50.535000,0 days 00:50:49.112000,0 days 00:51:49.461000,74.0,118.0,297.0,135.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:48:56.639000,2022-07-22 12:33:56.649,1,,False,,False,False
0 days 00:53:23.415000,VER,1,,11.0,3.0,,,0 days 00:00:23.468000,0 days 00:00:28.558000,0 days 00:00:41.995000,0 days 00:52:12.862000,0 days 00:52:41.420000,0 days 00:53:23.415000,102.0,278.0,297.0,334.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:51:49.394000,2022-07-22 12:36:49.404,12,,False,,False,True
0 days 01:07:31.949000,VER,1,,12.0,3.0,,0 days 00:54:59.726000,0 days 00:00:27.689000,0 days 00:00:32.291000,,0 days 00:53:51.270000,0 days 00:54:23.543000,,95.0,262.0,,267.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:53:23.415000,2022-07-22 12:38:23.425,1,,False,,False,False
0 days 01:09:52.748000,VER,1,,13.0,4.0,0 days 01:08:02.814000,,0 days 00:00:59.693000,0 days 00:00:31.479000,0 days 00:00:49.627000,0 days 01:08:31.642000,0 days 01:09:03.121000,0 days 01:09:52.748000,109.0,255.0,283.0,279.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:07:31.949000,2022-07-22 12:52:31.959,1,,False,,False,False
0 days 01:11:30.657000,VER,1,,14.0,4.0,,,0 days 00:00:24.836000,0 days 00:00:29.797000,0 days 00:00:43.276000,0 days 01:10:17.584000,0 days 01:10:47.381000,0 days 01:11:30.657000,110.0,272.0,284.0,313.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:09:52.748000,2022-07-22 12:54:52.758,1,,False,,False,True
0 days 01:13:09.423000,VER,1,,15.0,4.0,,,0 days 00:00:25.085000,0 days 00:00:29.981000,0 days 00:00:43.700000,0 days 01:11:55.742000,0 days 01:12:25.723000,0 days 01:13:09.423000,105.0,273.0,285.0,311.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:11:30.657000,2022-07-22 12:56:30.667,1,,False,,False,True
0 days 01:14:48.084000,VER,1,,16.0,4.0,,,0 days 00:00:24.990000,0 days 00:00:29.880000,0 days 00:00:43.791000,0 days 01:13:34.413000,0 days 01:14:04.293000,0 days 01:14:48.084000,102.0,273.0,286.0,314.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:13:09.423000,2022-07-22 12:58:09.433,1,,False,,False,True
0 days 01:16:27.887000,VER,1,,17.0,4.0,,,0 days 00:00:25.371000,0 days 00:00:30.241000,0 days 00:00:44.191000,0 days 01:15:13.455000,0 days 01:15:43.696000,0 days 01:16:27.887000,106.0,274.0,294.0,314.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:14:48.084000,2022-07-22 12:59:48.094,1,,False,,False,True
0 days 01:20:08.805000,VER,1,,18.0,4.0,,,0 days 00:00:42.059000,0 days 00:01:05.406000,,0 days 01:17:10.111000,0 days 01:18:15.479000,,71.0,112.0,120.0,111.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:16:27.887000,2022-07-22 13:01:27.897,1,,False,,False,False
0 days 01:21:43.766000,VER,1,,19.0,4.0,,0 days 01:21:43.766000,0 days 00:00:28.920000,0 days 00:00:31.238000,,0 days 01:20:37.853000,0 days 01:21:09.050000,,101.0,255.0,,289.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:20:08.805000,2022-07-22 13:05:08.815,1,,False,,False,False
