Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:19.510000,LEC,16,,1.0,1.0,0 days 00:14:36.601000,,0 days 00:00:51.772000,0 days 00:00:45.844000,0 days 00:01:17.192000,0 days 00:15:16.578000,0 days 00:16:02.383000,0 days 00:17:19.512000,81.0,179.0,299.0,173.0,False,SOFT,1.0,True,Ferrari,0 days 00:14:36.601000,2022-07-23 14:00:29.769,1,,False,,False,False
0 days 00:18:51.237000,LEC,16,,2.0,1.0,,,0 days 00:00:22.971000,0 days 00:00:28.083000,0 days 00:00:40.673000,0 days 00:17:42.481000,0 days 00:18:10.564000,0 days 00:18:51.237000,121.0,279.0,301.0,330.0,True,SOFT,2.0,True,Ferrari,0 days 00:17:19.510000,2022-07-23 14:03:12.678,1,,False,,False,True
0 days 00:21:42.556000,LEC,16,,3.0,1.0,,,0 days 00:00:40.512000,0 days 00:00:53.817000,0 days 00:01:16.943000,0 days 00:19:31.840000,0 days 00:20:25.628000,0 days 00:21:42.677000,74.0,145.0,138.0,149.0,False,SOFT,3.0,True,Ferrari,0 days 00:18:51.237000,2022-07-23 14:04:44.405,1,,False,,False,False
0 days 00:24:12.574000,LEC,16,,4.0,1.0,,,0 days 00:00:39.636000,0 days 00:00:45.344000,0 days 00:01:05.084000,0 days 00:22:22.146000,0 days 00:23:07.532000,0 days 00:24:12.750000,48.0,161.0,298.0,94.0,False,SOFT,4.0,True,Ferrari,0 days 00:21:42.556000,2022-07-23 14:07:35.724,1,,False,,False,False
0 days 00:39:56.646000,LEC,16,,5.0,1.0,,0 days 00:25:49.719000,0 days 00:00:23.087000,0 days 00:00:29.777000,,0 days 00:24:35.691000,0 days 00:25:05.432000,,118.0,250.0,,330.0,False,SOFT,5.0,True,Ferrari,0 days 00:24:12.574000,2022-07-23 14:10:05.742,1,,False,,False,False
0 days 00:42:26.406000,LEC,16,,6.0,2.0,0 days 00:39:56.646000,,0 days 00:00:48.977000,0 days 00:00:46.149000,0 days 00:01:00.764000,0 days 00:40:39.509000,0 days 00:41:25.642000,0 days 00:42:26.411000,81.0,170.0,298.0,169.0,False,SOFT,5.0,False,Ferrari,0 days 00:39:56.646000,2022-07-23 14:25:49.814,1,,False,,False,False
0 days 00:43:58.993000,LEC,16,,7.0,2.0,,,0 days 00:00:23.183000,0 days 00:00:28.212000,0 days 00:00:41.192000,0 days 00:42:49.589000,0 days 00:43:17.801000,0 days 00:43:58.993000,119.0,280.0,296.0,333.0,True,SOFT,6.0,False,Ferrari,0 days 00:42:26.406000,2022-07-23 14:28:19.574,1,,False,,False,True
0 days 00:50:28.044000,LEC,16,,8.0,2.0,,0 days 00:45:43.398000,0 days 00:00:28.725000,0 days 00:00:36.645000,,0 days 00:44:27.753000,0 days 00:45:04.382000,,93.0,227.0,,205.0,False,SOFT,7.0,False,Ferrari,0 days 00:43:58.993000,2022-07-23 14:29:52.161,1,,False,,False,False
0 days 00:52:57.381000,LEC,16,,9.0,3.0,0 days 00:50:28.044000,,0 days 00:00:48.898000,0 days 00:00:45.321000,0 days 00:01:03.100000,0 days 00:51:08.995000,0 days 00:51:54.286000,0 days 00:52:57.540000,79.0,178.0,298.0,181.0,False,SOFT,1.0,True,Ferrari,0 days 00:50:28.044000,2022-07-23 14:36:21.212,1,,False,,False,False
0 days 00:54:28.597000,LEC,16,,10.0,3.0,,,0 days 00:00:22.750000,0 days 00:00:27.988000,0 days 00:00:40.478000,0 days 00:53:20.131000,0 days 00:53:48.119000,0 days 00:54:28.597000,122.0,281.0,298.0,333.0,True,SOFT,2.0,True,Ferrari,0 days 00:52:57.381000,2022-07-23 14:38:50.549,1,,False,,False,True
0 days 01:02:16.707000,LEC,16,,11.0,3.0,,0 days 00:56:17.023000,0 days 00:00:30.937000,0 days 00:00:39.119000,,0 days 00:54:59.591000,0 days 00:55:38.668000,,88.0,248.0,,199.0,False,SOFT,3.0,True,Ferrari,0 days 00:54:28.597000,2022-07-23 14:40:21.765,1,,False,,False,False
0 days 01:05:03.154000,LEC,16,,12.0,4.0,0 days 01:02:16.707000,,0 days 00:01:11.884000,0 days 00:00:48.879000,0 days 00:01:15.378000,0 days 01:02:58.960000,0 days 01:03:47.787000,0 days 01:05:03.154000,84.0,150.0,299.0,137.0,False,SOFT,1.0,True,Ferrari,0 days 01:02:16.707000,2022-07-23 14:48:09.875,1,,False,,False,False
0 days 01:06:34.363000,LEC,16,,13.0,4.0,,,0 days 00:00:22.670000,0 days 00:00:28.149000,0 days 00:00:40.390000,0 days 01:05:25.824000,0 days 01:05:53.973000,0 days 01:06:34.363000,117.0,281.0,298.0,332.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:03.154000,2022-07-23 14:50:56.322,1,,False,,False,True
0 days 01:10:14.134000,LEC,16,,14.0,4.0,,0 days 01:08:14.268000,0 days 00:00:28.032000,0 days 00:00:36.413000,,0 days 01:07:02.431000,0 days 01:07:38.834000,,91.0,245.0,,205.0,False,SOFT,3.0,True,Ferrari,0 days 01:06:34.363000,2022-07-23 14:52:27.531,1,,False,,False,False
0 days 01:12:57.037000,LEC,16,,15.0,5.0,0 days 01:10:14.134000,,0 days 00:00:45.953000,0 days 00:00:56.628000,0 days 00:01:06.492000,0 days 01:10:53.917000,0 days 01:11:50.593000,0 days 01:12:57.191000,85.0,115.0,298.0,123.0,False,SOFT,1.0,True,Ferrari,0 days 01:10:14.134000,2022-07-23 14:56:07.302,1,,False,,False,False
0 days 01:14:27.909000,LEC,16,,16.0,5.0,,,0 days 00:00:22.660000,0 days 00:00:27.960000,0 days 00:00:40.252000,0 days 01:13:19.697000,0 days 01:13:47.657000,0 days 01:14:27.909000,119.0,280.0,299.0,330.0,True,SOFT,2.0,True,Ferrari,0 days 01:12:57.037000,2022-07-23 14:58:50.205,1,,False,,False,True
0 days 01:17:17.776000,LEC,16,,17.0,5.0,,0 days 01:17:17.776000,0 days 00:00:30.380000,0 days 00:00:39.274000,,0 days 01:14:58.290000,0 days 01:15:37.576000,,76.0,209.0,,209.0,False,SOFT,3.0,True,Ferrari,0 days 01:14:27.909000,2022-07-23 15:00:21.077,1,,False,,False,False
0 days 00:20:12.999000,VER,1,,1.0,1.0,0 days 00:17:56.392000,,0 days 00:00:41.962000,0 days 00:00:45.989000,0 days 00:00:54.804000,0 days 00:18:32.575000,0 days 00:19:18.232000,0 days 00:20:13.130000,48.0,242.0,304.0,183.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:56.392000,2022-07-23 14:03:49.560,1,,False,,False,False
0 days 00:21:44.890000,VER,1,,2.0,1.0,,,0 days 00:00:22.984000,0 days 00:00:28.008000,0 days 00:00:40.899000,0 days 00:20:35.983000,0 days 00:21:03.991000,0 days 00:21:44.890000,118.0,282.0,304.0,339.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:12.999000,2022-07-23 14:06:06.167,1,,False,,False,True
0 days 00:29:04.898000,VER,1,,3.0,1.0,,0 days 00:23:44.950000,0 days 00:00:34.776000,0 days 00:00:35.295000,,0 days 00:22:19.813000,0 days 00:22:54.984000,,102.0,190.0,,253.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:21:44.890000,2022-07-23 14:07:38.058,1,,False,,False,False
0 days 00:32:01.749000,VER,1,,4.0,2.0,0 days 00:29:04.898000,,0 days 00:00:50.389000,0 days 00:00:53.707000,0 days 00:01:18.875000,0 days 00:29:49.167000,0 days 00:30:42.948000,0 days 00:32:01.951000,77.0,152.0,303.0,141.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:29:04.898000,2022-07-23 14:14:58.066,1,,False,,False,False
0 days 00:40:26.808000,VER,1,,5.0,2.0,,0 days 00:33:28.717000,0 days 00:00:23.153000,0 days 00:00:28.102000,,0 days 00:32:24.932000,0 days 00:32:53.040000,,116.0,284.0,,339.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:32:01.749000,2022-07-23 14:17:54.917,1,,False,,False,False
0 days 00:42:59.448000,VER,1,,6.0,3.0,0 days 00:40:26.808000,,0 days 00:00:45.302000,0 days 00:00:46.101000,0 days 00:01:07.334000,0 days 00:41:06.013000,0 days 00:41:52.143000,0 days 00:42:59.664000,79.0,222.0,305.0,192.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:40:26.808000,2022-07-23 14:26:19.976,1,,False,,False,False
0 days 00:44:31.438000,VER,1,,7.0,3.0,,,0 days 00:00:22.867000,0 days 00:00:28.134000,0 days 00:00:40.989000,0 days 00:43:22.315000,0 days 00:43:50.449000,0 days 00:44:31.438000,118.0,283.0,304.0,339.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:59.448000,2022-07-23 14:28:52.616,1,,False,,False,True
0 days 01:02:19.845000,VER,1,,8.0,3.0,,0 days 00:46:11.809000,0 days 00:00:27.867000,0 days 00:00:33.518000,,0 days 00:44:59.358000,0 days 00:45:32.864000,,96.0,247.0,,255.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:31.438000,2022-07-23 14:30:24.606,1,,False,,False,False
0 days 01:05:12.399000,VER,1,,9.0,4.0,0 days 01:02:19.845000,,0 days 00:01:12.373000,0 days 00:00:57.769000,0 days 00:01:09.950000,0 days 01:03:04.681000,0 days 01:04:02.452000,0 days 01:05:12.399000,76.0,125.0,304.0,185.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:19.845000,2022-07-23 14:48:13.013,1,,False,,False,False
0 days 01:06:43.616000,VER,1,,10.0,4.0,,,0 days 00:00:22.814000,0 days 00:00:27.878000,0 days 00:00:40.525000,0 days 01:05:35.213000,0 days 01:06:03.091000,0 days 01:06:43.616000,121.0,284.0,304.0,339.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:05:12.399000,2022-07-23 14:51:05.567,1,,False,,False,True
0 days 01:10:16.970000,VER,1,,11.0,4.0,,0 days 01:08:16.181000,0 days 00:00:25.674000,0 days 00:00:31.768000,,0 days 01:07:09.304000,0 days 01:07:41.029000,,110.0,252.0,,263.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:06:43.616000,2022-07-23 14:52:36.784,1,,False,,False,False
0 days 01:13:09.150000,VER,1,,12.0,5.0,0 days 01:10:16.970000,,0 days 00:00:53.562000,0 days 00:01:02.140000,0 days 00:01:03.759000,0 days 01:11:03.303000,0 days 01:12:05.441000,0 days 01:13:09.314000,78.0,155.0,303.0,121.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:10:16.970000,2022-07-23 14:56:10.138,1,,False,,False,False
0 days 01:14:40.326000,VER,1,,13.0,5.0,,,0 days 00:00:22.821000,0 days 00:00:27.878000,0 days 00:00:40.477000,0 days 01:13:31.971000,0 days 01:13:59.849000,0 days 01:14:40.326000,123.0,283.0,303.0,338.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:09.150000,2022-07-23 14:59:02.318,1,,False,,False,True
0 days 01:17:17.747000,VER,1,,14.0,5.0,,0 days 01:17:17.747000,0 days 00:00:29.045000,0 days 00:00:35.785000,,0 days 01:15:09.402000,0 days 01:15:45.148000,,97.0,243.0,,200.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:14:40.326000,2022-07-23 15:00:33.494,1,,False,,False,False
0 days 00:17:34.591000,PER,11,,1.0,1.0,0 days 00:14:48.697000,,0 days 00:00:48.164000,0 days 00:00:46.469000,0 days 00:01:18.717000,0 days 00:15:29.586000,0 days 00:16:15.917000,0 days 00:17:34.616000,75.0,152.0,304.0,159.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:14:48.697000,2022-07-23 14:00:41.865,1,,False,,False,False
0 days 00:19:06.945000,PER,11,,2.0,1.0,,,0 days 00:00:23.278000,0 days 00:00:28.043000,0 days 00:00:41.033000,0 days 00:17:57.869000,0 days 00:18:25.912000,0 days 00:19:06.945000,113.0,283.0,301.0,337.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:34.591000,2022-07-23 14:03:27.759,1,,False,,False,True
0 days 00:21:51.442000,PER,11,,3.0,1.0,,,0 days 00:00:39.479000,0 days 00:00:53.645000,0 days 00:01:11.333000,0 days 00:19:46.684000,0 days 00:20:40.181000,0 days 00:21:51.566000,72.0,145.0,237.0,154.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:06.945000,2022-07-23 14:05:00.113,1,,False,,False,False
0 days 00:24:21.391000,PER,11,,4.0,1.0,,,,,0 days 00:00:59.538000,,,0 days 00:24:21.397000,,179.0,303.0,109.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:21:51.442000,2022-07-23 14:07:44.610,1,,False,,False,False
0 days 00:28:50.776000,PER,11,,5.0,1.0,,0 days 00:25:47.557000,0 days 00:00:23.146000,0 days 00:00:28.306000,,0 days 00:24:44.533000,0 days 00:25:12.678000,,114.0,283.0,,337.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:24:21.391000,2022-07-23 14:10:14.559,1,,False,,False,False
