Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:51.701000,31.0,46.0,968.2,False,56.1,6,2.2
0 days 00:01:51.700000,30.9,46.0,968.0,False,55.5,17,1.8
0 days 00:02:51.696000,31.0,46.0,968.0,False,56.0,347,0.8
0 days 00:03:51.696000,31.2,45.0,968.0,False,56.2,347,2.0
0 days 00:04:51.695000,31.2,45.0,968.0,False,56.1,31,2.0
0 days 00:05:51.696000,31.2,46.0,968.0,False,55.6,60,1.8
0 days 00:06:51.695000,31.2,45.0,968.0,False,56.1,348,1.7
0 days 00:07:51.694000,31.0,46.0,968.0,False,55.9,64,2.9
0 days 00:08:51.711000,30.9,47.0,968.0,False,55.9,68,1.7
0 days 00:09:51.825000,30.9,47.0,968.0,False,55.9,50,2.7
0 days 00:10:51.696000,31.4,47.0,967.9,False,55.9,39,2.0
0 days 00:11:51.700000,31.2,47.0,967.9,False,55.7,51,2.5
0 days 00:12:51.703000,30.6,47.0,967.9,False,55.7,93,1.7
0 days 00:13:51.698000,30.6,47.0,967.9,False,56.3,170,1.7
0 days 00:14:51.698000,30.6,47.0,967.9,False,56.0,231,1.6
0 days 00:15:51.698000,30.7,46.0,967.9,False,55.9,120,1.8
0 days 00:16:51.717000,30.6,46.0,968.0,False,55.9,52,0.8
0 days 00:17:51.710000,30.7,45.0,968.0,False,56.1,85,1.2
0 days 00:18:51.695000,30.7,45.0,967.9,False,56.1,129,1.8
0 days 00:19:51.708000,30.7,45.0,967.7,False,56.1,104,2.0
0 days 00:20:51.700000,30.7,45.0,968.0,False,55.7,163,1.6
0 days 00:21:51.698000,30.7,45.0,968.0,False,55.6,148,2.9
0 days 00:22:51.705000,30.6,46.0,967.9,False,55.3,117,2.7
0 days 00:23:51.696000,30.7,46.0,967.7,False,54.7,83,3.0
0 days 00:24:51.699000,30.8,46.0,967.9,False,54.7,176,1.8
0 days 00:25:51.698000,30.6,46.0,967.9,False,55.2,77,1.8
0 days 00:26:51.700000,30.6,47.0,967.9,False,55.6,68,2.2
0 days 00:27:51.695000,30.6,46.0,967.9,False,55.6,0,1.7
0 days 00:28:51.701000,30.5,47.0,967.9,False,54.8,120,1.7
0 days 00:29:51.698000,30.5,46.0,967.9,False,54.8,322,2.0
0 days 00:30:51.697000,30.6,45.0,967.9,False,54.8,140,1.2
0 days 00:31:51.721000,30.4,45.0,967.7,False,54.8,93,1.6
0 days 00:32:51.700000,30.4,44.0,967.7,False,55.1,51,1.7
0 days 00:33:51.698000,30.6,44.0,967.7,False,55.5,61,1.5
0 days 00:34:51.699000,30.6,44.0,967.9,False,55.4,29,2.0
0 days 00:35:51.699000,30.8,43.0,967.7,False,55.4,129,2.0
0 days 00:36:51.699000,30.8,44.0,967.7,False,55.2,192,1.8
0 days 00:37:51.698000,30.6,45.0,967.9,False,54.4,133,2.0
0 days 00:38:51.699000,30.6,44.0,967.9,False,54.4,125,2.2
0 days 00:39:51.699000,30.5,44.0,967.9,False,55.0,93,1.5
0 days 00:40:51.704000,30.5,45.0,967.9,False,54.6,223,1.2
0 days 00:41:51.696000,30.6,44.0,967.7,False,54.3,180,1.2
0 days 00:42:51.699000,30.7,44.0,967.7,False,54.3,76,1.5
0 days 00:43:51.697000,30.7,44.0,967.7,False,54.3,89,1.7
0 days 00:44:51.696000,30.5,44.0,967.7,False,54.8,10,2.2
0 days 00:45:51.699000,30.7,44.0,967.7,False,55.1,32,2.0
0 days 00:46:51.724000,30.6,43.0,967.7,False,55.3,140,1.5
0 days 00:47:51.701000,30.6,43.0,967.9,False,55.0,162,1.5
0 days 00:48:51.697000,30.4,43.0,967.9,False,54.4,120,1.8
0 days 00:49:51.706000,30.3,44.0,967.7,False,54.2,151,2.9
0 days 00:50:51.705000,30.2,45.0,967.7,False,54.2,121,3.4
0 days 00:51:51.698000,30.1,45.0,967.7,False,53.8,149,2.4
0 days 00:52:51.700000,30.1,45.0,967.7,False,53.8,160,2.7
0 days 00:53:51.700000,30.2,45.0,967.7,False,54.3,30,2.2
0 days 00:54:51.703000,30.2,45.0,967.7,False,54.3,311,0.8
0 days 00:55:51.709000,30.3,44.0,967.7,False,54.1,30,1.5
0 days 00:56:51.716000,30.3,43.0,967.7,False,54.5,161,2.2
0 days 00:57:51.705000,30.3,44.0,967.7,False,54.1,115,2.5
0 days 00:58:51.690000,30.3,45.0,967.7,False,53.6,168,2.2
0 days 00:59:51.701000,30.2,44.0,967.7,False,53.6,128,2.5
0 days 01:00:51.701000,30.0,45.0,967.7,False,53.9,146,2.0
0 days 01:01:51.705000,30.1,46.0,967.7,False,53.6,103,2.0
0 days 01:02:51.702000,30.1,45.0,967.7,False,53.7,112,1.8
0 days 01:03:51.699000,30.3,45.0,967.7,False,53.7,89,2.0
0 days 01:04:51.717000,30.3,45.0,967.7,False,53.7,244,1.6
0 days 01:05:51.701000,30.3,45.0,967.5,False,53.7,78,1.7
0 days 01:06:51.699000,30.1,46.0,967.7,False,53.7,74,2.2
0 days 01:07:51.703000,30.1,46.0,967.7,False,53.4,125,1.5
0 days 01:08:51.699000,30.2,46.0,967.7,False,53.7,70,1.7
0 days 01:09:51.752000,30.3,45.0,967.7,False,54.2,106,1.6
0 days 01:10:51.702000,30.2,46.0,967.7,False,54.1,302,1.5
0 days 01:11:51.700000,30.0,46.0,967.7,False,53.6,33,1.6
0 days 01:12:51.690000,29.8,46.0,967.7,False,53.6,156,2.0
0 days 01:13:51.701000,29.8,46.0,967.7,False,53.6,73,1.5
0 days 01:14:51.704000,29.9,46.0,967.7,False,53.6,72,1.6
0 days 01:15:51.713000,29.9,46.0,967.9,False,53.7,161,1.7
0 days 01:16:51.708000,29.9,46.0,967.7,False,53.5,141,1.6
