Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:44:24.903000,VER,1,,1.0,1.0,,,,0 days 00:00:29.745000,0 days 00:00:43.526000,,0 days 00:43:41.462000,0 days 00:44:25.051000,106.0,277.0,288.0,314.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:42:40.279000,2022-07-24 13:03:40.570,12,2.0,False,,False,False
0 days 00:46:03.233000,VER,1,,2.0,1.0,,,0 days 00:00:25.101000,0 days 00:00:29.683000,0 days 00:00:43.546000,0 days 00:44:50.080000,0 days 00:45:19.763000,0 days 00:46:03.309000,109.0,276.0,288.0,312.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:44:24.903000,2022-07-24 13:05:25.194,1,2.0,False,,False,True
0 days 00:47:41.350000,VER,1,,3.0,1.0,,,0 days 00:00:24.930000,0 days 00:00:29.604000,0 days 00:00:43.583000,0 days 00:46:28.239000,0 days 00:46:57.843000,0 days 00:47:41.426000,107.0,277.0,298.0,331.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:46:03.233000,2022-07-24 13:07:03.524,1,2.0,False,,False,True
0 days 00:49:19.740000,VER,1,,4.0,1.0,,,0 days 00:00:25.088000,0 days 00:00:29.607000,0 days 00:00:43.695000,0 days 00:48:06.514000,0 days 00:48:36.121000,0 days 00:49:19.816000,105.0,277.0,289.0,329.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:47:41.350000,2022-07-24 13:08:41.641,1,2.0,False,,False,True
0 days 00:50:58.460000,VER,1,,5.0,1.0,,,0 days 00:00:25.082000,0 days 00:00:29.713000,0 days 00:00:43.925000,0 days 00:49:44.898000,0 days 00:50:14.611000,0 days 00:50:58.536000,107.0,276.0,298.0,334.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:49:19.740000,2022-07-24 13:10:20.031,1,2.0,False,,False,True
0 days 00:52:37.094000,VER,1,,6.0,1.0,,,0 days 00:00:25.036000,0 days 00:00:29.828000,0 days 00:00:43.770000,0 days 00:51:23.572000,0 days 00:51:53.400000,0 days 00:52:37.170000,106.0,278.0,298.0,333.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:50:58.460000,2022-07-24 13:11:58.751,1,2.0,False,,False,True
0 days 00:54:16.313000,VER,1,,7.0,1.0,,,0 days 00:00:25.215000,0 days 00:00:30.021000,0 days 00:00:43.983000,0 days 00:53:02.385000,0 days 00:53:32.406000,0 days 00:54:16.389000,,277.0,299.0,337.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:52:37.094000,2022-07-24 13:13:37.385,1,2.0,False,,False,True
0 days 00:55:55.472000,VER,1,,8.0,1.0,,,0 days 00:00:25.264000,0 days 00:00:29.965000,0 days 00:00:43.930000,0 days 00:54:41.653000,0 days 00:55:11.618000,0 days 00:55:55.548000,109.0,278.0,299.0,334.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:54:16.313000,2022-07-24 13:15:16.604,1,2.0,False,,False,True
0 days 00:57:34.602000,VER,1,,9.0,1.0,,,0 days 00:00:25.135000,0 days 00:00:29.977000,0 days 00:00:44.018000,0 days 00:56:20.683000,0 days 00:56:50.660000,0 days 00:57:34.678000,,278.0,299.0,329.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:55:55.472000,2022-07-24 13:16:55.763,1,2.0,True,TRACK LIMITS AT TURN 6 LAP 9 ,False,True
0 days 00:59:13.645000,VER,1,,10.0,1.0,,,0 days 00:00:25.203000,0 days 00:00:30.111000,0 days 00:00:43.729000,0 days 00:57:59.881000,0 days 00:58:29.992000,0 days 00:59:13.721000,106.0,277.0,299.0,326.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:57:34.602000,2022-07-24 13:18:34.893,1,2.0,False,,False,True
