Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:08:48.262000,29.7,47.0,968.2,False,43.3,333,0.8
0 days 00:09:48.259000,29.8,48.0,968.2,False,44.4,167,1.2
0 days 00:10:48.260000,30.1,48.0,968.2,False,45.4,183,1.2
0 days 00:11:48.279000,30.1,47.0,968.2,False,45.5,151,1.5
0 days 00:12:48.281000,30.0,48.0,968.2,False,45.3,13,1.3
0 days 00:13:48.301000,30.0,46.0,968.2,False,45.2,342,1.6
0 days 00:14:48.302000,30.1,45.0,968.2,False,45.1,152,0.8
0 days 00:15:48.306000,30.4,44.0,968.2,False,45.4,132,1.5
0 days 00:16:48.309000,30.3,43.0,968.2,False,45.4,52,0.8
0 days 00:17:48.305000,30.1,44.0,968.2,False,45.4,60,1.2
0 days 00:18:48.306000,30.1,45.0,968.2,False,60.3,62,0.8
0 days 00:19:48.305000,30.5,44.0,968.0,False,66.8,96,1.5
0 days 00:20:48.306000,30.4,46.0,968.2,False,67.0,0,0.8
0 days 00:21:48.322000,30.6,42.0,968.2,False,61.2,161,1.0
0 days 00:22:48.338000,30.7,42.0,968.2,False,60.3,21,0.6
0 days 00:23:48.355000,30.7,39.0,968.2,False,59.5,48,0.5
0 days 00:24:48.354000,30.8,40.0,968.2,False,59.7,0,1.2
0 days 00:25:48.355000,30.7,42.0,968.0,False,56.9,125,1.2
0 days 00:26:48.354000,30.7,43.0,968.0,False,56.1,44,1.3
0 days 00:27:48.366000,30.5,42.0,968.2,False,52.8,68,0.8
0 days 00:28:48.357000,30.3,44.0,968.0,False,55.0,181,1.7
0 days 00:29:48.364000,30.2,44.0,968.0,False,55.0,135,1.8
0 days 00:30:48.353000,30.2,45.0,968.2,False,53.0,153,2.4
0 days 00:31:48.353000,30.1,45.0,968.0,False,53.0,157,1.7
0 days 00:32:48.353000,30.1,45.0,968.0,False,51.3,153,1.8
0 days 00:33:48.354000,30.3,46.0,968.2,False,49.4,167,2.4
0 days 00:34:48.362000,30.3,46.0,968.0,False,47.3,142,2.0
0 days 00:35:48.356000,30.2,45.0,968.0,False,51.3,66,2.0
0 days 00:36:48.369000,30.0,43.0,968.2,False,51.3,130,1.2
0 days 00:37:48.380000,30.3,43.0,968.0,False,54.1,60,1.3
0 days 00:38:48.381000,30.4,42.0,968.0,False,51.3,22,1.1
0 days 00:39:48.370000,30.3,43.0,968.0,False,50.9,163,1.2
0 days 00:40:48.383000,30.4,44.0,968.0,False,50.9,0,1.1
0 days 00:41:48.388000,30.3,43.0,968.0,False,51.1,122,2.0
0 days 00:42:48.390000,30.3,44.0,968.0,False,51.1,308,1.2
0 days 00:43:48.393000,30.4,43.0,968.0,False,52.3,149,1.2
0 days 00:44:48.388000,30.5,44.0,968.0,False,52.3,150,1.3
0 days 00:45:48.388000,30.4,45.0,968.0,False,52.8,146,3.4
0 days 00:46:48.390000,30.3,47.0,968.0,False,52.2,109,2.7
0 days 00:47:48.395000,30.3,47.0,968.0,False,52.2,27,3.0
0 days 00:48:48.390000,30.3,47.0,968.0,False,52.2,38,1.7
0 days 00:49:48.389000,30.3,46.0,968.0,False,52.2,165,1.8
0 days 00:50:48.395000,30.3,47.0,967.9,False,52.8,165,1.7
0 days 00:51:48.394000,30.4,47.0,968.0,False,54.1,113,2.7
0 days 00:52:48.390000,30.4,45.0,968.0,False,54.4,147,2.4
0 days 00:53:48.387000,30.3,45.0,968.0,False,54.0,130,2.4
0 days 00:54:48.393000,30.3,46.0,968.0,False,54.0,8,2.2
0 days 00:55:48.391000,30.4,47.0,968.0,False,53.4,153,1.7
0 days 00:56:48.390000,30.6,46.0,967.9,False,54.1,154,2.2
0 days 00:57:48.391000,30.6,46.0,968.0,False,54.1,136,4.0
0 days 00:58:48.391000,30.6,47.0,968.0,False,54.1,166,2.5
0 days 00:59:48.390000,30.5,47.0,968.0,False,53.8,61,2.5
0 days 01:00:48.392000,30.4,47.0,967.9,False,54.6,152,2.2
0 days 01:01:48.391000,30.3,47.0,968.0,False,54.6,147,2.0
0 days 01:02:48.389000,30.3,46.0,968.0,False,55.5,161,2.7
0 days 01:03:48.407000,30.1,46.0,967.9,False,55.4,158,2.9
0 days 01:04:48.391000,30.1,47.0,968.0,False,54.8,131,2.2
0 days 01:05:48.391000,30.1,47.0,967.9,False,55.0,141,2.0
0 days 01:06:48.404000,30.2,47.0,968.0,False,55.0,110,2.0
0 days 01:07:48.389000,30.3,47.0,968.0,False,55.1,165,2.5
0 days 01:08:48.394000,30.4,46.0,967.9,False,55.3,120,3.5
0 days 01:09:48.406000,30.4,47.0,968.0,False,55.2,154,2.4
0 days 01:10:48.432000,30.4,47.0,968.0,False,54.9,110,3.0
0 days 01:11:48.412000,30.3,48.0,968.0,False,54.9,97,3.5
0 days 01:12:48.415000,30.2,47.0,967.9,False,54.9,152,2.2
0 days 01:13:48.437000,30.1,47.0,968.0,False,55.4,139,2.7
0 days 01:14:48.448000,30.1,48.0,968.0,False,55.7,140,2.2
0 days 01:15:48.436000,30.2,48.0,967.9,False,55.5,164,3.5
