Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:40.904000,17.1,64.0,998.4,False,26.8,236,3.5
0 days 00:01:40.900000,17.2,64.0,998.4,False,26.7,240,2.5
0 days 00:02:40.899000,17.3,65.0,998.4,False,26.8,239,3.0
0 days 00:03:40.907000,17.3,64.0,998.2,False,26.9,230,3.4
0 days 00:04:40.904000,17.3,65.0,998.4,False,26.6,242,3.0
0 days 00:05:40.903000,17.4,65.0,998.4,False,27.0,254,2.7
0 days 00:06:40.900000,17.5,64.0,998.4,False,27.0,241,3.5
0 days 00:07:40.905000,17.3,63.0,998.4,False,26.9,250,3.4
0 days 00:08:40.900000,17.3,64.0,998.4,False,26.7,249,2.7
0 days 00:09:40.915000,17.3,64.0,998.5,False,26.6,219,3.5
0 days 00:10:40.937000,17.4,63.0,998.4,False,26.6,277,3.0
0 days 00:11:40.933000,17.2,62.0,998.5,False,26.0,251,3.2
0 days 00:12:40.934000,16.9,62.0,998.5,True,25.7,245,3.7
0 days 00:13:40.929000,16.7,62.0,998.5,True,25.3,251,2.0
0 days 00:14:40.931000,16.5,64.0,998.5,True,24.8,246,2.2
0 days 00:15:40.947000,16.4,65.0,998.5,True,24.2,263,3.4
0 days 00:16:40.940000,16.3,65.0,998.5,True,24.2,255,2.0
0 days 00:17:40.944000,16.2,66.0,998.5,True,22.9,266,2.7
0 days 00:18:40.946000,16.1,67.0,998.7,True,22.8,246,2.9
0 days 00:19:40.931000,15.9,68.0,998.7,True,22.4,255,2.7
0 days 00:20:40.932000,15.7,68.0,998.5,True,22.0,274,3.0
0 days 00:21:40.920000,15.7,68.0,998.7,True,21.9,250,1.5
0 days 00:22:40.929000,15.7,70.0,998.7,True,21.9,286,0.8
0 days 00:23:40.932000,15.8,72.0,998.5,True,21.9,258,1.1
0 days 00:24:40.932000,15.7,70.0,998.7,True,21.9,252,1.7
0 days 00:25:40.931000,15.4,72.0,998.5,True,22.0,249,1.8
0 days 00:26:40.932000,15.5,73.0,998.5,True,22.0,254,1.7
0 days 00:27:40.933000,15.4,73.0,998.5,True,22.1,268,2.0
0 days 00:28:40.933000,15.3,73.0,998.5,True,22.1,245,2.9
0 days 00:29:40.933000,15.3,75.0,998.5,True,22.4,240,1.7
0 days 00:30:40.933000,15.4,75.0,998.5,True,22.4,228,1.3
0 days 00:31:40.941000,15.4,76.0,998.7,True,23.1,243,1.7
0 days 00:32:40.932000,15.6,77.0,998.5,True,24.1,243,1.5
0 days 00:33:40.933000,15.6,79.0,998.5,True,24.7,54,1.5
0 days 00:34:40.931000,15.6,79.0,998.5,True,25.6,267,0.6
0 days 00:35:40.936000,15.7,79.0,998.5,True,25.6,301,1.7
0 days 00:36:40.944000,15.9,80.0,998.5,False,25.8,251,1.6
0 days 00:37:40.934000,16.1,79.0,998.5,False,25.8,217,2.7
0 days 00:38:40.946000,16.0,79.0,998.5,False,26.9,250,2.2
0 days 00:39:40.948000,16.0,81.0,998.5,True,27.1,251,1.2
0 days 00:40:40.920000,16.1,81.0,998.5,True,27.4,259,2.0
0 days 00:41:40.936000,16.3,78.0,998.4,False,27.8,252,0.8
0 days 00:42:40.933000,16.5,80.0,998.5,False,27.9,254,0.8
0 days 00:43:40.938000,16.5,79.0,998.2,False,28.6,223,1.8
0 days 00:44:40.933000,16.2,75.0,998.4,False,28.6,222,1.8
0 days 00:45:40.942000,16.3,74.0,998.4,False,27.8,256,2.7
0 days 00:46:40.931000,16.1,71.0,998.4,False,26.8,218,3.4
0 days 00:47:40.940000,16.0,72.0,998.2,False,25.5,249,1.7
0 days 00:48:40.931000,16.2,72.0,998.4,False,25.5,238,2.2
0 days 00:49:40.931000,16.3,70.0,998.4,False,25.5,251,2.5
0 days 00:50:40.934000,16.2,71.0,998.5,True,24.6,231,2.2
0 days 00:51:40.932000,16.2,71.0,998.4,True,24.5,295,1.8
0 days 00:52:40.934000,16.3,69.0,998.4,True,24.1,220,1.7
0 days 00:53:40.932000,16.5,71.0,998.5,True,24.0,247,1.7
0 days 00:54:40.948000,16.4,72.0,998.5,True,23.8,226,2.2
0 days 00:55:40.961000,16.4,70.0,998.5,True,23.4,222,1.5
0 days 00:56:40.979000,16.2,71.0,998.4,True,23.2,268,1.7
0 days 00:57:40.980000,16.2,71.0,998.5,False,23.1,254,2.2
0 days 00:58:40.978000,16.1,71.0,998.4,False,23.1,236,2.2
0 days 00:59:40.978000,16.1,72.0,998.5,True,22.9,208,1.8
0 days 01:00:40.978000,16.0,71.0,998.4,True,23.0,241,2.2
0 days 01:01:40.977000,16.1,71.0,998.4,True,22.8,246,2.0
0 days 01:02:40.995000,16.1,71.0,998.5,True,22.5,212,1.7
0 days 01:03:41.007000,16.0,72.0,998.4,True,22.5,212,1.3
0 days 01:04:41.018000,16.1,72.0,998.4,True,22.7,254,1.2
0 days 01:05:41.011000,16.1,73.0,998.4,True,22.7,253,1.2
0 days 01:06:41.029000,15.9,72.0,998.5,True,22.7,268,1.8
0 days 01:07:41.026000,16.1,73.0,998.5,False,24.2,211,1.6
0 days 01:08:41.041000,16.3,72.0,998.4,False,25.2,195,0.8
0 days 01:09:41.057000,16.4,73.0,998.4,False,26.1,274,1.0
0 days 01:10:41.061000,16.5,72.0,998.4,False,26.4,198,0.8
0 days 01:11:41.060000,16.5,71.0,998.4,False,26.4,240,0.8
0 days 01:12:41.057000,16.7,72.0,998.4,False,26.4,240,1.3
0 days 01:13:41.063000,16.6,70.0,998.4,False,25.2,221,1.3
0 days 01:14:41.056000,16.8,70.0,998.4,True,24.8,267,1.3
0 days 01:15:41.058000,16.9,70.0,998.4,True,24.6,263,1.8
0 days 01:16:41.056000,16.8,69.0,998.4,True,24.4,212,1.1
