Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:56.620000,SAI,55,,1.0,1.0,0 days 00:15:18.093000,,,0 days 00:00:47.856000,0 days 00:01:08.004000,,0 days 00:16:48.706000,0 days 00:17:56.620000,233.0,208.0,193.0,230.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:15:18.093000,2022-07-02 14:00:18.102,1,,False,,False,False
0 days 00:19:46.262000,SAI,55,,2.0,1.0,,,0 days 00:00:34.756000,0 days 00:00:43.767000,0 days 00:00:31.119000,0 days 00:18:31.376000,0 days 00:19:15.143000,0 days 00:19:46.262000,284.0,238.0,201.0,280.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 00:17:56.620000,2022-07-02 14:02:56.629,12,,False,,False,True
0 days 00:21:38.972000,SAI,55,,3.0,1.0,,,0 days 00:00:34.274000,0 days 00:00:44.077000,0 days 00:00:34.359000,0 days 00:20:20.536000,0 days 00:21:04.613000,0 days 00:21:38.972000,291.0,209.0,218.0,212.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 00:19:46.262000,2022-07-02 14:04:46.271,1,,False,,False,True
0 days 00:23:22.435000,SAI,55,,4.0,1.0,,,0 days 00:00:33.018000,0 days 00:00:41.892000,0 days 00:00:28.553000,0 days 00:22:11.990000,0 days 00:22:53.882000,0 days 00:23:22.435000,290.0,242.0,225.0,293.0,True,INTERMEDIATE,4.0,True,Ferrari,0 days 00:21:38.972000,2022-07-02 14:06:38.981,1,,False,,False,True
0 days 00:25:14.374000,SAI,55,,5.0,1.0,,,0 days 00:00:32.378000,0 days 00:00:41.531000,0 days 00:00:38.030000,0 days 00:23:54.813000,0 days 00:24:36.344000,0 days 00:25:14.374000,293.0,241.0,226.0,296.0,False,INTERMEDIATE,5.0,True,Ferrari,0 days 00:23:22.435000,2022-07-02 14:08:22.444,1,,False,,False,True
0 days 00:26:55.652000,SAI,55,,6.0,1.0,,,0 days 00:00:31.957000,0 days 00:00:40.933000,0 days 00:00:28.388000,0 days 00:25:46.331000,0 days 00:26:27.264000,0 days 00:26:55.652000,294.0,243.0,230.0,294.0,True,INTERMEDIATE,6.0,True,Ferrari,0 days 00:25:14.374000,2022-07-02 14:10:14.383,1,,False,,False,True
0 days 00:28:47.056000,SAI,55,,7.0,1.0,,,0 days 00:00:31.870000,0 days 00:00:48.579000,0 days 00:00:30.955000,0 days 00:27:27.522000,0 days 00:28:16.101000,0 days 00:28:47.056000,295.0,219.0,232.0,268.0,False,INTERMEDIATE,7.0,True,Ferrari,0 days 00:26:55.652000,2022-07-02 14:11:55.661,1,,False,,False,True
0 days 00:30:27.671000,SAI,55,,8.0,1.0,,,0 days 00:00:31.699000,0 days 00:00:40.722000,0 days 00:00:28.194000,0 days 00:29:18.755000,0 days 00:29:59.477000,0 days 00:30:27.671000,294.0,245.0,230.0,295.0,True,INTERMEDIATE,8.0,True,Ferrari,0 days 00:28:47.056000,2022-07-02 14:13:47.065,1,,False,,False,True
0 days 00:32:29.627000,SAI,55,,9.0,1.0,,,0 days 00:00:39.667000,0 days 00:00:48.122000,0 days 00:00:34.167000,0 days 00:31:07.338000,0 days 00:31:55.460000,0 days 00:32:29.627000,250.0,226.0,228.0,280.0,False,INTERMEDIATE,9.0,True,Ferrari,0 days 00:30:27.671000,2022-07-02 14:15:27.680,1,,False,,False,True
0 days 00:34:09.817000,SAI,55,,10.0,1.0,,,0 days 00:00:31.472000,0 days 00:00:40.544000,0 days 00:00:28.174000,0 days 00:33:01.099000,0 days 00:33:41.643000,0 days 00:34:09.817000,295.0,244.0,232.0,297.0,True,INTERMEDIATE,10.0,True,Ferrari,0 days 00:32:29.627000,2022-07-02 14:17:29.636,1,,False,,False,True
0 days 00:36:03.786000,SAI,55,,11.0,1.0,,0 days 00:35:57.778000,0 days 00:00:37.355000,0 days 00:00:46.762000,0 days 00:00:29.852000,0 days 00:34:47.172000,0 days 00:35:33.934000,0 days 00:36:03.786000,245.0,214.0,,263.0,False,INTERMEDIATE,11.0,True,Ferrari,0 days 00:34:09.817000,2022-07-02 14:19:09.826,1,,False,,False,False
