Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:55.696000,VER,1,,1.0,1.0,0 days 00:15:56.093000,,,0 days 00:00:50.993000,0 days 00:00:35.202000,,0 days 00:17:20.704000,0 days 00:17:55.764000,263.0,203.0,249.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:56.093000,2022-07-29 12:00:56.103,1,,False,,False,False
0 days 00:19:16.931000,VER,1,,2.0,1.0,,,0 days 00:00:29.047000,0 days 00:00:29.441000,0 days 00:00:22.747000,0 days 00:18:24.743000,0 days 00:18:54.184000,0 days 00:19:16.931000,277.0,245.0,249.0,300.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:55.696000,2022-07-29 12:02:55.706,12,,False,,False,True
0 days 00:22:05.560000,VER,1,,3.0,1.0,,,0 days 00:00:58.596000,0 days 00:01:05.369000,0 days 00:00:44.658000,0 days 00:20:15.772000,0 days 00:21:21.128000,0 days 00:22:05.640000,95.0,87.0,188.0,206.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:16.931000,2022-07-29 12:04:16.941,1,,False,,False,False
0 days 00:24:16.116000,VER,1,,4.0,1.0,,,0 days 00:00:50.167000,0 days 00:00:52.710000,0 days 00:00:27.679000,0 days 00:22:55.727000,0 days 00:23:48.437000,0 days 00:24:16.116000,122.0,133.0,251.0,216.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:22:05.560000,2022-07-29 12:07:05.570,1,,False,,False,True
0 days 00:25:36.359000,VER,1,,5.0,1.0,,,0 days 00:00:28.774000,0 days 00:00:28.799000,0 days 00:00:22.670000,0 days 00:24:44.890000,0 days 00:25:13.689000,0 days 00:25:36.359000,278.0,243.0,249.0,301.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:24:16.116000,2022-07-29 12:09:16.126,1,,False,,False,True
0 days 00:27:56.243000,VER,1,,6.0,1.0,,0 days 00:27:54.518000,0 days 00:00:54.558000,0 days 00:00:52.063000,0 days 00:00:33.263000,0 days 00:26:30.917000,0 days 00:27:22.980000,0 days 00:27:56.243000,150.0,177.0,,229.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:25:36.359000,2022-07-29 12:10:36.369,1,,False,,False,False
0 days 00:30:43.956000,VER,1,,7.0,2.0,0 days 00:28:17.959000,,0 days 00:01:05.898000,0 days 00:00:54.397000,0 days 00:00:47.422000,0 days 00:29:02.365000,0 days 00:29:56.712000,0 days 00:30:44.067000,105.0,109.0,252.0,,False,SOFT,7.0,False,Red Bull Racing,0 days 00:27:56.243000,2022-07-29 12:12:56.253,1,,False,,False,False
0 days 00:32:03.828000,VER,1,,8.0,2.0,,,0 days 00:00:28.782000,0 days 00:00:28.590000,0 days 00:00:22.500000,0 days 00:31:12.738000,0 days 00:31:41.328000,0 days 00:32:03.828000,280.0,247.0,250.0,304.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:30:43.956000,2022-07-29 12:15:43.966,1,,False,,False,True
0 days 00:34:06.422000,VER,1,,9.0,2.0,,0 days 00:34:04.688000,0 days 00:00:35.754000,0 days 00:00:48.379000,0 days 00:00:38.461000,0 days 00:32:39.582000,0 days 00:33:27.961000,0 days 00:34:06.422000,205.0,112.0,,220.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:32:03.828000,2022-07-29 12:17:03.838,1,,False,,False,False
0 days 00:36:43.023000,VER,1,,10.0,3.0,0 days 00:34:28.051000,,0 days 00:01:09.739000,0 days 00:00:57.742000,0 days 00:00:29.115000,0 days 00:35:16.410000,0 days 00:36:14.087000,0 days 00:36:43.114000,128.0,114.0,252.0,,False,SOFT,10.0,False,Red Bull Racing,0 days 00:34:06.422000,2022-07-29 12:19:06.432,1,,False,,False,False
0 days 00:38:02.693000,VER,1,,11.0,3.0,,,0 days 00:00:28.775000,0 days 00:00:28.464000,0 days 00:00:22.431000,0 days 00:37:11.798000,0 days 00:37:40.262000,0 days 00:38:02.693000,280.0,244.0,250.0,301.0,True,SOFT,11.0,False,Red Bull Racing,0 days 00:36:43.023000,2022-07-29 12:21:43.033,1,,False,,False,True
