Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:24.623000,RUS,63,,1.0,1.0,0 days 00:15:36.540000,,,0 days 00:00:35.631000,0 days 00:00:37.293000,,0 days 00:16:47.453000,0 days 00:17:24.651000,250.0,222.0,250.0,,False,SOFT,1.0,True,Mercedes,0 days 00:15:36.540000,2022-07-30 14:01:02.280,1,,False,,False,False
0 days 00:18:44.440000,RUS,63,,2.0,1.0,,,0 days 00:00:28.748000,0 days 00:00:28.857000,0 days 00:00:22.212000,0 days 00:17:53.371000,0 days 00:18:22.228000,0 days 00:18:44.440000,279.0,246.0,254.0,300.0,True,SOFT,2.0,True,Mercedes,0 days 00:17:24.623000,2022-07-30 14:02:50.363,1,,False,,False,True
0 days 00:20:47.265000,RUS,63,,3.0,1.0,,,0 days 00:00:38.235000,0 days 00:00:46.947000,0 days 00:00:37.643000,0 days 00:19:22.675000,0 days 00:20:09.622000,0 days 00:20:47.265000,119.0,191.0,251.0,283.0,False,SOFT,3.0,True,Mercedes,0 days 00:18:44.440000,2022-07-30 14:04:10.180,1,,False,,False,True
0 days 00:22:06.441000,RUS,63,,4.0,1.0,,,0 days 00:00:28.634000,0 days 00:00:28.338000,0 days 00:00:22.204000,0 days 00:21:15.899000,0 days 00:21:44.237000,0 days 00:22:06.441000,279.0,248.0,255.0,302.0,True,SOFT,4.0,True,Mercedes,0 days 00:20:47.265000,2022-07-30 14:06:13.005,1,,False,,False,True
0 days 00:24:11.861000,RUS,63,,5.0,1.0,,,0 days 00:00:43.221000,0 days 00:00:48.090000,0 days 00:00:34.109000,0 days 00:22:49.662000,0 days 00:23:37.752000,0 days 00:24:11.861000,179.0,154.0,255.0,282.0,False,SOFT,5.0,True,Mercedes,0 days 00:22:06.441000,2022-07-30 14:07:32.181,1,,False,,False,True
0 days 00:25:30.905000,RUS,63,,6.0,1.0,,,0 days 00:00:28.622000,0 days 00:00:28.210000,0 days 00:00:22.212000,0 days 00:24:40.483000,0 days 00:25:08.693000,0 days 00:25:30.905000,278.0,248.0,255.0,305.0,True,SOFT,6.0,True,Mercedes,0 days 00:24:11.861000,2022-07-30 14:09:37.601,1,,False,,False,True
0 days 00:27:10.073000,RUS,63,,7.0,1.0,,0 days 00:27:08.323000,0 days 00:00:36.609000,0 days 00:00:33.969000,0 days 00:00:28.590000,0 days 00:26:07.514000,0 days 00:26:41.483000,0 days 00:27:10.073000,151.0,217.0,,282.0,False,SOFT,7.0,True,Mercedes,0 days 00:25:30.905000,2022-07-30 14:10:56.645,1,,False,,False,False
0 days 00:30:28.651000,RUS,63,,8.0,2.0,0 days 00:28:45.568000,,,0 days 00:00:35.866000,0 days 00:00:36.681000,,0 days 00:29:52.025000,0 days 00:30:28.828000,236.0,217.0,255.0,,False,SOFT,1.0,True,Mercedes,0 days 00:27:10.073000,2022-07-30 14:12:35.813,1,,False,,False,False
0 days 00:31:47.058000,RUS,63,,9.0,2.0,,,0 days 00:00:28.400000,0 days 00:00:27.936000,0 days 00:00:22.071000,0 days 00:30:57.051000,0 days 00:31:24.987000,0 days 00:31:47.058000,279.0,250.0,258.0,301.0,True,SOFT,2.0,True,Mercedes,0 days 00:30:28.651000,2022-07-30 14:15:54.391,1,,False,,False,True
0 days 00:33:41.075000,RUS,63,,10.0,2.0,,0 days 00:33:39.298000,0 days 00:00:40.184000,0 days 00:00:39.255000,0 days 00:00:34.578000,0 days 00:32:27.242000,0 days 00:33:06.497000,0 days 00:33:41.075000,96.0,165.0,,285.0,False,SOFT,3.0,True,Mercedes,0 days 00:31:47.058000,2022-07-30 14:17:12.798,1,,False,,False,False
