Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:21:14.407000,LEC,16,,1.0,1.0,0 days 00:19:28.111000,,,0 days 00:00:34.720000,0 days 00:00:34.115000,,0 days 00:20:40.343000,0 days 00:21:14.407000,281.0,306.0,309.0,113.0,False,SOFT,1.0,True,Ferrari,0 days 00:19:28.111000,2022-09-10 14:04:30.365,1,,False,,False,False
0 days 00:22:35.687000,LEC,16,,2.0,1.0,,,0 days 00:00:26.962000,0 days 00:00:27.304000,0 days 00:00:27.014000,0 days 00:21:41.369000,0 days 00:22:08.673000,0 days 00:22:35.687000,323.0,337.0,314.0,342.0,True,SOFT,2.0,True,Ferrari,0 days 00:21:14.407000,2022-09-10 14:06:16.661,1,,False,,False,True
0 days 00:24:30.178000,LEC,16,,3.0,1.0,,0 days 00:24:26.395000,0 days 00:00:37.413000,0 days 00:00:36.725000,0 days 00:00:40.353000,0 days 00:23:13.100000,0 days 00:23:49.825000,0 days 00:24:30.178000,216.0,290.0,,147.0,False,SOFT,3.0,True,Ferrari,0 days 00:22:35.687000,2022-09-10 14:07:37.941,1,,False,,False,False
0 days 00:45:03.787000,LEC,16,,4.0,2.0,0 days 00:43:11.604000,,,0 days 00:00:34.835000,0 days 00:00:33.395000,,0 days 00:44:30.404000,0 days 00:45:03.787000,297.0,141.0,309.0,231.0,False,SOFT,4.0,False,Ferrari,0 days 00:24:30.178000,2022-09-10 14:09:32.432,1,,False,,False,False
0 days 00:47:04.596000,LEC,16,,5.0,2.0,,,0 days 00:00:35.443000,0 days 00:00:47.072000,0 days 00:00:38.294000,0 days 00:45:39.230000,0 days 00:46:26.302000,0 days 00:47:04.596000,262.0,192.0,307.0,342.0,False,SOFT,5.0,False,Ferrari,0 days 00:45:03.787000,2022-09-10 14:30:06.041,1,,True,TRACK LIMITS AT TURN 2 LAP 6 ,False,True
0 days 00:48:25.804000,LEC,16,,6.0,2.0,,,0 days 00:00:27.201000,0 days 00:00:27.158000,0 days 00:00:26.849000,0 days 00:47:31.797000,0 days 00:47:58.955000,0 days 00:48:25.804000,322.0,333.0,309.0,337.0,True,SOFT,6.0,False,Ferrari,0 days 00:47:04.596000,2022-09-10 14:32:06.850,1,,False,,False,True
0 days 00:50:13.172000,LEC,16,,7.0,2.0,,0 days 00:50:09.349000,0 days 00:00:34.079000,0 days 00:00:35.219000,0 days 00:00:38.070000,0 days 00:48:59.883000,0 days 00:49:35.102000,0 days 00:50:13.172000,248.0,286.0,,233.0,False,SOFT,7.0,False,Ferrari,0 days 00:48:25.804000,2022-09-10 14:33:28.058,1,,False,,False,False
0 days 01:07:10.086000,LEC,16,,8.0,3.0,0 days 01:05:23.159000,,,0 days 00:00:38.991000,0 days 00:00:35.938000,,0 days 01:06:34.189000,0 days 01:07:10.086000,299.0,265.0,311.0,245.0,False,SOFT,1.0,True,Ferrari,0 days 00:50:13.172000,2022-09-10 14:35:15.426,1,,False,,False,False
0 days 01:08:30.856000,LEC,16,,9.0,3.0,,,0 days 00:00:26.804000,0 days 00:00:27.197000,0 days 00:00:26.769000,0 days 01:07:36.890000,0 days 01:08:04.087000,0 days 01:08:30.856000,325.0,340.0,305.0,343.0,True,SOFT,2.0,True,Ferrari,0 days 01:07:10.086000,2022-09-10 14:52:12.340,1,,False,,False,True
0 days 01:10:13.986000,LEC,16,,10.0,3.0,,0 days 01:10:10.177000,0 days 00:00:33.765000,0 days 00:00:32.112000,0 days 00:00:37.253000,0 days 01:09:04.621000,0 days 01:09:36.733000,0 days 01:10:13.986000,277.0,280.0,,186.0,False,SOFT,3.0,True,Ferrari,0 days 01:08:30.856000,2022-09-10 14:53:33.110,1,,False,,False,False
