Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:35.386000,26.6,38.0,994.0,False,42.4,116,0.6
0 days 00:01:35.391000,26.5,38.0,994.0,False,42.2,203,1.1
0 days 00:02:35.391000,26.6,39.0,994.0,False,42.3,325,0.8
0 days 00:03:35.397000,26.8,38.0,994.0,False,42.9,277,2.0
0 days 00:04:35.389000,26.6,40.0,994.0,False,42.3,20,1.1
0 days 00:05:35.391000,26.5,40.0,994.0,False,42.0,102,1.2
0 days 00:06:35.404000,26.4,40.0,994.0,False,42.0,249,0.4
0 days 00:07:35.399000,26.5,40.0,994.0,False,42.1,172,0.6
0 days 00:08:35.389000,26.6,38.0,994.0,False,42.1,168,1.1
0 days 00:09:35.407000,26.6,38.0,994.0,False,42.5,208,1.1
0 days 00:10:35.396000,26.6,38.0,994.0,False,43.0,176,1.2
0 days 00:11:35.389000,26.6,37.0,994.0,False,43.1,201,1.6
0 days 00:12:35.388000,26.7,37.0,994.0,False,43.4,272,0.6
0 days 00:13:35.391000,26.7,37.0,994.0,False,43.0,307,1.2
0 days 00:14:35.391000,26.7,38.0,994.0,False,42.7,28,1.2
0 days 00:15:35.398000,26.6,38.0,994.0,False,42.7,49,0.3
0 days 00:16:35.392000,26.7,38.0,994.0,False,42.9,103,1.0
0 days 00:17:35.419000,26.6,38.0,994.0,False,42.6,153,0.5
0 days 00:18:35.391000,26.8,38.0,994.0,False,42.5,221,0.4
0 days 00:19:35.391000,26.8,37.0,994.0,False,42.6,134,0.8
0 days 00:20:35.451000,26.9,36.0,993.9,False,43.3,176,1.1
0 days 00:21:35.396000,27.0,36.0,994.0,False,43.3,187,1.2
0 days 00:22:35.390000,27.0,36.0,993.7,False,43.2,153,0.6
0 days 00:23:35.389000,27.1,35.0,993.9,False,43.0,180,0.6
0 days 00:24:35.394000,27.1,36.0,994.0,False,43.0,130,0.6
0 days 00:25:35.394000,27.1,36.0,994.0,False,43.0,0,0.8
0 days 00:26:35.393000,27.2,37.0,993.9,False,42.3,213,0.6
0 days 00:27:35.390000,27.2,36.0,993.9,False,42.3,174,1.6
0 days 00:28:35.392000,27.4,35.0,994.0,False,42.3,180,2.0
0 days 00:29:35.393000,27.5,35.0,993.9,False,43.1,214,1.2
0 days 00:30:35.392000,27.5,35.0,994.0,False,43.2,207,1.7
0 days 00:31:35.392000,27.4,35.0,993.7,False,43.2,250,1.2
0 days 00:32:35.392000,27.2,35.0,993.9,False,43.0,203,0.6
0 days 00:33:35.393000,27.3,35.0,993.9,False,43.1,234,0.8
0 days 00:34:35.392000,27.2,35.0,993.9,False,43.0,349,1.2
0 days 00:35:35.411000,27.2,36.0,993.9,False,43.0,241,0.5
0 days 00:36:35.391000,27.1,36.0,993.7,False,42.7,164,0.6
0 days 00:37:35.392000,27.2,36.0,993.9,False,43.2,322,0.6
0 days 00:38:35.391000,27.1,35.0,993.7,False,43.2,10,1.2
0 days 00:39:35.392000,27.0,35.0,993.7,False,43.3,323,0.5
0 days 00:40:35.404000,26.9,35.0,993.7,False,43.4,43,1.0
0 days 00:41:35.393000,27.1,35.0,993.7,False,43.4,0,1.2
0 days 00:42:35.393000,27.1,35.0,993.7,False,43.3,339,0.6
0 days 00:43:35.393000,27.2,35.0,993.7,False,43.3,239,1.2
0 days 00:44:35.394000,27.2,35.0,993.7,False,43.7,0,1.7
0 days 00:45:35.398000,27.2,35.0,993.7,False,43.7,165,0.6
0 days 00:46:35.391000,27.2,34.0,993.5,False,44.0,180,1.1
0 days 00:47:35.393000,27.2,34.0,993.7,False,44.2,193,1.3
0 days 00:48:35.394000,27.4,33.0,993.7,False,44.2,208,1.7
0 days 00:49:35.395000,27.4,33.0,993.5,False,44.2,207,1.1
0 days 00:50:35.392000,27.6,33.0,993.7,False,44.2,124,1.6
0 days 00:51:35.396000,27.5,34.0,993.5,False,43.8,142,1.2
0 days 00:52:35.409000,27.5,33.0,993.5,False,43.8,122,0.8
0 days 00:53:35.410000,27.5,34.0,993.7,False,44.0,46,1.2
0 days 00:54:35.416000,27.4,34.0,993.5,False,42.9,188,1.7
0 days 00:55:35.436000,27.3,35.0,993.5,False,42.9,16,0.8
0 days 00:56:35.426000,27.3,35.0,993.5,False,43.0,53,1.7
0 days 00:57:35.441000,27.3,34.0,993.7,False,43.3,20,1.8
0 days 00:58:35.476000,27.3,33.0,993.5,False,43.4,2,2.0
0 days 00:59:35.448000,27.2,34.0,993.5,False,43.3,355,1.1
0 days 01:00:35.465000,27.4,33.0,993.5,False,43.3,302,0.8
0 days 01:01:35.472000,27.5,33.0,993.5,False,43.4,165,0.4
0 days 01:02:35.487000,27.8,32.0,993.5,False,43.5,296,0.4
