Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:10.858000,VER,1,,1.0,1.0,0 days 00:17:11.550000,,,0 days 00:00:51.555000,0 days 00:00:22.616000,,0 days 00:18:48.254000,0 days 00:19:10.858000,243.0,289.0,268.0,196.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:11.550000,2022-10-08 06:04:13.120,1,,False,,False,False
0 days 00:20:41.082000,VER,1,,2.0,1.0,,,0 days 00:00:31.574000,0 days 00:00:40.748000,0 days 00:00:17.902000,0 days 00:19:42.432000,0 days 00:20:23.180000,0 days 00:20:41.082000,282.0,304.0,266.0,302.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:10.858000,2022-10-08 06:06:12.428,1,,False,,False,True
0 days 00:22:41.401000,VER,1,,3.0,1.0,,0 days 00:22:39.972000,0 days 00:00:44.778000,0 days 00:00:50.149000,0 days 00:00:25.392000,0 days 00:21:25.860000,0 days 00:22:16.009000,0 days 00:22:41.401000,253.0,272.0,,192.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:20:41.082000,2022-10-08 06:07:42.652,1,,False,,False,False
0 days 00:42:45.935000,VER,1,,4.0,2.0,0 days 00:40:40.366000,,,0 days 00:00:50.405000,0 days 00:00:28.760000,,0 days 00:42:17.192000,0 days 00:42:45.936000,227.0,276.0,268.0,199.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:22:41.401000,2022-10-08 06:09:42.971,1,,False,,False,False
0 days 00:44:16.281000,VER,1,,5.0,2.0,,,0 days 00:00:31.578000,0 days 00:00:40.794000,0 days 00:00:17.974000,0 days 00:43:17.513000,0 days 00:43:58.307000,0 days 00:44:16.281000,282.0,304.0,266.0,303.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:42:45.935000,2022-10-08 06:29:47.505,1,,False,,False,True
0 days 00:46:18.854000,VER,1,,6.0,2.0,,0 days 00:46:17.429000,0 days 00:00:39.051000,0 days 00:00:56.866000,0 days 00:00:26.656000,0 days 00:44:55.332000,0 days 00:45:52.198000,0 days 00:46:18.854000,207.0,225.0,,215.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:44:16.281000,2022-10-08 06:31:17.851,1,,False,,False,False
0 days 01:03:50.382000,VER,1,,7.0,3.0,0 days 01:01:07.938000,,,0 days 00:01:11.740000,0 days 00:00:37.560000,,0 days 01:03:12.855000,0 days 01:03:50.445000,188.0,255.0,268.0,90.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:46:18.854000,2022-10-08 06:33:20.424,1,,False,,False,False
0 days 01:05:19.686000,VER,1,,8.0,3.0,,,0 days 00:00:31.116000,0 days 00:00:40.406000,0 days 00:00:17.782000,0 days 01:04:21.498000,0 days 01:05:01.904000,0 days 01:05:19.686000,283.0,304.0,267.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:50.382000,2022-10-08 06:50:51.952,1,,False,,False,True
0 days 01:07:07.984000,VER,1,,9.0,3.0,,0 days 01:07:06.551000,0 days 00:00:38.462000,0 days 00:00:47.436000,0 days 00:00:22.400000,0 days 01:05:58.148000,0 days 01:06:45.584000,0 days 01:07:07.984000,248.0,271.0,,273.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:05:19.686000,2022-10-08 06:52:21.256,1,,False,,False,False
0 days 01:11:46.681000,VER,1,,10.0,4.0,0 days 01:09:03.942000,,,0 days 00:01:08.134000,0 days 00:00:36.791000,,0 days 01:11:09.890000,0 days 01:11:47.060000,220.0,212.0,266.0,110.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:07:07.984000,2022-10-08 06:54:09.554,1,,False,,False,False
