Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:09.022000,22.8,41.0,781.7,False,44.1,229,1.7
0 days 00:01:09.020000,22.8,42.0,781.7,False,43.9,112,0.8
0 days 00:02:09.034000,22.9,40.0,781.7,False,44.0,108,1.3
0 days 00:03:09.024000,23.1,40.0,781.7,False,45.2,95,1.7
0 days 00:04:09.022000,23.3,40.0,781.7,False,45.2,116,0.8
0 days 00:05:09.023000,23.4,40.0,781.7,False,45.6,117,0.6
0 days 00:06:09.020000,23.6,40.0,781.7,False,45.8,198,0.8
0 days 00:07:09.019000,23.8,40.0,781.7,False,46.1,123,1.5
0 days 00:08:09.026000,23.9,39.0,781.7,False,46.9,173,1.3
0 days 00:09:09.018000,23.8,39.0,781.7,False,47.1,193,0.4
0 days 00:10:09.019000,23.8,38.0,781.5,False,47.3,200,0.4
0 days 00:11:09.019000,24.0,38.0,781.5,False,47.6,126,1.2
0 days 00:12:09.032000,24.0,39.0,781.5,False,47.9,74,3.2
0 days 00:13:09.036000,23.8,38.0,781.5,False,48.6,163,2.0
0 days 00:14:09.077000,24.0,38.0,781.5,False,48.6,128,1.5
0 days 00:15:09.082000,24.0,37.0,781.5,False,48.6,251,1.5
0 days 00:16:09.071000,24.0,38.0,781.5,False,48.5,126,1.3
0 days 00:17:09.069000,24.1,38.0,781.5,False,48.1,123,4.0
0 days 00:18:09.088000,24.0,38.0,781.4,False,48.5,147,3.2
0 days 00:19:09.099000,24.1,39.0,781.5,False,48.5,115,2.0
0 days 00:20:09.116000,24.0,38.0,781.4,False,49.2,114,2.9
0 days 00:21:09.115000,24.1,38.0,781.4,False,49.2,132,4.0
0 days 00:22:09.116000,24.0,38.0,781.4,False,49.0,106,2.5
0 days 00:23:09.115000,24.0,38.0,781.4,False,48.1,116,2.7
0 days 00:24:09.130000,24.0,37.0,781.4,False,47.3,205,2.0
0 days 00:25:09.130000,24.0,38.0,781.2,False,46.5,113,1.2
0 days 00:26:09.130000,23.9,38.0,781.2,False,46.3,89,2.0
0 days 00:27:09.130000,24.0,37.0,781.2,False,44.9,130,2.2
0 days 00:28:09.149000,23.9,37.0,781.2,False,44.9,133,1.2
0 days 00:29:09.155000,23.8,38.0,781.2,False,45.1,139,1.8
