Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:23.509000,32.0,57.0,1011.4,False,41.4,175,3.9
0 days 00:01:23.509000,32.0,58.0,1011.4,False,41.5,160,3.0
0 days 00:02:23.511000,32.0,57.0,1011.4,False,42.0,153,2.9
0 days 00:03:23.510000,32.2,56.0,1011.4,False,43.5,170,2.4
0 days 00:04:23.512000,32.2,56.0,1011.5,False,44.0,136,2.9
0 days 00:05:23.510000,32.3,56.0,1011.5,False,43.7,161,2.7
0 days 00:06:23.517000,32.5,56.0,1011.4,False,43.3,143,2.0
0 days 00:07:23.508000,32.5,56.0,1011.4,False,43.3,131,2.7
0 days 00:08:23.513000,32.5,56.0,1011.4,False,43.2,174,2.2
0 days 00:09:23.509000,32.5,57.0,1011.4,False,42.4,168,3.5
0 days 00:10:23.508000,32.4,58.0,1011.4,False,42.5,145,2.5
0 days 00:11:23.509000,32.3,57.0,1011.4,False,42.9,160,2.2
0 days 00:12:23.509000,32.3,56.0,1011.4,False,42.8,160,2.2
0 days 00:13:23.508000,32.3,56.0,1011.4,False,42.2,162,2.9
0 days 00:14:23.515000,32.2,58.0,1011.5,False,41.3,138,2.2
0 days 00:15:23.525000,32.0,57.0,1011.4,False,41.2,164,3.2
0 days 00:16:23.541000,32.0,58.0,1011.4,False,41.1,168,2.2
0 days 00:17:23.556000,31.9,58.0,1011.5,False,41.0,160,2.2
0 days 00:18:23.574000,31.8,58.0,1011.4,False,41.0,187,2.4
0 days 00:19:23.571000,31.9,57.0,1011.4,False,41.1,161,2.5
0 days 00:20:23.609000,32.0,57.0,1011.4,False,41.6,183,2.5
0 days 00:21:23.618000,32.1,58.0,1011.5,False,41.9,171,2.5
0 days 00:22:23.619000,32.1,58.0,1011.4,False,42.0,160,3.0
0 days 00:23:23.619000,32.2,57.0,1011.4,False,42.5,177,1.8
0 days 00:24:23.618000,32.3,57.0,1011.4,False,42.1,181,2.2
0 days 00:25:23.634000,32.5,56.0,1011.4,False,41.7,198,1.6
0 days 00:26:23.637000,32.6,55.0,1011.5,False,41.7,133,1.2
0 days 00:27:23.635000,32.6,55.0,1011.5,False,41.9,152,0.5
0 days 00:28:23.633000,32.8,55.0,1011.5,False,42.4,347,0.5
0 days 00:29:23.634000,33.0,53.0,1011.5,False,42.8,0,0.5
0 days 00:30:23.652000,32.9,53.0,1011.5,False,42.5,2,0.8
0 days 00:31:23.647000,32.9,52.0,1011.5,False,42.5,163,1.3
0 days 00:32:23.625000,32.8,51.0,1011.5,False,42.5,36,1.0
0 days 00:33:23.637000,33.1,49.0,1011.5,False,43.4,19,0.8
0 days 00:34:23.645000,33.2,46.0,1011.5,False,43.9,173,0.8
0 days 00:35:23.635000,33.3,47.0,1011.5,False,43.9,182,1.2
0 days 00:36:23.635000,33.2,47.0,1011.5,False,43.2,166,1.3
0 days 00:37:23.634000,33.2,47.0,1011.4,False,42.6,150,0.8
0 days 00:38:23.646000,33.2,44.0,1011.5,False,42.9,96,0.8
0 days 00:39:23.637000,33.3,42.0,1011.5,False,42.9,72,1.2
0 days 00:40:23.636000,33.3,42.0,1011.5,False,43.3,96,1.7
0 days 00:41:23.635000,33.4,43.0,1011.4,False,43.2,175,1.0
0 days 00:42:23.832000,33.5,42.0,1011.5,False,43.1,228,0.6
0 days 00:43:23.648000,33.5,41.0,1011.5,False,42.9,324,0.5
0 days 00:44:23.637000,33.5,40.0,1011.5,False,43.0,346,0.6
