Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:09.430000,LEC,16,,1.0,1.0,0 days 00:16:09.926000,,,0 days 00:00:41.245000,0 days 00:00:31.612000,,0 days 00:17:37.860000,0 days 00:18:09.430000,172.0,154.0,284.0,259.0,False,SOFT,1.0,True,Ferrari,0 days 00:16:09.926000,2022-05-07 20:01:09.933,1,,False,,False,False
0 days 00:19:40.779000,LEC,16,,2.0,1.0,,,0 days 00:00:30.832000,0 days 00:00:34.826000,0 days 00:00:25.691000,0 days 00:18:40.262000,0 days 00:19:15.088000,0 days 00:19:40.779000,218.0,192.0,286.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 00:18:09.430000,2022-05-07 20:03:09.437,1,,False,,False,True
0 days 00:21:50.328000,LEC,16,,3.0,1.0,,0 days 00:21:48.162000,0 days 00:00:49.518000,0 days 00:00:40.566000,0 days 00:00:39.465000,0 days 00:20:30.297000,0 days 00:21:10.863000,0 days 00:21:50.328000,190.0,156.0,,267.0,False,SOFT,3.0,True,Ferrari,0 days 00:19:40.779000,2022-05-07 20:04:40.786,1,,False,,False,False
0 days 00:24:03.862000,LEC,16,,4.0,2.0,0 days 00:22:04.853000,,0 days 00:00:54.194000,0 days 00:00:43.852000,0 days 00:00:35.488000,0 days 00:22:44.522000,0 days 00:23:28.374000,0 days 00:24:03.862000,170.0,130.0,285.0,237.0,False,SOFT,4.0,False,Ferrari,0 days 00:21:50.328000,2022-05-07 20:06:50.335,1,,False,,False,False
0 days 00:25:33.336000,LEC,16,,5.0,2.0,,,0 days 00:00:29.711000,0 days 00:00:34.296000,0 days 00:00:25.467000,0 days 00:24:33.573000,0 days 00:25:07.869000,0 days 00:25:33.336000,219.0,192.0,286.0,325.0,True,SOFT,5.0,False,Ferrari,0 days 00:24:03.862000,2022-05-07 20:09:03.869,1,,False,,False,True
0 days 00:27:39.278000,LEC,16,,6.0,2.0,,0 days 00:27:36.420000,0 days 00:00:40.641000,0 days 00:00:41.820000,0 days 00:00:43.481000,0 days 00:26:13.977000,0 days 00:26:55.797000,0 days 00:27:39.278000,173.0,154.0,,180.0,False,SOFT,6.0,False,Ferrari,0 days 00:25:33.336000,2022-05-07 20:10:33.343,1,,False,,False,False
0 days 00:29:57.908000,LEC,16,,7.0,3.0,0 days 00:27:59.898000,,0 days 00:01:05.661000,0 days 00:00:42.793000,0 days 00:00:30.176000,0 days 00:28:44.939000,0 days 00:29:27.732000,0 days 00:29:57.908000,168.0,145.0,285.0,206.0,False,SOFT,7.0,False,Ferrari,0 days 00:27:39.278000,2022-05-07 20:12:39.285,1,,False,,False,False
0 days 00:31:47.272000,LEC,16,,8.0,3.0,,,0 days 00:00:37.330000,0 days 00:00:42.359000,0 days 00:00:29.675000,0 days 00:30:35.238000,0 days 00:31:17.597000,0 days 00:31:47.272000,199.0,135.0,285.0,280.0,False,SOFT,8.0,False,Ferrari,0 days 00:29:57.908000,2022-05-07 20:14:57.915,1,,False,,False,True
0 days 00:33:30.218000,LEC,16,,9.0,3.0,,0 days 00:33:28.232000,0 days 00:00:30.182000,0 days 00:00:37.192000,0 days 00:00:35.572000,0 days 00:32:17.454000,0 days 00:32:54.646000,0 days 00:33:30.218000,217.0,129.0,,217.0,False,SOFT,9.0,False,Ferrari,0 days 00:31:47.272000,2022-05-07 20:16:47.279,1,,False,,False,False
0 days 00:42:01.223000,LEC,16,,10.0,4.0,0 days 00:40:06.531000,,,0 days 00:00:42.743000,0 days 00:00:31.850000,,0 days 00:41:29.400000,0 days 00:42:01.223000,195.0,126.0,284.0,280.0,False,SOFT,10.0,False,Ferrari,0 days 00:33:30.218000,2022-05-07 20:18:30.225,1,,False,,False,False
0 days 00:43:30.977000,LEC,16,,11.0,4.0,,,0 days 00:00:29.717000,0 days 00:00:34.358000,0 days 00:00:25.679000,0 days 00:42:30.940000,0 days 00:43:05.298000,0 days 00:43:30.977000,223.0,191.0,284.0,324.0,True,SOFT,11.0,False,Ferrari,0 days 00:42:01.223000,2022-05-07 20:27:01.230,1,,False,,False,True
0 days 00:45:20.980000,LEC,16,,12.0,4.0,,0 days 00:45:18.963000,0 days 00:00:38.730000,0 days 00:00:37.865000,0 days 00:00:33.408000,0 days 00:44:09.707000,0 days 00:44:47.572000,0 days 00:45:20.980000,198.0,173.0,,287.0,False,SOFT,12.0,False,Ferrari,0 days 00:43:30.977000,2022-05-07 20:28:30.984,1,,False,,False,False
0 days 00:47:38.894000,LEC,16,,13.0,5.0,0 days 00:45:39.225000,,0 days 00:01:01.185000,0 days 00:00:40.695000,0 days 00:00:36.034000,0 days 00:46:22.165000,0 days 00:47:02.860000,0 days 00:47:38.894000,201.0,152.0,285.0,150.0,False,SOFT,1.0,True,Ferrari,0 days 00:45:20.980000,2022-05-07 20:30:20.987,1,,False,,False,False
0 days 00:49:08.024000,LEC,16,,14.0,5.0,,,0 days 00:00:29.504000,0 days 00:00:34.190000,0 days 00:00:25.436000,0 days 00:48:08.398000,0 days 00:48:42.588000,0 days 00:49:08.024000,224.0,192.0,285.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 00:47:38.894000,2022-05-07 20:32:38.901,1,,False,,False,True
0 days 00:51:10.121000,LEC,16,,15.0,5.0,,0 days 00:51:08.086000,0 days 00:00:39.841000,0 days 00:00:43.152000,0 days 00:00:39.104000,0 days 00:49:47.865000,0 days 00:50:31.017000,0 days 00:51:10.121000,170.0,159.0,,208.0,False,SOFT,3.0,True,Ferrari,0 days 00:49:08.024000,2022-05-07 20:34:08.031,1,,False,,False,False
0 days 00:53:21.612000,LEC,16,,16.0,6.0,0 days 00:51:22.960000,,0 days 00:00:56.107000,0 days 00:00:45.544000,0 days 00:00:29.840000,0 days 00:52:06.228000,0 days 00:52:51.772000,0 days 00:53:21.612000,163.0,148.0,284.0,270.0,False,SOFT,1.0,True,Ferrari,0 days 00:51:10.121000,2022-05-07 20:36:10.128,1,,False,,False,False
0 days 00:54:51.032000,LEC,16,,17.0,6.0,,,0 days 00:00:29.808000,0 days 00:00:34.193000,0 days 00:00:25.419000,0 days 00:53:51.420000,0 days 00:54:25.613000,0 days 00:54:51.032000,222.0,192.0,284.0,322.0,False,SOFT,2.0,True,Ferrari,0 days 00:53:21.612000,2022-05-07 20:38:21.619,1,,False,,False,True
0 days 00:56:42.542000,LEC,16,,18.0,6.0,,0 days 00:56:40.539000,0 days 00:00:39.516000,0 days 00:00:38.167000,0 days 00:00:33.827000,0 days 00:55:30.548000,0 days 00:56:08.715000,0 days 00:56:42.542000,199.0,171.0,,291.0,False,SOFT,3.0,True,Ferrari,0 days 00:54:51.032000,2022-05-07 20:39:51.039,1,,False,,False,False
0 days 01:05:24.239000,LEC,16,,19.0,7.0,0 days 01:03:33.978000,,,0 days 00:00:43.048000,0 days 00:00:29.544000,,0 days 01:04:54.704000,0 days 01:05:24.396000,168.0,148.0,286.0,273.0,False,SOFT,1.0,True,Ferrari,0 days 00:56:42.542000,2022-05-07 20:41:42.549,1,,False,,False,False
0 days 01:06:53.294000,LEC,16,,20.0,7.0,,,0 days 00:00:29.509000,0 days 00:00:34.039000,0 days 00:00:25.507000,0 days 01:05:53.748000,0 days 01:06:27.787000,0 days 01:06:53.294000,223.0,192.0,284.0,321.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:24.239000,2022-05-07 20:50:24.246,1,,False,,False,True
0 days 01:08:40.443000,LEC,16,,21.0,7.0,,0 days 01:08:38.443000,0 days 00:00:36.188000,0 days 00:00:37.574000,0 days 00:00:33.387000,0 days 01:07:29.482000,0 days 01:08:07.056000,0 days 01:08:40.443000,199.0,177.0,,289.0,False,SOFT,3.0,True,Ferrari,0 days 01:06:53.294000,2022-05-07 20:51:53.301,1,,False,,False,False
0 days 01:14:02.655000,LEC,16,,22.0,8.0,0 days 01:12:07.177000,,,0 days 00:00:42.907000,0 days 00:00:34.634000,,0 days 01:13:28.021000,0 days 01:14:02.813000,175.0,166.0,285.0,193.0,False,SOFT,1.0,True,Ferrari,0 days 01:08:40.443000,2022-05-07 20:53:40.450,1,,False,,False,False
0 days 01:15:31.451000,LEC,16,,23.0,8.0,,,0 days 00:00:29.441000,0 days 00:00:33.831000,0 days 00:00:25.524000,0 days 01:14:32.096000,0 days 01:15:05.927000,0 days 01:15:31.451000,222.0,194.0,284.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:02.655000,2022-05-07 20:59:02.662,1,,False,,False,True
0 days 01:17:34.380000,LEC,16,,24.0,8.0,,,0 days 00:00:36.831000,0 days 00:00:45.379000,0 days 00:00:40.719000,0 days 01:16:08.282000,0 days 01:16:53.661000,0 days 01:17:34.380000,194.0,154.0,54.0,180.0,False,SOFT,3.0,True,Ferrari,0 days 01:15:31.451000,2022-05-07 21:00:31.458,1,,False,,False,True
0 days 01:18:58.075000,LEC,16,,25.0,8.0,,0 days 01:18:58.075000,0 days 00:00:36.831000,,,0 days 01:18:58.075000,,,,,,,False,SOFT,4.0,True,Ferrari,0 days 01:17:34.380000,2022-05-07 21:02:34.387,1,,False,,False,False
0 days 00:17:47.708000,SAI,55,,1.0,1.0,0 days 00:15:50.860000,,,0 days 00:00:44.546000,0 days 00:00:32.053000,,0 days 00:17:15.755000,0 days 00:17:47.731000,173.0,112.0,285.0,269.0,False,SOFT,1.0,True,Ferrari,0 days 00:15:50.860000,2022-05-07 20:00:50.867,1,,False,,False,False
0 days 00:19:18.566000,SAI,55,,2.0,1.0,,,0 days 00:00:30.237000,0 days 00:00:34.923000,0 days 00:00:25.698000,0 days 00:18:17.945000,0 days 00:18:52.868000,0 days 00:19:18.566000,221.0,191.0,283.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 00:17:47.708000,2022-05-07 20:02:47.715,1,,False,,False,True
