Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:53.373000,VER,1,,1.0,1.0,,,,0 days 00:00:35.848000,0 days 00:00:26.431000,,0 days 01:03:27.035000,0 days 01:03:53.493000,209.0,185.0,268.0,304.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:16.435000,2022-05-08 19:33:16.443,1,2.0,False,,False,False
0 days 01:05:27.915000,VER,1,,2.0,1.0,,,0 days 00:00:32.267000,0 days 00:00:35.970000,0 days 00:00:26.305000,0 days 01:04:25.668000,0 days 01:05:01.638000,0 days 01:05:27.943000,212.0,186.0,271.0,301.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:53.373000,2022-05-08 19:34:53.381,1,2.0,False,,False,True
0 days 01:07:02.465000,VER,1,,3.0,1.0,,,0 days 00:00:32.182000,0 days 00:00:36.062000,0 days 00:00:26.306000,0 days 01:06:00.125000,0 days 01:06:36.187000,0 days 01:07:02.493000,211.0,184.0,275.0,307.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:27.915000,2022-05-08 19:36:27.923,1,2.0,False,,False,True
0 days 01:08:36.752000,VER,1,,4.0,1.0,,,0 days 00:00:32.092000,0 days 00:00:35.968000,0 days 00:00:26.227000,0 days 01:07:34.585000,0 days 01:08:10.553000,0 days 01:08:36.780000,,183.0,274.0,309.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:07:02.465000,2022-05-08 19:38:02.473,1,2.0,False,,False,True
0 days 01:10:11.072000,VER,1,,5.0,1.0,,,0 days 00:00:32.028000,0 days 00:00:35.942000,0 days 00:00:26.350000,0 days 01:09:08.808000,0 days 01:09:44.750000,0 days 01:10:11.100000,212.0,183.0,274.0,309.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:36.752000,2022-05-08 19:39:36.760,1,2.0,False,,False,True
0 days 01:11:45.299000,VER,1,,6.0,1.0,,,0 days 00:00:31.891000,0 days 00:00:35.971000,0 days 00:00:26.365000,0 days 01:10:42.991000,0 days 01:11:18.962000,0 days 01:11:45.327000,,184.0,274.0,311.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:10:11.072000,2022-05-08 19:41:11.080,1,2.0,False,,False,True
0 days 01:13:19.566000,VER,1,,7.0,1.0,,,0 days 00:00:31.876000,0 days 00:00:36.069000,0 days 00:00:26.322000,0 days 01:12:17.203000,0 days 01:12:53.272000,0 days 01:13:19.594000,,183.0,277.0,312.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:45.299000,2022-05-08 19:42:45.307,1,2.0,False,,False,True
0 days 01:14:53.884000,VER,1,,8.0,1.0,,,0 days 00:00:32.111000,0 days 00:00:36.063000,0 days 00:00:26.144000,0 days 01:13:51.705000,0 days 01:14:27.768000,0 days 01:14:53.912000,,182.0,280.0,321.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:19.566000,2022-05-08 19:44:19.574,1,2.0,False,,False,True
0 days 01:16:29.299000,VER,1,,9.0,1.0,,,0 days 00:00:32.514000,0 days 00:00:36.330000,0 days 00:00:26.571000,0 days 01:15:26.426000,0 days 01:16:02.756000,0 days 01:16:29.327000,210.0,184.0,270.0,306.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:53.884000,2022-05-08 19:45:53.892,1,1.0,False,,False,True
0 days 01:18:03.406000,VER,1,,10.0,1.0,,,0 days 00:00:31.667000,0 days 00:00:36.026000,0 days 00:00:26.414000,0 days 01:17:00.994000,0 days 01:17:37.020000,0 days 01:18:03.434000,213.0,184.0,270.0,307.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:16:29.299000,2022-05-08 19:47:29.307,1,1.0,False,,False,True
0 days 01:19:37.872000,VER,1,,11.0,1.0,,,0 days 00:00:31.919000,0 days 00:00:36.111000,0 days 00:00:26.436000,0 days 01:18:35.353000,0 days 01:19:11.464000,0 days 01:19:37.900000,212.0,184.0,271.0,306.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:18:03.406000,2022-05-08 19:49:03.414,1,1.0,False,,False,True
