Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:23.259000,26.4,31.0,1010.2,False,39.4,272,0.6
0 days 00:01:23.302000,26.4,31.0,1010.2,False,39.4,3,0.8
0 days 00:02:23.259000,26.4,31.0,1010.2,False,39.2,317,1.5
0 days 00:03:23.258000,26.5,32.0,1010.2,False,39.2,288,1.2
0 days 00:04:23.261000,26.5,31.0,1010.2,False,39.2,181,0.8
0 days 00:05:23.257000,26.5,31.0,1010.2,False,38.8,242,1.5
0 days 00:06:23.262000,26.5,31.0,1010.2,False,38.8,250,2.2
0 days 00:07:23.261000,26.5,32.0,1010.2,False,38.8,18,1.5
0 days 00:08:23.269000,26.4,32.0,1010.2,False,38.8,6,1.3
0 days 00:09:23.258000,26.4,32.0,1010.0,False,38.8,276,1.7
0 days 00:10:23.260000,26.1,32.0,1010.2,False,39.1,242,1.2
0 days 00:11:23.260000,26.3,31.0,1010.0,False,39.1,32,0.8
0 days 00:12:23.267000,26.6,31.0,1010.0,False,39.0,34,0.8
0 days 00:13:23.261000,26.6,32.0,1010.2,False,39.0,74,1.0
0 days 00:14:23.265000,26.5,31.0,1010.2,False,38.8,267,0.6
0 days 00:15:23.265000,26.3,31.0,1010.2,False,38.8,344,0.8
0 days 00:16:23.279000,26.5,31.0,1010.2,False,38.9,258,0.6
0 days 00:17:23.366000,26.6,31.0,1010.0,False,38.9,0,1.0
0 days 00:18:23.262000,26.6,31.0,1010.0,False,38.9,293,0.0
0 days 00:19:23.260000,26.6,31.0,1010.0,False,39.0,218,1.8
0 days 00:20:23.269000,26.7,31.0,1010.0,False,39.0,157,2.0
0 days 00:21:23.261000,26.8,31.0,1010.0,False,39.0,255,1.0
0 days 00:22:23.259000,26.9,30.0,1010.0,False,39.0,240,1.2
0 days 00:23:23.274000,26.9,30.0,1010.2,False,39.2,225,2.5
0 days 00:24:23.289000,27.1,30.0,1010.0,False,39.2,250,1.8
0 days 00:25:23.317000,27.1,30.0,1010.2,False,39.1,213,1.3
0 days 00:26:23.305000,27.1,30.0,1010.0,False,39.1,205,2.4
0 days 00:27:23.310000,27.0,31.0,1010.0,False,38.9,241,3.0
0 days 00:28:23.308000,27.0,31.0,1010.0,False,38.8,118,3.2
0 days 00:29:23.331000,26.8,31.0,1010.0,False,38.9,285,0.8
