Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:21.102000,23.9,55.0,1013.5,False,26.1,324,3.0
0 days 00:01:21.159000,23.8,55.0,1013.5,False,26.0,334,3.4
0 days 00:02:21.101000,23.9,55.0,1013.5,False,26.0,329,3.5
0 days 00:03:21.119000,23.8,55.0,1013.7,False,26.0,345,3.0
0 days 00:04:21.117000,23.8,55.0,1013.7,False,26.0,349,2.5
0 days 00:05:21.118000,23.8,56.0,1013.7,False,26.0,326,2.7
0 days 00:06:21.124000,23.8,55.0,1013.5,False,26.1,358,4.1
0 days 00:07:21.139000,23.7,56.0,1013.5,False,25.9,340,3.7
0 days 00:08:21.139000,23.8,55.0,1013.7,False,26.0,309,4.0
0 days 00:09:21.137000,23.8,55.0,1013.7,False,26.0,342,4.9
0 days 00:10:21.128000,23.8,55.0,1013.7,False,26.0,328,4.3
0 days 00:11:21.127000,23.8,55.0,1013.7,False,25.9,335,3.4
0 days 00:12:21.133000,23.7,56.0,1013.7,False,25.8,346,4.0
0 days 00:13:21.134000,23.8,55.0,1013.9,False,25.9,4,4.3
0 days 00:14:21.661000,23.8,56.0,1013.9,False,25.8,341,3.0
0 days 00:15:21.134000,23.7,55.0,1013.9,False,25.9,332,2.5
0 days 00:16:21.133000,23.7,55.0,1013.9,False,25.9,337,2.5
0 days 00:17:21.159000,23.7,55.0,1013.9,False,25.9,347,3.0
0 days 00:18:21.134000,23.8,55.0,1014.0,False,25.8,21,3.0
0 days 00:19:21.134000,23.8,55.0,1014.0,False,26.0,343,1.7
0 days 00:20:21.140000,23.8,55.0,1014.0,False,26.1,335,3.2
0 days 00:21:21.136000,23.9,55.0,1013.9,False,26.1,6,2.2
0 days 00:22:21.134000,23.9,55.0,1014.0,False,26.1,328,1.3
0 days 00:23:21.135000,23.9,55.0,1013.9,False,26.1,337,3.0
0 days 00:24:21.134000,23.9,55.0,1013.9,False,26.1,347,3.4
0 days 00:25:21.133000,23.9,55.0,1013.9,False,25.9,327,3.0
0 days 00:26:21.138000,23.9,56.0,1013.9,False,25.8,334,3.0
0 days 00:27:21.134000,23.8,56.0,1013.9,False,25.8,341,3.0
0 days 00:28:21.136000,23.7,56.0,1014.0,False,25.8,353,4.1
0 days 00:29:21.139000,23.6,56.0,1014.0,False,25.6,340,3.7
0 days 00:30:21.149000,23.7,56.0,1014.0,False,25.6,341,2.9
0 days 00:31:21.133000,23.6,57.0,1014.0,False,25.6,352,2.7
0 days 00:32:21.146000,23.6,57.0,1014.0,False,25.6,341,1.3
0 days 00:33:21.170000,23.8,56.0,1014.0,False,25.8,331,1.8
0 days 00:34:21.135000,23.8,56.0,1014.0,False,26.1,347,1.8
0 days 00:35:21.138000,23.8,56.0,1014.0,False,26.1,323,2.0
0 days 00:36:21.138000,23.8,57.0,1014.0,False,25.9,1,2.2
0 days 00:37:21.139000,23.8,57.0,1014.2,False,25.9,320,1.2
0 days 00:38:21.147000,23.8,57.0,1014.0,False,26.0,332,1.6
0 days 00:39:21.135000,23.8,57.0,1014.2,False,25.9,331,2.4
0 days 00:40:21.155000,23.8,57.0,1014.2,False,25.9,87,2.2
0 days 00:41:21.167000,23.8,57.0,1014.2,False,25.9,4,1.6
0 days 00:42:21.167000,23.8,57.0,1014.2,False,26.0,340,2.5
0 days 00:43:21.182000,23.7,58.0,1014.2,False,25.9,341,3.7
0 days 00:44:21.180000,23.7,58.0,1014.2,False,25.9,336,3.5
0 days 00:45:21.187000,23.6,58.0,1014.2,False,25.6,337,2.7
0 days 00:46:21.185000,23.6,58.0,1014.2,False,25.5,340,2.5
0 days 00:47:21.198000,23.5,58.0,1014.2,False,25.6,329,3.0
0 days 00:48:21.181000,23.5,58.0,1014.2,False,25.5,316,3.5
0 days 00:49:21.197000,23.4,58.0,1014.2,False,25.5,326,2.7
0 days 00:50:21.198000,23.4,58.0,1014.2,False,25.6,337,3.4
0 days 00:51:21.213000,23.4,58.0,1014.2,False,25.6,307,3.7
0 days 00:52:21.229000,23.5,58.0,1014.2,False,25.5,343,3.4
0 days 00:53:21.229000,23.6,58.0,1014.2,False,25.6,346,3.0
0 days 00:54:21.233000,23.6,57.0,1014.2,False,25.6,346,2.7
0 days 00:55:21.244000,23.6,57.0,1014.4,False,25.5,347,3.5
0 days 00:56:21.256000,23.6,57.0,1014.4,False,25.5,324,2.7
0 days 00:57:21.247000,23.6,57.0,1014.2,False,25.5,334,3.2
0 days 00:58:21.253000,23.6,58.0,1014.2,False,25.4,346,3.7
0 days 00:59:21.261000,23.5,58.0,1014.4,False,25.4,353,3.0
0 days 01:00:21.254000,23.5,58.0,1014.2,False,25.3,306,4.0
0 days 01:01:21.258000,23.5,58.0,1014.2,False,25.3,336,4.5
0 days 01:02:21.265000,23.5,58.0,1014.4,False,25.3,322,3.2
0 days 01:03:21.257000,23.5,58.0,1014.2,False,25.4,351,3.5
0 days 01:04:21.274000,23.4,58.0,1014.2,False,25.3,332,2.9
0 days 01:05:21.260000,23.4,58.0,1014.4,False,25.3,336,3.5
0 days 01:06:21.261000,23.4,58.0,1014.2,False,25.3,328,3.2
0 days 01:07:21.306000,23.5,58.0,1014.4,False,25.3,330,3.9
0 days 01:08:21.266000,23.5,59.0,1014.5,False,25.3,343,3.4
0 days 01:09:21.262000,23.4,59.0,1014.5,False,25.4,342,2.5
0 days 01:10:21.273000,23.4,59.0,1014.4,False,25.3,344,3.2
0 days 01:11:21.258000,23.4,59.0,1014.5,False,25.3,347,3.2
0 days 01:12:21.261000,23.4,59.0,1014.5,False,25.3,329,2.7
0 days 01:13:21.268000,23.4,59.0,1014.5,False,25.2,346,4.4
0 days 01:14:21.259000,23.4,59.0,1014.4,False,25.2,332,3.2
0 days 01:15:21.263000,23.4,59.0,1014.5,False,25.2,342,3.0
0 days 01:16:21.258000,23.3,59.0,1014.5,False,25.3,321,3.2
0 days 01:17:21.275000,23.3,59.0,1014.4,False,25.3,335,3.0
0 days 01:18:21.271000,23.4,59.0,1014.5,False,25.2,345,3.0
0 days 01:19:21.276000,23.4,59.0,1014.5,False,25.3,327,3.2
0 days 01:20:21.291000,23.4,60.0,1014.5,False,25.3,344,3.0
0 days 01:21:21.294000,23.4,59.0,1014.5,False,25.3,329,3.5
0 days 01:22:21.293000,23.4,59.0,1014.5,False,25.3,347,3.2
0 days 01:23:21.294000,23.3,60.0,1014.5,False,25.1,356,2.5
0 days 01:24:21.306000,23.3,60.0,1014.7,False,25.2,328,2.7
0 days 01:25:21.327000,23.3,60.0,1014.7,False,25.2,328,2.7
0 days 01:26:21.327000,23.3,60.0,1014.7,False,25.2,328,2.7
0 days 01:27:21.319000,23.3,60.0,1014.7,False,25.2,328,2.7
0 days 01:28:21.341000,23.3,60.0,1014.7,False,25.2,328,2.7
0 days 01:29:21.342000,23.3,60.0,1014.7,False,25.1,348,3.2
0 days 01:30:21.376000,23.3,60.0,1014.7,False,25.1,346,2.5
0 days 01:31:21.352000,23.3,60.0,1014.7,False,25.1,340,3.0
0 days 01:32:21.369000,23.3,60.0,1014.7,False,25.2,335,3.2
0 days 01:33:21.354000,23.3,60.0,1014.7,False,25.1,327,3.2
