Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:18.363000,25.2,90.0,1007.7,True,24.5,21,0.8
0 days 00:01:18.355000,25.0,90.0,1007.7,True,25.0,38,1.1
0 days 00:02:18.360000,24.9,90.0,1007.9,True,25.1,55,0.8
0 days 00:03:18.355000,24.8,91.0,1007.9,True,25.2,153,0.8
0 days 00:04:18.357000,24.7,91.0,1007.7,True,25.5,171,0.6
0 days 00:05:18.367000,24.6,92.0,1007.9,True,26.0,0,0.6
0 days 00:06:18.355000,24.5,92.0,1007.9,True,26.1,29,0.0
0 days 00:07:18.355000,24.4,91.0,1007.9,True,26.0,9,0.8
0 days 00:08:18.347000,24.4,91.0,1007.9,True,26.0,58,1.2
0 days 00:09:18.356000,24.4,91.0,1007.7,True,26.0,58,0.8
0 days 00:10:18.354000,24.3,92.0,1007.7,True,26.1,41,0.5
0 days 00:11:18.356000,24.3,92.0,1007.7,True,26.2,8,0.6
0 days 00:12:18.395000,24.3,92.0,1007.7,True,26.4,34,0.6
0 days 00:13:18.355000,24.3,92.0,1007.7,True,26.4,70,0.6
0 days 00:14:18.355000,24.3,93.0,1007.7,True,26.5,139,0.4
0 days 00:15:18.355000,24.4,93.0,1007.7,True,26.5,143,0.4
0 days 00:16:18.354000,24.4,93.0,1007.7,True,26.4,173,0.8
0 days 00:17:18.355000,24.4,93.0,1007.7,True,26.4,170,1.0
0 days 00:18:18.392000,24.4,93.0,1007.7,True,26.5,159,1.2
0 days 00:19:18.355000,24.4,93.0,1007.7,True,26.7,160,1.3
0 days 00:20:18.357000,24.4,93.0,1007.5,True,27.0,167,1.6
0 days 00:21:18.357000,24.4,93.0,1007.5,True,27.0,167,1.7
0 days 00:22:18.378000,24.4,93.0,1007.5,True,27.3,167,1.7
0 days 00:23:18.358000,24.4,94.0,1007.5,True,27.4,166,1.8
0 days 00:24:18.358000,24.5,93.0,1007.5,True,27.5,162,2.4
0 days 00:25:18.355000,24.5,93.0,1007.5,True,27.7,160,2.2
0 days 00:26:18.356000,24.5,93.0,1007.4,True,28.0,162,2.4
0 days 00:27:18.361000,24.4,94.0,1007.4,True,27.9,163,2.7
0 days 00:28:18.359000,24.4,93.0,1007.5,True,27.7,161,2.5
0 days 00:29:18.354000,24.5,93.0,1007.5,True,27.7,163,1.8
0 days 00:30:18.355000,24.4,93.0,1007.5,True,27.9,157,1.3
0 days 00:31:18.357000,24.4,93.0,1007.5,True,28.1,159,1.5
0 days 00:32:18.359000,24.4,93.0,1007.5,True,28.1,173,1.0
0 days 00:33:18.358000,24.4,93.0,1007.5,True,28.2,141,0.8
0 days 00:34:18.355000,24.4,93.0,1007.5,True,28.3,152,0.6
0 days 00:35:18.360000,24.4,93.0,1007.5,True,28.4,131,0.8
0 days 00:36:18.356000,24.4,93.0,1007.5,True,28.5,135,1.1
0 days 00:37:18.356000,24.4,93.0,1007.5,True,28.7,145,1.0
0 days 00:38:18.357000,24.3,93.0,1007.5,True,28.6,140,0.8
0 days 00:39:18.358000,24.4,93.0,1007.5,True,28.6,158,0.8
0 days 00:40:18.358000,24.3,93.0,1007.5,True,28.7,149,0.8
0 days 00:41:18.356000,24.5,94.0,1007.4,True,28.9,0,0.3
0 days 00:42:18.359000,24.5,94.0,1007.5,True,28.9,3,0.0
0 days 00:43:18.358000,24.6,94.0,1007.5,True,29.2,44,0.6
0 days 00:44:18.359000,24.7,94.0,1007.5,True,29.3,20,0.6
0 days 00:45:18.356000,24.7,93.0,1007.4,True,29.4,0,1.1
0 days 00:46:18.357000,24.8,93.0,1007.5,False,29.9,345,0.8
0 days 00:47:18.356000,24.8,93.0,1007.4,False,29.9,0,0.3
0 days 00:48:18.358000,24.9,93.0,1007.2,False,29.9,9,1.0
0 days 00:49:18.359000,24.8,93.0,1007.4,False,29.9,5,0.8
0 days 00:50:18.356000,24.8,93.0,1007.4,False,30.0,10,0.8
0 days 00:51:18.359000,24.8,93.0,1007.4,False,30.0,26,0.8
0 days 00:52:18.365000,24.9,93.0,1007.5,False,30.1,170,0.6
0 days 00:53:18.357000,24.9,94.0,1007.2,False,30.4,0,0.0
0 days 00:54:18.357000,24.9,93.0,1007.5,False,30.7,181,0.0
0 days 00:55:18.390000,25.0,94.0,1007.4,False,30.9,164,0.6
0 days 00:56:18.365000,25.1,93.0,1007.5,False,30.9,137,0.6
0 days 00:57:18.357000,25.1,93.0,1007.5,False,31.0,152,0.5
0 days 00:58:18.361000,25.1,93.0,1007.4,False,31.0,155,0.6
0 days 00:59:18.358000,25.1,92.0,1007.4,False,31.1,156,0.8
0 days 01:00:18.358000,25.1,92.0,1007.5,False,30.7,148,0.8
0 days 01:01:18.358000,25.1,93.0,1007.5,False,30.6,154,0.8
0 days 01:02:18.358000,25.2,93.0,1007.5,False,30.6,145,0.6
0 days 01:03:18.358000,25.1,92.0,1007.5,False,30.6,128,0.6
0 days 01:04:18.364000,25.2,92.0,1007.5,False,30.5,150,0.6
0 days 01:05:18.358000,25.2,92.0,1007.5,False,30.5,140,0.6
0 days 01:06:18.358000,25.2,92.0,1007.5,False,30.5,31,0.4
0 days 01:07:18.376000,25.3,92.0,1007.5,False,30.8,39,0.0
0 days 01:08:18.427000,25.3,92.0,1007.5,False,30.8,9,0.6
0 days 01:09:18.382000,25.4,92.0,1007.5,False,30.8,11,1.0
0 days 01:10:18.389000,25.3,91.0,1007.5,False,30.8,354,1.1
0 days 01:11:18.390000,25.3,92.0,1007.5,False,30.5,16,1.1
0 days 01:12:18.414000,25.3,92.0,1007.5,False,30.2,4,0.6
0 days 01:13:18.406000,25.4,91.0,1007.5,False,30.1,10,0.8
0 days 01:14:18.405000,25.4,91.0,1007.7,False,30.1,11,0.6
0 days 01:15:18.403000,25.4,91.0,1007.5,False,30.2,23,0.8
0 days 01:16:18.405000,25.3,90.0,1007.5,False,30.8,9,0.6
0 days 01:17:18.406000,25.4,91.0,1007.5,False,31.1,8,0.8
0 days 01:18:18.432000,25.4,90.0,1007.5,False,31.1,20,0.8
0 days 01:19:18.437000,25.3,90.0,1007.5,False,31.1,19,0.8
0 days 01:20:18.454000,25.3,90.0,1007.7,False,30.8,22,0.8
0 days 01:21:18.455000,25.4,89.0,1007.5,False,30.7,13,1.1
0 days 01:22:18.468000,25.4,90.0,1007.7,False,30.9,11,1.1
0 days 01:23:18.486000,25.5,88.0,1007.7,False,31.0,9,1.2
0 days 01:24:18.484000,25.5,88.0,1007.7,False,31.0,7,1.0
0 days 01:25:18.484000,25.5,87.0,1007.7,False,31.0,28,1.2
0 days 01:26:18.493000,25.6,87.0,1007.7,False,30.8,8,1.1
0 days 01:27:18.483000,25.6,86.0,1007.7,False,30.7,9,1.2
0 days 01:28:18.483000,25.7,86.0,1007.7,False,30.7,12,0.8
0 days 01:29:18.488000,25.7,85.0,1007.7,False,30.9,6,1.1
0 days 01:30:18.506000,25.7,85.0,1007.7,False,31.0,8,1.1
0 days 01:31:18.494000,25.8,85.0,1007.7,False,31.0,8,1.1
0 days 01:32:18.515000,25.8,84.0,1007.9,False,30.9,18,0.8
0 days 01:33:18.536000,25.9,83.0,1007.9,False,30.6,8,0.8
0 days 01:34:18.558000,25.9,83.0,1007.7,False,30.6,8,1.2
0 days 01:35:18.536000,26.0,83.0,1007.9,False,30.6,4,1.3
0 days 01:36:18.540000,26.0,82.0,1007.9,False,30.5,5,1.6
0 days 01:37:18.537000,26.0,82.0,1007.9,False,30.5,356,1.6
0 days 01:38:18.549000,26.0,82.0,1007.9,False,30.4,0,1.5
0 days 01:39:18.562000,26.1,81.0,1007.9,False,30.4,4,1.3
0 days 01:40:18.578000,26.1,81.0,1007.9,False,30.2,19,1.6
0 days 01:41:18.580000,26.2,81.0,1007.9,False,29.9,10,1.2
