Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:13.023000,36.3,8.0,996.9,False,48.3,196,3.2
0 days 00:01:13.014000,36.2,8.0,996.9,False,48.4,190,3.5
0 days 00:02:13.011000,36.1,8.0,996.7,False,48.6,170,3.5
0 days 00:03:13.038000,36.1,7.0,996.7,False,48.8,155,4.0
0 days 00:04:13.041000,36.1,7.0,996.7,False,48.8,183,5.5
0 days 00:05:13.040000,36.1,7.0,996.7,False,48.4,182,5.5
0 days 00:06:13.053000,36.0,7.0,996.7,False,48.3,164,5.0
0 days 00:07:13.053000,36.1,8.0,996.9,False,48.3,170,4.4
0 days 00:08:13.054000,36.1,7.0,996.7,False,48.3,191,3.5
0 days 00:09:13.070000,36.1,8.0,996.7,False,48.4,195,4.6
0 days 00:10:13.084000,36.3,8.0,996.9,False,48.4,189,4.8
0 days 00:11:13.105000,36.2,8.0,996.7,False,48.4,192,4.8
0 days 00:12:13.126000,36.0,8.0,996.7,False,48.3,190,4.8
0 days 00:13:13.121000,35.9,8.0,996.7,False,48.4,182,4.5
0 days 00:14:13.130000,36.0,8.0,996.7,False,48.5,178,3.9
0 days 00:15:13.137000,36.0,8.0,996.7,False,48.5,187,4.0
0 days 00:16:13.128000,36.0,9.0,996.7,False,48.5,200,1.5
0 days 00:17:13.138000,36.1,9.0,996.7,False,48.8,207,3.2
0 days 00:18:13.128000,36.2,8.0,996.5,False,48.8,190,4.0
0 days 00:19:13.128000,36.3,8.0,996.7,False,48.8,186,4.8
0 days 00:20:13.138000,36.3,8.0,996.7,False,48.7,191,4.0
0 days 00:21:13.121000,36.2,8.0,996.7,False,48.7,192,4.0
0 days 00:22:13.134000,36.2,8.0,996.5,False,48.7,178,3.2
0 days 00:23:13.141000,36.4,7.0,996.7,False,48.8,194,5.0
0 days 00:24:13.138000,36.4,7.0,996.7,False,48.7,189,4.0
0 days 00:25:13.131000,36.3,7.0,996.7,False,48.8,195,4.6
0 days 00:26:13.496000,36.2,8.0,996.7,False,48.8,195,3.0
0 days 00:27:13.131000,36.3,8.0,996.5,False,48.7,195,4.0
0 days 00:28:13.130000,36.3,8.0,996.5,False,48.7,187,4.0
0 days 00:29:13.131000,36.3,8.0,996.5,False,48.7,209,3.0
0 days 00:30:13.130000,36.2,7.0,996.5,False,48.9,190,3.7
0 days 00:31:13.135000,36.4,8.0,996.5,False,48.9,180,2.7
0 days 00:32:13.149000,36.3,7.0,996.5,False,48.9,171,4.9
0 days 00:33:13.136000,36.2,7.0,996.5,False,48.8,168,3.0
0 days 00:34:13.131000,36.3,7.0,996.5,False,48.7,161,5.0
0 days 00:35:13.134000,36.2,7.0,996.5,False,48.6,186,5.0
0 days 00:36:13.129000,36.1,7.0,996.5,False,48.6,180,4.8
0 days 00:37:13.131000,36.1,7.0,996.5,False,48.7,198,4.6
0 days 00:38:13.137000,36.0,7.0,996.5,False,48.8,194,3.0
0 days 00:39:13.131000,36.1,7.0,996.5,False,49.0,180,2.7
0 days 00:40:13.142000,36.1,7.0,996.4,False,49.1,183,4.3
0 days 00:41:13.130000,36.2,7.0,996.5,False,49.2,182,5.0
0 days 00:42:13.136000,36.2,7.0,996.5,False,49.1,167,5.0
0 days 00:43:13.129000,36.3,7.0,996.5,False,48.9,213,2.5
0 days 00:44:13.128000,36.3,7.0,996.5,False,49.1,181,3.0
0 days 00:45:13.132000,36.3,7.0,996.2,False,49.0,157,4.5
0 days 00:46:13.130000,36.3,7.0,996.4,False,49.1,193,4.5
0 days 00:47:13.129000,36.4,7.0,996.4,False,49.1,197,4.9
0 days 00:48:13.521000,36.4,7.0,996.4,False,49.1,184,4.5
0 days 00:49:13.131000,36.2,7.0,996.4,False,49.1,182,3.9
0 days 00:50:13.133000,36.2,7.0,996.4,False,49.1,185,4.0
0 days 00:51:13.131000,36.1,6.0,996.4,False,49.1,191,4.8
0 days 00:52:13.137000,36.2,7.0,996.5,False,49.1,180,4.4
0 days 00:53:13.134000,36.2,7.0,996.2,False,49.1,174,4.0
0 days 00:54:13.130000,36.2,6.0,996.5,False,49.2,184,3.5
0 days 00:55:13.137000,36.2,7.0,996.2,False,49.1,186,4.6
0 days 00:56:13.128000,36.3,7.0,996.2,False,49.2,196,4.8
