Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:21:02.241000,SAI,55,,1.0,1.0,0 days 00:18:53.779000,,,0 days 00:00:52.087000,0 days 00:00:38.807000,,0 days 00:20:23.434000,0 days 00:21:02.249000,168.0,153.0,210.0,218.0,False,SOFT,1.0,True,Ferrari,0 days 00:18:53.779000,2022-10-22 22:03:55.698,1,,False,,False,False
0 days 00:23:35.661000,SAI,55,,2.0,1.0,,,0 days 00:00:28.787000,0 days 00:01:12.429000,0 days 00:00:52.203000,0 days 00:21:31.058000,0 days 00:22:43.561000,0 days 00:23:35.846000,,67.0,209.0,115.0,False,SOFT,2.0,True,Ferrari,0 days 00:21:02.241000,2022-10-22 22:06:04.160,1,,False,,False,False
0 days 00:25:10.958000,SAI,55,,3.0,1.0,,,0 days 00:00:25.832000,0 days 00:00:38.413000,0 days 00:00:31.052000,0 days 00:24:01.493000,0 days 00:24:39.906000,0 days 00:25:10.958000,233.0,192.0,208.0,322.0,True,SOFT,3.0,True,Ferrari,0 days 00:23:35.661000,2022-10-22 22:08:37.580,1,,False,,False,True
0 days 00:27:23.525000,SAI,55,,4.0,1.0,,0 days 00:27:22.390000,0 days 00:00:38.870000,0 days 00:00:53.547000,0 days 00:00:40.150000,0 days 00:25:49.828000,0 days 00:26:43.375000,0 days 00:27:23.525000,147.0,142.0,,191.0,False,SOFT,4.0,True,Ferrari,0 days 00:25:10.958000,2022-10-22 22:10:12.877,1,,False,,False,False
0 days 00:46:08.046000,SAI,55,,5.0,2.0,0 days 00:43:54.650000,,,0 days 00:00:50.450000,0 days 00:00:46.368000,,0 days 00:45:21.727000,0 days 00:46:08.053000,169.0,57.0,210.0,295.0,False,SOFT,5.0,False,Ferrari,0 days 00:27:23.525000,2022-10-22 22:12:25.444,1,,False,,False,False
0 days 00:47:43.636000,SAI,55,,6.0,2.0,,,0 days 00:00:25.866000,0 days 00:00:38.497000,0 days 00:00:31.227000,0 days 00:46:33.912000,0 days 00:47:12.409000,0 days 00:47:43.636000,234.0,187.0,210.0,320.0,True,SOFT,6.0,False,Ferrari,0 days 00:46:08.046000,2022-10-22 22:31:09.965,1,,False,,False,True
0 days 00:49:51.793000,SAI,55,,7.0,2.0,,0 days 00:49:50.737000,0 days 00:00:35.321000,0 days 00:00:51.189000,0 days 00:00:41.647000,0 days 00:48:18.957000,0 days 00:49:10.146000,0 days 00:49:51.793000,159.0,134.0,,205.0,False,SOFT,7.0,False,Ferrari,0 days 00:47:43.636000,2022-10-22 22:32:45.555,1,,False,,False,False
0 days 01:06:19.235000,SAI,55,,8.0,3.0,0 days 01:04:06.582000,,,0 days 00:00:52.149000,0 days 00:00:46.011000,,0 days 01:05:33.224000,0 days 01:06:19.261000,141.0,118.0,210.0,293.0,False,SOFT,1.0,True,Ferrari,0 days 00:49:51.793000,2022-10-22 22:34:53.712,1,,False,,False,False
0 days 01:07:54.018000,SAI,55,,9.0,3.0,,,0 days 00:00:25.767000,0 days 00:00:38.204000,0 days 00:00:30.812000,0 days 01:06:45.002000,0 days 01:07:23.206000,0 days 01:07:54.018000,235.0,191.0,209.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:19.235000,2022-10-22 22:51:21.154,1,,False,,False,True
0 days 01:09:51.364000,SAI,55,,10.0,3.0,,0 days 01:09:50.316000,0 days 00:00:31.748000,0 days 00:00:45.421000,0 days 00:00:40.177000,0 days 01:08:25.766000,0 days 01:09:11.187000,0 days 01:09:51.364000,176.0,146.0,,232.0,False,SOFT,3.0,True,Ferrari,0 days 01:07:54.018000,2022-10-22 22:52:55.937,1,,False,,False,False
0 days 01:14:34.374000,SAI,55,,11.0,4.0,0 days 01:12:27.221000,,,0 days 00:00:48.600000,0 days 00:00:46.948000,,0 days 01:13:47.435000,0 days 01:14:34.513000,166.0,109.0,213.0,298.0,False,SOFT,1.0,True,Ferrari,0 days 01:09:51.364000,2022-10-22 22:54:53.283,1,,False,,False,False
0 days 01:16:08.730000,SAI,55,,12.0,4.0,,,0 days 00:00:25.525000,0 days 00:00:38.097000,0 days 00:00:30.734000,0 days 01:14:59.899000,0 days 01:15:37.996000,0 days 01:16:08.730000,233.0,193.0,210.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:34.374000,2022-10-22 22:59:36.293,1,,False,,False,True
0 days 01:18:12.678000,SAI,55,,13.0,4.0,,,0 days 00:00:32.970000,0 days 00:00:49.723000,0 days 00:00:41.255000,0 days 01:16:41.700000,0 days 01:17:31.423000,0 days 01:18:12.678000,184.0,155.0,120.0,194.0,False,SOFT,3.0,True,Ferrari,0 days 01:16:08.730000,2022-10-22 23:01:10.649,1,,False,,False,True
0 days 00:20:48.567000,LEC,16,,1.0,1.0,0 days 00:18:41.888000,,,0 days 00:00:50.777000,0 days 00:00:41.338000,,0 days 00:20:07.281000,0 days 00:20:48.592000,142.0,147.0,206.0,285.0,False,SOFT,1.0,True,Ferrari,0 days 00:18:41.888000,2022-10-22 22:03:43.807,1,,False,,False,False
0 days 00:22:24.362000,LEC,16,,2.0,1.0,,,0 days 00:00:25.999000,0 days 00:00:38.617000,0 days 00:00:31.179000,0 days 00:21:14.566000,0 days 00:21:53.183000,0 days 00:22:24.362000,225.0,189.0,208.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 00:20:48.567000,2022-10-22 22:05:50.486,1,,False,,False,True
0 days 00:24:51.109000,LEC,16,,3.0,1.0,,,0 days 00:00:39.945000,0 days 00:01:03.391000,0 days 00:00:43.411000,0 days 00:23:04.307000,0 days 00:24:07.698000,0 days 00:24:51.109000,137.0,150.0,174.0,174.0,False,SOFT,3.0,True,Ferrari,0 days 00:22:24.362000,2022-10-22 22:07:26.281,1,,False,,False,True
