Driver,Team,LapNumber,LapTime,Compound,TyreLife,Race,EventName,Session,TrackTemp,AirTemp,Humidity,IsPersonalBest,Deleted,DeletedReason,FastF1Generated,IsAccurate
VER,Red Bull Racing,1,91.12595310216722,SOFT,1,Bahrain,Bahrain Grand Prix,Race,47.57716536225204,29.421582501234468,68.68450123265755,False,False,,True,True
VER,Red Bull Racing,2,91.09063463123633,SOFT,2,Bahrain,Bahrain Grand Prix,Race,44.379264098636156,21.967111330766116,50.07196575036572,False,False,,True,True
VER,Red Bull Racing,3,91.3905159500805,SOFT,3,Bahrain,Bahrain Grand Prix,Race,40.35407666534721,28.239495436647115,53.40483498342925,False,False,,True,True
VER,Red Bull Racing,4,91.3544443653224,SOFT,4,Bahrain,Bahrain Grand Prix,Race,42.861035431983275,26.404547769345317,53.8252449822865,False,False,,True,True
VER,Red Bull Racing,5,91.43241578031295,SOFT,5,Bahrain,Bahrain Grand Prix,Race,41.16011749028461,28.427393807159966,54.65347815772401,False,False,,True,True
VER,Red Bull Racing,6,91.65286785310052,SOFT,6,Bahrain,Bahrain Grand Prix,Race,44.47627225847784,26.424631446609972,74.12771271359208,False,False,,True,True
VER,Red Bull Racing,7,91.05865607685398,SOFT,7,Bahrain,Bahrain Grand Prix,Race,50.59711805780918,30.337577903545014,43.98902243650166,False,False,,True,True
VER,Red Bull Racing,8,91.7280456387794,SOFT,8,Bahrain,Bahrain Grand Prix,Race,46.865594573647094,26.840581148306335,43.412297580749176,False,False,,True,True
VER,Red Bull Racing,9,91.65322256535622,SOFT,9,Bahrain,Bahrain Grand Prix,Race,41.47773274811705,23.866182088532554,51.468833479929316,False,False,,True,True
VER,Red Bull Racing,10,91.48570685636517,SOFT,10,Bahrain,Bahrain Grand Prix,Race,45.33328639254312,27.471143014222722,67.00892771949529,False,False,,True,True
VER,Red Bull Racing,11,91.75567978826635,SOFT,11,Bahrain,Bahrain Grand Prix,Race,44.14185582386791,25.278440259557815,66.88625726430611,False,False,,True,True
VER,Red Bull Racing,9,91.01818293142699,SOFT,1,Bahrain,Bahrain Grand Prix,Race,37.08352893231556,30.321101250501044,49.6185833833704,False,False,,True,True
VER,Red Bull Racing,10,90.98866438052772,SOFT,2,Bahrain,Bahrain Grand Prix,Race,40.59704366976447,24.608343085955298,56.34428882628022,False,False,,True,True
VER,Red Bull Racing,11,91.41242455894262,SOFT,3,Bahrain,Bahrain Grand Prix,Race,49.43874229796678,30.682996990326284,62.54997797244736,False,False,,True,True
VER,Red Bull Racing,12,91.2925668219791,SOFT,4,Bahrain,Bahrain Grand Prix,Race,41.8826130250752,23.47554013135755,65.9964697578482,False,False,,True,True
VER,Red Bull Racing,13,91.33645357574586,SOFT,5,Bahrain,Bahrain Grand Prix,Race,42.9480834565685,31.539149034102103,46.017920605443216,False,False,,True,True
VER,Red Bull Racing,14,91.57695908384608,SOFT,6,Bahrain,Bahrain Grand Prix,Race,46.48280692164485,24.886510370453554,54.241962549718146,False,False,,True,True
VER,Red Bull Racing,15,91.64259270675116,SOFT,7,Bahrain,Bahrain Grand Prix,Race,48.977977319479706,32.486302758650424,58.3818125199332,False,False,,True,True
VER,Red Bull Racing,16,92.16045925072532,SOFT,8,Bahrain,Bahrain Grand Prix,Race,40.39804597466312,26.804084829954395,54.39135912525254,False,False,,True,True
VER,Red Bull Racing,17,91.24024990828173,SOFT,9,Bahrain,Bahrain Grand Prix,Race,50.212458086697104,30.710597471877527,55.1900033106215,False,False,,True,True
VER,Red Bull Racing,18,91.45511670926531,SOFT,10,Bahrain,Bahrain Grand Prix,Race,37.52473064592832,25.63222501390624,62.43711283771227,False,False,,True,True
VER,Red Bull Racing,19,91.55756771565767,SOFT,11,Bahrain,Bahrain Grand Prix,Race,42.865656029801386,29.504344994574417,66.58186652932028,False,False,,True,True
VER,Red Bull Racing,20,91.68942337401126,SOFT,12,Bahrain,Bahrain Grand Prix,Race,46.57256447931586,32.11558640064933,56.755532939548324,False,False,,True,True
VER,Red Bull Racing,21,91.61414229071109,SOFT,13,Bahrain,Bahrain Grand Prix,Race,48.365627513869875,27.23010945192234,51.321742758672386,False,False,,True,True
VER,Red Bull Racing,22,91.96874672402791,SOFT,14,Bahrain,Bahrain Grand Prix,Race,43.5402366458719,20.03447185730959,58.45517943888766,False,False,,True,True
VER,Red Bull Racing,23,91.67289670968394,SOFT,15,Bahrain,Bahrain Grand Prix,Race,43.55431571765029,29.35880897960053,53.33939091648935,False,False,,True,True
VER,Red Bull Racing,24,91.83298776601896,SOFT,16,Bahrain,Bahrain Grand Prix,Race,34.88842533402132,25.170829574598212,69.03958738659294,False,False,,True,True
VER,Red Bull Racing,25,91.82428983909767,SOFT,17,Bahrain,Bahrain Grand Prix,Race,36.632476890048885,24.782404496693026,45.07413820596809,False,False,,True,True
VER,Red Bull Racing,26,91.88646953650994,SOFT,18,Bahrain,Bahrain Grand Prix,Race,42.836953597259935,26.022453092690565,55.039373044314026,False,False,,True,True
VER,Red Bull Racing,17,91.4514032145873,SOFT,1,Bahrain,Bahrain Grand Prix,Race,37.867605576372235,29.014067976625423,74.74571196953487,False,False,,True,True
VER,Red Bull Racing,18,91.63500695278509,SOFT,2,Bahrain,Bahrain Grand Prix,Race,35.30044390698378,25.712119107354546,56.68659387193294,False,False,,True,True
VER,Red Bull Racing,19,91.01562460987331,SOFT,3,Bahrain,Bahrain Grand Prix,Race,41.65876650433794,27.588126988962188,69.01321564693625,False,False,,True,True
VER,Red Bull Racing,20,91.30891946894263,SOFT,4,Bahrain,Bahrain Grand Prix,Race,46.08468363081171,29.53727119711481,60.43488691242436,False,False,,True,True
VER,Red Bull Racing,21,91.36161989266965,SOFT,5,Bahrain,Bahrain Grand Prix,Race,39.014564683308485,30.369018414252018,59.31489463263042,False,False,,True,True
VER,Red Bull Racing,22,91.17464954028455,SOFT,6,Bahrain,Bahrain Grand Prix,Race,41.58849218039864,30.662534843248807,61.05483130847675,False,False,,True,True
VER,Red Bull Racing,23,91.28794040142824,SOFT,7,Bahrain,Bahrain Grand Prix,Race,43.65033115462155,27.569613311107933,61.1700377571513,False,False,,True,True
VER,Red Bull Racing,24,91.71978813982798,SOFT,8,Bahrain,Bahrain Grand Prix,Race,45.328245790556124,31.507622940857868,63.733169690894265,False,False,,True,True
VER,Red Bull Racing,25,91.54913002680134,SOFT,9,Bahrain,Bahrain Grand Prix,Race,37.78258324151881,24.916867407734532,62.41240635045218,False,False,,True,True
VER,Red Bull Racing,25,91.23349198692082,SOFT,1,Bahrain,Bahrain Grand Prix,Race,51.53571377141214,23.17755029631632,56.84633858532304,False,False,,True,True
VER,Red Bull Racing,26,91.27797655884969,SOFT,2,Bahrain,Bahrain Grand Prix,Race,48.90911435888655,24.289147867365756,41.795433869157236,False,False,,True,True
VER,Red Bull Racing,27,91.36838831312339,SOFT,3,Bahrain,Bahrain Grand Prix,Race,46.48492336616593,28.75147855103763,58.46448209496976,False,False,,True,True
VER,Red Bull Racing,28,91.16599505568429,SOFT,4,Bahrain,Bahrain Grand Prix,Race,46.16126848580502,28.879217419896044,47.85648581973632,False,False,,True,True
VER,Red Bull Racing,29,91.71315490222895,SOFT,5,Bahrain,Bahrain Grand Prix,Race,47.36916460455894,24.426089508392053,61.5655360863383,False,False,,True,True
VER,Red Bull Racing,30,91.18306366595453,SOFT,6,Bahrain,Bahrain Grand Prix,Race,48.93542301871226,31.47578673702221,46.7931768164829,False,False,,True,True
VER,Red Bull Racing,31,91.60867522584887,SOFT,7,Bahrain,Bahrain Grand Prix,Race,47.063904634682494,30.46618047998347,73.96792982653947,False,False,,True,True
VER,Red Bull Racing,32,91.40492237679942,SOFT,8,Bahrain,Bahrain Grand Prix,Race,41.23131917821255,25.33145671112343,46.841897150345616,False,False,,True,True
VER,Red Bull Racing,33,91.47657965811719,SOFT,9,Bahrain,Bahrain Grand Prix,Race,46.70575987408322,28.830072397990058,63.27183249036024,False,False,,True,True
VER,Red Bull Racing,34,91.53260037837559,SOFT,10,Bahrain,Bahrain Grand Prix,Race,52.26767038578659,27.20602950028613,82.20169166589619,False,False,,True,True
VER,Red Bull Racing,35,91.693133469553,SOFT,11,Bahrain,Bahrain Grand Prix,Race,40.714212217918586,24.787322505816665,59.824724152431855,False,False,,True,True
VER,Red Bull Racing,36,91.56130744293483,SOFT,12,Bahrain,Bahrain Grand Prix,Race,48.57000247046046,29.419712873720634,54.271710873431275,False,False,,True,True
VER,Red Bull Racing,37,91.47464125638632,SOFT,13,Bahrain,Bahrain Grand Prix,Race,37.42576387657068,26.660455143798938,63.56398794323472,False,False,,True,True
VER,Red Bull Racing,38,91.72481874882604,SOFT,14,Bahrain,Bahrain Grand Prix,Race,38.77130610644006,28.519542777553546,58.85317379728837,False,False,,True,True
VER,Red Bull Racing,39,91.54322851275977,SOFT,15,Bahrain,Bahrain Grand Prix,Race,45.768625529727636,28.174626155338,43.57029702169377,False,False,,True,True
VER,Red Bull Racing,40,91.82955747206967,SOFT,16,Bahrain,Bahrain Grand Prix,Race,47.803922631841175,31.24915372952583,65.53802052034904,False,False,,True,True
VER,Red Bull Racing,41,91.52046612640859,SOFT,17,Bahrain,Bahrain Grand Prix,Race,40.310874800424386,29.54510580162598,60.13785950912209,False,False,,True,True
VER,Red Bull Racing,42,91.93700953726122,SOFT,18,Bahrain,Bahrain Grand Prix,Race,64.26365745327361,29.7126715320795,66.35565640180599,False,False,,True,True
VER,Red Bull Racing,43,92.06280035269866,SOFT,19,Bahrain,Bahrain Grand Prix,Race,48.25695625652899,27.054192266078964,62.589692204932675,False,False,,True,True
VER,Red Bull Racing,44,91.75543495709248,SOFT,20,Bahrain,Bahrain Grand Prix,Race,43.815906966299956,26.54390935651269,55.81874139386323,False,False,,True,True
VER,Red Bull Racing,33,91.08909363892204,SOFT,1,Bahrain,Bahrain Grand Prix,Race,45.40099356270407,25.32063917911233,51.651827526052664,False,False,,True,True
VER,Red Bull Racing,34,91.52207602822658,SOFT,2,Bahrain,Bahrain Grand Prix,Race,45.64275500035541,29.648729035188,42.2912819312396,False,False,,True,True
