Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:42.595000,VER,1,,1.0,1.0,0 days 00:18:52.382000,,,0 days 00:00:45.964000,0 days 00:00:41.339000,,0 days 00:20:01.256000,0 days 00:20:42.677000,250.0,248.0,224.0,249.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:52.382000,2023-11-25 14:03:52.386,1,,False,,False,False
0 days 00:22:06.755000,VER,1,,2.0,1.0,,,0 days 00:00:17.382000,0 days 00:00:36.172000,0 days 00:00:30.606000,0 days 00:20:59.977000,0 days 00:21:36.149000,0 days 00:22:06.755000,289.0,325.0,220.0,330.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:42.595000,2023-11-25 14:05:42.599,1,,False,,False,True
0 days 00:24:02.418000,VER,1,,3.0,1.0,,0 days 00:24:00.798000,0 days 00:00:24.332000,0 days 00:00:48.071000,0 days 00:00:43.260000,0 days 00:22:31.087000,0 days 00:23:19.158000,0 days 00:24:02.418000,215.0,267.0,,184.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:22:06.755000,2023-11-25 14:07:06.759,1,,False,,False,False
0 days 00:32:30.330000,VER,1,,4.0,2.0,0 days 00:29:43.542000,,,0 days 00:00:46.527000,0 days 00:00:44.587000,,0 days 00:31:45.743000,0 days 00:32:30.492000,206.0,183.0,223.0,245.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:24:02.418000,2023-11-25 14:09:02.422,1,,False,,False,False
0 days 00:33:54.884000,VER,1,,5.0,2.0,,,0 days 00:00:17.375000,0 days 00:00:36.342000,0 days 00:00:30.837000,0 days 00:32:47.705000,0 days 00:33:24.047000,0 days 00:33:54.884000,289.0,326.0,219.0,331.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:32:30.330000,2023-11-25 14:17:30.334,1,,True,TRACK LIMITS AT TURN 16 LAP 6 ,False,True
0 days 00:35:41.143000,VER,1,,6.0,2.0,,0 days 00:35:40.114000,0 days 00:00:20.889000,0 days 00:00:45.173000,0 days 00:00:40.197000,0 days 00:34:15.773000,0 days 00:35:00.946000,0 days 00:35:41.143000,251.0,205.0,,235.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:33:54.884000,2023-11-25 14:18:54.888,1,,False,,False,False
0 days 00:43:48.939000,VER,1,,7.0,3.0,0 days 00:41:43.248000,,,0 days 00:00:45.377000,0 days 00:00:42.218000,,0 days 00:43:06.794000,0 days 00:43:48.996000,262.0,248.0,225.0,248.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:35:41.143000,2023-11-25 14:20:41.147,1,,False,,False,False
0 days 00:45:12.679000,VER,1,,8.0,3.0,,,0 days 00:00:17.216000,0 days 00:00:35.965000,0 days 00:00:30.559000,0 days 00:44:06.155000,0 days 00:44:42.120000,0 days 00:45:12.679000,290.0,327.0,221.0,330.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:48.939000,2023-11-25 14:28:48.943,1,,False,,False,True
0 days 00:47:03.267000,VER,1,,9.0,3.0,,0 days 00:47:02.133000,0 days 00:00:21.895000,0 days 00:00:46.870000,0 days 00:00:41.823000,0 days 00:45:34.574000,0 days 00:46:21.444000,0 days 00:47:03.267000,236.0,153.0,,240.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:45:12.679000,2023-11-25 14:30:12.683,1,,False,,False,False
0 days 01:04:53.713000,VER,1,,10.0,4.0,0 days 01:03:03.695000,,,0 days 00:00:45.720000,0 days 00:00:39.971000,,0 days 01:04:13.803000,0 days 01:04:53.927000,255.0,248.0,226.0,240.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:47:03.267000,2023-11-25 14:32:03.271,1,,False,,False,False
0 days 01:06:17.158000,VER,1,,11.0,4.0,,,0 days 00:00:17.151000,0 days 00:00:35.894000,0 days 00:00:30.400000,0 days 01:05:10.864000,0 days 01:05:46.758000,0 days 01:06:17.158000,291.0,324.0,222.0,328.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:53.713000,2023-11-25 14:49:53.717,1,,False,,False,True
0 days 01:07:59.808000,VER,1,,12.0,4.0,,0 days 01:07:58.768000,0 days 00:00:19.458000,0 days 00:00:43.340000,0 days 00:00:39.852000,0 days 01:06:36.616000,0 days 01:07:19.956000,0 days 01:07:59.808000,262.0,213.0,,232.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:06:17.158000,2023-11-25 14:51:17.162,1,,False,,False,False
0 days 01:13:37.598000,VER,1,,13.0,5.0,0 days 01:11:08.405000,,,0 days 00:00:46.794000,0 days 00:00:39.944000,,0 days 01:12:57.887000,0 days 01:13:37.652000,256.0,248.0,227.0,248.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:07:59.808000,2023-11-25 14:52:59.812,1,,False,,False,False
0 days 01:15:01.148000,VER,1,,14.0,5.0,,,0 days 00:00:17.078000,0 days 00:00:35.975000,0 days 00:00:30.497000,0 days 01:13:54.676000,0 days 01:14:30.651000,0 days 01:15:01.148000,291.0,324.0,221.0,330.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:13:37.598000,2023-11-25 14:58:37.602,1,,False,,False,True
0 days 01:16:56.559000,VER,1,,15.0,5.0,,0 days 01:16:55.321000,0 days 00:00:22.145000,0 days 00:00:49.324000,0 days 00:00:43.942000,0 days 01:15:23.293000,0 days 01:16:12.617000,0 days 01:16:56.559000,249.0,232.0,,241.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:15:01.148000,2023-11-25 15:00:01.152,1,,False,,False,False
0 days 00:21:55.504000,LEC,16,,1.0,1.0,0 days 00:19:32.850000,,,0 days 00:00:46.773000,0 days 00:00:39.667000,,0 days 00:21:15.926000,0 days 00:21:55.504000,247.0,262.0,221.0,234.0,False,SOFT,1.0,True,Ferrari,0 days 00:19:32.850000,2023-11-25 14:04:32.854,1,,False,,False,False
0 days 00:23:20.060000,LEC,16,,2.0,1.0,,,0 days 00:00:17.381000,0 days 00:00:36.213000,0 days 00:00:30.962000,0 days 00:22:12.885000,0 days 00:22:49.098000,0 days 00:23:20.060000,288.0,324.0,219.0,328.0,True,SOFT,2.0,True,Ferrari,0 days 00:21:55.504000,2023-11-25 14:06:55.508,1,,False,,False,True
0 days 00:25:11.362000,LEC,16,,3.0,1.0,,0 days 00:25:10.250000,0 days 00:00:23.869000,0 days 00:00:45.407000,0 days 00:00:42.026000,0 days 00:23:43.929000,0 days 00:24:29.336000,0 days 00:25:11.362000,220.0,250.0,,244.0,False,SOFT,3.0,True,Ferrari,0 days 00:23:20.060000,2023-11-25 14:08:20.064,1,,False,,False,False
0 days 00:31:22.892000,LEC,16,,4.0,2.0,0 days 00:28:52.871000,,,0 days 00:00:44.533000,0 days 00:00:42.103000,,0 days 00:30:40.885000,0 days 00:31:23.119000,244.0,245.0,222.0,236.0,False,SOFT,1.0,True,Ferrari,0 days 00:25:11.362000,2023-11-25 14:10:11.366,1,,False,,False,False
0 days 00:32:47.351000,LEC,16,,5.0,2.0,,,0 days 00:00:17.324000,0 days 00:00:36.208000,0 days 00:00:30.927000,0 days 00:31:40.216000,0 days 00:32:16.424000,0 days 00:32:47.351000,289.0,324.0,222.0,327.0,True,SOFT,2.0,True,Ferrari,0 days 00:31:22.892000,2023-11-25 14:16:22.896,1,,False,,False,True
0 days 00:34:39.036000,LEC,16,,6.0,2.0,,0 days 00:34:37.943000,0 days 00:00:22.953000,0 days 00:00:46.064000,0 days 00:00:42.668000,0 days 00:33:10.304000,0 days 00:33:56.368000,0 days 00:34:39.036000,193.0,225.0,,265.0,False,SOFT,3.0,True,Ferrari,0 days 00:32:47.351000,2023-11-25 14:17:47.355,1,,False,,False,False
0 days 00:44:58.056000,LEC,16,,7.0,3.0,0 days 00:42:24.107000,,,0 days 00:00:42.698000,0 days 00:00:44.795000,,0 days 00:44:13.261000,0 days 00:44:58.104000,245.0,285.0,222.0,277.0,False,SOFT,4.0,False,Ferrari,0 days 00:34:39.036000,2023-11-25 14:19:39.040,1,,False,,False,False
0 days 00:46:22.611000,LEC,16,,8.0,3.0,,,0 days 00:00:17.407000,0 days 00:00:36.315000,0 days 00:00:30.833000,0 days 00:45:15.463000,0 days 00:45:51.778000,0 days 00:46:22.611000,290.0,324.0,217.0,329.0,True,SOFT,5.0,False,Ferrari,0 days 00:44:58.056000,2023-11-25 14:29:58.060,1,,False,,False,True
0 days 00:48:03.869000,LEC,16,,9.0,3.0,,0 days 00:48:02.851000,0 days 00:00:19.448000,0 days 00:00:42.613000,0 days 00:00:39.197000,0 days 00:46:42.059000,0 days 00:47:24.672000,0 days 00:48:03.869000,259.0,242.0,,237.0,False,SOFT,6.0,False,Ferrari,0 days 00:46:22.611000,2023-11-25 14:31:22.615,1,,False,,False,False
0 days 00:52:44.018000,LEC,16,,10.0,4.0,0 days 00:50:32.739000,,,0 days 00:00:46.857000,0 days 00:00:40.972000,,0 days 00:52:03.222000,0 days 00:52:44.393000,233.0,221.0,224.0,210.0,False,SOFT,1.0,True,Ferrari,0 days 00:48:03.869000,2023-11-25 14:33:03.873,1,,False,,False,False
0 days 00:54:07.987000,LEC,16,,11.0,4.0,,,0 days 00:00:17.188000,0 days 00:00:36.140000,0 days 00:00:30.641000,0 days 00:53:01.206000,0 days 00:53:37.346000,0 days 00:54:07.987000,290.0,323.0,221.0,328.0,True,SOFT,2.0,True,Ferrari,0 days 00:52:44.018000,2023-11-25 14:37:44.022,1,,False,,False,True
0 days 00:55:55.679000,LEC,16,,12.0,4.0,,0 days 00:55:54.640000,0 days 00:00:21.322000,0 days 00:00:43.518000,0 days 00:00:42.852000,0 days 00:54:29.309000,0 days 00:55:12.827000,0 days 00:55:55.679000,199.0,237.0,,272.0,False,SOFT,3.0,True,Ferrari,0 days 00:54:07.987000,2023-11-25 14:39:07.991,1,,False,,False,False
