Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:02.104000,27.0,65.0,1014.0,False,32.7,307,1.5
0 days 00:02:02.118000,27.0,65.0,1014.0,False,32.7,321,1.7
0 days 00:03:02.117000,26.9,65.0,1014.0,False,32.6,310,2.5
0 days 00:04:02.148000,26.9,65.0,1014.0,False,32.5,348,2.0
0 days 00:05:02.162000,26.9,66.0,1014.0,False,32.5,340,2.0
0 days 00:06:02.177000,26.9,66.0,1014.0,False,32.5,307,2.2
0 days 00:07:02.191000,26.9,66.0,1014.0,False,32.5,284,2.2
0 days 00:08:02.190000,26.9,66.0,1014.0,False,32.5,0,2.0
0 days 00:09:02.220000,26.9,66.0,1014.0,False,32.5,268,1.8
0 days 00:10:02.219000,26.9,66.0,1014.0,False,32.4,306,1.2
0 days 00:11:02.234000,26.9,66.0,1014.2,False,32.5,321,1.7
0 days 00:12:02.217000,26.9,66.0,1014.0,False,32.4,297,1.5
0 days 00:13:02.216000,26.9,66.0,1014.0,False,32.5,298,1.2
0 days 00:14:02.231000,26.9,66.0,1014.2,False,32.5,346,1.5
0 days 00:15:02.230000,26.9,66.0,1014.0,False,32.6,289,1.3
0 days 00:16:02.244000,26.9,65.0,1014.0,False,32.5,339,1.6
0 days 00:17:02.228000,26.9,66.0,1014.0,False,32.3,342,2.0
0 days 00:18:02.226000,26.9,66.0,1014.2,False,32.3,265,1.2
0 days 00:19:02.225000,26.9,66.0,1014.2,False,32.3,0,1.3
0 days 00:20:02.224000,26.9,66.0,1014.2,False,32.3,279,1.3
0 days 00:21:02.223000,26.9,66.0,1014.2,False,32.5,295,1.8
0 days 00:22:02.222000,26.9,66.0,1014.2,False,32.5,270,2.0
0 days 00:23:02.237000,26.9,66.0,1014.2,False,32.5,265,2.2
0 days 00:24:02.236000,26.9,66.0,1014.2,False,32.5,252,1.7
0 days 00:25:02.250000,26.9,66.0,1014.4,False,32.6,258,1.6
0 days 00:26:02.249000,26.9,66.0,1014.4,False,32.6,278,1.5
0 days 00:27:02.264000,26.9,65.0,1014.4,False,32.5,325,1.1
0 days 00:28:02.278000,26.9,65.0,1014.4,False,32.3,297,1.0
0 days 00:29:02.277000,26.9,65.0,1014.4,False,32.4,357,1.3
0 days 00:30:02.308000,26.9,66.0,1014.4,False,32.3,268,1.5
0 days 00:31:02.322000,26.8,66.0,1014.5,False,32.3,307,1.7
0 days 00:32:02.337000,26.8,65.0,1014.4,False,32.2,277,1.8
0 days 00:33:02.320000,26.8,65.0,1014.4,False,32.2,266,2.0
0 days 00:34:02.350000,26.8,65.0,1014.5,False,32.1,260,2.2
0 days 00:35:02.349000,26.8,65.0,1014.5,False,32.2,262,1.8
0 days 00:36:02.364000,26.9,65.0,1014.5,False,32.3,266,1.3
0 days 00:37:02.378000,26.9,65.0,1014.5,False,32.3,290,1.1
0 days 00:38:02.362000,26.9,65.0,1014.5,False,32.2,273,1.3
0 days 00:39:02.361000,26.9,65.0,1014.5,False,32.0,264,1.7
0 days 00:40:02.360000,26.9,65.0,1014.5,False,31.9,258,1.2
0 days 00:41:02.374000,26.8,65.0,1014.5,False,31.8,267,2.0
0 days 00:42:02.357000,26.8,66.0,1014.5,False,31.8,304,1.6
0 days 00:43:02.372000,26.8,66.0,1014.5,False,31.7,322,1.2
0 days 00:44:02.371000,26.8,66.0,1014.5,False,31.8,286,0.8
0 days 00:45:02.370000,26.7,66.0,1014.5,False,31.8,262,1.2
0 days 00:46:02.369000,26.7,66.0,1014.5,False,31.9,258,1.7
0 days 00:47:02.368000,26.7,66.0,1014.5,False,31.9,259,1.8
0 days 00:48:02.382000,26.8,66.0,1014.5,False,31.9,274,1.5
0 days 00:49:02.366000,26.8,65.0,1014.5,False,31.9,264,1.6
0 days 00:50:02.380000,26.8,66.0,1014.5,False,31.9,255,1.3
0 days 00:51:02.379000,26.8,67.0,1014.7,False,31.5,263,1.7
0 days 00:52:02.378000,26.8,67.0,1014.5,False,31.3,268,1.7
0 days 00:53:02.377000,26.7,67.0,1014.5,False,31.3,259,1.1
0 days 00:54:02.376000,26.7,67.0,1014.5,False,31.3,268,1.6
0 days 00:55:02.375000,26.6,67.0,1014.7,False,31.3,261,1.5
0 days 00:56:02.374000,26.6,67.0,1014.5,False,31.3,260,1.6
0 days 00:57:02.373000,26.6,67.0,1014.5,False,31.3,261,1.5
0 days 00:58:02.387000,26.6,67.0,1014.7,False,31.2,261,1.5
0 days 00:59:02.386000,26.6,67.0,1014.5,False,31.0,267,1.2
0 days 01:00:02.385000,26.6,67.0,1014.7,False,31.0,266,1.2
0 days 01:01:02.384000,26.5,68.0,1014.7,False,31.1,263,1.2
0 days 01:02:02.383000,26.5,68.0,1014.7,False,31.1,266,1.2
0 days 01:03:02.398000,26.5,68.0,1014.7,False,31.0,268,1.2
0 days 01:04:02.412000,26.4,68.0,1014.7,False,31.0,293,1.6
0 days 01:05:02.411000,26.4,68.0,1014.7,False,31.0,274,1.0
0 days 01:06:02.410000,26.4,68.0,1014.7,False,30.8,288,1.2
0 days 01:07:02.425000,26.4,68.0,1014.7,False,30.8,259,1.2
0 days 01:08:02.455000,26.4,68.0,1014.7,False,30.8,259,1.2
0 days 01:09:02.470000,26.4,68.0,1014.7,False,30.8,261,1.5
0 days 01:10:02.469000,26.4,68.0,1014.9,False,31.1,259,1.5
0 days 01:11:02.499000,26.4,67.0,1014.7,False,31.1,282,1.3
0 days 01:12:02.482000,26.4,68.0,1014.9,False,31.1,263,1.3
0 days 01:13:02.481000,26.4,67.0,1014.9,False,31.0,264,1.2
0 days 01:14:02.480000,26.3,68.0,1014.9,False,30.9,259,1.2
0 days 01:15:02.479000,26.3,68.0,1014.9,False,30.7,284,0.8
0 days 01:16:02.493000,26.3,68.0,1014.9,False,30.9,257,1.2
0 days 01:17:02.508000,26.4,68.0,1014.9,False,30.9,256,1.7
0 days 01:18:02.507000,26.4,67.0,1015.0,False,31.0,254,1.5
