Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:56.965000,VER,1,,1.0,1.0,,,,0 days 00:00:38.769000,0 days 00:00:33.004000,,0 days 01:03:24.128000,0 days 01:03:57.112000,284.0,293.0,213.0,304.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:24.519000,2023-11-26 13:03:25.644,1,1.0,False,,False,False
0 days 01:05:27.675000,VER,1,,2.0,1.0,,,0 days 00:00:18.377000,0 days 00:00:38.691000,0 days 00:00:33.642000,0 days 01:04:15.424000,0 days 01:04:54.115000,0 days 01:05:27.757000,281.0,285.0,212.0,294.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:56.965000,2023-11-26 13:04:58.090,1,1.0,False,,False,True
0 days 01:06:58.083000,VER,1,,3.0,1.0,,,0 days 00:00:18.549000,0 days 00:00:38.725000,0 days 00:00:33.134000,0 days 01:05:46.306000,0 days 01:06:25.031000,0 days 01:06:58.165000,280.0,293.0,211.0,299.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:27.675000,2023-11-26 13:06:28.800,1,1.0,False,,False,True
0 days 01:08:28.799000,VER,1,,4.0,1.0,,,0 days 00:00:18.562000,0 days 00:00:38.810000,0 days 00:00:33.344000,0 days 01:07:16.727000,0 days 01:07:55.537000,0 days 01:08:28.881000,,291.0,212.0,293.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:58.083000,2023-11-26 13:07:59.208,1,1.0,False,,False,True
0 days 01:09:59.351000,VER,1,,5.0,1.0,,,0 days 00:00:18.599000,0 days 00:00:38.714000,0 days 00:00:33.239000,0 days 01:08:47.480000,0 days 01:09:26.194000,0 days 01:09:59.433000,,293.0,209.0,291.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:28.799000,2023-11-26 13:09:29.924,1,1.0,False,,False,True
0 days 01:11:29.791000,VER,1,,6.0,1.0,,,0 days 00:00:18.445000,0 days 00:00:38.767000,0 days 00:00:33.228000,0 days 01:10:17.878000,0 days 01:10:56.645000,0 days 01:11:29.873000,281.0,294.0,212.0,291.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:59.351000,2023-11-26 13:11:00.476,1,1.0,False,,False,True
0 days 01:13:00.320000,VER,1,,7.0,1.0,,,0 days 00:00:18.491000,0 days 00:00:38.692000,0 days 00:00:33.346000,0 days 01:11:48.364000,0 days 01:12:27.056000,0 days 01:13:00.402000,,294.0,210.0,294.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:29.791000,2023-11-26 13:12:30.916,1,1.0,False,,False,True
0 days 01:14:30.836000,VER,1,,8.0,1.0,,,0 days 00:00:18.368000,0 days 00:00:38.719000,0 days 00:00:33.429000,0 days 01:13:18.770000,0 days 01:13:57.489000,0 days 01:14:30.918000,282.0,293.0,209.0,294.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:00.320000,2023-11-26 13:14:01.445,1,1.0,False,,False,True
0 days 01:16:01.468000,VER,1,,9.0,1.0,,,0 days 00:00:18.439000,0 days 00:00:38.862000,0 days 00:00:33.331000,0 days 01:14:49.357000,0 days 01:15:28.219000,0 days 01:16:01.550000,,293.0,210.0,295.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:30.836000,2023-11-26 13:15:31.961,1,1.0,False,,False,True
0 days 01:17:31.974000,VER,1,,10.0,1.0,,,0 days 00:00:18.414000,0 days 00:00:38.750000,0 days 00:00:33.342000,0 days 01:16:19.964000,0 days 01:16:58.714000,0 days 01:17:32.056000,,292.0,210.0,295.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:16:01.468000,2023-11-26 13:17:02.593,1,1.0,False,,False,True
0 days 01:19:02.535000,VER,1,,11.0,1.0,,,0 days 00:00:18.432000,0 days 00:00:38.836000,0 days 00:00:33.293000,0 days 01:17:50.488000,0 days 01:18:29.324000,0 days 01:19:02.617000,,294.0,210.0,294.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:17:31.974000,2023-11-26 13:18:33.099,1,1.0,False,,False,True
0 days 01:20:33.125000,VER,1,,12.0,1.0,,,0 days 00:00:18.433000,0 days 00:00:38.875000,0 days 00:00:33.282000,0 days 01:19:21.050000,0 days 01:19:59.925000,0 days 01:20:33.207000,281.0,294.0,210.0,296.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:19:02.535000,2023-11-26 13:20:03.660,1,1.0,False,,False,True
0 days 01:22:03.686000,VER,1,,13.0,1.0,,,0 days 00:00:18.427000,0 days 00:00:38.811000,0 days 00:00:33.323000,0 days 01:20:51.634000,0 days 01:21:30.445000,0 days 01:22:03.768000,,297.0,210.0,296.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:20:33.125000,2023-11-26 13:21:34.250,1,1.0,False,,False,True
0 days 01:23:34.333000,VER,1,,14.0,1.0,,,0 days 00:00:18.412000,0 days 00:00:38.790000,0 days 00:00:33.445000,0 days 01:22:22.180000,0 days 01:23:00.970000,0 days 01:23:34.415000,,295.0,211.0,297.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:22:03.686000,2023-11-26 13:23:04.811,1,1.0,False,,False,True
0 days 01:25:04.600000,VER,1,,15.0,1.0,,,0 days 00:00:18.168000,0 days 00:00:38.814000,0 days 00:00:33.285000,0 days 01:23:52.583000,0 days 01:24:31.397000,0 days 01:25:04.682000,282.0,295.0,209.0,298.0,True,MEDIUM,15.0,True,Red Bull Racing,0 days 01:23:34.333000,2023-11-26 13:24:35.458,1,1.0,False,,False,True
0 days 01:26:37.158000,VER,1,,16.0,1.0,,0 days 01:26:36.112000,0 days 00:00:18.117000,0 days 00:00:39.027000,0 days 00:00:35.414000,0 days 01:25:22.799000,0 days 01:26:01.826000,0 days 01:26:37.240000,283.0,295.0,,297.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:25:04.600000,2023-11-26 13:26:05.725,1,1.0,False,,False,False
