Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:48.884000,VER,1,,1.0,1.0,0 days 00:14:31.410000,,,0 days 00:00:33.665000,0 days 00:00:22.108000,,0 days 00:15:27.003000,0 days 00:15:48.956000,286.0,225.0,278.0,277.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:14:31.410000,2023-06-30 11:30:06.444,1,,False,,False,False
0 days 00:16:56.978000,VER,1,,2.0,1.0,,,0 days 00:00:17.006000,0 days 00:00:30.474000,0 days 00:00:20.614000,0 days 00:16:05.890000,0 days 00:16:36.364000,0 days 00:16:56.978000,316.0,233.0,280.0,313.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:15:48.884000,2023-06-30 11:31:23.918,1,,False,,False,True
0 days 00:18:49.853000,VER,1,,3.0,1.0,,,0 days 00:00:28.445000,0 days 00:00:53.472000,0 days 00:00:30.958000,0 days 00:17:25.423000,0 days 00:18:18.895000,0 days 00:18:49.853000,125.0,151.0,282.0,89.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:16:56.978000,2023-06-30 11:32:32.012,1,,False,,False,True
0 days 00:19:56.998000,VER,1,,4.0,1.0,,,0 days 00:00:16.892000,0 days 00:00:29.903000,0 days 00:00:20.350000,0 days 00:19:06.745000,0 days 00:19:36.648000,0 days 00:19:56.998000,317.0,240.0,280.0,314.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:18:49.853000,2023-06-30 11:34:24.887,1,,False,,False,True
0 days 00:22:01.190000,VER,1,,5.0,1.0,,,0 days 00:00:30.214000,0 days 00:01:06.887000,0 days 00:00:27.091000,0 days 00:20:27.212000,0 days 00:21:34.099000,0 days 00:22:01.190000,116.0,115.0,283.0,116.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:19:56.998000,2023-06-30 11:35:32.032,1,,False,,False,True
0 days 00:23:08.151000,VER,1,,6.0,1.0,,,0 days 00:00:16.758000,0 days 00:00:29.827000,0 days 00:00:20.376000,0 days 00:22:17.948000,0 days 00:22:47.775000,0 days 00:23:08.151000,318.0,240.0,273.0,315.0,True,HARD,6.0,True,Red Bull Racing,0 days 00:22:01.190000,2023-06-30 11:37:36.224,1,,False,,False,True
0 days 00:25:11.468000,VER,1,,7.0,1.0,,0 days 00:25:08.164000,0 days 00:00:29.282000,0 days 00:00:56.471000,0 days 00:00:37.564000,0 days 00:23:37.433000,0 days 00:24:33.904000,0 days 00:25:11.468000,116.0,84.0,,128.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:23:08.151000,2023-06-30 11:38:43.185,1,,False,,False,False
0 days 00:27:05.576000,VER,1,,8.0,2.0,0 days 00:25:24.305000,,0 days 00:00:38.618000,0 days 00:00:49.595000,0 days 00:00:25.895000,0 days 00:25:50.086000,0 days 00:26:39.681000,0 days 00:27:05.576000,129.0,174.0,283.0,143.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:25:11.468000,2023-06-30 11:40:46.502,1,,False,,False,False
0 days 00:28:12.174000,VER,1,,9.0,2.0,,,0 days 00:00:16.723000,0 days 00:00:29.696000,0 days 00:00:20.179000,0 days 00:27:22.299000,0 days 00:27:51.995000,0 days 00:28:12.174000,321.0,238.0,275.0,316.0,True,HARD,9.0,False,Red Bull Racing,0 days 00:27:05.576000,2023-06-30 11:42:40.610,1,,False,,False,True
0 days 00:29:29.364000,VER,1,,10.0,2.0,,0 days 00:29:26.082000,0 days 00:00:18.008000,0 days 00:00:33.417000,0 days 00:00:25.765000,0 days 00:28:30.182000,0 days 00:29:03.599000,0 days 00:29:29.364000,277.0,220.0,,250.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:28:12.174000,2023-06-30 11:43:47.208,1,,False,,False,False
0 days 00:38:01.946000,VER,1,,11.0,3.0,0 days 00:36:49.199000,,,0 days 00:00:32.948000,0 days 00:00:21.830000,,0 days 00:37:40.541000,0 days 00:38:01.963000,262.0,220.0,267.0,284.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:29:29.364000,2023-06-30 11:45:04.398,1,,False,,False,False
0 days 00:39:12.884000,VER,1,,12.0,3.0,,,0 days 00:00:17.815000,0 days 00:00:31.621000,0 days 00:00:21.502000,0 days 00:38:19.761000,0 days 00:38:51.382000,0 days 00:39:12.884000,289.0,223.0,268.0,286.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:38:01.946000,2023-06-30 11:53:36.980,1,,False,,False,True
0 days 00:40:23.821000,VER,1,,13.0,3.0,,,0 days 00:00:17.823000,0 days 00:00:31.664000,0 days 00:00:21.450000,0 days 00:39:30.707000,0 days 00:40:02.371000,0 days 00:40:23.821000,290.0,223.0,268.0,288.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:39:12.884000,2023-06-30 11:54:47.918,1,,False,,False,True
0 days 00:41:34.524000,VER,1,,14.0,3.0,,,0 days 00:00:17.752000,0 days 00:00:31.521000,0 days 00:00:21.430000,0 days 00:40:41.573000,0 days 00:41:13.094000,0 days 00:41:34.524000,292.0,226.0,269.0,289.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:40:23.821000,2023-06-30 11:55:58.855,1,,False,,False,True
0 days 00:42:45.237000,VER,1,,15.0,3.0,,,0 days 00:00:17.722000,0 days 00:00:31.518000,0 days 00:00:21.473000,0 days 00:41:52.246000,0 days 00:42:23.764000,0 days 00:42:45.237000,296.0,226.0,268.0,290.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:41:34.524000,2023-06-30 11:57:09.558,1,,False,,False,True
0 days 00:43:55.886000,VER,1,,16.0,3.0,,,0 days 00:00:17.741000,0 days 00:00:31.496000,0 days 00:00:21.412000,0 days 00:43:02.978000,0 days 00:43:34.474000,0 days 00:43:55.886000,297.0,228.0,269.0,291.0,False,HARD,16.0,False,Red Bull Racing,0 days 00:42:45.237000,2023-06-30 11:58:20.271,1,,False,,False,True
0 days 00:45:06.690000,VER,1,,17.0,3.0,,,0 days 00:00:17.805000,0 days 00:00:31.570000,0 days 00:00:21.429000,0 days 00:44:13.691000,0 days 00:44:45.261000,0 days 00:45:06.690000,294.0,222.0,270.0,291.0,False,HARD,17.0,False,Red Bull Racing,0 days 00:43:55.886000,2023-06-30 11:59:30.920,1,,False,,False,True
0 days 00:46:17.564000,VER,1,,18.0,3.0,,,0 days 00:00:17.782000,0 days 00:00:31.725000,0 days 00:00:21.367000,0 days 00:45:24.472000,0 days 00:45:56.197000,0 days 00:46:17.564000,290.0,227.0,270.0,291.0,False,HARD,18.0,False,Red Bull Racing,0 days 00:45:06.690000,2023-06-30 12:00:41.724,1,,False,,False,True
0 days 00:47:28.510000,VER,1,,19.0,3.0,,,0 days 00:00:17.885000,0 days 00:00:31.752000,0 days 00:00:21.309000,0 days 00:46:35.449000,0 days 00:47:07.201000,0 days 00:47:28.510000,293.0,224.0,268.0,292.0,False,HARD,19.0,False,Red Bull Racing,0 days 00:46:17.564000,2023-06-30 12:01:52.598,1,,False,,False,True
0 days 00:48:40.196000,VER,1,,20.0,3.0,,,0 days 00:00:17.753000,0 days 00:00:32.244000,0 days 00:00:21.689000,0 days 00:47:46.263000,0 days 00:48:18.507000,0 days 00:48:40.196000,294.0,188.0,270.0,295.0,False,HARD,20.0,False,Red Bull Racing,0 days 00:47:28.510000,2023-06-30 12:03:03.544,1,,False,,False,True
0 days 00:49:51.536000,VER,1,,21.0,3.0,,,0 days 00:00:17.870000,0 days 00:00:31.869000,0 days 00:00:21.601000,0 days 00:48:58.066000,0 days 00:49:29.935000,0 days 00:49:51.536000,292.0,225.0,266.0,296.0,False,HARD,21.0,False,Red Bull Racing,0 days 00:48:40.196000,2023-06-30 12:04:15.230,1,,False,,False,True
0 days 00:51:08.511000,VER,1,,22.0,3.0,,0 days 00:51:05.137000,0 days 00:00:18.340000,0 days 00:00:32.671000,0 days 00:00:25.964000,0 days 00:50:09.876000,0 days 00:50:42.547000,0 days 00:51:08.511000,297.0,196.0,,293.0,False,HARD,22.0,False,Red Bull Racing,0 days 00:49:51.536000,2023-06-30 12:05:26.570,1,,False,,False,False
0 days 01:05:46.864000,VER,1,,23.0,4.0,0 days 01:04:18.935000,,,0 days 00:00:42.016000,0 days 00:00:27.899000,,0 days 01:05:19.090000,0 days 01:05:46.886000,270.0,142.0,286.0,263.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:51:08.511000,2023-06-30 12:06:43.545,1,,False,,False,False
0 days 01:06:52.948000,VER,1,,24.0,4.0,,,0 days 00:00:16.536000,0 days 00:00:29.547000,0 days 00:00:20.001000,0 days 01:06:03.400000,0 days 01:06:32.947000,0 days 01:06:52.948000,323.0,241.0,287.0,316.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:05:46.864000,2023-06-30 12:21:21.898,1,,False,,False,True
0 days 01:09:14.210000,VER,1,,25.0,4.0,,,0 days 00:00:30.619000,0 days 00:01:02.964000,0 days 00:00:47.679000,0 days 01:07:23.567000,0 days 01:08:26.531000,0 days 01:09:14.210000,116.0,96.0,109.0,105.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:06:52.948000,2023-06-30 12:22:27.982,1,,False,,False,True
0 days 01:11:40.573000,VER,1,,26.0,4.0,,,0 days 00:00:41.090000,0 days 00:01:03.218000,0 days 00:00:42.055000,0 days 01:09:55.300000,0 days 01:10:58.518000,0 days 01:11:40.573000,115.0,71.0,121.0,115.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:09:14.210000,2023-06-30 12:24:49.244,1,,False,,False,True
0 days 01:13:42.365000,VER,1,,27.0,4.0,,,0 days 00:00:39.224000,0 days 00:00:54.661000,0 days 00:00:27.907000,0 days 01:12:19.797000,0 days 01:13:14.458000,0 days 01:13:42.365000,111.0,197.0,284.0,136.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:11:40.573000,2023-06-30 12:27:15.607,1,,False,,False,True
0 days 01:14:48.107000,VER,1,,28.0,4.0,,,0 days 00:00:16.595000,0 days 00:00:29.317000,0 days 00:00:19.830000,0 days 01:13:58.960000,0 days 01:14:28.277000,0 days 01:14:48.107000,322.0,243.0,285.0,320.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:13:42.365000,2023-06-30 12:29:17.399,1,,False,,False,True
0 days 01:17:01.549000,VER,1,,29.0,4.0,,,0 days 00:00:25.575000,0 days 00:00:45.768000,0 days 00:01:02.099000,0 days 01:15:13.682000,0 days 01:15:59.450000,0 days 01:17:01.549000,138.0,122.0,78.0,205.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:14:48.107000,2023-06-30 12:30:23.141,126,,False,,False,False
0 days 01:18:53.821000,VER,1,,30.0,4.0,,0 days 01:18:50.357000,0 days 00:00:36.927000,0 days 00:00:34.854000,0 days 00:00:40.491000,0 days 01:17:38.476000,0 days 01:18:13.330000,0 days 01:18:53.821000,257.0,200.0,,229.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:17:01.549000,2023-06-30 12:32:36.583,6,,False,,False,False
0 days 00:33:03.690000,SAR,2,,1.0,1.0,0 days 00:31:41.532000,,,0 days 00:00:37.029000,0 days 00:00:25.573000,,0 days 00:32:38.328000,0 days 00:33:03.781000,281.0,208.0,278.0,297.0,False,SOFT,1.0,True,Williams,0 days 00:31:41.532000,2023-06-30 11:47:16.566,1,,False,,False,False
0 days 00:34:13.186000,SAR,2,,2.0,1.0,,,0 days 00:00:17.398000,0 days 00:00:30.836000,0 days 00:00:21.262000,0 days 00:33:21.088000,0 days 00:33:51.924000,0 days 00:34:13.186000,316.0,236.0,279.0,313.0,True,SOFT,2.0,True,Williams,0 days 00:33:03.690000,2023-06-30 11:48:38.724,1,,False,,False,True
0 days 00:35:50.701000,SAR,2,,3.0,1.0,,,0 days 00:00:20.069000,0 days 00:00:44.740000,0 days 00:00:32.706000,0 days 00:34:33.255000,0 days 00:35:17.995000,0 days 00:35:50.701000,265.0,163.0,281.0,267.0,False,SOFT,3.0,True,Williams,0 days 00:34:13.186000,2023-06-30 11:49:48.220,1,,False,,False,True
0 days 00:36:58.542000,SAR,2,,4.0,1.0,,,0 days 00:00:17.051000,0 days 00:00:30.151000,0 days 00:00:20.639000,0 days 00:36:07.752000,0 days 00:36:37.903000,0 days 00:36:58.542000,315.0,239.0,281.0,313.0,True,SOFT,4.0,True,Williams,0 days 00:35:50.701000,2023-06-30 11:51:25.735,1,,False,,False,True
0 days 00:38:33.417000,SAR,2,,5.0,1.0,,,0 days 00:00:20.316000,0 days 00:00:42.540000,0 days 00:00:32.019000,0 days 00:37:18.858000,0 days 00:38:01.398000,0 days 00:38:33.417000,265.0,146.0,285.0,279.0,False,SOFT,5.0,True,Williams,0 days 00:36:58.542000,2023-06-30 11:52:33.576,1,,False,,False,True
0 days 00:40:02.037000,SAR,2,,6.0,1.0,,,0 days 00:00:16.827000,0 days 00:00:40.772000,0 days 00:00:31.021000,0 days 00:38:50.244000,0 days 00:39:31.016000,0 days 00:40:02.037000,317.0,159.0,248.0,269.0,False,SOFT,6.0,True,Williams,0 days 00:38:33.417000,2023-06-30 11:54:08.451,1,,False,,False,True
0 days 00:41:27.071000,SAR,2,,7.0,1.0,,,0 days 00:00:21.491000,0 days 00:00:40.506000,0 days 00:00:23.037000,0 days 00:40:23.528000,0 days 00:41:04.034000,0 days 00:41:27.071000,284.0,212.0,282.0,276.0,False,SOFT,7.0,True,Williams,0 days 00:40:02.037000,2023-06-30 11:55:37.071,1,,False,,False,True
0 days 00:42:35.128000,SAR,2,,8.0,1.0,,,0 days 00:00:16.791000,0 days 00:00:30.319000,0 days 00:00:20.947000,0 days 00:41:43.862000,0 days 00:42:14.181000,0 days 00:42:35.128000,320.0,237.0,277.0,315.0,False,SOFT,8.0,True,Williams,0 days 00:41:27.071000,2023-06-30 11:57:02.105,1,,False,,False,True
0 days 00:43:44.564000,SAR,2,,9.0,1.0,,,0 days 00:00:17.234000,0 days 00:00:31.078000,0 days 00:00:21.124000,0 days 00:42:52.362000,0 days 00:43:23.440000,0 days 00:43:44.564000,305.0,238.0,277.0,303.0,False,SOFT,9.0,True,Williams,0 days 00:42:35.128000,2023-06-30 11:58:10.162,1,,False,,False,True
0 days 00:44:54.770000,SAR,2,,10.0,1.0,,,0 days 00:00:17.449000,0 days 00:00:31.416000,0 days 00:00:21.341000,0 days 00:44:02.013000,0 days 00:44:33.429000,0 days 00:44:54.770000,300.0,234.0,273.0,297.0,False,SOFT,10.0,True,Williams,0 days 00:43:44.564000,2023-06-30 11:59:19.598,1,,False,,False,True
0 days 00:46:05.146000,SAR,2,,11.0,1.0,,,0 days 00:00:17.589000,0 days 00:00:31.465000,0 days 00:00:21.322000,0 days 00:45:12.359000,0 days 00:45:43.824000,0 days 00:46:05.146000,,235.0,276.0,300.0,False,SOFT,11.0,True,Williams,0 days 00:44:54.770000,2023-06-30 12:00:29.804,1,,False,,False,True
0 days 00:47:15.687000,SAR,2,,12.0,1.0,,,0 days 00:00:17.367000,0 days 00:00:31.725000,0 days 00:00:21.449000,0 days 00:46:22.513000,0 days 00:46:54.238000,0 days 00:47:15.687000,304.0,234.0,277.0,302.0,False,SOFT,12.0,True,Williams,0 days 00:46:05.146000,2023-06-30 12:01:40.180,1,,False,,False,True
0 days 00:48:27.055000,SAR,2,,13.0,1.0,,,0 days 00:00:17.477000,0 days 00:00:32.340000,0 days 00:00:21.551000,0 days 00:47:33.164000,0 days 00:48:05.504000,0 days 00:48:27.055000,,232.0,276.0,303.0,False,SOFT,13.0,True,Williams,0 days 00:47:15.687000,2023-06-30 12:02:50.721,1,,False,,False,True
