Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:38.672000,27.8,37.0,930.7,False,43.5,336,0.5
0 days 00:01:38.702000,27.8,36.0,930.7,False,43.9,20,1.0
0 days 00:02:38.703000,28.0,36.0,930.7,False,44.3,344,1.3
0 days 00:03:38.700000,27.9,35.0,930.7,False,44.4,278,0.6
0 days 00:04:38.715000,27.9,35.0,930.7,False,44.2,352,0.6
0 days 00:05:38.729000,27.9,35.0,930.7,False,43.4,321,0.8
0 days 00:06:38.744000,27.7,36.0,930.7,False,42.9,179,0.6
0 days 00:07:38.743000,27.7,36.0,930.7,False,43.0,323,0.4
0 days 00:08:38.757000,27.7,36.0,930.9,False,43.5,303,0.6
0 days 00:09:38.772000,27.8,36.0,930.7,False,43.5,0,0.6
0 days 00:10:38.787000,27.9,36.0,930.7,False,43.0,314,0.5
0 days 00:11:38.785000,27.9,37.0,930.7,False,42.9,266,0.6
0 days 00:12:38.784000,27.8,37.0,930.7,False,42.9,219,0.6
0 days 00:13:38.783000,27.8,37.0,930.7,False,42.4,216,0.8
0 days 00:14:38.782000,27.7,38.0,930.7,False,41.9,270,0.8
0 days 00:15:38.781000,27.5,39.0,930.7,False,41.3,139,1.0
0 days 00:16:38.796000,27.4,40.0,930.7,False,41.3,0,0.6
0 days 00:17:38.798000,27.3,39.0,930.5,False,41.1,0,0.4
0 days 00:18:38.794000,27.4,39.0,930.5,False,41.5,21,0.6
0 days 00:19:38.808000,27.4,39.0,930.5,False,41.5,96,1.0
0 days 00:20:38.823000,27.4,39.0,930.5,False,41.5,85,1.2
0 days 00:21:38.822000,27.4,39.0,930.5,False,41.4,80,1.2
0 days 00:22:38.836000,27.4,39.0,930.5,False,41.7,352,1.8
0 days 00:23:38.835000,27.4,37.0,930.7,False,41.5,316,1.1
0 days 00:24:38.866000,27.4,38.0,930.5,False,40.7,285,0.6
0 days 00:25:38.849000,27.3,39.0,930.7,False,40.1,252,0.6
0 days 00:26:38.848000,27.1,40.0,930.5,False,40.0,315,0.8
0 days 00:27:38.862000,27.0,40.0,930.7,False,40.1,322,0.8
0 days 00:28:38.861000,26.9,40.0,930.7,False,40.1,199,0.8
0 days 00:29:38.876000,26.8,41.0,930.5,False,40.1,0,1.1
0 days 00:30:38.890000,26.7,41.0,930.5,False,39.8,359,0.4
0 days 00:31:38.905000,26.8,41.0,930.7,False,39.6,100,0.5
0 days 00:32:38.888000,26.8,40.0,930.7,False,40.3,26,1.7
0 days 00:33:38.887000,26.8,40.0,930.7,False,40.3,112,1.5
0 days 00:34:38.902000,26.9,40.0,930.7,False,39.9,21,1.7
0 days 00:35:38.932000,26.8,40.0,930.7,False,39.6,97,1.7
0 days 00:36:38.962000,26.7,41.0,930.7,False,39.5,91,1.0
0 days 00:37:38.961000,26.6,41.0,930.7,False,39.2,87,1.2
0 days 00:38:38.976000,26.5,41.0,930.7,False,39.1,101,0.8
0 days 00:39:38.975000,26.5,41.0,930.7,False,39.0,0,1.5
0 days 00:40:38.989000,26.5,41.0,930.7,False,39.0,95,0.4
0 days 00:41:39.019000,26.5,42.0,930.7,False,39.2,145,0.6
0 days 00:42:39.034000,26.6,41.0,930.7,False,38.6,150,1.5
0 days 00:43:39.017000,26.5,42.0,930.7,False,38.7,131,1.1
0 days 00:44:39.016000,26.4,42.0,930.7,False,38.4,161,0.8
0 days 00:45:39.046000,26.4,43.0,930.7,False,38.1,0,0.3
0 days 00:46:39.061000,26.3,43.0,930.5,False,38.7,183,0.3
0 days 00:47:39.060000,26.3,44.0,930.5,False,38.5,344,0.6
0 days 00:48:39.059000,26.2,44.0,930.5,False,38.5,129,0.8
0 days 00:49:39.042000,26.3,44.0,930.7,False,38.2,0,0.5
0 days 00:50:39.072000,26.2,44.0,930.5,False,37.9,142,1.1
0 days 00:51:39.071000,26.3,44.0,930.7,False,38.2,104,1.5
0 days 00:52:39.070000,26.4,43.0,930.5,False,38.6,109,1.0
0 days 00:53:39.070000,26.3,43.0,930.5,False,38.3,166,0.3
0 days 00:54:39.068000,26.3,44.0,930.5,False,38.2,319,0.4
0 days 00:55:39.067000,26.2,44.0,930.5,False,37.8,351,0.8
0 days 00:56:39.066000,26.3,45.0,930.5,False,37.8,102,0.4
0 days 00:57:39.065000,26.1,46.0,930.5,False,37.8,156,0.6
0 days 00:58:39.064000,26.1,45.0,930.5,False,37.7,152,0.8
0 days 00:59:39.063000,26.1,45.0,930.5,False,38.2,72,0.8
0 days 01:00:39.093000,26.1,45.0,930.4,False,38.5,152,0.8
0 days 01:01:39.076000,26.1,45.0,930.5,False,38.5,97,0.3
0 days 01:02:39.075000,26.1,44.0,930.4,False,37.9,58,1.3
0 days 01:03:39.090000,26.1,44.0,930.5,False,37.9,92,1.6
0 days 01:04:39.104000,26.2,44.0,930.5,False,38.1,225,1.5
0 days 01:05:39.119000,26.1,44.0,930.5,False,37.7,282,0.6
0 days 01:06:39.134000,26.0,44.0,930.5,False,37.7,229,0.8
0 days 01:07:39.132000,26.0,45.0,930.5,False,37.7,0,0.4
0 days 01:08:39.131000,26.0,44.0,930.4,False,37.9,24,0.5
0 days 01:09:39.146000,26.0,44.0,930.5,False,38.0,51,0.6
0 days 01:10:39.146000,26.0,45.0,930.5,False,38.0,0,0.8
0 days 01:11:39.159000,26.0,45.0,930.5,False,37.6,82,0.8
0 days 01:12:39.174000,26.0,46.0,930.5,False,37.5,69,0.5
0 days 01:13:39.173000,26.0,46.0,930.5,False,37.4,95,0.4
0 days 01:14:39.172000,26.0,45.0,930.5,False,37.4,63,1.2
0 days 01:15:39.171000,26.0,45.0,930.5,False,37.6,25,1.2
0 days 01:16:39.170000,26.0,45.0,930.5,False,37.6,144,1.0
0 days 01:17:39.184000,26.0,46.0,930.5,False,37.1,184,0.6
0 days 01:18:39.183000,25.9,46.0,930.5,False,36.9,0,0.6
0 days 01:19:39.182000,25.9,46.0,930.5,False,36.9,0,0.5
0 days 01:20:39.197000,25.8,46.0,930.7,False,36.9,128,0.0
0 days 01:21:39.212000,25.8,46.0,930.7,False,37.3,106,0.8
0 days 01:22:39.226000,25.8,46.0,930.5,False,37.3,89,1.5
0 days 01:23:39.225000,25.9,46.0,930.7,False,37.5,55,1.5
0 days 01:24:39.224000,25.9,46.0,930.7,False,37.6,111,1.2
