Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:47:06.225000,PER,11,,1.0,1.0,,,,0 days 00:00:42.926000,0 days 00:00:25.208000,,0 days 00:46:41.092000,0 days 00:47:06.295000,195.0,216.0,326.0,321.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:45:16.328000,2023-04-29 13:33:58.197,12,2.0,False,,False,False
0 days 00:49:16.263000,PER,11,,2.0,1.0,,,0 days 00:00:38.165000,0 days 00:00:57.443000,0 days 00:00:34.430000,0 days 00:47:44.414000,0 days 00:48:41.857000,0 days 00:49:16.287000,,114.0,264.0,273.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:47:06.225000,2023-04-29 13:35:48.094,26,2.0,False,,False,False
0 days 00:51:48.734000,PER,11,,3.0,1.0,,,0 days 00:00:54.004000,0 days 00:01:00.007000,0 days 00:00:38.427000,0 days 00:50:10.324000,0 days 00:51:10.339000,0 days 00:51:48.761000,150.0,164.0,235.0,239.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:49:16.263000,2023-04-29 13:37:58.132,64,2.0,False,,False,False
0 days 00:54:39.401000,PER,11,,4.0,1.0,,,0 days 00:01:01.476000,0 days 00:01:11.355000,0 days 00:00:37.873000,0 days 00:52:50.197000,0 days 00:54:01.587000,0 days 00:54:39.493000,111.0,159.0,276.0,176.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:51:48.734000,2023-04-29 13:40:30.603,4,2.0,False,,False,False
0 days 00:57:43.065000,PER,11,,5.0,1.0,,,0 days 00:00:54.940000,0 days 00:01:00.829000,0 days 00:01:07.920000,0 days 00:55:34.430000,0 days 00:56:35.226000,0 days 00:57:43.225000,145.0,107.0,307.0,99.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:39.401000,2023-04-29 13:43:21.270,41,2.0,False,,False,False
0 days 00:59:28.319000,PER,11,,6.0,1.0,,,0 days 00:00:38.019000,0 days 00:00:42.171000,0 days 00:00:25.064000,0 days 00:58:21.108000,0 days 00:59:03.279000,0 days 00:59:28.343000,206.0,217.0,329.0,322.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 00:57:43.065000,2023-04-29 13:46:24.934,1,2.0,False,,False,True
0 days 01:01:12.807000,PER,11,,7.0,1.0,,,0 days 00:00:37.457000,0 days 00:00:42.184000,0 days 00:00:24.847000,0 days 01:00:05.800000,0 days 01:00:47.984000,0 days 01:01:12.831000,215.0,221.0,345.0,324.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 00:59:28.319000,2023-04-29 13:48:10.188,1,2.0,False,,False,True
0 days 01:02:57.479000,PER,11,,8.0,1.0,,,0 days 00:00:37.464000,0 days 00:00:42,0 days 00:00:25.208000,0 days 01:01:50.295000,0 days 01:02:32.295000,0 days 01:02:57.503000,213.0,222.0,322.0,318.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:01:12.807000,2023-04-29 13:49:54.676,1,1.0,False,,False,True
0 days 01:04:41.411000,PER,11,,9.0,1.0,,,0 days 00:00:37.109000,0 days 00:00:41.673000,0 days 00:00:25.150000,0 days 01:03:34.612000,0 days 01:04:16.285000,0 days 01:04:41.435000,215.0,230.0,321.0,317.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 01:02:57.479000,2023-04-29 13:51:39.348,1,1.0,False,,False,True
0 days 01:06:25.180000,PER,11,,10.0,1.0,,,0 days 00:00:36.794000,0 days 00:00:41.743000,0 days 00:00:25.232000,0 days 01:05:18.229000,0 days 01:05:59.972000,0 days 01:06:25.204000,,222.0,322.0,318.0,True,MEDIUM,14.0,False,Red Bull Racing,0 days 01:04:41.411000,2023-04-29 13:53:23.280,1,1.0,False,,False,True
0 days 01:08:08.796000,PER,11,,11.0,1.0,,,0 days 00:00:36.867000,0 days 00:00:41.584000,0 days 00:00:25.165000,0 days 01:07:02.071000,0 days 01:07:43.655000,0 days 01:08:08.820000,217.0,234.0,322.0,318.0,True,MEDIUM,15.0,False,Red Bull Racing,0 days 01:06:25.180000,2023-04-29 13:55:07.049,1,1.0,False,,False,True
0 days 01:09:52.735000,PER,11,,12.0,1.0,,,0 days 00:00:36.909000,0 days 00:00:41.890000,0 days 00:00:25.140000,0 days 01:08:45.729000,0 days 01:09:27.619000,0 days 01:09:52.759000,216.0,232.0,322.0,318.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:08:08.796000,2023-04-29 13:56:50.665,1,1.0,False,,False,True
0 days 01:11:36.498000,PER,11,,13.0,1.0,,,0 days 00:00:36.754000,0 days 00:00:41.849000,0 days 00:00:25.160000,0 days 01:10:29.513000,0 days 01:11:11.362000,0 days 01:11:36.522000,214.0,227.0,322.0,317.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:09:52.735000,2023-04-29 13:58:34.604,1,1.0,False,,False,True
0 days 01:13:20.343000,PER,11,,14.0,1.0,,,0 days 00:00:36.866000,0 days 00:00:41.799000,0 days 00:00:25.180000,0 days 01:12:13.388000,0 days 01:12:55.187000,0 days 01:13:20.367000,213.0,231.0,322.0,318.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:11:36.498000,2023-04-29 14:00:18.367,1,1.0,False,,False,True
0 days 01:15:04.187000,PER,11,,15.0,1.0,,,0 days 00:00:36.900000,0 days 00:00:41.793000,0 days 00:00:25.151000,0 days 01:13:57.267000,0 days 01:14:39.060000,0 days 01:15:04.211000,214.0,227.0,322.0,319.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:13:20.343000,2023-04-29 14:02:02.212,1,1.0,False,,False,True
0 days 01:16:48.190000,PER,11,,16.0,1.0,,,0 days 00:00:37.007000,0 days 00:00:41.829000,0 days 00:00:25.167000,0 days 01:15:41.218000,0 days 01:16:23.047000,0 days 01:16:48.214000,215.0,223.0,322.0,319.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:15:04.187000,2023-04-29 14:03:46.056,1,1.0,False,,False,True
0 days 01:18:34.265000,PER,11,,17.0,1.0,,,0 days 00:00:37.193000,0 days 00:00:43.210000,0 days 00:00:25.672000,0 days 01:17:25.407000,0 days 01:18:08.617000,0 days 01:18:34.289000,201.0,209.0,264.0,319.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:16:48.190000,2023-04-29 14:05:30.059,1,1.0,False,,False,True
0 days 00:47:05.254000,LEC,16,,1.0,1.0,,,,0 days 00:00:42.709000,0 days 00:00:25.434000,,0 days 00:46:39.936000,0 days 00:47:05.342000,208.0,225.0,318.0,315.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:45:16.328000,2023-04-29 13:33:58.197,12,1.0,False,,False,False
0 days 00:49:15.222000,LEC,16,,2.0,1.0,,,0 days 00:00:37.820000,0 days 00:00:56.723000,0 days 00:00:35.425000,0 days 00:47:43.083000,0 days 00:48:39.806000,0 days 00:49:15.231000,219.0,117.0,245.0,265.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:47:05.254000,2023-04-29 13:35:47.123,26,1.0,False,,False,False
0 days 00:51:46.096000,LEC,16,,3.0,1.0,,,0 days 00:00:53.275000,0 days 00:00:59.675000,0 days 00:00:37.875000,0 days 00:50:08.606000,0 days 00:51:08.230000,0 days 00:51:46.151000,130.0,161.0,231.0,241.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:49:15.222000,2023-04-29 13:37:57.091,64,1.0,False,,False,False
0 days 00:54:37.898000,LEC,16,,4.0,1.0,,,0 days 00:01:03.015000,0 days 00:01:11.078000,0 days 00:00:37.710000,0 days 00:52:49.166000,0 days 00:54:00.197000,0 days 00:54:37.931000,117.0,141.0,270.0,180.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:51:46.096000,2023-04-29 13:40:27.965,4,1.0,False,,False,False
0 days 00:57:42.719000,LEC,16,,5.0,1.0,,,0 days 00:00:55.152000,0 days 00:01:01.272000,0 days 00:01:08.438000,0 days 00:55:33.086000,0 days 00:56:34.414000,0 days 00:57:42.835000,138.0,90.0,303.0,90.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:54:37.898000,2023-04-29 13:43:19.767,41,1.0,False,,False,False
0 days 00:59:27.936000,LEC,16,,6.0,1.0,,,0 days 00:00:37.549000,0 days 00:00:42.311000,0 days 00:00:25.357000,0 days 00:58:20.277000,0 days 00:59:02.588000,0 days 00:59:27.945000,212.0,222.0,319.0,314.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:57:42.719000,2023-04-29 13:46:24.588,1,1.0,False,,False,True
0 days 01:01:12.738000,LEC,16,,7.0,1.0,,,0 days 00:00:37.214000,0 days 00:00:42.291000,0 days 00:00:25.297000,0 days 01:00:05.159000,0 days 01:00:47.450000,0 days 01:01:12.747000,221.0,228.0,312.0,316.0,True,MEDIUM,7.0,True,Ferrari,0 days 00:59:27.936000,2023-04-29 13:48:09.805,1,1.0,False,,False,True
0 days 01:02:58.096000,LEC,16,,8.0,1.0,,,0 days 00:00:38.199000,0 days 00:00:42.201000,0 days 00:00:24.958000,0 days 01:01:50.946000,0 days 01:02:33.147000,0 days 01:02:58.105000,207.0,230.0,330.0,322.0,False,MEDIUM,8.0,True,Ferrari,0 days 01:01:12.738000,2023-04-29 13:49:54.607,1,2.0,False,,False,True
0 days 01:04:42.370000,LEC,16,,9.0,1.0,,,0 days 00:00:37.204000,0 days 00:00:42.011000,0 days 00:00:25.059000,0 days 01:03:35.309000,0 days 01:04:17.320000,0 days 01:04:42.379000,216.0,222.0,319.0,321.0,True,MEDIUM,9.0,True,Ferrari,0 days 01:02:58.096000,2023-04-29 13:51:39.965,1,2.0,False,,False,True
0 days 01:06:26.201000,LEC,16,,10.0,1.0,,,0 days 00:00:36.730000,0 days 00:00:42.080000,0 days 00:00:25.021000,0 days 01:05:19.109000,0 days 01:06:01.189000,0 days 01:06:26.210000,222.0,228.0,316.0,321.0,True,MEDIUM,10.0,True,Ferrari,0 days 01:04:42.370000,2023-04-29 13:53:24.239,1,2.0,False,,False,True
0 days 01:08:09.883000,LEC,16,,11.0,1.0,,,0 days 00:00:36.852000,0 days 00:00:41.864000,0 days 00:00:24.966000,0 days 01:07:03.062000,0 days 01:07:44.926000,0 days 01:08:09.892000,219.0,228.0,325.0,322.0,True,MEDIUM,11.0,True,Ferrari,0 days 01:06:26.201000,2023-04-29 13:55:08.070,1,2.0,False,,False,True
0 days 01:09:53.529000,LEC,16,,12.0,1.0,,,0 days 00:00:36.726000,0 days 00:00:42.003000,0 days 00:00:24.917000,0 days 01:08:46.618000,0 days 01:09:28.621000,0 days 01:09:53.538000,221.0,221.0,328.0,322.0,True,MEDIUM,12.0,True,Ferrari,0 days 01:08:09.883000,2023-04-29 13:56:51.752,1,2.0,False,,False,True
0 days 01:11:37.806000,LEC,16,,13.0,1.0,,,0 days 00:00:36.878000,0 days 00:00:42.315000,0 days 00:00:25.084000,0 days 01:10:30.416000,0 days 01:11:12.731000,0 days 01:11:37.815000,216.0,228.0,315.0,321.0,False,MEDIUM,13.0,True,Ferrari,0 days 01:09:53.529000,2023-04-29 13:58:35.398,1,2.0,False,,False,True
0 days 01:13:22.490000,LEC,16,,14.0,1.0,,,0 days 00:00:37.161000,0 days 00:00:42.424000,0 days 00:00:25.099000,0 days 01:12:14.976000,0 days 01:12:57.400000,0 days 01:13:22.499000,217.0,227.0,317.0,321.0,False,MEDIUM,14.0,True,Ferrari,0 days 01:11:37.806000,2023-04-29 14:00:19.675,1,2.0,False,,False,True
0 days 01:15:07.490000,LEC,16,,15.0,1.0,,,0 days 00:00:37.223000,0 days 00:00:42.623000,0 days 00:00:25.154000,0 days 01:13:59.722000,0 days 01:14:42.345000,0 days 01:15:07.499000,220.0,229.0,319.0,320.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:13:22.490000,2023-04-29 14:02:04.359,1,2.0,False,,False,True
0 days 01:16:53.005000,LEC,16,,16.0,1.0,,,0 days 00:00:37.401000,0 days 00:00:42.856000,0 days 00:00:25.258000,0 days 01:15:44.900000,0 days 01:16:27.756000,0 days 01:16:53.014000,,229.0,314.0,318.0,False,MEDIUM,16.0,True,Ferrari,0 days 01:15:07.490000,2023-04-29 14:03:49.359,1,2.0,False,,False,True
0 days 01:18:38.764000,LEC,16,,17.0,1.0,,,0 days 00:00:37.464000,0 days 00:00:42.908000,0 days 00:00:25.387000,0 days 01:17:30.478000,0 days 01:18:13.386000,0 days 01:18:38.773000,,224.0,309.0,319.0,False,MEDIUM,17.0,True,Ferrari,0 days 01:16:53.005000,2023-04-29 14:05:34.874,1,2.0,False,,False,True
0 days 00:47:09.226000,VER,1,,1.0,1.0,,,,0 days 00:00:43.530000,0 days 00:00:25.195000,,0 days 00:46:44.077000,0 days 00:47:09.280000,190.0,218.0,321.0,322.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:45:16.328000,2023-04-29 13:33:58.197,12,4.0,False,,False,False
0 days 00:49:20.235000,VER,1,,2.0,1.0,,,0 days 00:00:38.344000,0 days 00:00:58.601000,0 days 00:00:34.064000,0 days 00:47:47.592000,0 days 00:48:46.193000,0 days 00:49:20.257000,196.0,104.0,254.0,281.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:47:09.226000,2023-04-29 13:35:51.095,26,4.0,False,,False,False
0 days 00:51:51.396000,VER,1,,3.0,1.0,,,0 days 00:00:52.754000,0 days 00:01:02.344000,0 days 00:00:36.048000,0 days 00:50:13.074000,0 days 00:51:15.370000,0 days 00:51:51.432000,140.0,152.0,265.0,179.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:49:20.235000,2023-04-29 13:38:02.104,64,4.0,False,,False,False
0 days 00:54:43.272000,VER,1,,4.0,1.0,,,0 days 00:01:00.749000,0 days 00:01:12.379000,0 days 00:00:38.749000,0 days 00:52:52.166000,0 days 00:54:04.572000,0 days 00:54:43.399000,145.0,188.0,273.0,226.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:51:51.396000,2023-04-29 13:40:33.265,4,4.0,False,,False,False
0 days 00:57:43.288000,VER,1,,5.0,1.0,,,0 days 00:00:53.133000,0 days 00:01:01.620000,0 days 00:01:05.322000,0 days 00:55:36.477000,0 days 00:56:38.085000,0 days 00:57:43.491000,168.0,121.0,305.0,107.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:54:43.272000,2023-04-29 13:43:25.141,41,3.0,False,,False,False
0 days 00:59:29.374000,VER,1,,6.0,1.0,,,0 days 00:00:38.684000,0 days 00:00:42.250000,0 days 00:00:25.152000,0 days 00:58:21.994000,0 days 00:59:04.244000,0 days 00:59:29.396000,206.0,224.0,318.0,321.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:57:43.288000,2023-04-29 13:46:25.157,1,3.0,False,,False,True
0 days 01:01:14.302000,VER,1,,7.0,1.0,,,0 days 00:00:37.492000,0 days 00:00:42.320000,0 days 00:00:25.116000,0 days 01:00:06.888000,0 days 01:00:49.208000,0 days 01:01:14.324000,215.0,221.0,319.0,322.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 00:59:29.374000,2023-04-29 13:48:11.243,1,3.0,False,,False,True
