Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:25.344000,22.3,52.0,1009.0,False,43.5,93,0.6
0 days 00:01:25.359000,22.4,52.0,1009.0,False,42.9,92,0.8
0 days 00:02:25.358000,22.4,55.0,1009.0,False,42.7,312,0.6
0 days 00:03:25.373000,22.4,54.0,1009.0,False,42.7,275,0.6
0 days 00:04:25.388000,22.3,48.0,1009.0,False,42.8,0,0.6
0 days 00:05:25.387000,22.2,47.0,1008.9,False,43.1,267,0.5
0 days 00:06:25.386000,22.2,45.0,1008.9,False,43.4,0,0.0
0 days 00:07:25.386000,22.3,44.0,1009.0,False,43.4,9,0.8
0 days 00:08:25.385000,22.4,48.0,1009.0,False,43.1,60,0.5
0 days 00:09:25.384000,22.3,46.0,1009.0,False,42.8,101,0.6
0 days 00:10:25.384000,22.3,46.0,1009.0,False,42.8,219,0.3
0 days 00:11:25.383000,22.4,48.0,1009.0,False,42.5,267,1.0
0 days 00:12:25.398000,22.4,48.0,1009.0,False,42.2,340,0.6
0 days 00:13:25.381000,22.5,51.0,1009.0,False,42.2,0,0.8
0 days 00:14:25.381000,22.5,52.0,1009.0,False,42.5,0,1.0
0 days 00:15:25.396000,22.5,53.0,1009.0,False,41.9,290,0.5
0 days 00:16:25.395000,22.6,53.0,1009.0,False,41.6,0,0.5
0 days 00:17:25.379000,22.6,53.0,1009.0,False,41.5,284,0.8
0 days 00:18:25.393000,22.6,54.0,1009.0,False,40.6,59,1.0
0 days 00:19:25.393000,22.6,51.0,1009.0,False,40.9,0,0.0
0 days 00:20:25.392000,22.6,53.0,1009.0,False,38.8,6,0.0
0 days 00:21:25.391000,22.6,54.0,1009.0,False,36.4,339,0.6
0 days 00:22:25.391000,22.5,55.0,1009.0,False,36.8,0,0.5
0 days 00:23:25.390000,22.5,55.0,1009.0,False,39.0,265,0.5
0 days 00:24:25.389000,22.5,55.0,1009.0,False,38.8,12,0.5
0 days 00:25:25.389000,22.5,55.0,1009.0,False,38.5,32,0.6
0 days 00:26:25.388000,22.5,56.0,1009.0,False,38.8,345,0.3
0 days 00:27:25.387000,22.5,56.0,1009.0,False,38.1,312,0.4
0 days 00:28:25.386000,22.5,56.0,1009.0,False,38.1,58,0.6
0 days 00:29:25.386000,22.5,56.0,1009.0,False,37.5,0,0.5
0 days 00:30:25.385000,22.4,58.0,1009.0,False,36.2,7,0.4
0 days 00:31:25.384000,22.4,60.0,1009.0,False,35.3,72,0.6
0 days 00:32:25.399000,22.3,60.0,1009.0,False,35.8,71,0.6
0 days 00:33:25.383000,22.2,61.0,1009.0,False,36.3,19,0.8
0 days 00:34:25.398000,22.2,61.0,1009.0,False,36.3,102,0.6
0 days 00:35:25.382000,22.1,61.0,1009.0,False,36.6,52,0.5
0 days 00:36:25.381000,22.1,60.0,1009.0,False,36.6,0,0.5
0 days 00:37:25.380000,22.1,60.0,1009.0,False,36.6,8,0.4
0 days 00:38:25.379000,22.0,62.0,1009.0,False,36.5,78,0.4
0 days 00:39:25.394000,22.0,61.0,1009.0,False,36.2,0,0.0
0 days 00:40:25.394000,22.0,57.0,1009.0,False,36.2,267,0.3
0 days 00:41:25.393000,22.2,59.0,1009.0,False,36.8,284,0.5
0 days 00:42:25.392000,22.2,60.0,1009.0,False,35.9,0,0.4
0 days 00:43:25.392000,22.3,56.0,1009.0,True,35.9,79,0.6
0 days 00:44:25.391000,22.3,61.0,1008.9,True,35.5,223,0.4
0 days 00:45:25.390000,22.3,61.0,1009.0,False,35.4,28,0.5
0 days 00:46:25.389000,22.4,62.0,1009.0,False,35.4,0,0.6
0 days 00:47:25.389000,22.3,62.0,1009.0,False,35.4,307,0.4
0 days 00:48:25.404000,22.1,61.0,1009.0,False,35.5,0,0.3
0 days 00:49:25.403000,22.2,60.0,1009.0,False,35.3,241,1.2
0 days 00:50:25.402000,22.2,57.0,1009.0,False,35.3,249,1.1
0 days 00:51:25.417000,22.2,56.0,1009.0,False,35.1,210,1.7
0 days 00:52:25.432000,22.1,56.0,1009.0,False,34.6,0,0.6
0 days 00:53:25.431000,22.2,58.0,1009.0,False,34.6,223,0.4
0 days 00:54:25.431000,22.2,60.0,1008.9,False,34.5,0,1.3
0 days 00:55:25.446000,22.1,59.0,1008.9,False,34.2,23,0.4
0 days 00:56:25.461000,22.1,57.0,1008.9,False,34.2,218,0.6
0 days 00:57:25.429000,22.0,61.0,1008.9,False,34.1,2,0.8
0 days 00:58:25.459000,22.0,61.0,1008.9,False,34.1,334,0.4
0 days 00:59:25.458000,22.0,61.0,1008.7,False,34.0,272,0.4
0 days 01:00:25.473000,22.0,62.0,1008.7,False,34.0,0,0.6
0 days 01:01:25.504000,22.0,63.0,1008.9,False,33.9,214,1.2
0 days 01:02:25.503000,21.9,64.0,1008.9,False,33.5,0,1.0
0 days 01:03:25.503000,21.9,64.0,1008.7,False,33.4,287,1.7
0 days 01:04:25.502000,22.0,64.0,1008.7,False,33.4,245,0.8
0 days 01:05:25.517000,22.0,66.0,1008.7,False,33.1,0,1.7
0 days 01:06:25.532000,22.0,66.0,1008.7,False,33.1,232,0.6
0 days 01:07:25.531000,22.0,66.0,1008.7,False,33.0,140,1.7
0 days 01:08:25.515000,22.0,66.0,1008.7,False,32.8,177,1.0
0 days 01:09:25.514000,21.9,67.0,1008.7,False,32.8,9,0.4
0 days 01:10:25.513000,21.9,66.0,1008.7,False,33.0,232,1.0
0 days 01:11:25.513000,21.8,67.0,1008.7,False,32.9,327,0.5
0 days 01:12:25.512000,21.8,67.0,1008.7,False,32.8,194,1.0
0 days 01:13:25.511000,21.8,67.0,1008.7,False,32.8,228,0.8
0 days 01:14:25.526000,21.8,66.0,1008.7,False,33.0,217,1.8
0 days 01:15:25.525000,21.8,66.0,1008.5,False,32.9,226,1.1
0 days 01:16:25.509000,21.8,66.0,1008.5,False,32.7,0,1.8
0 days 01:17:25.524000,21.9,66.0,1008.5,False,32.6,230,1.7
0 days 01:18:25.524000,21.9,65.0,1008.7,False,32.6,232,0.6
0 days 01:19:25.538000,21.9,65.0,1008.7,False,32.6,222,1.7
0 days 01:20:25.553000,21.9,65.0,1008.5,False,32.6,241,1.2
0 days 01:21:25.568000,21.9,65.0,1008.7,False,32.4,225,1.7
