Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:13.071000,18.0,93.0,961.7,True,21.6,104,0.6
0 days 00:01:13.070000,18.0,92.0,961.7,False,21.7,0,0.3
0 days 00:02:13.085000,17.9,92.0,961.7,False,21.7,36,0.5
0 days 00:03:13.084000,17.8,92.0,961.7,False,21.8,49,0.5
0 days 00:04:13.099000,17.9,92.0,961.9,False,21.9,44,0.6
0 days 00:05:13.113000,18.0,92.0,961.7,False,21.9,0,0.4
0 days 00:06:13.128000,17.9,92.0,961.7,False,22.0,161,0.5
0 days 00:07:13.127000,18.0,91.0,961.7,False,22.0,171,1.3
0 days 00:08:13.141000,18.0,91.0,961.9,False,21.8,0,0.6
0 days 00:09:13.140000,18.0,91.0,961.7,False,21.7,0,0.3
0 days 00:10:13.139000,17.9,91.0,961.7,False,21.7,147,0.4
0 days 00:11:13.154000,17.9,92.0,961.7,False,21.8,27,0.8
0 days 00:12:13.153000,18.0,91.0,961.7,False,21.8,43,0.4
0 days 00:13:13.152000,18.0,91.0,961.7,False,21.9,143,0.6
0 days 00:14:13.166000,18.0,91.0,961.7,False,21.9,138,1.2
0 days 00:15:13.165000,18.0,91.0,961.5,False,22.0,106,1.0
0 days 00:16:13.164000,18.0,92.0,961.5,False,22.0,113,0.6
0 days 00:17:13.163000,18.1,91.0,961.7,False,22.1,105,0.8
0 days 00:18:13.193000,18.1,91.0,961.5,False,22.1,138,0.6
0 days 00:19:13.192000,18.1,92.0,961.5,False,22.1,155,0.8
0 days 00:20:13.207000,18.1,92.0,961.5,False,22.6,122,0.8
0 days 00:21:13.221000,18.2,91.0,961.5,False,23.4,141,1.1
0 days 00:22:13.236000,18.3,91.0,961.7,False,23.6,121,0.8
0 days 00:23:13.250000,18.4,91.0,961.5,False,23.9,144,0.6
0 days 00:24:13.265000,18.5,90.0,961.5,False,24.5,160,1.2
0 days 00:25:13.264000,18.6,91.0,961.5,False,24.7,103,0.8
0 days 00:26:13.263000,18.9,91.0,961.5,False,24.7,63,0.3
0 days 00:27:13.277000,19.0,91.0,961.5,False,25.3,185,0.3
0 days 00:28:13.292000,19.1,90.0,961.5,False,25.9,125,1.1
0 days 00:29:13.307000,19.1,89.0,961.5,False,25.9,140,1.2
0 days 00:30:13.290000,19.2,91.0,961.5,False,25.9,150,2.2
0 days 00:31:13.289000,19.3,91.0,961.5,False,25.4,115,2.0
0 days 00:32:13.288000,19.2,90.0,961.5,False,26.2,135,1.2
0 days 00:33:13.287000,19.2,91.0,961.7,False,26.4,117,1.2
0 days 00:34:13.286000,19.2,92.0,961.5,False,26.6,125,2.2
0 days 00:35:13.300000,19.1,88.0,961.5,False,26.4,168,2.0
0 days 00:36:13.299000,19.1,88.0,961.7,False,26.3,198,1.3
0 days 00:37:13.298000,19.1,89.0,961.7,False,25.0,144,1.2
0 days 00:38:13.313000,19.2,89.0,961.7,False,24.8,161,2.9
0 days 00:39:13.296000,19.2,88.0,961.7,False,24.6,137,2.0
0 days 00:40:13.295000,19.3,89.0,961.7,False,24.1,132,0.6
0 days 00:41:13.294000,19.4,89.0,961.7,False,24.1,157,1.6
0 days 00:42:13.293000,19.3,88.0,961.7,False,24.5,95,1.8
0 days 00:43:13.307000,19.2,88.0,961.7,False,23.9,50,0.4
0 days 00:44:13.291000,19.1,89.0,961.7,False,23.9,132,1.0
0 days 00:45:13.305000,19.1,89.0,961.7,False,23.9,217,1.1
0 days 00:46:13.304000,19.2,89.0,961.7,False,23.9,124,1.7
0 days 00:47:13.303000,19.3,88.0,961.7,False,23.6,85,1.8
0 days 00:48:13.318000,19.4,89.0,961.7,False,23.5,134,1.3
0 days 00:49:13.301000,19.4,88.0,961.7,False,23.3,120,1.3
