Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:33:01.441000,VER,1,,1.0,1.0,,0 days 01:32:57.547000,,0 days 00:00:57.746000,0 days 00:00:37.608000,,0 days 01:32:23.954000,0 days 01:33:01.735000,299.0,169.0,,288.0,False,WET,1.0,True,Red Bull Racing,0 days 01:30:46.471000,2023-07-29 15:50:37.814,1,1.0,False,,False,False
0 days 01:35:16.403000,VER,1,,2.0,2.0,0 days 01:33:21.922000,,0 days 00:00:48.579000,0 days 00:00:54.546000,0 days 00:00:31.837000,0 days 01:33:50.100000,0 days 01:34:44.646000,0 days 01:35:16.483000,300.0,183.0,210.0,290.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:33:01.441000,2023-07-29 15:52:52.784,1,2.0,False,,False,False
0 days 01:37:21.513000,VER,1,,3.0,2.0,,,0 days 00:00:33.127000,0 days 00:00:55.370000,0 days 00:00:36.613000,0 days 01:35:49.610000,0 days 01:36:44.980000,0 days 01:37:21.593000,286.0,181.0,166.0,301.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:35:16.403000,2023-07-29 15:55:07.746,124,2.0,False,,False,False
0 days 01:40:26.178000,VER,1,,4.0,2.0,,,0 days 00:00:50.042000,0 days 00:01:26.110000,0 days 00:00:48.526000,0 days 01:38:11.622000,0 days 01:39:37.793000,0 days 01:40:26.355000,221.0,109.0,149.0,166.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 01:37:21.513000,2023-07-29 15:57:12.856,4,2.0,False,,False,False
0 days 01:43:40.005000,VER,1,,5.0,2.0,,,0 days 00:00:49.146000,0 days 00:01:23.886000,0 days 00:01:00.825000,0 days 01:41:15.479000,0 days 01:42:39.260000,0 days 01:43:40.165000,200.0,86.0,209.0,162.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 01:40:26.178000,2023-07-29 16:00:17.521,412,2.0,False,,False,False
0 days 01:45:38.948000,VER,1,,6.0,2.0,,,0 days 00:00:33.167000,0 days 00:00:53.887000,0 days 00:00:31.889000,0 days 01:44:13.252000,0 days 01:45:07.139000,0 days 01:45:39.028000,307.0,184.0,212.0,301.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 01:43:40.005000,2023-07-29 16:03:31.348,21,1.0,False,,False,True
0 days 01:47:39.311000,VER,1,,7.0,2.0,,,0 days 00:00:33.503000,0 days 00:00:54.865000,0 days 00:00:31.995000,0 days 01:46:12.531000,0 days 01:47:07.396000,0 days 01:47:39.391000,288.0,180.0,210.0,,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 01:45:38.948000,2023-07-29 16:05:30.291,12,1.0,False,,False,True
0 days 01:49:40.728000,VER,1,,8.0,2.0,,,0 days 00:00:33.745000,0 days 00:00:55.612000,0 days 00:00:32.060000,0 days 01:48:13.136000,0 days 01:49:08.748000,0 days 01:49:40.808000,284.0,174.0,209.0,288.0,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 01:47:39.311000,2023-07-29 16:07:30.654,1,1.0,False,,False,True
0 days 01:51:42.316000,VER,1,,9.0,2.0,,,0 days 00:00:33.754000,0 days 00:00:55.859000,0 days 00:00:31.975000,0 days 01:50:14.562000,0 days 01:51:10.421000,0 days 01:51:42.396000,281.0,180.0,209.0,289.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 01:49:40.728000,2023-07-29 16:09:32.071,1,1.0,False,,False,True
0 days 01:53:43.444000,VER,1,,10.0,2.0,,,0 days 00:00:33.661000,0 days 00:00:55.460000,0 days 00:00:32.007000,0 days 01:52:16.057000,0 days 01:53:11.517000,0 days 01:53:43.524000,290.0,176.0,209.0,287.0,False,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 01:51:42.316000,2023-07-29 16:11:33.659,1,1.0,False,,False,True
