Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:28.093000,21.0,65.0,961.5,False,30.7,238,1.5
0 days 00:01:28.093000,21.0,65.0,961.4,False,30.8,0,0.8
0 days 00:02:28.092000,21.0,65.0,961.4,False,31.6,123,0.5
0 days 00:03:28.091000,21.1,65.0,961.4,False,31.7,144,1.7
0 days 00:04:28.091000,21.3,66.0,961.5,False,31.6,152,2.0
0 days 00:05:28.137000,21.5,65.0,961.5,False,31.5,98,1.6
0 days 00:06:28.089000,21.5,65.0,961.2,False,31.7,267,2.2
0 days 00:07:28.089000,21.6,65.0,961.4,False,31.7,335,1.2
0 days 00:08:28.119000,21.6,65.0,961.2,False,31.7,166,0.8
0 days 00:09:28.119000,21.7,66.0,961.4,False,31.8,155,1.2
0 days 00:10:28.102000,21.7,66.0,961.4,False,31.1,0,1.7
0 days 00:11:28.102000,21.6,64.0,961.4,False,30.7,206,1.6
0 days 00:12:28.101000,21.6,64.0,961.2,False,30.6,142,1.7
0 days 00:13:28.100000,21.5,65.0,961.4,False,30.6,90,2.2
0 days 00:14:28.100000,21.4,64.0,961.4,False,30.6,99,1.2
0 days 00:15:28.099000,21.4,64.0,961.4,False,30.6,129,1.2
0 days 00:16:28.098000,21.4,65.0,961.4,False,30.5,127,1.5
0 days 00:17:28.113000,21.4,65.0,961.5,False,30.5,346,1.0
0 days 00:18:28.097000,21.4,64.0,961.4,False,31.2,134,1.0
0 days 00:19:28.096000,21.5,65.0,961.4,False,31.6,227,1.7
0 days 00:20:28.111000,21.5,65.0,961.4,True,31.6,339,0.8
0 days 00:21:28.095000,21.4,64.0,961.4,True,31.2,161,0.6
0 days 00:22:28.094000,21.3,65.0,961.4,True,31.2,142,2.0
0 days 00:23:28.109000,21.2,66.0,961.4,True,30.5,289,1.2
0 days 00:24:28.093000,21.1,66.0,961.5,True,30.1,146,0.8
0 days 00:25:28.092000,21.0,66.0,961.5,True,30.1,200,1.6
0 days 00:26:28.107000,21.0,64.0,961.4,True,30.0,40,1.7
0 days 00:27:28.107000,21.0,65.0,961.5,True,29.6,149,2.5
0 days 00:28:28.106000,21.0,65.0,961.5,True,29.6,88,1.2
0 days 00:29:28.090000,20.9,65.0,961.5,True,29.4,121,1.3
0 days 00:30:28.105000,20.9,65.0,961.5,True,29.3,113,1.2
0 days 00:31:28.104000,20.7,66.0,961.5,True,29.0,147,1.2
0 days 00:32:28.103000,20.6,66.0,961.5,True,29.0,61,0.8
0 days 00:33:28.103000,20.6,66.0,961.5,True,29.0,123,1.3
0 days 00:34:28.118000,20.6,67.0,961.5,True,29.0,109,1.8
0 days 00:35:28.101000,20.5,67.0,961.5,True,28.7,107,0.6
0 days 00:36:28.101000,20.5,67.0,961.5,False,28.7,110,1.1
0 days 00:37:28.116000,20.5,67.0,961.5,False,28.9,88,0.8
0 days 00:38:28.099000,20.5,67.0,961.5,False,29.0,136,0.8
0 days 00:39:28.114000,20.4,67.0,961.5,False,28.9,152,1.2
0 days 00:40:28.114000,20.3,68.0,961.5,False,28.5,89,1.5
0 days 00:41:28.113000,20.3,68.0,961.5,True,28.4,134,1.0
0 days 00:42:28.112000,20.2,68.0,961.7,True,28.3,129,1.1
0 days 00:43:28.127000,20.1,71.0,961.7,True,27.8,258,1.2
0 days 00:44:28.142000,19.9,71.0,961.7,True,27.0,126,0.8
0 days 00:45:28.141000,19.8,73.0,961.9,True,26.5,140,2.5
0 days 00:46:28.156000,19.6,76.0,961.9,True,25.9,127,2.5
0 days 00:47:28.171000,19.2,78.0,961.7,True,24.1,159,3.0
0 days 00:48:28.155000,18.9,80.0,961.7,True,22.8,145,1.5
0 days 00:49:28.154000,18.5,81.0,961.7,True,22.8,218,0.8
0 days 00:50:28.154000,18.3,83.0,961.7,True,22.8,238,1.0
0 days 00:51:28.184000,18.2,85.0,961.5,True,23.6,85,0.6
0 days 00:52:28.184000,18.3,85.0,961.7,True,24.0,176,1.3
0 days 00:53:28.183000,18.1,84.0,961.7,True,24.6,112,0.8
0 days 00:54:28.182000,18.0,84.0,961.5,True,24.5,265,1.2
0 days 00:55:28.197000,17.9,84.0,961.7,True,24.3,81,0.6
0 days 00:56:28.259000,17.8,86.0,961.7,True,24.2,52,0.6
0 days 00:57:28.212000,17.8,87.0,961.5,True,24.1,179,0.4
0 days 00:58:28.227000,17.7,86.0,961.7,True,24.1,149,1.1
0 days 00:59:28.226000,17.6,86.0,961.5,True,24.1,215,0.6
0 days 01:00:28.225000,17.7,86.0,961.7,True,24.2,205,0.8
0 days 01:01:28.240000,17.7,87.0,961.5,False,24.8,141,0.8
0 days 01:02:28.255000,18.0,88.0,961.7,False,25.7,110,1.0
0 days 01:03:28.239000,18.0,88.0,961.5,True,25.8,162,0.8
0 days 01:04:28.254000,18.0,87.0,961.7,True,25.8,99,0.5
0 days 01:05:28.253000,18.1,88.0,961.7,False,26.7,15,1.0
0 days 01:06:28.252000,18.2,86.0,961.7,False,26.6,53,0.6
0 days 01:07:28.236000,18.3,87.0,961.7,False,26.6,306,0.5
0 days 01:08:28.267000,18.4,87.0,961.5,False,26.5,146,0.3
0 days 01:09:28.250000,18.5,88.0,961.5,False,26.4,116,0.6
0 days 01:10:28.250000,18.6,87.0,961.5,False,26.3,167,0.8
0 days 01:11:28.265000,18.5,86.0,961.4,False,26.3,104,1.1
0 days 01:12:28.248000,18.5,87.0,961.5,False,26.2,150,0.6
0 days 01:13:28.263000,18.6,87.0,961.5,False,26.0,157,0.5
0 days 01:14:28.263000,18.6,88.0,961.5,False,25.9,110,0.8
0 days 01:15:28.246000,18.6,86.0,961.5,False,25.9,171,1.0
0 days 01:16:28.277000,18.6,85.0,961.5,False,25.9,127,1.2
0 days 01:17:28.276000,18.5,85.0,961.5,False,25.7,99,0.8
