Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:46.818000,29.2,55.0,920.0,False,40.2,34,3.0
0 days 00:01:46.849000,29.1,55.0,920.2,False,40.2,33,3.4
0 days 00:02:46.864000,29.2,56.0,920.2,False,40.4,9,3.7
0 days 00:03:46.863000,29.3,55.0,920.2,False,40.7,43,2.2
0 days 00:04:46.862000,29.3,54.0,920.2,False,41.0,15,2.5
0 days 00:05:46.862000,29.5,54.0,920.2,False,41.0,15,3.2
0 days 00:06:46.861000,29.6,54.0,920.2,False,41.3,23,3.7
0 days 00:07:46.860000,29.6,54.0,920.2,False,41.3,54,4.1
0 days 00:08:46.860000,29.7,54.0,920.2,False,41.7,359,2.2
0 days 00:09:46.859000,29.7,54.0,920.2,False,42.6,359,3.0
0 days 00:10:46.858000,29.7,53.0,920.2,False,42.6,22,3.0
0 days 00:11:46.858000,29.8,52.0,920.2,False,42.8,13,3.2
0 days 00:12:46.873000,29.8,53.0,920.0,False,43.0,23,3.4
0 days 00:13:46.888000,29.8,53.0,920.0,False,43.3,21,3.7
0 days 00:14:46.887000,29.8,54.0,920.0,False,43.3,27,4.0
0 days 00:15:46.886000,30.0,53.0,920.2,False,43.3,25,3.2
0 days 00:16:46.901000,30.0,53.0,920.0,False,43.9,19,3.2
0 days 00:17:46.916000,30.1,53.0,920.0,False,43.7,17,3.7
0 days 00:18:46.916000,30.0,53.0,920.0,False,43.7,17,3.7
0 days 00:19:46.915000,29.9,53.0,920.0,False,42.2,28,3.2
0 days 00:20:46.930000,29.8,53.0,920.0,False,42.2,28,3.2
0 days 00:21:46.945000,29.9,53.0,920.0,False,42.8,19,3.0
0 days 00:22:46.960000,30.0,53.0,920.0,False,43.6,7,3.2
0 days 00:23:46.975000,30.1,52.0,920.0,False,44.0,23,3.2
0 days 00:24:46.990000,30.2,52.0,920.0,False,44.2,22,3.2
0 days 00:25:47.004000,30.3,52.0,920.0,False,44.4,9,3.2
0 days 00:26:47.004000,30.4,51.0,920.0,False,45.1,26,2.9
0 days 00:27:47.019000,30.5,51.0,920.0,False,45.1,26,2.9
0 days 00:28:47.018000,30.5,51.0,920.0,False,45.1,26,2.9
0 days 00:29:47.017000,30.5,51.0,920.0,False,44.8,20,3.4
0 days 00:30:47.032000,30.5,51.0,920.0,False,44.8,20,3.4
0 days 00:31:47.047000,30.4,50.0,920.0,False,44.3,29,4.8
0 days 00:32:47.047000,30.3,51.0,919.9,False,44.1,14,3.7
0 days 00:33:47.046000,30.2,52.0,919.7,False,43.4,18,3.2
0 days 00:34:47.045000,30.2,52.0,919.9,False,43.3,18,3.0
0 days 00:35:47.060000,30.2,51.0,919.9,False,42.6,17,3.2
0 days 00:36:47.075000,30.2,52.0,919.9,False,42.6,7,2.5
0 days 00:37:47.090000,30.3,52.0,919.7,False,42.0,39,2.2
0 days 00:38:47.105000,30.3,52.0,919.9,False,41.8,9,2.4
0 days 00:39:47.104000,30.3,52.0,919.7,False,42.0,42,2.2
0 days 00:40:47.119000,30.3,51.0,919.7,False,41.9,26,2.4
0 days 00:41:47.119000,30.3,51.0,919.7,False,41.9,26,2.4
0 days 00:42:47.118000,30.3,51.0,919.7,False,42.0,36,2.4
0 days 00:43:47.117000,30.3,51.0,919.7,False,42.0,36,2.4
0 days 00:44:47.132000,30.4,51.0,919.7,False,42.3,26,3.0
0 days 00:45:47.147000,30.3,51.0,919.7,False,41.8,19,3.7
0 days 00:46:47.146000,30.2,51.0,919.7,True,41.9,32,3.7
0 days 00:47:47.146000,30.2,51.0,919.5,True,42.1,21,3.9
0 days 00:48:47.145000,30.3,51.0,919.5,False,42.1,21,3.7
0 days 00:49:47.144000,30.3,51.0,919.5,False,42.1,21,3.7
0 days 00:50:47.144000,30.4,50.0,919.5,False,42.7,24,3.5
0 days 00:51:47.143000,30.5,50.0,919.5,False,43.3,43,3.2
0 days 00:52:47.142000,30.6,50.0,919.5,False,43.9,31,3.9
0 days 00:53:47.142000,30.6,50.0,919.5,False,44.0,22,3.0
0 days 00:54:47.141000,30.6,50.0,919.5,False,44.6,34,2.5
0 days 00:55:47.140000,30.7,50.0,919.5,False,44.6,34,2.5
0 days 00:56:47.140000,30.8,50.0,919.5,False,44.6,34,2.5
0 days 00:57:47.139000,31.0,50.0,919.5,False,44.6,34,2.5
0 days 00:58:47.154000,31.1,50.0,919.5,False,44.6,34,2.5
0 days 00:59:47.153000,31.0,50.0,919.2,False,45.7,14,3.7
0 days 01:00:47.153000,31.0,50.0,919.2,False,45.7,14,3.7
0 days 01:01:47.152000,31.0,50.0,919.2,False,45.7,14,3.7
0 days 01:02:47.151000,30.9,50.0,919.2,False,45.7,14,3.7
0 days 01:03:47.150000,30.8,50.0,919.2,False,45.7,14,3.7
