Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:58:36.175000,VER,1,,1.0,1.0,,,,0 days 00:00:38.459000,0 days 00:00:17.119000,,0 days 00:58:19.066000,0 days 00:58:36.300000,296.0,244.0,300.0,216.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:57:16.942000,2023-11-04 18:33:20.937,1,1.0,False,,False,False
0 days 00:59:50.759000,VER,1,,2.0,1.0,,,0 days 00:00:19.494000,0 days 00:00:38.092000,0 days 00:00:16.998000,0 days 00:58:55.679000,0 days 00:59:33.771000,0 days 00:59:50.769000,299.0,249.0,303.0,283.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:58:36.175000,2023-11-04 18:34:40.170,1,1.0,False,,False,True
0 days 01:01:05.299000,VER,1,,3.0,1.0,,,0 days 00:00:19.478000,0 days 00:00:38.009000,0 days 00:00:17.053000,0 days 01:00:10.247000,0 days 01:00:48.256000,0 days 01:01:05.309000,,244.0,302.0,,True,SOFT,6.0,False,Red Bull Racing,0 days 00:59:50.759000,2023-11-04 18:35:54.754,1,1.0,False,,False,True
0 days 01:02:20.467000,VER,1,,4.0,1.0,,,0 days 00:00:19.714000,0 days 00:00:38.335000,0 days 00:00:17.119000,0 days 01:01:25.023000,0 days 01:02:03.358000,0 days 01:02:20.477000,290.0,246.0,302.0,281.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:01:05.299000,2023-11-04 18:37:09.294,1,1.0,False,,False,True
0 days 01:03:35.635000,VER,1,,5.0,1.0,,,0 days 00:00:19.538000,0 days 00:00:38.484000,0 days 00:00:17.146000,0 days 01:02:40.015000,0 days 01:03:18.499000,0 days 01:03:35.645000,302.0,246.0,303.0,284.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:02:20.467000,2023-11-04 18:38:24.462,1,1.0,False,,False,True
0 days 01:04:50.932000,VER,1,,6.0,1.0,,,0 days 00:00:19.568000,0 days 00:00:38.569000,0 days 00:00:17.160000,0 days 01:03:55.213000,0 days 01:04:33.782000,0 days 01:04:50.942000,,250.0,302.0,288.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:03:35.635000,2023-11-04 18:39:39.630,1,1.0,False,,False,True
0 days 01:06:06.147000,VER,1,,7.0,1.0,,,0 days 00:00:19.437000,0 days 00:00:38.596000,0 days 00:00:17.182000,0 days 01:05:10.379000,0 days 01:05:48.975000,0 days 01:06:06.157000,301.0,250.0,302.0,290.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:04:50.932000,2023-11-04 18:40:54.927,1,1.0,False,,False,True
0 days 01:07:21.298000,VER,1,,8.0,1.0,,,0 days 00:00:19.525000,0 days 00:00:38.321000,0 days 00:00:17.305000,0 days 01:06:25.682000,0 days 01:07:04.003000,0 days 01:07:21.308000,,246.0,303.0,287.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:06:06.147000,2023-11-04 18:42:10.142,1,1.0,False,,False,True
0 days 01:08:36.399000,VER,1,,9.0,1.0,,,0 days 00:00:19.422000,0 days 00:00:38.409000,0 days 00:00:17.270000,0 days 01:07:40.730000,0 days 01:08:19.139000,0 days 01:08:36.409000,302.0,244.0,302.0,290.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:07:21.298000,2023-11-04 18:43:25.293,1,1.0,False,,False,True
0 days 01:09:51.732000,VER,1,,10.0,1.0,,,0 days 00:00:19.550000,0 days 00:00:38.393000,0 days 00:00:17.390000,0 days 01:08:55.959000,0 days 01:09:34.352000,0 days 01:09:51.742000,,247.0,303.0,291.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:08:36.399000,2023-11-04 18:44:40.394,1,1.0,False,,False,True
0 days 01:11:07.136000,VER,1,,11.0,1.0,,,0 days 00:00:19.573000,0 days 00:00:38.509000,0 days 00:00:17.322000,0 days 01:10:11.315000,0 days 01:10:49.824000,0 days 01:11:07.146000,,250.0,303.0,,False,SOFT,14.0,False,Red Bull Racing,0 days 01:09:51.732000,2023-11-04 18:45:55.727,1,1.0,False,,False,True
