Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:07.478000,20.9,79.0,999.7,True,22.2,224,2.7
0 days 00:01:07.477000,20.9,79.0,999.7,True,22.3,222,2.7
0 days 00:02:07.492000,21.0,78.0,999.7,True,22.4,222,3.0
0 days 00:03:07.491000,21.0,79.0,999.5,True,22.4,223,2.5
0 days 00:04:07.491000,21.0,78.0,999.5,True,22.5,206,2.5
0 days 00:05:07.506000,21.0,78.0,999.7,True,22.5,200,2.5
0 days 00:06:07.521000,21.0,79.0,999.5,False,22.5,222,3.4
0 days 00:07:07.520000,21.0,78.0,999.7,False,22.3,195,2.7
0 days 00:08:07.551000,21.0,79.0,999.5,False,22.3,231,2.4
0 days 00:09:07.534000,21.0,79.0,999.5,False,22.0,206,2.7
0 days 00:10:07.565000,21.0,80.0,999.5,False,22.0,211,2.2
0 days 00:11:07.564000,21.0,79.0,999.5,False,22.0,200,3.2
0 days 00:12:07.579000,20.9,79.0,999.5,False,21.9,204,3.2
0 days 00:13:07.578000,20.9,78.0,999.5,False,21.7,202,3.7
0 days 00:14:07.578000,20.8,79.0,999.5,False,21.6,210,4.1
0 days 00:15:07.577000,20.9,79.0,999.5,False,21.6,212,3.2
0 days 00:16:07.592000,20.8,80.0,999.5,False,21.6,210,3.0
0 days 00:17:07.591000,20.8,79.0,999.5,False,21.6,204,3.4
0 days 00:18:07.591000,20.8,80.0,999.5,False,21.6,219,3.2
0 days 00:19:07.590000,20.8,80.0,999.7,False,21.6,193,3.0
0 days 00:20:07.605000,20.8,80.0,999.5,False,21.5,206,4.0
0 days 00:21:07.604000,20.8,80.0,999.7,False,21.5,212,3.0
0 days 00:22:07.604000,20.8,80.0,999.5,False,21.5,201,3.0
0 days 00:23:07.618000,20.8,80.0,999.7,False,21.5,209,2.5
0 days 00:24:07.618000,20.8,80.0,999.5,False,21.5,216,2.7
0 days 00:25:07.617000,20.8,81.0,999.5,False,21.4,185,3.5
0 days 00:26:07.616000,20.8,81.0,999.7,False,21.4,221,2.7
0 days 00:27:07.631000,20.8,81.0,999.7,False,21.5,200,2.5
0 days 00:28:07.646000,20.8,81.0,999.5,True,21.5,200,3.2
0 days 00:29:07.646000,20.8,81.0,999.5,True,21.5,193,2.7
0 days 00:30:07.676000,20.8,82.0,999.5,True,21.5,204,2.5
0 days 00:31:07.676000,20.7,81.0,999.5,True,21.6,216,2.7
0 days 00:32:07.690000,20.8,81.0,999.5,True,21.7,205,2.4
0 days 00:33:07.690000,20.8,81.0,999.5,True,21.7,206,3.2
0 days 00:34:07.673000,20.7,81.0,999.5,False,21.7,200,3.0
0 days 00:35:07.673000,20.7,82.0,999.7,False,21.7,197,2.4
0 days 00:36:07.688000,20.7,81.0,999.5,False,21.8,188,2.7
0 days 00:37:07.687000,20.8,82.0,999.5,False,21.7,214,2.5
0 days 00:38:07.686000,20.8,81.0,999.5,True,21.7,200,2.2
0 days 00:39:07.701000,20.7,81.0,999.5,True,21.8,200,2.5
0 days 00:40:07.716000,20.8,81.0,999.5,False,21.9,198,2.5
0 days 00:41:07.716000,20.8,82.0,999.5,False,21.9,199,2.5
0 days 00:42:07.715000,20.8,81.0,999.7,False,21.9,199,2.5
0 days 00:43:07.714000,20.8,81.0,999.5,False,21.9,212,2.5
0 days 00:44:07.714000,20.8,81.0,999.5,False,21.8,191,2.7
0 days 00:45:07.713000,20.8,81.0,999.7,False,21.7,200,3.4
0 days 00:46:07.712000,20.8,81.0,999.5,False,21.5,198,2.5
0 days 00:47:07.712000,20.8,82.0,999.5,False,21.6,225,2.2
0 days 00:48:07.727000,20.8,81.0,999.7,False,21.6,212,2.4
0 days 00:49:07.726000,20.8,82.0,999.7,False,21.5,209,2.2
0 days 00:50:07.710000,20.8,82.0,999.5,False,21.5,220,2.5
0 days 00:51:07.709000,20.7,81.0,999.5,False,21.5,197,1.7
0 days 00:52:07.708000,20.7,81.0,999.5,False,21.5,196,2.7
0 days 00:53:07.723000,20.7,81.0,999.5,False,21.4,225,2.7
0 days 00:54:07.707000,20.7,81.0,999.5,False,21.3,204,2.2
0 days 00:55:07.737000,20.7,81.0,999.5,False,21.3,223,2.9
0 days 00:56:07.721000,20.7,81.0,999.4,False,21.4,222,2.5
0 days 00:57:07.720000,20.8,80.0,999.5,False,21.5,190,2.7
