Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:46.121000,VER,1,,1.0,1.0,,,,0 days 00:00:38.051000,0 days 00:00:26.073000,,0 days 01:03:20.151000,0 days 01:03:46.213000,300.0,254.0,246.0,296.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:08.731000,2023-07-09 14:03:09.767,1,2.0,False,,False,False
0 days 01:05:19.554000,VER,1,,2.0,1.0,,,0 days 00:00:29.616000,0 days 00:00:38,0 days 00:00:25.817000,0 days 01:04:15.751000,0 days 01:04:53.751000,0 days 01:05:19.568000,290.0,255.0,244.0,291.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:46.121000,2023-07-09 14:04:47.157,1,2.0,False,,False,True
0 days 01:06:52.284000,VER,1,,3.0,1.0,,,0 days 00:00:29.380000,0 days 00:00:37.690000,0 days 00:00:25.660000,0 days 01:05:48.948000,0 days 01:06:26.638000,0 days 01:06:52.298000,311.0,259.0,245.0,318.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:19.554000,2023-07-09 14:06:20.590,1,2.0,False,,False,True
0 days 01:08:25.064000,VER,1,,4.0,1.0,,,0 days 00:00:29.407000,0 days 00:00:37.650000,0 days 00:00:25.723000,0 days 01:07:21.705000,0 days 01:07:59.355000,0 days 01:08:25.078000,313.0,259.0,245.0,316.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:52.284000,2023-07-09 14:07:53.320,1,2.0,False,,False,True
0 days 01:09:57.646000,VER,1,,5.0,1.0,,,0 days 00:00:29.338000,0 days 00:00:37.403000,0 days 00:00:25.841000,0 days 01:08:54.416000,0 days 01:09:31.819000,0 days 01:09:57.660000,320.0,254.0,244.0,288.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:25.064000,2023-07-09 14:09:26.100,1,1.0,False,,False,True
0 days 01:11:30.673000,VER,1,,6.0,1.0,,,0 days 00:00:29.667000,0 days 00:00:37.543000,0 days 00:00:25.817000,0 days 01:10:27.327000,0 days 01:11:04.870000,0 days 01:11:30.687000,290.0,255.0,245.0,285.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:57.646000,2023-07-09 14:10:58.682,1,1.0,False,,False,True
0 days 01:13:03.773000,VER,1,,7.0,1.0,,,0 days 00:00:29.726000,0 days 00:00:37.612000,0 days 00:00:25.762000,0 days 01:12:00.413000,0 days 01:12:38.025000,0 days 01:13:03.787000,292.0,255.0,245.0,287.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:30.673000,2023-07-09 14:12:31.709,1,1.0,False,,False,True
0 days 01:14:36.657000,VER,1,,8.0,1.0,,,0 days 00:00:29.625000,0 days 00:00:37.578000,0 days 00:00:25.681000,0 days 01:13:33.412000,0 days 01:14:10.990000,0 days 01:14:36.671000,293.0,256.0,245.0,287.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:03.773000,2023-07-09 14:14:04.809,1,1.0,False,,False,True
0 days 01:16:09.479000,VER,1,,9.0,1.0,,,0 days 00:00:29.780000,0 days 00:00:37.489000,0 days 00:00:25.553000,0 days 01:15:06.451000,0 days 01:15:43.940000,0 days 01:16:09.493000,291.0,257.0,246.0,288.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:36.657000,2023-07-09 14:15:37.693,1,1.0,False,,False,True
0 days 01:17:42.073000,VER,1,,10.0,1.0,,,0 days 00:00:29.660000,0 days 00:00:37.373000,0 days 00:00:25.561000,0 days 01:16:39.153000,0 days 01:17:16.526000,0 days 01:17:42.087000,293.0,257.0,245.0,287.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:16:09.479000,2023-07-09 14:17:10.515,1,1.0,False,,False,True
0 days 01:19:14.670000,VER,1,,11.0,1.0,,,0 days 00:00:29.586000,0 days 00:00:37.463000,0 days 00:00:25.548000,0 days 01:18:11.673000,0 days 01:18:49.136000,0 days 01:19:14.684000,292.0,256.0,246.0,287.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:17:42.073000,2023-07-09 14:18:43.109,1,1.0,False,,False,True
0 days 01:20:47.357000,VER,1,,12.0,1.0,,,0 days 00:00:29.742000,0 days 00:00:37.389000,0 days 00:00:25.556000,0 days 01:19:44.426000,0 days 01:20:21.815000,0 days 01:20:47.371000,293.0,256.0,244.0,288.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:19:14.670000,2023-07-09 14:20:15.706,1,1.0,False,,False,True
0 days 01:22:20.035000,VER,1,,13.0,1.0,,,0 days 00:00:29.703000,0 days 00:00:37.319000,0 days 00:00:25.656000,0 days 01:21:17.074000,0 days 01:21:54.393000,0 days 01:22:20.049000,,256.0,244.0,287.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:20:47.357000,2023-07-09 14:21:48.393,1,1.0,False,,False,True
0 days 01:23:53.081000,VER,1,,14.0,1.0,,,0 days 00:00:30.031000,0 days 00:00:37.422000,0 days 00:00:25.593000,0 days 01:22:50.080000,0 days 01:23:27.502000,0 days 01:23:53.095000,289.0,255.0,246.0,289.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:22:20.035000,2023-07-09 14:23:21.071,1,1.0,False,,False,True
0 days 01:25:26.071000,VER,1,,15.0,1.0,,,0 days 00:00:29.960000,0 days 00:00:37.469000,0 days 00:00:25.561000,0 days 01:24:23.055000,0 days 01:25:00.524000,0 days 01:25:26.085000,,255.0,245.0,290.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:23:53.081000,2023-07-09 14:24:54.117,1,1.0,False,,False,True
0 days 01:26:58.879000,VER,1,,16.0,1.0,,,0 days 00:00:29.914000,0 days 00:00:37.373000,0 days 00:00:25.521000,0 days 01:25:55.999000,0 days 01:26:33.372000,0 days 01:26:58.893000,291.0,257.0,245.0,291.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:25:26.071000,2023-07-09 14:26:27.107,1,1.0,False,,False,True
0 days 01:28:31.482000,VER,1,,17.0,1.0,,,0 days 00:00:29.803000,0 days 00:00:37.276000,0 days 00:00:25.524000,0 days 01:27:28.696000,0 days 01:28:05.972000,0 days 01:28:31.496000,289.0,256.0,246.0,290.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:26:58.879000,2023-07-09 14:27:59.915,1,1.0,False,,False,True
0 days 01:30:03.989000,VER,1,,18.0,1.0,,,0 days 00:00:29.877000,0 days 00:00:37.283000,0 days 00:00:25.347000,0 days 01:29:01.373000,0 days 01:29:38.656000,0 days 01:30:04.003000,290.0,256.0,245.0,293.0,True,MEDIUM,18.0,True,Red Bull Racing,0 days 01:28:31.482000,2023-07-09 14:29:32.518,1,1.0,False,,False,True
