Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:20.517000,VER,1,,1.0,1.0,0 days 00:15:32.660000,,,0 days 00:00:35.784000,0 days 00:00:38.205000,,0 days 00:16:42.362000,0 days 00:17:20.517000,310.0,285.0,308.0,250.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:32.660000,2023-09-01 15:00:32.662,1,,False,,False,False
0 days 00:25:10.775000,VER,1,,2.0,1.0,,0 days 00:19:08.594000,0 days 00:00:27.452000,0 days 00:00:27.693000,,0 days 00:17:48.064000,0 days 00:18:15.751000,,320.0,333.0,,340.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:20.517000,2023-09-01 15:02:20.519,15,,False,,False,False
0 days 00:26:57.544000,VER,1,,3.0,2.0,0 days 00:25:10.775000,,,0 days 00:00:36.161000,0 days 00:00:35.182000,,0 days 00:26:22.602000,0 days 00:26:57.664000,276.0,289.0,308.0,247.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 00:25:10.775000,2023-09-01 15:10:10.777,1,,False,,False,False
0 days 00:28:19.803000,VER,1,,4.0,2.0,,,0 days 00:00:27.327000,0 days 00:00:27.731000,0 days 00:00:27.201000,0 days 00:27:24.871000,0 days 00:27:52.602000,0 days 00:28:19.803000,319.0,332.0,309.0,340.0,True,MEDIUM,4.0,False,Red Bull Racing,0 days 00:26:57.544000,2023-09-01 15:11:57.546,1,,False,,False,True
0 days 00:30:54.180000,VER,1,,5.0,2.0,,,0 days 00:00:52.489000,0 days 00:00:56.439000,0 days 00:00:45.431000,0 days 00:29:12.489000,0 days 00:30:08.895000,0 days 00:30:54.269000,111.0,181.0,308.0,107.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:28:19.803000,2023-09-01 15:13:19.805,1,,False,,False,False
0 days 00:32:16.424000,VER,1,,6.0,2.0,,,0 days 00:00:27.440000,0 days 00:00:27.770000,0 days 00:00:27.034000,0 days 00:31:21.620000,0 days 00:31:49.390000,0 days 00:32:16.424000,315.0,328.0,310.0,336.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:30:54.180000,2023-09-01 15:15:54.182,1,,False,,False,True
0 days 00:33:53.875000,VER,1,,7.0,2.0,,0 days 00:33:50.016000,0 days 00:00:30.881000,0 days 00:00:32.237000,0 days 00:00:34.333000,0 days 00:32:47.305000,0 days 00:33:19.542000,0 days 00:33:53.875000,294.0,296.0,,253.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:32:16.424000,2023-09-01 15:17:16.426,1,,False,,False,False
0 days 00:48:43.540000,VER,1,,8.0,3.0,0 days 00:46:39.424000,,,0 days 00:00:45.748000,0 days 00:00:37.843000,,0 days 00:48:05.829000,0 days 00:48:43.578000,174.0,185.0,310.0,139.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:33:53.875000,2023-09-01 15:18:53.877,1,,False,,False,False
0 days 00:50:05.171000,VER,1,,9.0,3.0,,,0 days 00:00:27.121000,0 days 00:00:27.668000,0 days 00:00:26.842000,0 days 00:49:10.661000,0 days 00:49:38.329000,0 days 00:50:05.171000,321.0,328.0,307.0,339.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:48:43.540000,2023-09-01 15:33:43.542,1,,False,,False,True
0 days 00:52:37.058000,VER,1,,10.0,3.0,,0 days 00:52:30.574000,0 days 00:00:40.833000,0 days 00:00:50.497000,0 days 00:01:00.549000,0 days 00:50:46.357000,0 days 00:51:36.653000,0 days 00:52:37.058000,140.0,148.0,,287.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:50:05.171000,2023-09-01 15:35:05.173,12,,False,,False,False
