Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:36.345000,VER,1,,1.0,1.0,0 days 00:16:40.628000,,,0 days 00:00:38.518000,0 days 00:00:44.186000,,0 days 00:17:52.298000,0 days 00:18:36.563000,153.0,196.0,302.0,199.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:40.628000,2023-11-17 04:31:40.629,1,,False,,False,False
0 days 00:20:21.545000,VER,1,,2.0,1.0,,,0 days 00:00:31.296000,0 days 00:00:34.817000,0 days 00:00:39.087000,0 days 00:19:07.641000,0 days 00:19:42.458000,0 days 00:20:21.545000,167.0,201.0,311.0,245.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:18:36.345000,2023-11-17 04:33:36.346,1,,False,,False,True
0 days 00:22:05.942000,VER,1,,3.0,1.0,,,0 days 00:00:30.125000,0 days 00:00:34.897000,0 days 00:00:39.375000,0 days 00:20:51.670000,0 days 00:21:26.567000,0 days 00:22:05.942000,171.0,203.0,312.0,254.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:21.545000,2023-11-17 04:35:21.546,1,,False,,False,True
0 days 00:24:00.698000,VER,1,,4.0,1.0,,0 days 00:24:00.698000,0 days 00:00:29.292000,0 days 00:00:33.621000,,0 days 00:22:35.418000,0 days 00:23:09.058000,,177.0,204.0,,197.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:22:05.942000,2023-11-17 04:37:05.943,125,,False,,False,False
0 days 00:18:24.261000,RIC,3,,1.0,1.0,0 days 00:16:24.909000,,,0 days 00:00:43.805000,0 days 00:00:42.559000,,0 days 00:17:41.939000,0 days 00:18:24.407000,144.0,185.0,223.0,264.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:16:24.909000,2023-11-17 04:31:24.910,1,,False,,False,False
0 days 00:20:18.800000,RIC,3,,2.0,1.0,,,0 days 00:00:33.488000,0 days 00:00:40.875000,0 days 00:00:40.176000,0 days 00:18:57.749000,0 days 00:19:38.624000,0 days 00:20:18.800000,163.0,196.0,264.0,230.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:18:24.261000,2023-11-17 04:33:24.262,1,,False,,False,True
0 days 00:22:07.450000,RIC,3,,3.0,1.0,,,0 days 00:00:31.266000,0 days 00:00:37.424000,0 days 00:00:39.960000,0 days 00:20:50.066000,0 days 00:21:27.490000,0 days 00:22:07.450000,170.0,197.0,277.0,245.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:20:18.800000,2023-11-17 04:35:18.801,1,,False,,False,True
0 days 00:24:10.635000,RIC,3,,4.0,1.0,,0 days 00:24:10.635000,0 days 00:00:30.620000,0 days 00:00:35.473000,,0 days 00:22:38.168000,0 days 00:23:13.714000,,173.0,202.0,,,False,MEDIUM,4.0,True,AlphaTauri,0 days 00:22:07.450000,2023-11-17 04:37:07.451,125,,False,,False,False
0 days 00:17:40.943000,NOR,4,,1.0,1.0,0 days 00:15:44.691000,,,0 days 00:00:39.363000,0 days 00:00:43.770000,,0 days 00:16:57.268000,0 days 00:17:41.048000,146.0,177.0,269.0,206.0,False,MEDIUM,1.0,True,McLaren,0 days 00:15:44.691000,2023-11-17 04:30:44.692,1,,False,,False,False
0 days 00:19:29.890000,NOR,4,,2.0,1.0,,,0 days 00:00:32.643000,0 days 00:00:36.625000,0 days 00:00:39.679000,0 days 00:18:13.586000,0 days 00:18:50.211000,0 days 00:19:29.890000,161.0,190.0,272.0,261.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:40.943000,2023-11-17 04:32:40.944,1,,False,,False,True
0 days 00:21:22.589000,NOR,4,,3.0,1.0,,0 days 00:21:19.513000,0 days 00:00:30.984000,0 days 00:00:35.166000,0 days 00:00:46.549000,0 days 00:20:00.874000,0 days 00:20:36.040000,0 days 00:21:22.589000,167.0,204.0,,252.0,False,MEDIUM,3.0,True,McLaren,0 days 00:19:29.890000,2023-11-17 04:34:29.891,1,,False,,False,False
0 days 00:17:19.657000,GAS,10,,1.0,1.0,0 days 00:15:22.129000,,,0 days 00:00:43.355000,0 days 00:00:41.297000,,0 days 00:16:38.456000,0 days 00:17:19.783000,146.0,187.0,212.0,274.0,False,MEDIUM,1.0,True,Alpine,0 days 00:15:22.129000,2023-11-17 04:30:22.130,1,,False,,False,False
