Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:58.429000,14.4,70.0,944.2,False,15.9,184,0.6
0 days 00:01:58.428000,14.4,70.0,944.0,False,15.9,70,0.4
0 days 00:02:58.411000,14.3,71.0,944.2,False,15.9,71,0.8
0 days 00:03:58.426000,14.3,72.0,944.0,False,15.6,59,0.8
0 days 00:04:58.425000,14.3,72.0,944.0,False,15.6,67,0.8
0 days 00:05:58.424000,14.2,72.0,944.0,False,15.5,62,0.8
0 days 00:06:58.423000,14.2,73.0,944.0,False,15.5,55,0.8
0 days 00:07:58.421000,14.2,73.0,944.0,False,15.5,60,1.2
0 days 00:08:58.420000,14.1,73.0,944.2,False,15.5,69,1.3
0 days 00:09:58.419000,14.1,73.0,944.0,False,15.4,70,0.8
0 days 00:10:58.418000,14.1,73.0,944.0,False,15.4,54,0.8
0 days 00:11:58.417000,14.1,74.0,944.0,False,15.3,59,0.8
0 days 00:12:58.416000,14.1,74.0,944.2,False,15.3,57,1.1
0 days 00:13:58.431000,14.1,74.0,944.0,False,15.3,62,1.2
0 days 00:14:58.430000,14.1,74.0,944.0,False,15.3,55,1.2
0 days 00:15:58.428000,14.0,74.0,944.2,False,15.3,59,1.2
0 days 00:16:58.427000,14.1,74.0,944.0,False,15.3,72,1.2
0 days 00:17:58.426000,14.0,74.0,944.0,False,15.3,63,1.1
0 days 00:18:58.425000,14.0,75.0,944.2,False,15.3,67,1.3
0 days 00:19:58.424000,14.1,74.0,944.2,False,15.3,66,1.5
0 days 00:20:58.423000,14.0,74.0,944.2,False,15.3,60,1.7
0 days 00:21:58.438000,13.9,74.0,944.2,False,15.3,64,1.7
0 days 00:22:58.437000,13.9,75.0,944.2,False,15.0,65,1.5
0 days 00:23:58.436000,13.8,75.0,944.2,False,15.0,66,1.5
0 days 00:24:58.434000,13.7,75.0,944.2,False,15.0,62,1.2
0 days 00:25:58.433000,13.7,75.0,944.2,False,15.1,54,1.3
0 days 00:26:58.432000,13.6,75.0,944.2,False,15.1,71,1.7
0 days 00:27:58.431000,13.6,75.0,944.2,False,15.1,65,1.3
0 days 00:28:58.430000,13.5,76.0,944.2,False,15.0,55,1.2
0 days 00:29:58.445000,13.4,76.0,944.2,False,15.0,58,1.2
0 days 00:30:58.428000,13.4,76.0,944.2,False,15.0,67,1.3
0 days 00:31:58.443000,13.4,76.0,944.2,False,15.1,61,1.3
0 days 00:32:58.441000,13.3,76.0,944.2,False,15.0,51,1.5
0 days 00:33:58.440000,13.3,76.0,944.2,False,15.0,61,1.6
0 days 00:34:58.439000,13.3,76.0,944.2,False,15.1,63,1.1
0 days 00:35:58.423000,13.2,76.0,944.2,False,15.1,65,1.0
0 days 00:36:58.437000,13.2,76.0,944.0,False,15.1,65,1.1
0 days 00:37:58.436000,13.2,76.0,944.2,False,15.1,84,0.8
0 days 00:38:58.435000,13.3,76.0,944.2,False,15.2,59,1.2
0 days 00:39:58.434000,13.2,76.0,944.0,False,15.2,65,1.1
0 days 00:40:58.433000,13.2,76.0,944.0,False,15.1,70,0.8
0 days 00:41:58.447000,13.2,76.0,944.2,False,15.1,53,0.8
0 days 00:42:58.446000,13.1,76.0,944.0,False,15.1,60,1.0
0 days 00:43:58.445000,13.1,76.0,944.0,False,15.1,55,1.1
0 days 00:44:58.444000,13.2,76.0,944.2,False,15.1,60,0.8
0 days 00:45:58.443000,13.2,75.0,944.0,False,15.1,63,1.0
0 days 00:46:58.442000,13.2,75.0,944.0,False,15.1,64,1.2
0 days 00:47:58.441000,13.2,75.0,944.0,False,15.1,59,1.1
