Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:02.828000,14.9,62.0,942.5,False,16.6,191,1.2
0 days 00:01:02.827000,14.9,61.0,942.5,False,16.6,183,1.1
0 days 00:02:02.842000,14.9,61.0,942.5,False,16.7,177,1.1
0 days 00:03:02.856000,14.8,61.0,942.5,False,16.8,186,1.2
0 days 00:04:02.839000,14.9,61.0,942.4,False,16.7,206,1.2
0 days 00:05:02.838000,14.9,61.0,942.5,False,16.8,199,1.1
0 days 00:06:02.869000,14.9,60.0,942.5,False,16.9,178,1.2
0 days 00:07:02.852000,14.8,61.0,942.5,False,16.9,28,0.4
0 days 00:08:02.866000,14.9,61.0,942.4,False,16.9,48,1.0
0 days 00:09:02.865000,14.8,61.0,942.4,False,17.0,53,1.6
0 days 00:10:02.864000,14.8,62.0,942.4,False,16.7,33,1.3
0 days 00:11:02.863000,14.7,62.0,942.4,False,16.5,51,1.1
0 days 00:12:02.862000,14.8,62.0,942.4,False,16.5,38,1.1
0 days 00:13:02.861000,14.8,62.0,942.4,False,16.5,47,0.8
0 days 00:14:02.876000,14.8,63.0,942.5,False,16.6,51,1.1
0 days 00:15:02.875000,14.8,63.0,942.4,False,16.6,55,0.8
0 days 00:16:02.873000,14.8,63.0,942.4,False,16.6,50,0.6
0 days 00:17:02.904000,14.8,62.0,942.4,False,16.7,55,0.6
0 days 00:18:02.903000,14.7,63.0,942.4,False,16.7,60,0.6
0 days 00:19:02.917000,14.7,63.0,942.5,False,16.7,0,0.3
0 days 00:20:02.916000,14.7,62.0,942.5,False,16.8,225,1.1
0 days 00:21:02.931000,14.9,62.0,942.5,False,16.9,233,1.2
0 days 00:22:02.945000,14.9,62.0,942.5,False,16.8,220,0.8
0 days 00:23:02.960000,15.0,62.0,942.5,False,16.8,224,0.6
0 days 00:24:02.959000,15.1,62.0,942.5,False,16.9,219,0.6
0 days 00:25:02.973000,15.2,62.0,942.5,False,16.9,217,0.8
0 days 00:26:03.003000,15.3,62.0,942.4,False,17.0,216,1.0
0 days 00:27:03.002000,15.4,61.0,942.4,False,17.0,204,1.5
0 days 00:28:03.001000,15.4,61.0,942.4,False,17.0,205,1.6
0 days 00:29:03,15.4,61.0,942.4,False,17.0,207,1.2
0 days 00:30:02.999000,15.4,60.0,942.4,False,17.0,213,1.2
0 days 00:31:02.998000,15.4,60.0,942.5,False,17.0,219,1.0
0 days 00:32:02.997000,15.4,60.0,942.4,False,17.0,231,1.1
0 days 00:33:02.996000,15.4,60.0,942.2,False,17.0,230,1.0
0 days 00:34:03.011000,15.5,60.0,942.4,False,17.1,260,0.8
0 days 00:35:02.994000,15.4,60.0,942.4,False,17.0,240,0.8
0 days 00:36:03.009000,15.5,60.0,942.4,False,17.0,228,1.0
0 days 00:37:03.007000,15.4,60.0,942.4,False,17.0,207,1.0
0 days 00:38:03.006000,15.4,60.0,942.2,False,16.9,160,0.6
0 days 00:39:02.990000,15.4,60.0,942.2,False,16.9,228,0.4
0 days 00:40:03.004000,15.4,60.0,942.2,False,16.9,218,0.0
0 days 00:41:03.003000,15.3,60.0,942.2,False,17.0,203,1.1
0 days 00:42:03.002000,15.2,61.0,942.2,False,16.8,232,0.6
0 days 00:43:03.001000,15.2,60.0,942.2,False,16.7,208,0.6
0 days 00:44:03.016000,15.1,60.0,942.0,False,16.8,213,1.0
0 days 00:45:03.046000,15.1,61.0,942.0,False,16.8,200,1.1
0 days 00:46:03.045000,15.2,61.0,942.0,False,17.0,192,1.6
0 days 00:47:03.044000,15.2,61.0,942.0,False,17.1,198,1.6
0 days 00:48:03.058000,15.2,61.0,942.0,False,17.1,189,1.1
0 days 00:49:03.057000,15.2,61.0,942.0,False,17.2,0,1.2
0 days 00:50:03.056000,15.2,61.0,942.0,False,17.2,224,0.6
0 days 00:51:03.055000,15.3,61.0,942.0,False,17.1,225,0.6
0 days 00:52:03.054000,15.3,61.0,942.0,False,17.2,205,1.0
0 days 00:53:03.069000,15.3,61.0,941.9,False,17.1,292,0.6
0 days 00:54:03.067000,15.3,61.0,942.0,False,17.1,205,0.5
0 days 00:55:03.082000,15.3,61.0,942.0,False,17.1,99,0.8
0 days 00:56:03.081000,15.3,61.0,942.0,False,17.1,255,0.4
0 days 00:57:03.095000,15.2,61.0,942.0,False,17.1,269,0.8
0 days 00:58:03.094000,15.2,61.0,942.0,False,17.1,251,0.6
0 days 00:59:03.109000,15.3,61.0,942.0,False,17.0,286,0.0
0 days 01:00:03.108000,15.2,61.0,942.0,False,16.9,291,0.4
0 days 01:01:03.107000,15.2,61.0,942.0,False,17.0,0,0.4
0 days 01:02:03.121000,15.2,60.0,942.0,False,17.0,263,0.0
0 days 01:03:03.120000,15.2,60.0,942.0,False,17.0,250,0.4
0 days 01:04:03.119000,15.2,61.0,942.0,False,16.9,239,0.4
0 days 01:05:03.118000,15.1,61.0,942.0,False,16.9,218,0.4
0 days 01:06:03.117000,15.1,61.0,942.0,False,16.9,252,0.5
0 days 01:07:03.116000,15.1,61.0,942.0,False,16.8,311,0.6
0 days 01:08:03.115000,15.1,61.0,942.0,False,16.9,0,0.0
0 days 01:09:03.114000,15.1,61.0,942.0,False,16.9,218,0.6
0 days 01:10:03.129000,15.2,61.0,942.0,False,16.9,224,0.5
0 days 01:11:03.128000,15.2,61.0,942.0,False,16.8,0,0.8
0 days 01:12:03.158000,15.2,60.0,942.0,False,16.8,267,0.0
0 days 01:13:03.172000,15.2,61.0,942.0,False,16.7,0,0.0
0 days 01:14:03.156000,15.2,61.0,942.0,False,16.7,0,0.0
0 days 01:15:03.154000,15.1,61.0,942.0,False,16.7,0,0.0
0 days 01:16:03.153000,15.2,61.0,942.0,False,16.7,269,0.0
