Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:23:56.671000,LEC,16,,1.0,1.0,0 days 00:22:05.344000,,,0 days 00:00:34.761000,0 days 00:00:34.536000,,0 days 00:23:22.187000,0 days 00:23:56.671000,285.0,263.0,251.0,270.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:22:05.344000,2023-10-28 21:07:06.557,1,,False,,False,False
0 days 00:25:15.072000,LEC,16,,2.0,1.0,,,0 days 00:00:27.649000,0 days 00:00:30.362000,0 days 00:00:20.390000,0 days 00:24:24.320000,0 days 00:24:54.682000,0 days 00:25:15.072000,318.0,296.0,253.0,350.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:23:56.671000,2023-10-28 21:08:57.884,1,,False,,False,True
0 days 00:26:54.389000,LEC,16,,3.0,1.0,,0 days 00:26:51.732000,0 days 00:00:35.502000,0 days 00:00:37.218000,0 days 00:00:26.597000,0 days 00:25:50.574000,0 days 00:26:27.792000,0 days 00:26:54.389000,235.0,262.0,,211.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:25:15.072000,2023-10-28 21:10:16.285,1,,False,,False,False
0 days 00:32:29.758000,LEC,16,,4.0,2.0,0 days 00:30:25.448000,,,0 days 00:00:40.825000,0 days 00:00:30.309000,,0 days 00:31:59.478000,0 days 00:32:29.931000,284.0,138.0,251.0,232.0,False,SOFT,1.0,True,Ferrari,0 days 00:26:54.389000,2023-10-28 21:11:55.602,12,,False,,False,False
0 days 00:34:11.395000,LEC,16,,5.0,2.0,,0 days 00:34:08.696000,0 days 00:00:32.516000,0 days 00:00:42.076000,0 days 00:00:27.045000,0 days 00:33:02.274000,0 days 00:33:44.350000,0 days 00:34:11.395000,141.0,213.0,,327.0,False,SOFT,2.0,True,Ferrari,0 days 00:32:29.758000,2023-10-28 21:17:30.971,21,,False,,False,False
0 days 00:44:52.457000,LEC,16,,6.0,3.0,0 days 00:42:56.393000,,,0 days 00:00:41.459000,0 days 00:00:24.487000,,0 days 00:44:27.970000,0 days 00:44:52.470000,263.0,129.0,253.0,271.0,False,SOFT,3.0,False,Ferrari,0 days 00:34:11.395000,2023-10-28 21:19:12.608,1,,False,,False,False
0 days 00:46:10.931000,LEC,16,,7.0,3.0,,,0 days 00:00:27.774000,0 days 00:00:30.289000,0 days 00:00:20.411000,0 days 00:45:20.231000,0 days 00:45:50.520000,0 days 00:46:10.931000,316.0,294.0,251.0,347.0,True,SOFT,4.0,False,Ferrari,0 days 00:44:52.457000,2023-10-28 21:29:53.670,1,,False,,False,True
0 days 00:47:42.744000,LEC,16,,8.0,3.0,,0 days 00:47:40.062000,0 days 00:00:31.197000,0 days 00:00:34.587000,0 days 00:00:26.029000,0 days 00:46:42.128000,0 days 00:47:16.715000,0 days 00:47:42.744000,261.0,258.0,,294.0,False,SOFT,5.0,False,Ferrari,0 days 00:46:10.931000,2023-10-28 21:31:12.144,1,,False,,False,False
0 days 00:53:13.359000,LEC,16,,9.0,4.0,0 days 00:51:08.466000,,,0 days 00:00:40.191000,0 days 00:00:27.116000,,0 days 00:52:46.277000,0 days 00:53:13.527000,274.0,260.0,253.0,273.0,False,SOFT,1.0,True,Ferrari,0 days 00:47:42.744000,2023-10-28 21:32:43.957,1,,False,,False,False
0 days 00:54:31.260000,LEC,16,,10.0,4.0,,,0 days 00:00:27.548000,0 days 00:00:30.007000,0 days 00:00:20.346000,0 days 00:53:40.907000,0 days 00:54:10.914000,0 days 00:54:31.260000,317.0,295.0,252.0,347.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:13.359000,2023-10-28 21:38:14.572,1,,False,,False,True
0 days 00:56:12.924000,LEC,16,,11.0,4.0,,0 days 00:56:10.259000,0 days 00:00:34.941000,0 days 00:00:38.403000,0 days 00:00:28.320000,0 days 00:55:06.201000,0 days 00:55:44.604000,0 days 00:56:12.924000,219.0,250.0,,215.0,False,SOFT,3.0,True,Ferrari,0 days 00:54:31.260000,2023-10-28 21:39:32.473,1,,False,,False,False
0 days 01:05:27.800000,LEC,16,,12.0,5.0,0 days 01:03:25.098000,,,0 days 00:00:40.508000,0 days 00:00:24.882000,,0 days 01:05:02.925000,0 days 01:05:27.800000,263.0,273.0,253.0,272.0,False,SOFT,1.0,True,Ferrari,0 days 00:56:12.924000,2023-10-28 21:41:14.137,1,,False,,False,False
0 days 01:06:44.966000,LEC,16,,13.0,5.0,,,0 days 00:00:27.291000,0 days 00:00:29.853000,0 days 00:00:20.022000,0 days 01:05:55.091000,0 days 01:06:24.944000,0 days 01:06:44.966000,317.0,297.0,254.0,348.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:27.800000,2023-10-28 21:50:29.013,1,,False,,False,True
0 days 01:08:21.092000,LEC,16,,14.0,5.0,,0 days 01:08:18.376000,0 days 00:00:31.706000,0 days 00:00:35.971000,0 days 00:00:28.449000,0 days 01:07:16.672000,0 days 01:07:52.643000,0 days 01:08:21.092000,249.0,255.0,,289.0,False,SOFT,3.0,True,Ferrari,0 days 01:06:44.966000,2023-10-28 21:51:46.179,1,,False,,False,False
0 days 01:13:14.873000,LEC,16,,15.0,6.0,0 days 01:11:21.890000,,,0 days 00:00:41.356000,0 days 00:00:27.024000,,0 days 01:12:47.889000,0 days 01:13:15.045000,259.0,252.0,254.0,274.0,False,SOFT,1.0,True,Ferrari,0 days 01:08:21.092000,2023-10-28 21:53:22.305,1,,False,,False,False
0 days 01:14:32.663000,LEC,16,,16.0,6.0,,,0 days 00:00:27.331000,0 days 00:00:30.094000,0 days 00:00:20.365000,0 days 01:13:42.204000,0 days 01:14:12.298000,0 days 01:14:32.663000,318.0,296.0,253.0,350.0,False,SOFT,2.0,True,Ferrari,0 days 01:13:14.873000,2023-10-28 21:58:16.086,1,,False,,False,True
0 days 01:16:19.554000,LEC,16,,17.0,6.0,,0 days 01:16:15.871000,0 days 00:00:38.052000,0 days 00:00:37.856000,0 days 00:00:30.983000,0 days 01:15:10.715000,0 days 01:15:48.571000,0 days 01:16:19.554000,179.0,179.0,,178.0,False,SOFT,3.0,True,Ferrari,0 days 01:14:32.663000,2023-10-28 21:59:33.876,1,,False,,False,False
