Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:47.812000,25.4,28.0,780.7,False,47.3,274,1.1
0 days 00:01:47.811000,25.4,27.0,780.7,False,47.0,344,1.5
0 days 00:02:47.810000,25.4,28.0,780.7,False,46.8,288,2.0
0 days 00:03:47.810000,25.5,28.0,780.7,False,46.5,246,1.6
0 days 00:04:47.809000,25.5,28.0,780.7,False,46.5,261,0.8
0 days 00:05:47.824000,25.6,28.0,780.7,False,46.4,0,1.6
0 days 00:06:47.808000,25.5,28.0,780.7,False,46.4,302,0.5
0 days 00:07:47.838000,25.5,28.0,780.5,False,46.4,266,1.7
0 days 00:08:47.838000,25.4,28.0,780.5,False,46.2,287,1.6
0 days 00:09:47.853000,25.4,28.0,780.5,False,46.2,317,1.2
0 days 00:10:47.836000,25.4,28.0,780.5,False,46.0,290,0.6
0 days 00:11:47.836000,25.3,27.0,780.5,False,46.0,225,1.3
0 days 00:12:47.850000,25.2,28.0,780.5,False,45.8,150,1.0
0 days 00:13:47.850000,25.2,28.0,780.5,False,45.8,310,0.6
0 days 00:14:47.865000,25.3,28.0,780.5,False,45.8,276,1.0
0 days 00:15:47.849000,25.3,28.0,780.5,False,45.8,70,1.7
0 days 00:16:47.848000,25.3,28.0,780.5,False,45.8,287,1.6
0 days 00:17:47.847000,25.4,28.0,780.5,False,45.8,285,1.0
0 days 00:18:47.846000,25.5,28.0,780.5,False,45.2,292,2.2
0 days 00:19:47.846000,25.6,28.0,780.5,False,45.3,269,1.5
0 days 00:20:47.861000,25.7,27.0,780.5,False,45.2,319,1.2
0 days 00:21:47.844000,25.8,27.0,780.5,False,44.7,269,0.8
0 days 00:22:47.859000,25.8,28.0,780.5,False,44.7,246,1.2
0 days 00:23:47.843000,25.9,28.0,780.5,False,44.8,84,0.6
0 days 00:24:47.874000,26.0,28.0,780.4,False,44.6,28,0.4
0 days 00:25:47.857000,25.9,28.0,780.4,False,44.6,218,0.6
0 days 00:26:47.857000,25.9,27.0,780.4,False,44.7,218,1.0
0 days 00:27:47.856000,25.9,28.0,780.2,False,45.0,265,1.0
0 days 00:28:47.855000,25.9,27.0,780.4,False,44.9,250,2.5
0 days 00:29:47.855000,26.0,28.0,780.5,False,44.9,141,0.8
0 days 00:30:47.854000,26.1,27.0,780.4,False,44.9,0,1.1
0 days 00:31:47.869000,26.0,27.0,780.2,False,44.9,2,1.0
0 days 00:32:47.853000,26.0,27.0,780.2,False,44.5,103,1.7
0 days 00:33:47.868000,26.0,26.0,780.2,False,44.4,98,2.7
0 days 00:34:47.851000,26.1,27.0,780.2,False,44.4,144,0.8
0 days 00:35:47.867000,26.3,27.0,780.2,False,44.3,126,0.6
0 days 00:36:47.866000,26.3,27.0,780.4,False,44.3,92,1.2
0 days 00:37:47.865000,26.4,26.0,780.2,False,44.3,92,1.1
0 days 00:38:47.864000,26.3,26.0,780.2,False,44.3,71,3.5
0 days 00:39:47.864000,26.1,26.0,780.2,False,43.7,93,2.2
0 days 00:40:47.863000,26.1,26.0,780.2,False,43.7,70,2.0
0 days 00:41:47.862000,26.1,26.0,780.2,False,44.0,95,1.6
0 days 00:42:47.862000,26.1,26.0,780.2,False,43.9,117,1.8
0 days 00:43:47.861000,26.0,27.0,780.2,False,44.0,88,2.7
0 days 00:44:47.860000,26.0,27.0,780.2,False,43.6,98,2.0
0 days 00:45:47.875000,26.1,28.0,780.2,False,43.4,110,1.5
0 days 00:46:47.875000,26.1,27.0,780.2,False,43.3,120,0.8
0 days 00:47:47.905000,26.2,27.0,780.2,False,44.4,149,2.2
0 days 00:48:47.905000,26.1,27.0,780.2,False,44.4,176,2.2
0 days 00:49:47.920000,26.1,27.0,780.0,False,44.7,169,1.1
0 days 00:50:47.919000,26.1,28.0,780.2,False,44.2,113,0.8
0 days 00:51:47.934000,25.9,27.0,780.0,False,44.2,112,2.4
0 days 00:52:47.933000,25.8,27.0,780.2,False,44.3,105,2.7
0 days 00:53:47.948000,25.7,27.0,780.0,False,44.2,111,2.2
0 days 00:54:47.963000,25.7,27.0,780.0,False,44.2,118,1.7
0 days 00:55:47.962000,25.8,27.0,780.0,False,43.8,98,2.7
0 days 00:56:47.962000,25.7,27.0,780.0,False,43.8,59,1.7
0 days 00:57:47.977000,25.8,27.0,780.0,False,43.8,117,1.0
0 days 00:58:47.960000,25.8,27.0,780.0,False,43.7,102,1.2
0 days 00:59:47.975000,25.8,27.0,780.0,False,43.3,125,1.2
0 days 01:00:47.990000,25.7,27.0,780.0,False,43.4,63,1.8
0 days 01:01:47.990000,25.7,27.0,780.0,False,43.2,0,1.8
0 days 01:02:48.005000,25.7,27.0,780.0,False,43.1,96,0.8
0 days 01:03:48.004000,25.7,26.0,780.0,False,42.1,292,0.4
0 days 01:04:48.003000,25.6,26.0,780.0,False,41.6,310,1.8
0 days 01:05:48.003000,25.7,26.0,780.0,False,41.6,310,1.8
0 days 01:06:48.002000,25.7,26.0,780.0,False,41.5,65,1.7
0 days 01:07:48.001000,25.8,26.0,780.0,False,41.5,305,0.8
0 days 01:08:48.001000,25.8,26.0,780.0,False,41.5,270,1.3
0 days 01:09:48.016000,25.7,26.0,780.0,False,41.5,287,2.4
0 days 01:10:48.015000,25.8,26.0,780.0,False,41.4,344,2.5
0 days 01:11:47.999000,25.8,26.0,780.0,False,41.1,25,1.5
0 days 01:12:48.014000,25.9,27.0,780.0,False,40.8,14,1.1
0 days 01:13:48.013000,26.0,27.0,780.0,False,40.8,267,0.8
0 days 01:14:48.012000,26.0,27.0,780.0,False,40.8,245,0.6
0 days 01:15:48.012000,26.1,27.0,780.0,False,40.8,62,0.0
0 days 01:16:48.011000,26.2,26.0,780.0,False,40.2,325,0.4
0 days 01:17:48.010000,26.2,26.0,780.0,False,39.8,333,0.8
