Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:30.117000,25.9,37.0,1018.7,False,46.9,309,0.6
0 days 00:01:30.116000,26.1,37.0,1018.7,False,46.9,338,0.8
0 days 00:02:30.131000,26.3,37.0,1018.7,False,47.3,0,0.8
0 days 00:03:30.162000,26.2,36.0,1018.7,False,47.5,44,0.0
0 days 00:04:30.161000,26.3,36.0,1018.9,False,47.6,98,0.6
0 days 00:05:30.160000,26.3,36.0,1018.7,False,47.2,0,0.0
0 days 00:06:30.175000,26.4,36.0,1018.7,False,47.3,266,0.0
0 days 00:07:30.159000,26.5,35.0,1018.7,False,47.7,214,1.0
0 days 00:08:30.174000,26.4,35.0,1018.5,False,48.1,154,1.0
0 days 00:09:30.173000,26.5,36.0,1018.7,False,48.1,142,0.8
0 days 00:10:30.188000,26.4,36.0,1018.7,False,47.5,158,1.1
0 days 00:11:30.172000,26.3,38.0,1018.7,False,47.1,150,1.0
0 days 00:12:30.187000,26.1,38.0,1018.7,False,47.1,60,1.0
0 days 00:13:30.202000,26.2,38.0,1018.5,False,47.1,311,0.4
0 days 00:14:30.217000,26.1,39.0,1018.7,False,46.6,150,0.6
0 days 00:15:30.232000,26.1,39.0,1018.7,False,47.1,137,0.8
0 days 00:16:30.231000,26.1,39.0,1018.7,False,47.2,142,0.6
0 days 00:17:30.230000,26.1,40.0,1018.5,False,47.2,114,0.6
0 days 00:18:30.245000,26.1,40.0,1018.5,False,46.8,44,0.5
0 days 00:19:30.260000,26.3,39.0,1018.5,False,46.9,149,0.8
0 days 00:20:30.244000,26.5,38.0,1018.7,False,46.8,309,1.1
0 days 00:21:30.259000,26.4,38.0,1018.7,False,46.5,19,0.8
0 days 00:22:30.242000,26.5,37.0,1018.7,False,46.5,99,1.2
0 days 00:23:30.242000,26.2,37.0,1018.7,False,46.6,0,0.6
0 days 00:24:30.288000,26.3,37.0,1018.5,False,46.2,45,0.5
0 days 00:25:30.256000,26.7,37.0,1018.7,False,46.2,154,1.1
0 days 00:26:30.240000,26.7,38.0,1018.5,False,46.1,133,0.8
0 days 00:27:30.239000,26.7,37.0,1018.5,False,45.8,98,0.6
