Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:42.422000,25.8,39.0,1013.7,False,47.4,149,1.0
0 days 00:01:42.421000,25.8,40.0,1013.7,False,48.2,158,1.0
0 days 00:02:42.419000,25.8,41.0,1013.7,False,48.2,137,1.0
0 days 00:03:42.418000,25.8,41.0,1013.7,False,48.3,0,0.8
0 days 00:04:42.433000,25.8,41.0,1013.7,False,48.3,0,0.5
0 days 00:05:42.432000,25.8,41.0,1013.7,False,47.4,288,0.0
0 days 00:06:42.446000,25.9,41.0,1013.5,False,47.2,334,0.6
0 days 00:07:42.430000,26.0,40.0,1013.7,False,48.3,151,0.6
0 days 00:08:42.429000,26.0,39.0,1013.7,False,48.3,324,1.0
0 days 00:09:42.428000,26.0,40.0,1013.5,False,47.2,216,0.6
0 days 00:10:42.427000,26.0,41.0,1013.5,False,47.0,277,0.4
0 days 00:11:42.441000,26.0,40.0,1013.7,False,47.3,0,0.5
0 days 00:12:42.456000,25.9,41.0,1013.5,False,47.3,296,0.5
0 days 00:13:42.470000,25.9,41.0,1013.7,False,47.0,128,0.8
0 days 00:14:42.469000,25.9,41.0,1013.5,False,47.0,341,0.8
0 days 00:15:42.468000,25.9,42.0,1013.5,False,47.5,245,0.6
0 days 00:16:42.467000,25.8,42.0,1013.5,False,47.6,332,0.5
0 days 00:17:42.497000,25.9,41.0,1013.4,False,47.3,167,0.6
0 days 00:18:42.496000,26.1,41.0,1013.5,False,47.8,0,0.4
0 days 00:19:42.511000,26.0,41.0,1013.5,False,47.9,349,0.6
0 days 00:20:42.510000,25.9,41.0,1013.4,False,48.2,328,0.5
0 days 00:21:42.509000,25.8,41.0,1013.5,False,47.9,303,1.0
0 days 00:22:42.508000,25.6,41.0,1013.4,False,47.6,69,0.8
0 days 00:23:42.507000,25.6,41.0,1013.4,False,47.5,321,1.5
0 days 00:24:42.506000,25.6,42.0,1013.5,False,47.5,35,0.6
0 days 00:25:42.551000,25.7,43.0,1013.4,False,47.5,122,0.8
0 days 00:26:42.519000,25.9,41.0,1013.5,False,47.8,123,0.8
0 days 00:27:42.518000,26.0,41.0,1013.5,False,48.0,81,0.8
0 days 00:28:42.533000,26.2,41.0,1013.5,False,48.2,150,0.6
0 days 00:29:42.547000,26.3,42.0,1013.5,False,47.7,29,1.2
0 days 00:30:42.578000,26.1,43.0,1013.4,False,47.5,100,0.8
0 days 00:31:42.576000,26.0,43.0,1013.5,False,47.5,301,0.4
0 days 00:32:42.591000,26.0,42.0,1013.4,False,47.8,302,1.1
0 days 00:33:42.590000,26.1,42.0,1013.5,False,47.6,301,1.0
0 days 00:34:42.589000,26.1,41.0,1013.4,False,47.5,63,0.8
0 days 00:35:42.619000,26.0,42.0,1013.4,False,47.0,305,0.6
0 days 00:36:42.602000,26.0,41.0,1013.5,False,47.0,11,1.1
0 days 00:37:42.601000,26.0,42.0,1013.4,False,46.7,291,0.6
0 days 00:38:42.600000,26.0,42.0,1013.5,False,46.5,82,1.2
0 days 00:39:42.615000,26.0,43.0,1013.4,False,46.5,12,0.8
0 days 00:40:42.645000,25.9,42.0,1013.5,False,46.6,143,0.6
0 days 00:41:42.628000,25.9,42.0,1013.5,False,46.9,132,0.6
0 days 00:42:42.627000,26.0,42.0,1013.5,False,46.3,167,1.5
0 days 00:43:42.642000,25.8,43.0,1013.5,False,46.2,119,0.6
0 days 00:44:42.640000,25.7,43.0,1013.5,False,45.7,270,0.6
0 days 00:45:42.639000,25.6,43.0,1013.5,False,45.7,152,0.6
0 days 00:46:42.654000,25.5,42.0,1013.5,False,45.5,138,0.8
0 days 00:47:42.653000,25.3,43.0,1013.5,False,45.5,0,1.2
0 days 00:48:42.652000,25.3,43.0,1013.5,False,45.4,134,0.8
0 days 00:49:42.666000,25.2,43.0,1013.5,False,44.8,291,0.5
0 days 00:50:42.665000,25.2,44.0,1013.5,False,44.7,51,0.6
0 days 00:51:42.680000,25.2,44.0,1013.5,False,44.5,154,1.2
0 days 00:52:42.679000,25.3,44.0,1013.5,False,44.3,0,1.2
0 days 00:53:42.678000,25.3,44.0,1013.4,False,44.3,154,1.2
0 days 00:54:42.692000,25.4,44.0,1013.5,False,44.0,0,0.8
0 days 00:55:42.691000,25.3,45.0,1013.5,False,43.7,133,0.3
0 days 00:56:42.722000,25.3,44.0,1013.5,False,43.3,0,1.0
0 days 00:57:42.720000,25.3,45.0,1013.4,False,43.0,296,0.8
0 days 00:58:42.719000,25.3,44.0,1013.4,False,43.0,298,1.0
0 days 00:59:42.718000,25.3,44.0,1013.4,False,42.9,125,0.8
0 days 01:00:42.717000,25.2,44.0,1013.4,False,42.3,155,0.5
0 days 01:01:42.717000,25.1,44.0,1013.5,False,42.3,94,0.4
0 days 01:02:42.715000,25.2,44.0,1013.4,False,43.1,153,0.8
0 days 01:03:42.714000,25.2,44.0,1013.4,False,43.1,48,1.0
0 days 01:04:42.729000,25.2,45.0,1013.5,False,42.8,66,0.8
0 days 01:05:42.712000,25.3,45.0,1013.4,False,42.8,18,1.0
0 days 01:06:42.711000,25.4,45.0,1013.5,False,42.8,115,1.0
0 days 01:07:42.710000,25.5,44.0,1013.5,False,42.4,161,1.3
0 days 01:08:42.709000,25.4,44.0,1013.5,False,42.4,132,1.0
0 days 01:09:42.723000,25.4,44.0,1013.5,False,41.6,76,0.8
0 days 01:10:42.722000,25.4,44.0,1013.5,False,41.4,50,0.6
0 days 01:11:42.721000,25.4,44.0,1013.5,False,40.9,359,0.8
0 days 01:12:42.720000,25.4,44.0,1013.5,False,41.0,147,1.2
0 days 01:13:42.719000,25.5,43.0,1013.5,False,41.2,140,1.2
0 days 01:14:42.718000,25.5,42.0,1013.5,False,40.9,137,2.2
0 days 01:15:42.717000,25.4,43.0,1013.5,False,40.2,142,1.2
0 days 01:16:42.700000,25.3,44.0,1013.5,False,40.0,1,0.6
0 days 01:17:42.715000,25.3,44.0,1013.5,False,40.0,0,1.7
0 days 01:18:42.714000,25.4,43.0,1013.5,False,40.1,136,0.6
0 days 01:19:42.713000,25.4,43.0,1013.5,False,40.1,146,1.2
0 days 01:20:42.712000,25.3,43.0,1013.5,False,39.9,148,0.8
0 days 01:21:42.742000,25.3,44.0,1013.7,False,39.9,134,1.6
0 days 01:22:42.710000,25.3,44.0,1013.5,False,39.5,129,0.8
0 days 01:23:42.724000,25.3,44.0,1013.5,False,39.5,168,0.8
