Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:15.861000,VER,1,,1.0,1.0,0 days 00:13:30.429000,,,0 days 00:00:29.848000,0 days 00:00:39.926000,,0 days 00:14:35.975000,0 days 00:15:16.037000,259.0,252.0,289.0,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:13:30.429000,2023-08-26 13:01:36.917,1,,False,,False,False
0 days 00:17:04.386000,VER,1,,2.0,1.0,,,0 days 00:00:40.874000,0 days 00:00:38.386000,0 days 00:00:29.265000,0 days 00:15:56.735000,0 days 00:16:35.121000,0 days 00:17:04.386000,256.0,253.0,270.0,271.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:15:15.861000,2023-08-26 13:03:22.349,1,,True,TRACK LIMITS AT TURN 1 LAP 3 ,False,True
0 days 00:18:37.178000,VER,1,,3.0,1.0,,,0 days 00:00:32.117000,0 days 00:00:29.443000,0 days 00:00:31.232000,0 days 00:17:36.503000,0 days 00:18:05.946000,0 days 00:18:37.178000,275.0,259.0,294.0,191.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:17:04.386000,2023-08-26 13:05:10.874,1,,False,,False,True
0 days 00:19:59.964000,VER,1,,4.0,1.0,,,0 days 00:00:29.131000,0 days 00:00:28.094000,0 days 00:00:25.561000,0 days 00:19:06.309000,0 days 00:19:34.403000,0 days 00:19:59.964000,280.0,266.0,294.0,261.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:18:37.178000,2023-08-26 13:06:43.666,1,,False,,False,True
0 days 00:21:22.571000,VER,1,,5.0,1.0,,,0 days 00:00:28.753000,0 days 00:00:28.069000,0 days 00:00:25.785000,0 days 00:20:28.717000,0 days 00:20:56.786000,0 days 00:21:22.571000,,264.0,297.0,278.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:19:59.964000,2023-08-26 13:08:06.452,1,,False,,False,True
0 days 00:23:00.613000,VER,1,,6.0,1.0,,,0 days 00:00:30.801000,0 days 00:00:37.388000,0 days 00:00:29.853000,0 days 00:21:53.372000,0 days 00:22:30.760000,0 days 00:23:00.613000,244.0,215.0,297.0,246.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 00:21:22.571000,2023-08-26 13:09:29.059,1,,False,,False,True
0 days 00:24:21.843000,VER,1,,7.0,1.0,,,0 days 00:00:28.020000,0 days 00:00:27.804000,0 days 00:00:25.406000,0 days 00:23:28.633000,0 days 00:23:56.437000,0 days 00:24:21.843000,285.0,265.0,295.0,289.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 00:23:00.613000,2023-08-26 13:11:07.101,1,,False,,False,True
0 days 00:25:53.656000,VER,1,,8.0,1.0,,,0 days 00:00:31.324000,0 days 00:00:30.901000,0 days 00:00:29.588000,0 days 00:24:53.167000,0 days 00:25:24.068000,0 days 00:25:53.656000,254.0,228.0,295.0,281.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 00:24:21.843000,2023-08-26 13:12:28.331,1,,False,,False,True
0 days 00:27:14.621000,VER,1,,9.0,1.0,,,0 days 00:00:28.088000,0 days 00:00:27.654000,0 days 00:00:25.223000,0 days 00:26:21.744000,0 days 00:26:49.398000,0 days 00:27:14.621000,284.0,268.0,300.0,279.0,True,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 00:25:53.656000,2023-08-26 13:14:00.144,1,,False,,False,True
0 days 00:28:48.018000,VER,1,,10.0,1.0,,,0 days 00:00:31.238000,0 days 00:00:35.467000,0 days 00:00:26.692000,0 days 00:27:45.859000,0 days 00:28:21.326000,0 days 00:28:48.018000,230.0,246.0,296.0,,False,INTERMEDIATE,10.0,True,Red Bull Racing,0 days 00:27:14.621000,2023-08-26 13:15:21.109,1,,False,,False,True
0 days 00:30:08.993000,VER,1,,11.0,1.0,,,0 days 00:00:28.075000,0 days 00:00:27.645000,0 days 00:00:25.255000,0 days 00:29:16.093000,0 days 00:29:43.738000,0 days 00:30:08.993000,283.0,268.0,296.0,287.0,False,INTERMEDIATE,11.0,True,Red Bull Racing,0 days 00:28:48.018000,2023-08-26 13:16:54.506,1,,False,,False,True
0 days 00:31:54.622000,VER,1,,12.0,1.0,,0 days 00:31:52.994000,0 days 00:00:32.565000,0 days 00:00:35.862000,0 days 00:00:37.202000,0 days 00:30:41.558000,0 days 00:31:17.420000,0 days 00:31:54.622000,216.0,207.0,,225.0,False,INTERMEDIATE,12.0,True,Red Bull Racing,0 days 00:30:08.993000,2023-08-26 13:18:15.481,1,,False,,False,False
0 days 00:38:50.915000,VER,1,,13.0,2.0,0 days 00:37:05.538000,,,0 days 00:00:29.649000,0 days 00:00:34.939000,,0 days 00:38:16.021000,0 days 00:38:51.068000,265.0,252.0,291.0,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:31:54.622000,2023-08-26 13:20:01.110,1,,False,,False,False
0 days 00:40:12.836000,VER,1,,14.0,2.0,,,0 days 00:00:29.071000,0 days 00:00:27.515000,0 days 00:00:25.335000,0 days 00:39:19.986000,0 days 00:39:47.501000,0 days 00:40:12.836000,280.0,265.0,292.0,262.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:38:50.915000,2023-08-26 13:26:57.403,1,,False,,False,True
0 days 00:41:33.526000,VER,1,,15.0,2.0,,,0 days 00:00:28.141000,0 days 00:00:27.333000,0 days 00:00:25.216000,0 days 00:40:40.977000,0 days 00:41:08.310000,0 days 00:41:33.526000,284.0,267.0,294.0,283.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:40:12.836000,2023-08-26 13:28:19.324,1,,False,,False,True
0 days 00:43:07.008000,VER,1,,16.0,2.0,,,0 days 00:00:31.030000,0 days 00:00:34.950000,0 days 00:00:27.502000,0 days 00:42:04.556000,0 days 00:42:39.506000,0 days 00:43:07.008000,237.0,249.0,294.0,255.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:41:33.526000,2023-08-26 13:29:40.014,1,,False,,False,True
0 days 00:44:27.290000,VER,1,,17.0,2.0,,,0 days 00:00:27.975000,0 days 00:00:27.199000,0 days 00:00:25.108000,0 days 00:43:34.983000,0 days 00:44:02.182000,0 days 00:44:27.290000,285.0,267.0,294.0,283.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:43:07.008000,2023-08-26 13:31:13.496,1,,False,,False,True
0 days 00:46:21.727000,VER,1,,18.0,2.0,,,0 days 00:00:36.301000,0 days 00:00:47.099000,0 days 00:00:31.037000,0 days 00:45:03.591000,0 days 00:45:50.690000,0 days 00:46:21.727000,167.0,215.0,293.0,227.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 00:44:27.290000,2023-08-26 13:32:33.778,1,,False,,False,True
0 days 00:47:41.379000,VER,1,,19.0,2.0,,,0 days 00:00:27.580000,0 days 00:00:27.193000,0 days 00:00:24.879000,0 days 00:46:49.307000,0 days 00:47:16.500000,0 days 00:47:41.379000,283.0,266.0,292.0,296.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 00:46:21.727000,2023-08-26 13:34:28.215,1,,False,,False,True
0 days 00:49:25.639000,VER,1,,20.0,2.0,,0 days 00:49:24.029000,0 days 00:00:36.485000,0 days 00:00:36.933000,0 days 00:00:30.842000,0 days 00:48:17.864000,0 days 00:48:54.797000,0 days 00:49:25.639000,174.0,226.0,,217.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 00:47:41.379000,2023-08-26 13:35:47.867,1,,False,,False,False
0 days 00:51:20.698000,VER,1,,21.0,3.0,0 days 00:49:43.701000,,0 days 00:00:49.296000,0 days 00:00:28.450000,0 days 00:00:37.313000,0 days 00:50:14.935000,0 days 00:50:43.385000,0 days 00:51:20.698000,273.0,253.0,295.0,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:49:25.639000,2023-08-26 13:37:32.127,1,,True,TRACK LIMITS AT TURN 3 LAP 22 ,False,False
0 days 00:52:39.554000,VER,1,,22.0,3.0,,,0 days 00:00:27.112000,0 days 00:00:27.092000,0 days 00:00:24.652000,0 days 00:51:47.810000,0 days 00:52:14.902000,0 days 00:52:39.554000,287.0,269.0,296.0,296.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:51:20.698000,2023-08-26 13:39:27.186,1,,False,,False,True
