Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:08.324000,35.6,33.0,1005.5,False,42.1,315,5.8
0 days 00:01:08.323000,35.5,33.0,1005.5,False,42.1,311,5.3
0 days 00:02:08.321000,35.5,32.0,1005.5,False,42.2,308,6.0
0 days 00:03:08.320000,35.5,32.0,1005.5,False,42.1,337,5.9
0 days 00:04:08.319000,35.5,31.0,1005.5,False,42.1,322,5.5
0 days 00:05:08.318000,35.4,31.0,1005.5,False,42.0,316,5.8
0 days 00:06:08.317000,35.4,31.0,1005.5,False,42.0,327,5.4
0 days 00:07:08.332000,35.4,31.0,1005.5,False,42.0,330,5.8
0 days 00:08:08.331000,35.4,31.0,1005.5,False,41.7,314,5.8
0 days 00:09:08.330000,35.5,32.0,1005.5,False,41.5,320,5.5
0 days 00:10:08.329000,35.5,32.0,1005.5,False,41.5,320,5.5
0 days 00:11:08.328000,35.5,33.0,1005.5,False,41.4,319,4.3
0 days 00:12:08.327000,35.5,34.0,1005.5,False,41.3,325,4.4
0 days 00:13:08.326000,35.4,34.0,1005.5,False,41.3,320,4.1
0 days 00:14:08.325000,35.3,34.0,1005.5,False,41.3,316,5.0
0 days 00:15:08.323000,35.3,33.0,1005.5,False,41.0,317,6.1
0 days 00:16:08.338000,35.2,33.0,1005.7,False,40.9,332,5.8
0 days 00:17:08.353000,35.2,32.0,1005.5,False,41.0,313,6.0
0 days 00:18:08.352000,35.1,32.0,1005.5,False,41.0,322,6.5
0 days 00:19:08.335000,35.1,33.0,1005.5,False,40.9,312,6.5
0 days 00:20:08.318000,35.1,33.0,1005.5,False,40.5,323,5.4
0 days 00:21:08.333000,35.1,33.0,1005.5,False,40.6,329,4.5
0 days 00:22:08.363000,35.1,33.0,1005.5,False,40.4,324,4.5
0 days 00:23:08.331000,35.0,33.0,1005.5,False,40.4,327,4.8
0 days 00:24:08.345000,35.0,32.0,1005.5,False,40.7,335,4.1
0 days 00:25:08.360000,35.0,33.0,1005.5,False,40.3,336,5.4
0 days 00:26:08.374000,35.0,33.0,1005.5,False,40.2,321,4.6
0 days 00:27:08.358000,35.0,33.0,1005.5,False,40.1,322,4.6
0 days 00:28:08.372000,35.0,33.0,1005.5,False,40.1,330,4.5
0 days 00:29:08.371000,35.0,33.0,1005.5,False,40.1,326,4.3
0 days 00:30:08.386000,35.0,34.0,1005.5,False,40.3,323,3.4
0 days 00:31:08.385000,34.9,34.0,1005.5,False,40.3,325,3.4
