Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:58.835000,VER,1,,1.0,1.0,0 days 00:15:18.665000,,,0 days 00:00:32.566000,0 days 00:00:27.460000,,0 days 00:16:31.414000,0 days 00:16:58.835000,210.0,277.0,283.0,131.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:15:18.665000,2023-10-06 17:00:18.670,1,,False,,False,False
0 days 00:18:25.719000,VER,1,,2.0,1.0,,,0 days 00:00:32.018000,0 days 00:00:29.588000,0 days 00:00:25.278000,0 days 00:17:30.853000,0 days 00:18:00.441000,0 days 00:18:25.719000,239.0,290.0,285.0,317.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:16:58.835000,2023-10-06 17:01:58.840,1,,False,,False,True
0 days 00:20:23.942000,VER,1,,3.0,1.0,,,0 days 00:00:47.159000,0 days 00:00:41.297000,0 days 00:00:29.767000,0 days 00:19:12.878000,0 days 00:19:54.175000,0 days 00:20:23.942000,126.0,162.0,284.0,280.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:18:25.719000,2023-10-06 17:03:25.724,1,,False,,False,True
0 days 00:21:50.430000,VER,1,,4.0,1.0,,,0 days 00:00:31.667000,0 days 00:00:29.498000,0 days 00:00:25.323000,0 days 00:20:55.609000,0 days 00:21:25.107000,0 days 00:21:50.430000,241.0,289.0,283.0,322.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:20:23.942000,2023-10-06 17:05:23.947,1,,False,,False,True
0 days 00:23:32.250000,VER,1,,5.0,1.0,,0 days 00:23:28.141000,0 days 00:00:34.858000,0 days 00:00:33.280000,0 days 00:00:33.682000,0 days 00:22:25.288000,0 days 00:22:58.568000,0 days 00:23:32.250000,215.0,126.0,,291.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:21:50.430000,2023-10-06 17:06:50.435,1,,False,,False,False
0 days 00:29:26.140000,VER,1,,6.0,2.0,0 days 00:27:37.324000,,,0 days 00:00:36.931000,0 days 00:00:35.905000,,0 days 00:28:51.479000,0 days 00:29:26.322000,226.0,243.0,285.0,88.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:23:32.250000,2023-10-06 17:08:32.255,1,,False,,False,False
0 days 00:30:51.147000,VER,1,,7.0,2.0,,,0 days 00:00:31.304000,0 days 00:00:28.887000,0 days 00:00:24.816000,0 days 00:29:57.444000,0 days 00:30:26.331000,0 days 00:30:51.147000,242.0,289.0,285.0,320.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:29:26.140000,2023-10-06 17:14:26.145,1,,False,,False,True
0 days 00:32:59.303000,VER,1,,8.0,2.0,,0 days 00:32:46.287000,0 days 00:00:42.908000,0 days 00:00:35.483000,0 days 00:00:49.765000,0 days 00:31:34.055000,0 days 00:32:09.538000,0 days 00:32:59.303000,196.0,258.0,,201.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:30:51.147000,2023-10-06 17:15:51.152,1,,False,,False,False
0 days 00:43:58.625000,VER,1,,9.0,3.0,0 days 00:42:21.480000,,,0 days 00:00:34.579000,0 days 00:00:28.272000,,0 days 00:43:30.370000,0 days 00:43:58.744000,212.0,269.0,286.0,140.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:32:59.303000,2023-10-06 17:17:59.308,1,,False,,False,False
0 days 00:45:23.383000,VER,1,,10.0,3.0,,,0 days 00:00:31.170000,0 days 00:00:28.867000,0 days 00:00:24.721000,0 days 00:44:29.795000,0 days 00:44:58.662000,0 days 00:45:23.383000,246.0,288.0,284.0,320.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:43:58.625000,2023-10-06 17:28:58.630,1,,False,,False,True
0 days 00:47:06.573000,VER,1,,11.0,3.0,,0 days 00:47:02.428000,0 days 00:00:38.345000,0 days 00:00:31.496000,0 days 00:00:33.349000,0 days 00:46:01.728000,0 days 00:46:33.224000,0 days 00:47:06.573000,215.0,263.0,,211.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:45:23.383000,2023-10-06 17:30:23.388,1,,False,,False,False
0 days 00:52:50.537000,VER,1,,12.0,4.0,0 days 00:51:15.158000,,,0 days 00:00:31.591000,0 days 00:00:27.271000,,0 days 00:52:23.313000,0 days 00:52:50.703000,223.0,273.0,286.0,155.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:47:06.573000,2023-10-06 17:32:06.578,1,,False,,False,False
0 days 00:54:15.020000,VER,1,,13.0,4.0,,,0 days 00:00:31.148000,0 days 00:00:28.759000,0 days 00:00:24.576000,0 days 00:53:21.685000,0 days 00:53:50.444000,0 days 00:54:15.020000,245.0,288.0,283.0,319.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:52:50.537000,2023-10-06 17:37:50.542,1,,False,,False,True
0 days 00:56:14.995000,VER,1,,14.0,4.0,,0 days 00:56:10.856000,0 days 00:00:44.113000,0 days 00:00:39.849000,0 days 00:00:36.013000,0 days 00:54:59.133000,0 days 00:55:38.982000,0 days 00:56:14.995000,192.0,246.0,,208.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:54:15.020000,2023-10-06 17:39:15.025,1,,False,,False,False
0 days 01:06:19.267000,VER,1,,15.0,5.0,0 days 01:04:43.097000,,,0 days 00:00:34.544000,0 days 00:00:27.152000,,0 days 01:05:52.143000,0 days 01:06:19.299000,217.0,265.0,286.0,148.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:56:14.995000,2023-10-06 17:41:15.000,1,,False,,False,False
0 days 01:07:43.045000,VER,1,,16.0,5.0,,,0 days 00:00:30.791000,0 days 00:00:28.536000,0 days 00:00:24.451000,0 days 01:06:50.058000,0 days 01:07:18.594000,0 days 01:07:43.045000,242.0,288.0,285.0,320.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:19.267000,2023-10-06 17:51:19.272,1,,False,,False,True
