Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:55.890000,32.3,56.0,1007.7,False,36.6,309,2.7
0 days 00:01:55.889000,32.3,56.0,1007.7,False,36.6,308,2.7
0 days 00:02:55.889000,32.3,57.0,1007.7,False,36.4,311,2.7
0 days 00:03:55.903000,32.3,56.0,1007.7,False,36.5,308,2.5
0 days 00:04:55.903000,32.3,56.0,1007.7,False,36.4,320,2.2
0 days 00:05:55.902000,32.2,56.0,1007.7,False,36.6,316,1.8
0 days 00:06:55.917000,32.2,57.0,1007.7,False,36.7,312,2.0
0 days 00:07:55.916000,32.3,56.0,1007.7,False,36.7,304,2.2
0 days 00:08:55.947000,32.2,57.0,1007.7,False,36.5,303,2.2
0 days 00:09:55.931000,32.2,57.0,1007.7,False,36.5,310,2.2
0 days 00:10:55.930000,32.2,57.0,1007.7,False,36.5,305,1.7
0 days 00:11:55.945000,32.2,57.0,1007.7,False,36.5,306,2.2
0 days 00:12:55.944000,32.2,57.0,1007.7,False,36.5,306,2.4
0 days 00:13:55.944000,32.1,57.0,1007.7,False,36.5,307,2.0
0 days 00:14:55.943000,32.1,57.0,1007.7,False,36.5,311,2.2
0 days 00:15:55.942000,32.1,58.0,1007.7,False,36.5,310,2.5
0 days 00:16:55.957000,32.1,58.0,1007.7,False,36.4,314,2.0
0 days 00:17:55.941000,32.1,57.0,1007.7,False,36.3,312,1.8
0 days 00:18:55.940000,32.1,58.0,1007.7,False,36.3,316,2.0
0 days 00:19:55.940000,32.1,57.0,1007.7,False,36.4,313,2.0
0 days 00:20:55.939000,32.0,57.0,1007.7,False,36.4,347,1.5
0 days 00:21:55.938000,32.0,58.0,1007.7,False,36.4,313,1.8
0 days 00:22:55.938000,32.0,58.0,1007.7,False,36.4,315,2.2
0 days 00:23:55.953000,32.0,58.0,1007.7,False,36.1,308,2.0
0 days 00:24:55.952000,32.0,58.0,1007.7,False,36.2,329,1.7
0 days 00:25:55.951000,32.0,58.0,1007.9,False,36.3,321,1.6
0 days 00:26:55.951000,32.0,58.0,1007.7,False,36.3,302,1.8
0 days 00:27:55.950000,32.0,57.0,1007.9,False,36.3,311,1.6
0 days 00:28:55.949000,32.0,58.0,1007.7,False,36.2,303,1.6
0 days 00:29:55.949000,32.0,59.0,1007.7,False,36.2,307,2.5
0 days 00:30:55.948000,32.0,59.0,1007.9,False,36.1,338,2.4
0 days 00:31:55.963000,32.0,59.0,1007.9,False,36.4,300,1.6
0 days 00:32:55.947000,32.0,59.0,1007.7,False,36.4,301,1.2
0 days 00:33:55.946000,32.0,58.0,1007.9,False,36.4,292,1.1
0 days 00:34:55.945000,32.0,58.0,1007.7,False,36.5,329,1.7
0 days 00:35:55.945000,32.0,58.0,1007.9,False,36.3,314,1.2
0 days 00:36:55.944000,32.0,59.0,1007.9,False,36.3,334,1.6
0 days 00:37:55.943000,31.9,58.0,1007.7,False,36.3,306,1.5
0 days 00:38:55.958000,31.9,59.0,1007.9,False,36.2,307,2.2
0 days 00:39:55.957000,31.9,59.0,1007.9,False,35.8,311,2.5
0 days 00:40:55.957000,31.9,59.0,1008.0,False,35.9,297,1.7
0 days 00:41:55.956000,31.9,59.0,1007.9,False,36.0,303,1.7
0 days 00:42:55.971000,31.9,60.0,1007.9,False,36.1,310,2.2
0 days 00:43:55.986000,31.9,60.0,1007.9,False,36.1,318,2.0
0 days 00:44:55.985000,31.8,59.0,1007.9,False,36.1,310,1.6
0 days 00:45:56,31.8,59.0,1008.0,False,35.9,319,1.7
0 days 00:46:56.015000,31.8,60.0,1008.0,False,35.9,306,1.6
0 days 00:47:56.015000,31.7,61.0,1007.9,False,35.9,309,1.8
0 days 00:48:56.030000,31.7,60.0,1008.0,False,35.9,300,1.7
0 days 00:49:56.029000,31.7,61.0,1008.0,False,35.7,307,1.8
0 days 00:50:56.060000,31.7,60.0,1008.0,False,35.9,311,2.0
0 days 00:51:56.059000,31.7,61.0,1008.0,False,36.1,293,2.0
0 days 00:52:56.058000,31.7,61.0,1008.0,False,35.9,326,1.7
0 days 00:53:56.058000,31.7,60.0,1007.9,False,35.8,289,1.8
0 days 00:54:56.057000,31.6,61.0,1008.0,False,35.8,306,2.0
0 days 00:55:56.056000,31.7,61.0,1008.0,False,35.6,299,1.7
0 days 00:56:56.056000,31.7,61.0,1008.0,False,35.7,293,1.8
0 days 00:57:56.070000,31.6,61.0,1008.0,False,35.7,303,2.0
0 days 00:58:56.101000,31.6,61.0,1008.0,False,35.7,319,1.7
0 days 00:59:56.085000,31.6,61.0,1008.0,False,35.5,305,1.7
0 days 01:00:56.084000,31.6,61.0,1008.0,False,35.6,341,1.5
0 days 01:01:56.083000,31.6,60.0,1008.0,False,35.6,269,0.8
0 days 01:02:56.098000,31.6,61.0,1008.0,False,35.7,339,1.3
0 days 01:03:56.098000,31.6,60.0,1008.0,False,35.7,243,1.2
0 days 01:04:56.097000,31.6,61.0,1008.0,False,35.7,297,1.2
0 days 01:05:56.096000,31.7,61.0,1008.0,False,36.0,296,1.0
0 days 01:06:56.096000,31.6,61.0,1008.0,False,35.6,269,1.0
0 days 01:07:56.095000,31.6,61.0,1008.0,False,36.0,3,0.8
0 days 01:08:56.094000,31.6,61.0,1008.0,False,35.6,298,1.0
0 days 01:09:56.094000,31.6,61.0,1008.2,False,35.6,293,1.2
0 days 01:10:56.093000,31.6,61.0,1008.0,False,35.5,269,0.6
0 days 01:11:56.092000,31.6,61.0,1008.0,False,35.5,313,1.0
0 days 01:12:56.107000,31.6,61.0,1008.0,False,35.5,348,0.6
0 days 01:13:56.091000,31.6,61.0,1008.0,False,35.4,323,1.1
0 days 01:14:56.090000,31.6,62.0,1008.0,False,35.4,150,1.1
0 days 01:15:56.121000,31.5,61.0,1008.0,False,35.6,293,1.2
0 days 01:16:56.105000,31.6,61.0,1008.0,False,35.8,288,0.8
0 days 01:17:56.104000,31.5,61.0,1008.0,False,35.5,183,1.2
0 days 01:18:56.103000,31.6,62.0,1008.0,False,35.5,293,0.8
0 days 01:19:56.103000,31.6,61.0,1008.2,False,35.5,178,0.6
0 days 01:20:56.102000,31.6,61.0,1008.0,False,36.0,141,0.5
0 days 01:21:56.101000,31.6,61.0,1008.0,False,36.0,251,1.0
0 days 01:22:56.101000,31.6,61.0,1008.0,False,35.9,296,0.6
0 days 01:23:56.100000,31.5,62.0,1008.0,False,35.5,311,1.0
0 days 01:24:56.099000,31.5,62.0,1008.0,False,35.2,237,1.2
0 days 01:25:56.114000,31.5,62.0,1008.0,False,35.2,0,1.7
0 days 01:26:56.098000,31.4,62.0,1008.0,False,35.1,286,1.6
0 days 01:27:56.113000,31.4,62.0,1008.0,False,35.0,277,1.2
